"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"1","환경관리대행기관","09_30_15_P","6430000","643000010202600006","2026-04-01","","01","영업/정상","N","신규","","","","","","","28374","충청북도 청주시 흥덕구 휴암동 151-3","충청북도 청주시 흥덕구 가포산로76번길 175-12(휴암동)","28374","(주)상현이엔씨","2026-04-01 09:49:08","I","2026-04-03 00:20:02","","236857.04786289","345681.77271392","143.07","환경관리대행기관","0","","4311311900","28374","0","151","3","","","","","","43113","4311311900","1","4512164","","0","175","12","28374",
"2","환경관리대행기관","09_30_15_P","6300000","630000010202000003","2026-02-23","","03","폐업","Q","폐업","2026-04-01","","","","","","35354","대전광역시 서구 도안동 1076번지 한아름빌딩 302호","대전광역시 서구 원도안로242번길 15-10, 한아름빌딩 3층 302호 (도안동)","35354","(주)휴먼네트워크","2026-04-01 15:30:34","U","2026-04-03 02:40:00","","231072.571394189","313822.398278064","0","환경관리대행기관","0","","","","","","","","","","","","","","","","","","","","",
"3","환경관리대행기관","09_30_15_P","6540000","654000010202600001","2026-04-01","","01","영업/정상","N","신규","","","","","","","54414","전북특별자치도 김제시 옥산동 272번지","전북특별자치도 김제시 동서로 62, 1동 2층 202-1호 (옥산동)","54414","거화이엔씨 유한회사","2026-04-01 17:54:32","U","2026-04-03 02:40:00","","188891.572883174","254913.287851185","0","환경관리대행기관","0","","","","","","","","","","","","","","","","","","","","",
"4","환경관리대행기관","09_30_15_P","6260000","626000010202100003","2025-11-26","","03","폐업","Q","폐업","2026-04-01","","","","","","","부산광역시 남구 용호동 538-40 도시타워아파트","부산광역시 남구 용호로232번길 31, 202호 (용호동, 도시타워아파트)","","(주)팔공환경엔지니어링","2026-04-01 16:33:38","U","2026-04-03 02:40:00","","","","0","환경관리대행기관","0","","2641010900","46271","0","280","2","","","","","","26410","2641010900","1","4205140","(주)한신환경","0","30","0","46271",
"5","환경관리대행기관","09_30_15_P","6460000","646000010202500001","2026-04-01","","01","영업/정상","N","신규","","","","","","","59337","전라남도 장흥군 장흥읍 평화리 519번지","전라남도 장흥군 장흥읍 외평길 84","59337","주식회사 한미엔텍","2026-04-01 17:21:53","U","2026-04-03 02:40:00","","191123.137936771","129385.438331079","0","환경관리대행기관","0","","4680025035","59337","0","519","0","","","","","","46800","4680025035","0","4676334","","0","84","0","59337",
"6","환경관리대행기관","09_30_15_P","6300000","630000010202100004","2026-04-02","","01","영업/정상","N","신규","","","","","","","34028","대전광역시 유성구 용산동 544번지","대전광역시 유성구 테크노8로 53-10, 1층 (용산동)","34028","(주)대성환경연구소","2026-04-02 10:53:43","U","2026-04-04 02:40:00","","236218.233242576","324712.782221177","0","환경관리대행기관","0","","3020014400","34028","0","544","0","","","","","","30200","3020014400","1","3167078","","0","53","10","34028",
"7","환경관리대행기관","09_30_15_P","6260000","626000010202300022","2026-04-02","","01","영업/정상","N","신규","","","","","","","46917","부산광역시 사상구 모라동 283-11","부산광역시 사상구 사상로525번길 54, 2층 (모라동)","46917","(주)세영환경기술","2026-04-02 15:23:44","U","2026-04-04 02:40:00","","380810.227707175","189958.115183757","0","환경관리대행기관","0","","2653010200","46917","0","283","11","","","","","","26530","2653010200","1","4217272","","0","54","0","46917",
"8","환경관리대행기관","09_30_15_P","6410000","641000010202600032","2026-04-03","","01","영업/정상","N","신규","","","","","","","","경기도 안산시 단원구 신길동 1378-1 102-2호","경기도 안산시 단원구 신길중앙로8길 18-6, 1층 102-2호 (신길동)","","덕원이엔지","2026-04-03 09:03:33","I","2026-04-05 00:20:22","","","","0","환경관리대행기관","0","","","","","","","","","","","","","","","","","","","","",
"9","환경관리대행기관","09_30_15_P","6260000","626000010202300002","2026-04-03","","01","영업/정상","N","신규","","","","","","","","부산광역시 사상구 감전동 122-15","부산광역시 사상구 새벽로 183, 2층 (감전동)","","(주)모리아산업기술","2026-04-03 17:50:21","U","2026-04-05 02:40:00","","","","0","환경관리대행기관","0","","","","","","","","","","","","","","","","","","","","",
"10","환경관리대행기관","09_30_15_P","6280000","628000010202000003","2026-04-03","","01","영업/정상","N","신규","","","","","","","22772","인천광역시 서구 석남동 223-242 한울기계","인천광역시 서구 건지로97번길 51, 한울기계(석남동)","22772","(주)서강엔지니어링","2026-04-03 10:28:13","U","2026-04-05 02:40:00","","169190.619569289","444678.892609514","0","환경관리대행기관","0","","","","","","","","","","","","","","","","","","","","",
"11","환경관리대행기관","09_30_15_P","6410000","641000010202500128","2026-04-03","","01","영업/정상","N","신규","","","","","","","","경기도 하남시 풍산동 489번지 미사테스타타워지식산업센터 F839,F840호","경기도 하남시 미사강변서로 25, 미사테스타타워지식산업센터 F839,F840호 (풍산동)","","미령환경개발(주)","2026-04-03 09:02:37","U","2026-04-05 02:40:00","","","","0","환경관리대행기관","0","","","","","","","","","","","","","","","","","","","","",
"12","환경관리대행기관","09_30_15_P","6410000","641000010202500037","2026-04-03","","01","영업/정상","N","신규","","","","","","","","경기도 남양주시 다산동 6060-1 704호","경기도 남양주시 다산중앙로123번길 22-16, 704호 (다산동)","","에코환경","2026-04-03 09:07:29","U","2026-04-05 02:40:00","","","","0","환경관리대행기관","0","","","","","","","","","","","","","","","","","","","","",
