번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업종구분명,자본금의규모,사업자등록번호,Unnamed: 31,record_key
70,후원방문판매업체,08_26_05_P,6260000,20266260000301000001,2026-02-25,,1,영업/정상,BBBB,영업,,,,,0515281363,,47760,부산광역시 동래구 명장동  ***번지 **호,"부산광역시 동래구 서동중심로 *-*, *층 (명장동)",,럭셔리뷰티 명장점,2026-02-25 00:00:00,I,2026-02-27 00:20:02,,391535.442857323,192146.43577961,후원방문판매업,0,2265900876.0,,럭셔리뷰티명장점_부산광역시동래구명장동***번지**호
27,후원방문판매업체,08_26_05_P,6480000,20266480000301000001,2026-02-20,,1,영업/정상,BBBB,영업,,,,,,,53254,경상남도 거제시 고현동  ***번지 *호,"경상남도 거제시 계룡로 ***, *층 (고현동)",,아모레퍼시픽 거제점(cafe N),2026-02-20 00:00:00,I,2026-02-23 00:20:02,,348093.646218947,155047.423783271,후원방문판매업,0,7376000732.0,,아모레퍼시픽거제점(cafeN)_경상남도거제시고현동***번지*호
19,후원방문판매업체,08_26_05_P,6530000,20266530000301000002,2026-02-12,,1,영업/정상,BBBB,영업,,,,,,,24854,강원특별자치도 속초시 교동  ****번지 *호,"강원특별자치도 속초시 청초호반로 ***, *층 (교동)",,아모레퍼시픽 속초신동해점,2026-02-12 00:00:00,I,2026-02-14 00:20:02,,338460.480120056,522827.907746997,후원방문판매업,0,2162217845.0,,아모레퍼시픽속초신동해점_강원특별자치도속초시교동****번지*호
20,후원방문판매업체,08_26_05_P,6480000,20256480000301000007,2025-08-03,,1,영업/정상,2,영업,,,,,,,51504,경상남도 창원시 성산구 상남동  **번지 *호 창원코아상가 ***호,"경상남도 창원시 성산구 상남로 **, 창원코아상가 ***호 (상남동)",,라비다샵 창원코아,2026-02-12 00:00:00,U,2026-02-14 02:40:00,,352838.701430316,192537.638974684,후원방문판매업,0,2055463262.0,,라비다샵창원코아_경상남도창원시성산구상남동**번지*호창원코아상가***호
8,후원방문판매업체,08_26_05_P,6440000,20256440000301000002,2025-07-08,,1,영업/정상,2,영업,,,,,,,31197,충청남도 천안시 동남구 청당동  ***번지 *호 청수중흥S클래스아파트 ***동 ***호,"충청남도 천안시 동남구 청수**로 ***, ***동 ***호 (청당동, 청수중흥S클래스아파트)",,라비다샵천안중앙,2026-02-03 00:00:00,U,2026-02-06 02:40:00,,214074.432122266,365106.138956855,후원방문판매업,0,7090303615.0,,라비다샵천안중앙_충청남도천안시동남구청당동***번지*호청수중흥S클래스아파트***동***호
26,후원방문판매업체,08_26_05_P,6470000,20256470000301000002,2025-03-07,,1,영업/정상,2,영업,,,,,0548554497,,36659,경상북도 안동시 옥동  ***번지 *호 옥동주공*아파트 ***동 ****호,"경상북도 안동시 복주길 **, ***동 ****호 (옥동, 옥동주공*아파트)",,라비다샵 안동1호점,2026-02-19 00:00:00,U,2026-02-21 02:40:00,,351942.570650753,341713.522000115,후원방문판매업,0,6293300933.0,,라비다샵안동1호점_경상북도안동시옥동***번지*호옥동주공*아파트***동****호
15,후원방문판매업체,08_26_05_P,6110000,20246110000301000122,2024-12-16,,1,영업/정상,2,영업,,,,,027243114,,03188,서울특별시 종로구 서린동  **번지 *호 관정빌딩,"서울특별시 종로구 청계천로 **, 관정빌딩 (서린동)",,한국화장품주식회사,2026-02-09 00:00:00,U,2026-02-11 02:40:00,,198284.392181266,451901.406014861,후원방문판매업,0,,,한국화장품주식회사_서울특별시종로구서린동**번지*호관정빌딩
21,후원방문판매업체,08_26_05_P,6410000,20246410000301100176,2024-08-21,,1,영업/정상,2,영업,,,,,,,13840,경기도 과천시 갈현동  ***번지 *호 과천상상자이타워 A동 ***호,"경기도 과천시 과천대로*길 **, 과천상상자이타워 A동 ***호 (갈현동)",,주식회사 케이지씨라이프앤진,2026-02-13 00:00:00,U,2026-02-16 02:40:00,,,,후원방문판매업,0,,,주식회사케이지씨라이프앤진_경기도과천시갈현동***번지*호과천상상자이타워A동***호
3,후원방문판매업체,08_26_05_P,6410000,20246410000301100090,2024-05-20,,3,폐업,4,폐업,2026-01-29,,,,,,12039,경기도 남양주시 오남읍 오남리 ***번지 *호 대한아파트 ***동 ***호,"경기도 남양주시 오남읍 진건오남로***번길 *-**, ***동 ***호 (대한아파트)",,선한부자,2026-02-02 00:00:00,U,2026-02-04 02:40:00,,218767.587631196,464750.187347877,후원방문판매업,0,,,선한부자_경기도남양주시오남읍오남리***번지*호대한아파트***동***호
114,후원방문판매업체,08_26_05_P,5690000,20235690000301000013,2023-06-12,,1,영업/정상,2,영업,,,,,,,,,"세종특별자치시 달빛로 ***, ****동 ****호 (아름동, 범지기마을**단지)",30100.0,제니스,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,222333.315370024,335182.364080833,후원방문판매업,0,6720402970.0,,제니스_
