번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업종구분명,관리업구분명,자본금,자산,보수범위,유지관리책임인력수,실무기술인력수,설계책임기술인력수,제조책임기술인력수,임원수,총직원수,기술직직원수,기능직직원수,사무직직원수,기타직원수,회사구분명,사업자등록번호,Unnamed: 45,record_key
134,승강기유지관리업체,11_48_01_P,6110000,611000000544,2026-01-08,,1,영업/정상,1,인허가,,,,,0226107777,,,"서울특별시 마포구 상암동 1596번지 상암DMC푸르지오시티,S-City","서울특별시 마포구 월드컵북로54길 25, 상암DMC푸르지오시티,S-City(상암동)",03924,티케이엘리베이터코리아(주) 강남2지사,2026-02-12 15:56:10,U,2026-02-14 02:40:00,,190144.892942247,453302.04990022,유지관리,"고속승강기,중저속승강기",100000000.0,,"7,100",9.0,,,,,71.0,,,,,지점,2158526647.0,,"티케이엘리베이터코리아(주)강남2지사_서울특별시마포구상암동1596번지상암DMC푸르지오시티,S-City"
16,승강기유지관리업체,11_48_01_P,5530000,2025553060933500002,2025-10-30,,1,영업/정상,1,영업중,,,,,031-366-8508,,,경기도 화성시 만세구 팔탄면 구장리 415-15,"경기도 화성시 만세구 팔탄면 푸른들판로 555-3, 3동 201호",,주식회사 지에스이엘,2026-02-01 11:00:57,I,2026-02-04 01:35:23,,190889.482540836,406267.014243995,,,,,,,,,,,,,,,,,,,주식회사지에스이엘_경기도화성시만세구팔탄면구장리415-15
253,승강기유지관리업체,11_48_01_P,6410000,374000000027,2025-10-17,,1,영업/정상,1,인허가,,,,,07047561428,,16222,"경기도 수원시 영통구 이의동 1184 광교 호반베르디움, 관리동 커뮤니티센터","경기도 수원시 영통구 웰빙타운로 70 (이의동, 광교 호반베르디움)",16222,자이엘리베이터 주식회사 수원지사,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,,,유지관리,"고속승강기,중저속승강기",2813.0,,1000,1.0,,,,,,,,,,본점,8338502569.0,,"자이엘리베이터주식회사수원지사_경기도수원시영통구이의동1184광교호반베르디움,관리동커뮤니티센터"
15,승강기유지관리업체,11_48_01_P,5530000,2025553060933500001,2025-09-11,,1,영업/정상,1,영업중,,,,,031-223-5271,,,경기도 화성시 병점구 병점동 844-3 이타운4 801호,"경기도 화성시 병점구 효행로 1060, 이타운4 (병점동)",18405,하나로티엠에스 주식회사,2026-02-01 11:00:57,I,2026-02-04 01:35:23,,203760.122353984,412497.212229325,,,,,,,,,,,,,,,,,,,하나로티엠에스주식회사_경기도화성시병점구병점동844-3이타운4801호
155,승강기유지관리업체,11_48_01_P,6110000,611000000541,2025-08-27,,1,영업/정상,1,인허가,,,,,07075425405,,07802,서울특별시 강서구 마곡동 774-9 사이언스타 0호,"서울특별시 강서구 마곡중앙6로 42, 사이언스타 701호 (마곡동)",07802,주식회사 도진엘리베이터,2026-02-13 15:23:36,U,2026-02-15 02:40:00,,185095.247005248,450885.058431205,유지관리,중저속승강기,100000000.0,,800,1.0,,,,,8.0,,,,,본점,1858103549.0,,주식회사도진엘리베이터_서울특별시강서구마곡동774-9사이언스타0호
158,승강기유지관리업체,11_48_01_P,6260000,626000000173,2025-01-20,,1,영업/정상,1,인허가,,,,,0514655003,,47001,부산광역시 사상구 주례동 692-7 (주)에스아이엠 비동 비102호,"부산광역시 사상구 가야대로213번길 14, (주)에스아이엠 비동 비102호 (주례동)",47001,주식회사 부산엘리베이터,2026-02-13 11:28:56,U,2026-02-15 02:40:00,,381846.427525179,185367.269726622,유지관리,중저속승강기,100000000.0,,700,1.0,,,,,7.0,,,,,본점,8988803019.0,,주식회사부산엘리베이터_부산광역시사상구주례동692-7(주)에스아이엠비동비102호
70,승강기유지관리업체,11_48_01_P,6410000,402000000010,2025-01-10,,1,영업/정상,1,인허가,,,,,031 406 4543,,15885,경기도 군포시 도마교동 478 군포 송정 풍산 리치안,"경기도 군포시 송부로96번길 12, 군포 송정 풍산 리치안 A동 209호 (도마교동)",15885,주식회사 에스씨엘리베이터,2026-02-05 00:00:00,U,2026-02-07 02:40:00,,,,유지관리,중저속승강기,100.0,,1400,1.0,,,,,,,,,,본점,5568603391.0,,주식회사에스씨엘리베이터_경기도군포시도마교동478군포송정풍산리치안
188,승강기유지관리업체,11_48_01_P,6410000,394000000017,2024-12-23,,1,영업/정상,1,인허가,,,,,15888963,,10251,경기도 고양시 일산동구 성석동 1019-6,경기도 고양시 일산동구 성현로135번길 129-19 (성석동),10251,이엘디에이승강기 주식회사,2026-02-19 00:00:00,U,2026-02-21 02:40:00,,,,유지관리,중저속승강기,100.0,,700,1.0,,,,,,,,,,본점,7188602802.0,,이엘디에이승강기주식회사_경기도고양시일산동구성석동1019-6
132,승강기유지관리업체,11_48_01_P,6470000,647000000062,2024-11-26,,1,영업/정상,1,인허가,,,,,0548538119,,36663,경상북도 안동시 옥동 914-2,"경상북도 안동시 옥서로 43, 2층층 (옥동)",36663,예안엘리베이터 주식회사,2026-02-11 12:22:16,U,2026-02-13 02:40:00,,351963.002876165,341011.294458067,유지관리,중저속승강기,100000000.0,,700,1.0,,,,,7.0,,,,,본점,8668703034.0,,예안엘리베이터주식회사_경상북도안동시옥동914-2
191,승강기유지관리업체,11_48_01_P,6410000,553000000028,2024-10-31,,1,영업/정상,1,인허가,,,,,0312217561,,18298,경기도 화성시 효행구 봉담읍 동화리 139-1 화성공구유통밸리 104동 201호,"경기도 화성시 효행구 봉담읍 와우안길 109, 화성공구유통밸리",18298,주식회사 하나승강기,2026-02-20 00:00:00,U,2026-02-22 02:40:00,,,,유지관리,중저속승강기,100.0,,1400,1.0,,,,,,,,,,본점,4338703722.0,,주식회사하나승강기_경기도화성시효행구봉담읍동화리139-1화성공구유통밸리104동201호
