"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","골프연습장업","10_31_01_P","5530000","CDFH3301052008000004","2008-03-28","","03","폐업","03","폐업","2009-10-20","","","","","","445-160","경기도 화성시 동탄구 반송동  130-4 세교프라자 5층","","","골드스크린골프존","2009-10-20 17:46:34","I","2026-02-04 01:35:23","","206779.936345503","410522.909663272","골프연습장업","사립","0","0","0","0","0","","",
"2","골프연습장업","10_31_01_P","5530000","CDFH3301052008000017","2008-06-05","","03","폐업","03","폐업","2015-10-28","","","","224-2728","","445-390","경기도 화성시 병점구 진안동  874-4 로얄프라자 201호202호","","","아이스크린골프화성점","2015-10-28 17:57:50","I","2026-02-04 01:35:23","","203548.269435375","412434.876832293","골프연습장업","사립","0","0","0","0","0","","",
"3","골프연습장업","10_31_01_P","5530000","CDFH3301052008000012","2008-05-19","","03","폐업","03","폐업","2012-08-30","","","","235-9883","","445-330","경기도 화성시 병점구 반월동  717 신풍프라자 201호 202호","","","투온스크린골프","2012-08-30 17:07:02","I","2026-02-04 01:35:23","","204461.478924847","413370.798845761","골프연습장업","사립","0","0","0","0","0","","",
"4","골프연습장업","10_31_01_P","3730000","CDFH3301052009000001","2009-02-11","","03","폐업","03","폐업","2026-02-02","","","","052-238-8410","","","울산광역시 울주군 온산읍 덕신리 600-8","울산광역시 울주군 온산읍 덕신로 217, 지하1층","45003","프렌즈스크린 온산점","2026-02-02 09:44:21","U","2026-02-04 02:40:00","","409288.209443191","217416.256099197","골프연습장업","사립","","0","0","12001.48","0","","",
"5","골프연습장업","10_31_01_P","4090000","CDFH3301052001000001","2001-06-14","","03","폐업","03","폐업","2025-02-11","","","","984-8383","","415-809","경기도 김포시 풍무동 595","경기도 김포시 풍무로 20 (풍무동)","10120","홀인원 골프스크린연습장","2026-02-02 16:16:24","U","2026-02-04 02:40:00","","175300.492202442","455067.898518183","골프연습장업","사립","","0","0","14814.83","0","","",
"6","골프연습장업","10_31_01_P","5020000","CDFH3301052012000011","2012-09-25","","01","영업/정상","13","영업중","","","","","054-241-1600","","791-850","경상북도 포항시 북구 장성동 1365-2 202호","경상북도 포항시 북구 삼흥로 87, 202호 (장성동)","37613","뉴골프존25시스크린","2026-02-02 15:01:39","U","2026-02-04 02:40:00","","414246.118934383","288082.78983002","골프연습장업","사립","","0","0","0","0","","",
"7","골프연습장업","10_31_01_P","5020000","CDFH3301052012000013","2012-09-27","","01","영업/정상","13","영업중","","","","","054-284-0742","","790-330","경상북도 포항시 남구 효자동 571-1 2, 3층","경상북도 포항시 남구 효성로15번길 9-12, 2, 3층 (효자동)","37836","쵸이스 스크린실내연습장","2026-02-02 15:02:58","U","2026-02-04 02:40:00","","410591.506330452","281093.491342403","골프연습장업","사립","","0","0","0","0","","",
"8","골프연습장업","10_31_01_P","5020000","CDFH3301052012000014","2012-09-28","","01","영업/정상","13","영업중","","","","","054-261-8700","","791-947","경상북도 포항시 북구 흥해읍 옥성리 43-3 2층","경상북도 포항시 북구 흥해읍 한동로 25, 2층","37538","흥해스파월드","2026-02-02 15:03:41","U","2026-02-04 02:40:00","","411031.168431039","292637.613080828","골프연습장업","사립","","0","0","1931.21","0","","",
"9","골프연습장업","10_31_01_P","5020000","CDFH3301052012000015","2012-10-16","","01","영업/정상","13","영업중","","","","","054-231-7100","","","경상북도 포항시 북구 장성동 1381-2","경상북도 포항시 북구 장량로61번길 14-8 (장성동)","37582","리빙스크린골프","2026-02-02 15:04:21","U","2026-02-04 02:40:00","","414995.737608973","289662.589330184","골프연습장업","사립","","0","0","0","0","","",
"10","골프연습장업","10_31_01_P","5020000","CDFH3301052017000004","2017-08-07","","01","영업/정상","13","영업중","","","","","2420901","","","경상북도 포항시 북구 장성동 1516-8","경상북도 포항시 북구 장량로1번길 20 (장성동)","37581","에스엔에스 스크린골프","2026-02-02 15:05:03","U","2026-02-04 02:40:00","","414365.775857663","289729.459950544","골프연습장업","사립","","0","0","0","0","","",
"11","골프연습장업","10_31_01_P","5020000","CDFH3301052017000006","2017-09-08","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 흥해읍 죽천리 655-6 4층","경상북도 포항시 북구 흥해읍 신덕로 80-78, 4층 ((주)이글골프)","37948","이글골프스크린","2026-02-02 15:05:53","U","2026-02-04 02:40:00","","416739.907871002","290740.820894124","골프연습장업","사립","","0","0","0","0","","",
"12","골프연습장업","10_31_01_P","5020000","CDFH3301052021000002","2021-07-29","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 대도동 135-149 태영빌딩","경상북도 포항시 남구 포스코대로 338, 태영빌딩 6층 (대도동)","37763","힐 골프 아카데미","2026-02-02 15:12:10","U","2026-02-04 02:40:00","","412693.006449347","282279.658103089","골프연습장업","사립","","0","0","0","0","","",
"13","골프연습장업","10_31_01_P","4641000","CDFH3301051996000004","1996-05-23","","01","영업/정상","13","영업중","","","","","063-274-6220","","561-822","전북특별자치도 전주시 덕진구 송천동2가 604","전북특별자치도 전주시 덕진구 와룡로 97-10 (송천동2가)","54826","현대골프연습장","2026-02-02 10:37:45","U","2026-02-04 02:40:00","","210187.899262674","263178.237231474","골프연습장업","사립","","1","0","887.64","0","","",
"14","골프연습장업","10_31_01_P","3470000","CDFH3301052008000001","2008-01-29","","03","폐업","03","폐업","2026-02-02","","","","053-644-3376","","704-816","대구광역시 달서구 상인동 1555-2","대구광역시 달서구 상인서로 19 (상인동)","","골프존 스크린연습장","2026-02-02 14:51:46","U","2026-02-04 02:40:00","","339663.506614671","258042.71086172","골프연습장업","사립","","0","0","0","0","","",
"15","골프연습장업","10_31_01_P","5020000","CDFH3301052023000002","2023-09-22","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 오천읍 원리 893-77","경상북도 포항시 남구 오천읍 원동로 75-9, 3층","37883","에이스 골프연습장","2026-02-02 15:13:13","U","2026-02-04 02:40:00","","416544.647965248","277044.664974103","골프연습장업","사립","","0","0","0","0","","",
"16","골프연습장업","10_31_01_P","3780000","CDFH3301052024000002","2024-08-16","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 수정구 신흥동 5180 샤르망","경기도 성남시 수정구 시민로 165, 지하1층 (신흥동, 샤르망)","13340","스카이피트니스 GX골프","2026-01-30 14:47:56","U","2026-02-04 11:04:37","","212561.009230373","437854.68450541","골프연습장업","사립","","0","0","0","0","","",
"17","골프연습장업","10_31_01_P","5020000","CDFH3301052011000005","2011-02-28","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 양덕동 1567","경상북도 포항시 북구 장량로174번길 24 (양덕동)","37593","파온스크린골프","2026-01-30 10:11:49","U","2026-02-04 11:04:37","","416061.663901453","289225.983775024","골프연습장업","사립","","0","0","0","0","","",
"18","골프연습장업","10_31_01_P","5020000","CDFH3301052012000010","2012-09-13","","01","영업/정상","13","영업중","","","","","","","791-846","경상북도 포항시 북구 창포동 산 100-3 1,2층","경상북도 포항시 북구 새천년대로1001번길 2-31, 1,2층 (창포동)","37633","창포탑스크린","2026-01-30 13:36:53","U","2026-02-04 11:04:37","","413413.20213656","286978.913219648","골프연습장업","사립","","0","0","0","0","","",
"19","골프연습장업","10_31_01_P","5020000","CDFH3301052011000021","2011-09-14","","01","영업/정상","13","영업중","","","","","252-4088","","","경상북도 포항시 북구 장성동 1501-18","경상북도 포항시 북구 법원로129번길 23-18 (장성동)","37579","태영스크린골프","2026-01-30 10:32:48","U","2026-02-04 11:04:37","","414597.978751585","289969.623429217","골프연습장업","사립","","0","0","0","0","","",
"20","골프연습장업","10_31_01_P","5020000","CDFH3301052011000027","2011-12-12","","01","영업/정상","13","영업중","","","","","054-292-0068","","790-903","경상북도 포항시 남구 오천읍 원리 1203","경상북도 포항시 남구 오천읍 하원로3번길 8","37882","필드스크린","2026-01-30 10:39:00","U","2026-02-04 11:04:37","","416768.286022082","277202.875521645","골프연습장업","사립","","0","0","0","0","","",
"21","골프연습장업","10_31_01_P","5020000","CDFH3301052011000028","2011-12-13","","01","영업/정상","13","영업중","","","","","255-0800","","790-330","경상북도 포항시 남구 효자동 571-6","경상북도 포항시 남구 효성로15번길 9 (효자동)","37836","선 힐 스크린골프","2026-01-30 10:39:35","U","2026-02-04 11:04:37","","410567.296484661","281039.985710713","골프연습장업","사립","","0","0","0","0","","",
"22","골프연습장업","10_31_01_P","5020000","CDFH3301052012000001","2012-02-08","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 연일읍 유강리 596","경상북도 포항시 남구 연일읍 유강길10번길 33-9 (유강웰타운)","37655","웰스크린골프","2026-01-30 10:40:40","U","2026-02-04 11:04:37","","409196.474642839","280837.066145614","골프연습장업","사립","","0","0","0","0","","",
"23","골프연습장업","10_31_01_P","5020000","CDFH3301052012000004","2012-05-25","","01","영업/정상","13","영업중","","","","","054-242-0103","","791-260","경상북도 포항시 북구 장성동 1381-10","경상북도 포항시 북구 법원로98번길 25 (장성동)","37582","썬스크린","2026-01-30 10:41:27","U","2026-02-04 11:04:37","","415053.56912587","289634.351846868","골프연습장업","사립","Y","0","0","0","0","","",
"24","골프연습장업","10_31_01_P","5020000","CDFH3301052012000005","2012-06-08","","01","영업/정상","13","영업중","","","","","054-284-0753","","790-320","경상북도 포항시 남구 이동 660-7","경상북도 포항시 남구 대이로 131-1 (이동)","37676","골프존파크 이동 스포웨이","2026-01-30 10:42:15","U","2026-02-04 11:04:37","","410883.700115723","283240.28183854","골프연습장업","사립","","0","0","0","0","","",
"25","골프연습장업","10_31_01_P","5020000","CDFH3301052012000006","2012-07-02","","01","영업/정상","13","영업중","","","","","054-292-8228","","790-900","경상북도 포항시 남구 오천읍 문덕리 338-3","경상북도 포항시 남구 오천읍 문덕로54번길 16","37889","현대골프스크린","2026-01-30 13:34:52","U","2026-02-04 11:04:37","","416556.516588151","275750.981190136","골프연습장업","사립","","0","0","0","0","","",
"26","골프연습장업","10_31_01_P","5020000","CDFH3301052012000007","2012-07-06","","01","영업/정상","13","영업중","","","","","","","791-811","경상북도 포항시 북구 용흥동 191-3","경상북도 포항시 북구 용흥로191번길 3 (용흥동)","37689","두성스크린","2026-01-30 13:35:47","U","2026-02-04 11:04:37","","411065.640939807","285106.643488527","골프연습장업","사립","","0","0","0","0","","",
"27","골프연습장업","10_31_01_P","5020000","CDFH3301052011000013","2011-05-25","","01","영업/정상","13","영업중","","","","","249-6677","","","경상북도 포항시 북구 장성동 1511-5","경상북도 포항시 북구 법원로97번길 10-10 (장성동)","37581","JJ스크린골프","2026-01-30 10:29:37","U","2026-02-04 11:04:37","","414711.101444922","289683.552750022","골프연습장업","사립","","0","0","0","0","","",
"28","골프연습장업","10_31_01_P","5020000","CDFH3301052011000014","2011-06-01","","01","영업/정상","13","영업중","","","","","286-4569","","","경상북도 포항시 남구 연일읍 생지리 86-7","경상북도 포항시 남구 연일읍 형산강남로326번길 15","37841","연일스크린골프","2026-01-30 10:30:35","U","2026-02-04 11:04:37","","411749.541625801","280111.712405832","골프연습장업","사립","","0","0","0","0","","",
"29","골프연습장업","10_31_01_P","5020000","CDFH3301052011000015","2011-06-07","","01","영업/정상","13","영업중","","","","","","","","","경상북도 포항시 북구 법원로 24 (장성동)","37586","골프존파크장성","2026-01-30 10:31:23","U","2026-02-04 11:04:37","","414896.383597685","288929.222708491","골프연습장업","사립","","0","0","0","0","","",
"30","골프연습장업","10_31_01_P","5020000","CDFH3301052010000008","2010-05-27","","01","영업/정상","13","영업중","","","","","262-2333","","","경상북도 포항시 북구 흥해읍 학천리 806-12","경상북도 포항시 북구 흥해읍 도음로 903","37562","푸른스크린골프","2026-01-30 10:11:16","U","2026-02-04 11:04:37","","410064.434057203","288986.058485132","골프연습장업","사립","","0","0","0","0","","",
"31","골프연습장업","10_31_01_P","5020000","CDFH3301052008000023","2008-07-29","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 연일읍 유강리 597-2 (2층)","경상북도 포항시 남구 연일읍 유강길10번길 34-2, 2층","37655","유강 실내골프연습장","2026-01-30 10:03:26","U","2026-02-04 11:04:37","","409301.832381518","280893.04523022","골프연습장업","사립","","0","0","0","0","","",
"32","골프연습장업","10_31_01_P","5020000","CDFH3301052008000024","2008-08-07","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 장성동 1448-10 (2층)","경상북도 포항시 북구 법원로40번길 66, 2층 (장성동)","37586","한백 골프아카데미","2026-01-30 10:04:19","U","2026-02-04 11:04:37","","415401.304670261","289023.526898616","골프연습장업","사립","","0","0","0","0","","",
"33","골프연습장업","10_31_01_P","5020000","CDFH3301052008000025","2008-08-07","","01","영업/정상","13","영업중","","","","","251-5632","","791-851","경상북도 포항시 북구 장성동 1448-10","경상북도 포항시 북구 법원로40번길 66 (장성동)","37586","탑 스크린골프","2026-01-30 10:04:47","U","2026-02-04 11:04:37","","415401.304670261","289023.526898616","골프연습장업","사립","","0","0","0","0","","",
"34","골프연습장업","10_31_01_P","5020000","CDFH3301052008000030","2008-10-02","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 장성동 1556-3 (1층, 2층)","경상북도 포항시 북구 법원로39번길 29 (장성동)","37583","포시즌","2026-01-30 10:05:28","U","2026-02-04 11:04:37","","414530.385935332","289049.061526888","골프연습장업","사립","","0","0","0","0","","",
