"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"1","의료기기판매(임대)업","01_02_03_P","3650000","PHMG120263650023047000012","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","대전광역시 중구 문화동 *-* *층 일부","대전광역시 중구 보문산로***번길 **, *층 (문화동)","35016","메디림","2026-04-01 09:45:20","I","2026-04-03 00:20:02","","237160.705556071","312804.052987346","","","33","",
"2","의료기기판매(임대)업","01_02_03_P","4641000","PHMG120264641062047000022","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 송천동*가 ***-* 알찬빌b","전북특별자치도 전주시 덕진구 솔내*길 **-*, 알찬빌b *층 ***호 (송천동*가)","54836","에이엠씨(AMC)","2026-04-01 13:55:15","I","2026-04-03 00:20:02","","211087.508928351","262051.730635675","","","58.62","",
"3","의료기기판매(임대)업","01_02_03_P","5710000","PHMG120265710106047000006","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 상당구 용암동 ****","충청북도 청주시 상당구 용암북로***번길 *-*, *층 ***호 (용암동)","28762","제이에이치(JH)메디케어","2026-04-01 14:24:27","I","2026-04-03 00:20:02","","246089.992409215","347071.387724712","","","16.51","",
"4","의료기기판매(임대)업","01_02_03_P","5710000","PHMG120265710109047000014","2026-03-30","","01","영업/정상","13","영업중","","","","","","","","","충청북도 청주시 청원구 율량로***번길 **, ***호 (율량동)","28320","(주)코리아세븐 청주센터점","2026-04-01 13:52:55","I","2026-04-03 00:20:02","","244303.245","351685.52","","","53.3","",
"5","의료기기판매(임대)업","01_02_03_P","4030000","PHMG120264030022047000009","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","경기도 의왕시 오전동 ***-* 벽산선영테크노피아","경기도 의왕시 오전공업길 **, 벽산선영테크노피아 ***-*호 (오전동)","16072","지오바이오","2026-04-01 18:07:21","I","2026-04-03 00:20:02","","196999.47246053","428172.288837557","","","29.4","",
"6","의료기기판매(임대)업","01_02_03_P","5690000","PHMG120265690045047000016","2026-03-30","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 나성동 *** 메가타워*","세종특별자치시 나성북로 *, 메가타워* *층 ***호 (나성동)","30128","업트레이드","2026-04-01 09:13:16","I","2026-04-03 00:20:02","","223034.004083694","332102.412105076","","","","",
"7","의료기기판매(임대)업","01_02_03_P","4721000","PHMG120264721028047000005","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 완주군 봉동읍 구미리 **","전북특별자치도 완주군 봉동읍 서정길 ***-*","55331","한일의료기","2026-04-01 09:48:33","I","2026-04-03 00:20:02","","213259.467123143","272230.946488502","","","479","",
"8","의료기기판매(임대)업","01_02_03_P","4191000","PHMG120264191050047000028","2026-04-01","","01","영업/정상","13","영업중","","","","","033-733-5402","","","강원특별자치도 원주시 우산동 **-* 상지할인마트","강원특별자치도 원주시 북원로 ****, 상지할인마트 (우산동)","26342","상지식자재할인마트","2026-04-01 13:31:52","I","2026-04-03 00:20:02","","283222.078014548","429948.648225008","","","","",
"9","의료기기판매(임대)업","01_02_03_P","4191000","PHMG120264191050047000029","2026-04-01","","01","영업/정상","13","영업중","","","","","033-764-9230","","","강원특별자치도 원주시 판부면 서곡리 ****-*","강원특별자치도 원주시 판부면 용수골길 ***","26402","남산메디케어","2026-04-01 13:33:25","I","2026-04-03 00:20:02","","283146.698746374","422110.117090858","","","330","",
"10","의료기기판매(임대)업","01_02_03_P","4191000","PHMG120264191050047000030","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 ****-* 리젠트프라자","강원특별자치도 원주시 시청로 **, 리젠트프라자 *층 ***호 (무실동)","26387","리움메디파트너스","2026-04-01 16:04:12","I","2026-04-03 00:20:02","","281648.947192921","426853.373259989","","","5","",
