"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수영향조사기관","09_29_02_P","5110000","S006641000633000000","2017-08-08","","01","영업/정상","1","영업","","","","","","","","경상북도 상주시 화북면 용유리 363-18","경상북도 상주시 화북면 문장로 1701","37102","세린이엔씨","2026-02-12 20:22:36","U","2026-02-14 02:40:00","","282279.585903492","340346.505869517","3","0","PH, 온도, 전기전도도측정기, 수위측정기","0",
"2","지하수영향조사기관","09_29_02_P","5080000","S001713110029914L00","2026-02-12","","01","영업/정상","1","영업","","","","","","","","경상북도 구미시 원평동 1032-51","경상북도 구미시 구미중앙로27길 5, 4층 (원평동)","39229","㈜참조은건설","2026-02-12 08:54:57","I","2026-02-14 00:20:02","","320702.627391363","292437.97091031","3","0","수위측정기 1ea
전기전도도 측정기 1ea
수소이온농도 측정기 1ea
수온측정기 1ea","0",
"3","지하수영향조사기관","09_29_02_P","4600000","S003152072141000000","2024-10-22","","01","영업/정상","1","영업","","","","","","","","","충청남도 홍성군 금마면 충서로 2249-6","32280","산수엔지니어링","2026-02-12 08:28:06","U","2026-02-14 02:40:00","","","","3","0","수온.수소이온농도,전기전도도(임대)
수위측정기(자가)","0",
"4","지하수영향조사기관","09_29_02_P","5000000","S002001110187306L00","2017-03-17","","01","영업/정상","1","영업","","","","","","","","전라남도 진도군 진도읍 남동리 526-1","","","(주)정진이앤씨","2026-02-03 16:57:22","U","2026-02-06 02:40:00","","132322.987442415","109661.051355316","4","0","ph-meter 및 수온측정기,
EC(전기전도도)측정기, 수위측정기","0",
"5","지하수영향조사기관","09_29_02_P","4930000","S002014110003085L00","2026-02-12","","01","영업/정상","1","영업","","","","","","","","","전라남도 해남군 해남읍 명량로 2993, 현대중고차매매상사","59023","주식회사 테라코어이엔지","2026-02-12 14:13:36","I","2026-02-14 00:20:02","","161363.180927608","120431.337699394","3","0","수위측정기(지하수수위측정)
간이수질측정기(pc300(다항목수질측정)","0",
"6","지하수영향조사기관","09_29_02_P","4040000","S001311220004006L00","2020-08-20","","01","영업/정상","1","영업","","","","","","","","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 1410호","","","재단법인 경기환경과학연구원","2026-02-03 10:26:30","U","2026-02-06 02:40:00","","217044.982167915","449307.942535913","3","0","지하수수위 측정기,휴대용 다항목 측정기","0",
"7","지하수영향조사기관","09_29_02_P","4890000","S003338603503000000","2026-02-05","","01","영업/정상","1","영업","","","","","","","","전라남도 보성군 보성읍 주봉리 388-6","전라남도 보성군 보성읍 현충로 41-1, 1층","59458","주식회사 정안전기술원","2026-02-05 09:12:38","I","2026-02-07 00:20:02","","206971.060932213","140800.066015486","2","0","다항목 수질픅정기, 수위측정기","0",
"8","지하수영향조사기관","09_29_02_P","5690000","S001647110015771L00","2026-02-04","","01","영업/정상","1","영업","","","","","","","","세종특별자치시 보람동 722 스마트허브Ⅰ 802호","세종특별자치시 한누리대로 2150, 스마트허브Ⅰ (보람동)","30151","(주)건안","2026-02-04 09:36:49","I","2026-02-06 00:20:02","","225682.098500873","330873.235668559","3","0","수위측정기
PH, EC. 온도측정기","0",
"9","지하수영향조사기관","09_29_02_P","4540000","S001613110029370L00","2026-02-06","","01","영업/정상","1","영업","","","","","","","","충청남도 논산시 반월동 93-1","충청남도 논산시 중앙로480번길 10 (반월동)","32968","(주)유원엔지니어링","2026-02-06 10:28:17","I","2026-02-08 00:20:01","","207556.495252823","300621.761629572","3","0","지하수 수위측정장비(수동)
다항목측정기(MM-42P)-수소이온농도, 수온, 전기전도도","0",
"10","지하수영향조사기관","09_29_02_P","3740000","S00134111040545L00","2016-05-12","","01","영업/정상","1","영업","","","","","","","","경기도 수원시 권선구 고색동 1102 DM프라자","","","(주)에스피이엔에스","2026-02-02 11:16:23","U","2026-02-04 02:40:00","","198793.487609772","415542.884041635","3","0","시추기 1대(MBI-1035)","0",
"11","지하수영향조사기관","09_29_02_P","5410000","S001955110116545L00","2025-08-26","","01","영업/정상","1","영업","","","","","","","","경상남도 창녕군 창녕읍 말흘리 404 제1,2종근생","","","주식회사용두","2026-01-30 11:44:21","U","2026-02-04 11:04:37","","336481.888138531","226917.760085108","3","0","지하수 수위측정기(WL-50)
수소이온농도(PE-03)
수온(TP-07)
전기전도도(YK-2001)","0",
"12","지하수영향조사기관","09_29_02_P","5150000","S001715110023425L00","2025-08-04","","01","영업/정상","1","영업","","","","","","","","경상북도 의성군 의성읍 후죽리 592-3","경상북도 의성군 의성읍 군청길 40","37338","목성이엔지(주)","2026-01-30 10:31:53","U","2026-02-04 11:04:37","","352333.694020604","318123.310357513","3","0","지하수 수위측정기, pH/전도도/수온측정기","0",
"13","지하수영향조사기관","09_29_02_P","3740000","S001344110080638L00","2019-03-11","","01","영업/정상","1","영업","","","","","","","","경기도 수원시 영통구 하동 1019 광교더샵레이크파크 102동3508호","","","(주)지오인","2026-02-13 08:06:07","U","2026-02-15 02:40:00","","205498.540545351","420562.074278262","3","0","지하수위측정장비
pH/EC/TDS/온도측정장비","0",
"14","지하수영향조사기관","09_29_02_P","4781000","S002101140146205L00","2020-11-04","","01","영업/정상","1","영업","","","","","","","","전북특별자치도 고창군 고수면 은사리 1007-1","","","(유)새길건설기술","2026-02-09 10:47:58","U","2026-02-11 02:40:00","","","","3","0","지하수위측정기(200m용)
수소이온농도(pH) HM-501","0",
"15","지하수영향조사기관","09_29_02_P","5430000","S001946110005648L00","2021-03-25","","01","영업/정상","1","영업","","","","","","","","경상남도 남해군 남해읍 남변리 369-7","","","주식회사 도진이앤씨","2026-02-12 11:16:44","U","2026-02-14 02:40:00","","281741.843905147","149069.511163374","3","0","양수시험기기(수위측정) 3대
간이수질측정기 1대","0",
