"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","건물위생관리업","09_30_04_P","4090000","4090000-206-2026-00012","2026-04-01","","01","영업/정상","01","영업","","","","","","26.94","415-080","경기도 김포시 구래동 6881-4","경기도 김포시 김포한강9로75번길 142, 태림더끌리움1차 423호 (구래동)","10071","주식회사 금강컨설팅","2026-04-01 11:35:27","I","2026-04-03 00:20:02","건물위생관리업","166610.484966631","460320.724466408","건물위생관리업","0","0","0","0","0","0","","","","임대","0","0","N",
"2","건물위생관리업","09_30_04_P","5530000","5750000-206-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","","39.00","","경기도 화성시 효행구 봉담읍 상리 459-6 1층 일부호","경기도 화성시 효행구 봉담읍 삼천병마로 1220, 1층 일부호","18295","경기clean환경","2026-04-01 11:44:24","I","2026-04-03 00:20:02","건물위생관리업","195049.870297914","412656.497164268","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"3","건물위생관리업","09_30_04_P","5530000","5740000-206-2026-00008","2026-04-01","","01","영업/정상","01","영업","","","","","031352 1186","198.00","","경기도 화성시 만세구 향남읍 하길리 622-3","경기도 화성시 만세구 향남읍 마곡동길 180-9, 1동 1층","18608","(주)준수산업","2026-04-01 10:33:56","I","2026-04-03 00:20:02","건물위생관리업","193262.829974225","400359.561955125","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"4","건물위생관리업","09_30_04_P","3670000","3670000-206-2024-00016","2024-12-05","","01","영업/정상","01","영업","","","","","063 2227915","0.00","305-250","대전광역시 유성구 교촌동 635-25 지상1층","대전광역시 유성구 진잠로 117, 지상1층 (교촌동)","34225","(유)신성시스템","2026-04-01 10:11:57","I","2026-04-03 00:20:02","건물위생관리업","228226.859527813","311302.944511985","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"5","건물위생관리업","09_30_04_P","3630000","3630000-206-2026-00005","2026-04-01","","01","영업/정상","01","영업","","","","","","49.50","506-253","광주광역시 광산구 오선동 273-70 2층","광주광역시 광산구 용아로 653, 2층 (오선동)","62217","주식회사 태즈먼","2026-04-01 16:09:30","I","2026-04-03 00:20:02","건물위생관리업","182098.234058593","189197.97701498","건물위생관리업","0","0","2","2","0","0","","","","","0","0","N",
"6","건물위생관리업","09_30_04_P","3680000","3680000-206-2026-00003","2026-03-31","","01","영업/정상","01","영업","","","","","","12.00","306-754","대전광역시 대덕구 대화동 289-1 대전산업용재유통상가 2동 12호","대전광역시 대덕구 대화로 160, 대전산업용재유통상가 지원상가 2동 지하층 12호 (대화동)","34368","그린파트너스","2026-04-01 17:17:04","I","2026-04-03 00:20:02","건물위생관리업","236019.893489066","318423.179224484","건물위생관리업","0","0","0","0","1","1","","","","","0","0","N",
"7","건물위생관리업","09_30_04_P","4681000","4681000-206-2026-00005","2026-04-01","","01","영업/정상","01","영업","","","","","","41.85","","전북특별자치도 익산시 오산면 장신리 21-3","전북특별자치도 익산시 오산면 선화2로 24, 203호","54669","유한회사 동우","2026-04-01 10:42:53","I","2026-04-03 00:20:02","건물위생관리업","193549.174222215","272544.909861537","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"8","건물위생관리업","09_30_04_P","3150000","3150000-206-2026-00006","2026-04-01","","01","영업/정상","01","영업","","","","","","53.17","157-930","서울특별시 강서구 등촌동 704 등촌9단지주공아파트","서울특별시 강서구 화곡로63가길 92, 7701동 207호 (등촌동, 등촌9단지주공아파트)","07577","엠에스 종합관리","2026-04-01 10:48:39","I","2026-04-03 00:20:02","건물위생관리업","186644.644066366","451051.267292812","건물위생관리업","2","0","0","0","0","0","","","","","0","0","N",
"9","건물위생관리업","09_30_04_P","6520000","6520000-206-2026-00004","2026-04-01","","01","영업/정상","01","영업","","","","","064 738 5326","44.88","697-857","제주특별자치도 서귀포시 중문동 1871-6 중문 스마트타운","제주특별자치도 서귀포시 천제연로 273-22, 제B동 지하1층 B106호 (중문동, 중문 스마트타운)","63540","주식회사 빌리스제주","2026-04-01 13:02:47","I","2026-04-03 00:20:02","건물위생관리업","147163.190504751","-26868.6362692124","건물위생관리업","4","2","0","0","1","0","","","","임대","0","0","N",
"10","건물위생관리업","09_30_04_P","4830000","4830000-206-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","","77.51","520-350","전라남도 나주시 빛가람동 283-3","전라남도 나주시 배멧1길 40, 106호 (빛가람동)","58325","(주)성원산업에스엔디","2026-04-01 10:59:45","I","2026-04-03 00:20:02","건물위생관리업","180883.22271444","169016.198859093","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
