번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,Unnamed: 59,record_key
212,일반게임제공업,03_05_06_P,3860000,CDFF2241132026000001,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,경기도 부천시 오정구 원종동 467,"경기도 부천시 오정구 원종로 56, 3층 301호 (원종동)",14424,팡팡게임랜드,2026-02-25 17:26:00,I,2026-02-28 00:20:02,,182798.546471042,446869.052049659,일반게임제공업,유통관련업,0.0,,총 191대,348.67,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,,,팡팡게임랜드_경기도부천시오정구원종동467
196,일반게임제공업,03_05_06_P,3160000,CDFF2241132026000001,2026-02-23,,1,영업/정상,13,영업중,,,,,,,,서울특별시 구로구 구로동 1124-42 서림빌딩,"서울특별시 구로구 디지털로32나길 38, 서림빌딩 지하 1층 (구로동)",08391,하늘게임랜드,2026-02-23 15:41:30,I,2026-02-25 00:20:01,,191191.131566069,442491.81823395,일반게임제공업,유통관련업,0.0,,"5Dragon Gold(5대), 포춘킹(38대), 태평양(77대), 화룡디럭스(93대), 화룡외전2(86대), 화룡외전(101대)",937.33,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,,,하늘게임랜드_서울특별시구로구구로동1124-42서림빌딩
187,일반게임제공업,03_05_06_P,4641000,CDFF2241132026000003,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 전주시 덕진구 인후동2가 1575-1 성락콤비아파트쇼핑타운,"전북특별자치도 전주시 덕진구 명주5길 11, 3층 2호 (인후동2가, 성락콤비아파트쇼핑타운)",54916,성락 게임랜드,2026-02-20 15:42:23,I,2026-02-22 00:20:02,,213588.61028836,260567.844197142,일반게임제공업,유통관련업,0.0,,"뉴미스터손 60대, 삼장법사 15대, 알라딘 포커 15대, 양산박 10대, 사자왕 10대",638.95,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,,,성락게임랜드_전북특별자치도전주시덕진구인후동2가1575-1성락콤비아파트쇼핑타운
180,일반게임제공업,03_05_06_P,4641000,CDFF2241132026000002,2026-02-19,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 전주시 덕진구 산정동 866-1,"전북특별자치도 전주시 덕진구 산정2길 18-2, 2층 (산정동)",55015,스카이 게임랜드,2026-02-19 17:18:58,I,2026-02-21 00:20:05,,215218.000375573,259767.008473111,일반게임제공업,유통관련업,0.0,,"삼장법사 5대, 뉴닌자포커 20대, 꼴뚜기 포커 5대, 금맥 10대, 삼국지 10대, 뉴미스터손 50대, 양산박 10대, 변강쇠뎐 10대",267.2,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,,,스카이게임랜드_전북특별자치도전주시덕진구산정동866-1
179,일반게임제공업,03_05_06_P,4221000,CDFF2241132026000001,2026-02-19,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 태백시 황지동 253-167 HOTEL Castello,"강원특별자치도 태백시 연지로 6, HOTEL Castello 2층 (황지동)",26008,슈퍼드래곤,2026-02-19 17:12:54,I,2026-02-21 00:20:05,,376533.575117427,409922.295675149,일반게임제공업,유통관련업,0.0,,슈퍼드래곤,328.39,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,,,슈퍼드래곤_강원특별자치도태백시황지동253-167HOTELCastello
165,일반게임제공업,03_05_06_P,4940000,CDFF2241132026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,전라남도 영암군 삼호읍 용앙리 1661-5,"전라남도 영암군 삼호읍 대불주거5로1길 5, 삼호타운 2층 201-1호",58456,팡팡게임랜드,2026-02-12 13:25:16,I,2026-02-14 00:20:02,,150045.548445674,139691.560979641,일반게임제공업,유통관련업,0.0,,,173285.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,,,팡팡게임랜드_전라남도영암군삼호읍용앙리1661-5
167,일반게임제공업,03_05_06_P,3430000,CDFF2241132026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,대구광역시 서구 내당동 898-2,"대구광역시 서구 달서로 24, 1층 (내당동)",41810,서문게임장,2026-02-12 17:22:03,I,2026-02-14 00:20:02,,341881.049792262,263826.079661361,일반게임제공업,유통관련업,4.0,,"로스트킹덤, 파이럿스토리2v2.0, 불타는불새, 삼국지(오호대장군), 슈퍼드래곤3",126.48,1.0,0.0,판매시설,0.0,0.0,0.0,0.0,,,,,,,,,,,,100.0,,청소년이용불가,,,,일반상업지역,,서문게임장_대구광역시서구내당동898-2
216,일반게임제공업,03_05_06_P,3940000,CDFF2241132026000002,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경기도 고양시 일산서구 일산동 594-38,"경기도 고양시 일산서구 원일로 81-1, 2층 (일산동)",10342,일산백경게임랜드,2026-02-25 17:49:49,U,2026-02-28 02:40:00,,179772.223119436,464895.366289231,일반게임제공업,유통관련업,0.0,,,240.02,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,,,일산백경게임랜드_경기도고양시일산서구일산동594-38
163,일반게임제공업,03_05_06_P,3310000,CDFF2241132026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,부산광역시 남구 대연동 62-3 용소빌딩,"부산광역시 남구 용소로 18, 용소빌딩 2층 (대연동)",48498,황제 게임랜드,2026-02-12 13:12:49,I,2026-02-14 00:20:02,,391357.63861335,183851.241467041,일반게임제공업,유통관련업,0.0,,일반게임제공업,276.4,2.0,0.0,판매시설,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,일반상업지역,,황제게임랜드_부산광역시남구대연동62-3용소빌딩
164,일반게임제공업,03_05_06_P,3310000,CDFF2241132026000002,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,부산광역시 남구 용호동 395-26 강가네 우돈가 숯불갈비,"부산광역시 남구 동명로132번길 13, 강가네 우돈가 숯불갈비 2층 (용호동)",48567,노다지게임랜드,2026-02-12 13:17:19,I,2026-02-14 00:20:02,,392389.658008913,182035.298951732,일반게임제공업,유통관련업,0.0,,일반게임제공업,161.0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,청소년이용불가,,,,일반상업지역,,노다지게임랜드_부산광역시남구용호동395-26강가네우돈가숯불갈비
