"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"1","치과기공소","01_02_04_P","3690000","PHMB320263690018062300001","2026-02-12","","01","영업/정상","13","영업중","","","","","","","","울산광역시 중구 태화동 459-8","울산광역시 중구 태화로 167, 402호 (태화동)","44454","글래드","2026-03-04 17:15:44","U","2026-03-06 02:40:00","","407994.982139663","230552.710008027","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"2","치과기공소","01_02_04_P","3820000","PHMB320263820050062300001","2023-03-02","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 의정부동 98-17","경기도 의정부시 태평로24번길 6, 3층 (의정부동)","11698","하이스트치과기공소","2026-03-05 10:12:59","I","2026-03-07 00:20:02","","204330.949692748","470252.282357224","1","1","2","1","1","2","2","1","1","1","1","2","1","1","1",
"3","치과기공소","01_02_04_P","3940000","PHMB320263940139062300001","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산동구 장항동 756-1 신풍프라자","경기도 고양시 일산동구 호수로 646-30, 신풍프라자 405(일부)호 (장항동)","10401","베이직치과기공소","2026-03-05 13:46:13","I","2026-03-07 00:20:02","","179473.524543838","461973.117316637","1","1","2","0","1","1","1","1","1","1","1","1","1","1","1",
"4","치과기공소","01_02_04_P","4020000","PHMB320234020028062300001","2023-07-25","","01","영업/정상","13","영업중","","","","","","","","경기도 군포시 금정동 765 두현타워","경기도 군포시 당산로 104, 두현타워 102호 (금정동)","15830","소망치과기공소","2026-03-05 13:04:19","U","2026-03-07 02:40:00","","195183.703613233","428772.639773036","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0",
"5","치과기공소","01_02_04_P","4211000","PHMB319824210020062300001","1982-02-06","","01","영업/정상","13","영업중","","","","","033-532-9172","","240-802","강원특별자치도 동해시 발한동 299번지 5호","강원특별자치도 동해시 발한로 244 (발한동)","25720","동해치과기공소","2026-03-05 13:50:33","U","2026-03-07 02:40:00","","386162.456137172","451917.446206455","1","1","3","0","1","2","2","1","2","1","1","2","2","1","1",
"6","치과기공소","01_02_04_P","3690000","PHMB320023690018062300002","2002-12-11","","01","영업/정상","13","영업중","","","","","291-2800","","","울산광역시 중구 태화동 459-8","울산광역시 중구 태화로 167, 4층 (태화동)","44454","월드치과기공소","2026-03-05 16:06:58","U","2026-03-07 02:40:00","","407994.982139663","230552.710008027","1","2","10","1","1","1","2","1","1","1","2","1","1","1","1",
"7","치과기공소","01_02_04_P","3980000","PHMB320233980021062300003","2022-04-08","","01","영업/정상","13","영업중","","","","","02-553-5548","","","경기도 구리시 갈매동 552-17","경기도 구리시 갈매순환로 154, 현대테라타워 A동 9층 927호 (갈매동)","11901","엠엔디굿모닝 치과기공소","2026-03-05 16:29:39","U","2026-03-07 02:40:00","","210830.998596299","459020.98727058","1","2","3","1","1","2","4","1","1","1","1","4","1","1","1",
"8","치과기공소","01_02_04_P","5530000","PHMB320215530440062300001","2010-04-13","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 동탄구 영천동 839-1","경기도 화성시 동탄구 동탄기흥로 570-6, 206호 (영천동)","18469","조이치과기공소","2026-03-05 11:53:06","U","2026-03-07 02:40:00","","","","1","1","8","1","1","3","3","1","2","2","1","1","2","2","1",
"9","치과기공소","01_02_04_P","3620000","PHMB320103620020062300001","2010-06-09","","01","영업/정상","13","영업중","","","","","","","","광주광역시 북구 용봉동 1040 3층","광주광역시 북구 저불로69번길 37, 3층 (용봉동)","61109","해오름치과기공소","2026-03-04 11:40:05","U","2026-03-07 02:40:00","","190849.294463706","187038.173479526","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"10","치과기공소","01_02_04_P","3060000","PHMB320003060034062300002","2000-04-04","","03","폐업","03","폐업","2026-03-04","","","","02-492-2866","","","서울특별시 중랑구 중화동 320번지 4호","서울특별시 중랑구 중랑역로 27, 2층 (중화동)","02110","에펠치과기공소","2026-03-04 16:50:39","U","2026-03-07 02:40:00","","206608.571684197","454918.118286798","1","1","2","1","1","2","1","2","1","2","1","1","1","1","1",
"11","치과기공소","01_02_04_P","3300000","PHMB320243300024062300004","2005-12-28","","01","영업/정상","13","영업중","","","","","051-331-2804","","","부산광역시 동래구 안락동 425-1 안락동 메디컬센터","부산광역시 동래구 안락로 12, 안락동 메디컬센터 7층 (안락동)","47786","굿스마일치과기공소","2026-03-05 15:32:38","U","2026-03-07 02:40:00","","391037.414298665","191077.895682751","1","2","12","1","1","2","4","2","2","2","1","2","2","2","1",
