번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
221,동물병원,02_03_01_P,3140000,314000001020260001,2026-02-25,,1,영업/정상,0,정상,,,,,0220390039,224.55,,서울특별시 양천구 신정동 1026-1,"서울특별시 양천구 신월로 338, 태성빌딩 3층 (신정동)",08086,브라이튼안과치과동물병원,2026-02-25 09:49:07,I,2026-02-28 00:20:02,,187415.922905255,446600.184140953,동물병원,,000,0,,브라이튼안과치과동물병원_서울특별시양천구신정동1026-1
216,동물병원,02_03_01_P,4090000,409000001020260002,2026-02-25,,1,영업/정상,0,정상,,,,,,,,경기도 김포시 월곶면 포내리 131-2,"경기도 김포시 월곶면 김포대학로 30, 1층 102호",10020,페가수스클리닉,2026-02-25 13:23:09,I,2026-02-27 00:20:02,,159416.661114418,469273.651488823,동물병원,,000,0,,페가수스클리닉_경기도김포시월곶면포내리131-2
215,동물병원,02_03_01_P,5530000,577000001020260001,2026-02-25,,1,영업/정상,0,정상,,,,,031-377-8875,,,"경기도 화성시 동탄구 오산동 1020 동탄역 린스트라우스 2006,호","경기도 화성시 동탄구 동탄역로 102, 2006, 2007호 (오산동, 동탄역 린스트라우스)",18478,동탄동물심장병원,2026-02-25 10:18:31,I,2026-02-27 00:20:02,,208577.797056397,410488.519320343,동물병원,,000,0,,"동탄동물심장병원_경기도화성시동탄구오산동1020동탄역린스트라우스2006,호"
214,동물병원,02_03_01_P,3210000,321000001020260002,2026-02-23,,1,영업/정상,0,정상,,,,,02-6953-0071,2765.94,,서울특별시 서초구 반포동 107-45 부림빌딩 1동 102호,"서울특별시 서초구 사평대로18길 10, 부림빌딩 1층 102호 (반포동)",06575,반포베이스 동물의료센터,2026-02-25 10:34:09,I,2026-02-27 00:20:02,,199540.058557374,444026.800198634,동물병원,,000,0,,반포베이스동물의료센터_서울특별시서초구반포동107-45부림빌딩1동102호
194,동물병원,02_03_01_P,3600000,360000001020260002,2026-02-23,,1,영업/정상,0,정상,,,,,062-716-7553,173.99,,광주광역시 서구 풍암동 932-1,"광주광역시 서구 풍금로38번길 11, 1층 (풍암동)",62049,온 동물병원,2026-02-23 10:51:09,I,2026-02-25 00:20:01,,187485.855845873,180490.638252599,동물병원,,000,0,,온동물병원_광주광역시서구풍암동932-1
208,동물병원,02_03_01_P,3560000,356000001020260001,2026-02-20,,1,영업/정상,0,정상,,,,,032-710-3412,170.0,,인천광역시 서구 검암동 627-1 205호,"인천광역시 서구 승학로 470, 2층 205호 (검암동)",22696,서해동물의료센터,2026-02-24 08:52:05,U,2026-02-26 02:40:00,,171088.815935302,451311.757117345,동물병원,,000,0,,서해동물의료센터_인천광역시서구검암동627-1205호
189,동물병원,02_03_01_P,3970000,397000001020260001,2026-02-19,,1,영업/정상,0,정상,,,,,,32.85,,경기도 과천시 별양동 1-17 과천타워 지하2호,"경기도 과천시 별양상가1로 10, 과천타워 지하층 2호 (별양동)",13837,에이펙스 홀스 클리닉,2026-02-20 15:15:09,I,2026-02-22 00:20:02,,199221.861086765,436093.052420272,동물병원,,000,0,,에이펙스홀스클리닉_경기도과천시별양동1-17과천타워지하2호
185,동물병원,02_03_01_P,3390000,339000001020260001,2026-02-19,,1,영업/정상,0,정상,,,,,051-715-6008,0.0,,부산광역시 사상구 덕포동 426-21,"부산광역시 사상구 사상로 270, 2층 (덕포동)",46954,봄 동물의료센터,2026-02-19 13:48:19,I,2026-02-21 00:20:05,,380545.881077317,187326.943213506,동물병원,,000,0,,봄동물의료센터_부산광역시사상구덕포동426-21
186,동물병원,02_03_01_P,3830000,383000001020260002,2026-02-19,,1,영업/정상,0,정상,,,,,031-360-8279,278.1,,경기도 안양시 만안구 안양동 627-30 안양디오르나인 2BL,"경기도 안양시 만안구 안양로 249, 안양디오르나인 2BL 2층 203~205호 (안양동)",13999,24시라이프동물메디컬센터,2026-02-19 08:46:39,I,2026-02-21 00:20:05,,,,동물병원,,000,0,,24시라이프동물메디컬센터_경기도안양시만안구안양동627-30안양디오르나인2BL
178,동물병원,02_03_01_P,3600000,360000001020260001,2026-02-13,,1,영업/정상,0,정상,,,,,062-710-8875,198.0,,광주광역시 서구 금호동 797-2 금암빌딩,"광주광역시 서구 풍금로 165, 금암빌딩 2층 (금호동)",62014,샤인동물병원,2026-02-13 14:17:24,I,2026-02-15 00:20:02,,187099.079665734,181296.095544336,동물병원,,000,0,,샤인동물병원_광주광역시서구금호동797-2금암빌딩
