번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),약국영업면적,지정일자,Unnamed: 30,record_key
252,약국,01_01_06_P,3390000,PHMD120003390023084000003,2026-02-15,,1,영업/정상,13,영업중,,,,,051-327-7200,,,부산광역시 사상구 주례동 189-20 삼선빌딩,"부산광역시 사상구 가야대로 330, 삼선빌딩 1,2층 (주례동)",47007,은하온누리약국,2026-02-13 09:12:37,U,2026-02-15 02:40:00,,382968.835346141,185345.558787613,98.0,20260215,,은하온누리약국_부산광역시사상구주례동189-20삼선빌딩
239,약국,01_01_06_P,3860000,PHMD120263860384084000002,2026-02-13,,1,영업/정상,13,영업중,,,,,032-324-3303,,,경기도 부천시 원미구 중동 1140-2 트리플 타워 A,"경기도 부천시 원미구 신흥로 205, 트리플 타워 A 306호 (중동)",14548,3층봄약국,2026-02-13 17:39:19,I,2026-02-15 00:20:02,,180121.473544894,444433.23131734,56.34,20260213,,3층봄약국_경기도부천시원미구중동1140-2트리플타워A
244,약국,01_01_06_P,3530000,PHMD120263530019084000002,2026-02-13,,1,영업/정상,13,영업중,,,,,032-429-7775,,,인천광역시 남동구 구월동 1468 시티프라자,"인천광역시 남동구 인하로489번길 10, 시티프라자 107호 (구월동)",21574,구월센트럴약국,2026-02-13 18:08:50,I,2026-02-15 00:20:02,,173496.024071319,438026.693368213,10.26,20260213,,구월센트럴약국_인천광역시남동구구월동1468시티프라자
243,약국,01_01_06_P,3050000,PHMD120263050034084000005,2026-02-13,,1,영업/정상,13,영업중,,,,,02-6951-2293,,,서울특별시 동대문구 이문동 149-8 3층 이문아이파크자이상가동 C303호,"서울특별시 동대문구 이문로 120, 이문아이파크자이 상가동 3층 C303호 (이문동)",2418,이문하나약국,2026-02-13 15:04:02,I,2026-02-15 00:20:02,,205541.211931615,455132.605075423,21.0,20260213,,이문하나약국_서울특별시동대문구이문동149-83층이문아이파크자이상가동C303호
242,약국,01_01_06_P,3060000,PHMD120263060034084000002,2026-02-13,,1,영업/정상,13,영업중,,,,,02-435-9992,,,서울특별시 중랑구 면목동 636-4,"서울특별시 중랑구 사가정로 386, 1층 101호 (면목동)",2238,행운약국,2026-02-13 09:58:35,I,2026-02-15 00:20:02,,207651.224114999,453137.793531482,50.0,20260213,,행운약국_서울특별시중랑구면목동636-4
241,약국,01_01_06_P,4641000,PHMD120264641050084000003,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 전주시 완산구 효자동2가 1155-1 1층 일부,"전북특별자치도 전주시 완산구 홍산남로 48, 1층 (효자동2가)",54969,가까운약국,2026-02-13 13:46:45,I,2026-02-15 00:20:02,,209598.737215855,257275.43436875,50.35,20260213,,가까운약국_전북특별자치도전주시완산구효자동2가1155-11층일부
240,약국,01_01_06_P,3030000,PHMD120263030033084000005,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,서울특별시 성동구 성수동2가 278-30 4층 401호,"서울특별시 성동구 아차산로11가길 3, 4층 401호 (성수동2가)",4796,지킴랩약국,2026-02-13 14:17:49,I,2026-02-15 00:20:02,,205299.19831082,449367.043438351,30.36,20260213,,지킴랩약국_서울특별시성동구성수동2가278-304층401호
221,약국,01_01_06_P,3330000,PHMD120263330024084000004,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,부산광역시 해운대구 우동 1308,"부산광역시 해운대구 구남로 26, 1층 (우동)",48094,미유약국,2026-02-12 14:49:28,I,2026-02-14 00:20:02,,396755.612865519,186856.665515235,102.0,20260212,,미유약국_부산광역시해운대구우동1308
214,약국,01_01_06_P,3220000,PHMD120263220033084000002,2026-02-12,,1,영업/정상,13,영업중,,,,,02-575-8753,,,서울특별시 강남구 개포동 653 현대1차아파트,"서울특별시 강남구 개포로 303, 206호 (개포동, 현대1차아파트)",6320,바로약국,2026-02-12 08:46:05,I,2026-02-14 00:20:02,,204744.027761002,442276.695989589,71.6,20260212,,바로약국_서울특별시강남구개포동653현대1차아파트
218,약국,01_01_06_P,3030000,PHMD120263030033084000003,2026-02-12,,1,영업/정상,13,영업중,,,,,02-462-0331,,,"서울특별시 성동구 성수동2가 315-70 세대빌딩, 1층 101호","서울특별시 성동구 연무장7길 12, 세대빌딩 1층 101호 (성수동2가)",4782,성수베리뉴약국,2026-02-12 16:26:38,I,2026-02-14 00:20:02,,204780.982340553,449043.607254236,115.7,20260212,,"성수베리뉴약국_서울특별시성동구성수동2가315-70세대빌딩,1층101호"
219,약국,01_01_06_P,3030000,PHMD120263030033084000004,2026-02-12,,1,영업/정상,13,영업중,,,,,02-6104-1917,,,서울특별시 성동구 성수동2가 301-8 1층,"서울특별시 성동구 연무장3길 13, 1층 (성수동2가)",4782,안즈약국,2026-02-12 17:21:12,I,2026-02-14 00:20:02,,204494.348821375,449189.528403006,35.0,20260212,,안즈약국_서울특별시성동구성수동2가301-81층
259,약국,01_01_06_P,3320000,PHMD120263320045084000001,2026-02-12,,1,영업/정상,13,영업중,,,,,051-343-8880,,,부산광역시 북구 덕천동 561-2 채움센트럴,"부산광역시 북구 금곡대로 126, 채움센트럴 201호 (덕천동)",46545,이음약국,2026-02-14 14:23:13,I,2026-02-16 00:20:01,,382766.764256572,193052.688493787,69.86,20260212,,이음약국_부산광역시북구덕천동561-2채움센트럴
224,약국,01_01_06_P,3740000,PHMD120263740032084000003,2026-02-12,,1,영업/정상,13,영업중,,,,,031-547-9365,,,경기도 수원시 권선구 권선동 1007 라엘성형외과의원,경기도 수원시 권선구 경수대로 374 (권선동),16566,매일열린약국,2026-02-12 11:13:53,I,2026-02-14 00:20:02,,202064.752856122,417508.289568807,31.05,20260212,,매일열린약국_경기도수원시권선구권선동1007라엘성형외과의원
215,약국,01_01_06_P,5670000,PHMD120265670071084000001,2026-02-12,,1,영업/정상,13,영업중,,,,,055-551-0966,,,경상남도 창원시 진해구 성내동 351-1,"경상남도 창원시 진해구 웅천중로 58, 107호 (성내동)",51621,장수약국,2026-02-12 13:02:33,I,2026-02-14 00:20:02,,359487.647078637,180501.254000882,49.59,20260212,,장수약국_경상남도창원시진해구성내동351-1
245,약국,01_01_06_P,3010000,PHMD120263010033084000009,2026-02-12,,1,영업/정상,13,영업중,,,,,02-3789-9844,,,서울특별시 중구 명동1가 54-12,"서울특별시 중구 명동길 27, 1~3층 (명동1가)",4534,명동 더서울약국,2026-02-13 11:42:52,I,2026-02-15 00:20:02,,198501.240484093,451282.329836928,260.0,20260212,,명동더서울약국_서울특별시중구명동1가54-12
216,약국,01_01_06_P,3030000,PHMD120263030033084000002,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,"서울특별시 성동구 성수동2가 317-23 세종빌딩, 1층","서울특별시 성동구 성수이로20길 3, 세종빌딩 1층 (성수동2가)",4783,성수역퓨어약국,2026-02-12 16:26:19,I,2026-02-14 00:20:02,,204985.112474065,449052.003743497,52.82,20260212,,"성수역퓨어약국_서울특별시성동구성수동2가317-23세종빌딩,1층"
199,약국,01_01_06_P,3860000,PHMD120263860384084000001,2026-02-11,,1,영업/정상,13,영업중,,,,,032-716-5910,,,경기도 부천시 원미구 중동 1058-1 신명타운,"경기도 부천시 원미구 길주로 273, 신명타운 109호 (중동)",14539,어울림약국,2026-02-11 11:17:57,I,2026-02-13 00:20:38,,179843.93,444665.525,62.88,20260211,,어울림약국_경기도부천시원미구중동1058-1신명타운
148,약국,01_01_06_P,4800000,PHMD120264800026084000001,2026-02-11,,1,영업/정상,13,영업중,,,,,061-802-1144,,,전라남도 목포시 산정동 1111-28,"전라남도 목포시 청호로219번길 4, 1층 102호 (산정동)",58624,즐거운약국,2026-02-09 17:39:33,I,2026-02-11 00:20:41,,142217.677480372,145795.906095863,38.43,20260211,,즐거운약국_전라남도목포시산정동1111-28
209,약국,01_01_06_P,3820000,PHMD120263820050084000001,2026-02-11,,1,영업/정상,13,영업중,,,,,031-821-0378,,,경기도 의정부시 산곡동 668,"경기도 의정부시 잔돌길 22, 2층 (산곡동)",11819,팜벤져스약국,2026-02-11 10:18:14,I,2026-02-14 00:20:02,,209960.683016545,469572.48467949,88.1,20260211,,팜벤져스약국_경기도의정부시산곡동668
213,약국,01_01_06_P,4390000,PHMD120264390029084000003,2026-02-11,,1,영업/정상,13,영업중,,,,,043-853-0858,,,충청북도 충주시 교현동 117,"충청북도 충주시 금봉대로 378, 1층 (교현동)",27486,가을사과약국,2026-02-12 10:12:36,I,2026-02-14 00:20:02,,284297.957131356,385624.931503238,40.0,20260211,,가을사과약국_충청북도충주시교현동117
217,약국,01_01_06_P,3210000,PHMD120263210034084000003,2026-02-11,,1,영업/정상,13,영업중,,,,,02-3478-8095,,,서울특별시 서초구 잠원동 57-20,"서울특별시 서초구 잠원로8길 25, 2층 208호 (잠원동)",6518,서초늘푸른약국,2026-02-12 08:53:47,I,2026-02-14 00:20:02,,200958.810528572,445792.191399183,18.36,20260211,,서초늘푸른약국_서울특별시서초구잠원동57-20
223,약국,01_01_06_P,3740000,PHMD120263740032084000002,2026-02-11,,1,영업/정상,13,영업중,,,,,031-238-1226,,,,"경기도 수원시 권선구 경수대로 270, 터미널동, 할인점동 1316호 (권선동)",16585,365터미널약국,2026-02-11 17:19:43,I,2026-02-14 00:20:02,,201782.733115582,416501.699707548,33.53,20260211,,365터미널약국_
222,약국,01_01_06_P,4050000,PHMD120264050147084000002,2026-02-11,,1,영업/정상,13,영업중,,,,,031-333-6505,,,경기도 용인시 처인구 양지읍 양지리 560-7,"경기도 용인시 처인구 양지읍 양지로138번길 14, 2층 206호",17158,은행약국,2026-02-12 15:23:43,I,2026-02-14 00:20:02,,,,28.26,20260211,,은행약국_경기도용인시처인구양지읍양지리560-7
177,약국,01_01_06_P,4201000,PHMD120264201026084000001,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 송정동 178,"강원특별자치도 강릉시 경강로 2491, 1층 (송정동)",25558,예랑약국,2026-02-10 17:50:31,I,2026-02-12 00:20:02,,370150.012357383,476495.887164689,74.58,20260210,,예랑약국_강원특별자치도강릉시송정동178
171,약국,01_01_06_P,3050000,PHMD120263050034084000004,2026-02-10,,1,영업/정상,13,영업중,,,,,02-6491-1800,,,서울특별시 동대문구 제기동 635-19 1층 101호,"서울특별시 동대문구 왕산로 181, 1층 101호 (제기동)",2572,청량리백세약국,2026-02-10 13:57:36,I,2026-02-12 00:20:02,,203744.690938687,453063.705390699,63.31,20260210,,청량리백세약국_서울특별시동대문구제기동635-191층101호
175,약국,01_01_06_P,3540000,PHMD120263540021084000001,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,인천광역시 부평구 부평동 654-39 남부빌딩 1층 일부호,"인천광역시 부평구 동수로 57-1, 남부빌딩 1층 일부호 (부평동)",21425,성모바로약국,2026-02-10 10:41:48,I,2026-02-12 00:20:02,,175611.907297718,442626.266511078,30.4,20260210,,성모바로약국_인천광역시부평구부평동654-39남부빌딩1층일부호
176,약국,01_01_06_P,3200000,PHMD120263200033084000001,2026-02-10,,1,영업/정상,13,영업중,,,,,02-2039-7997,,,서울특별시 관악구 봉천동 971-14 1층,"서울특별시 관악구 봉천로 239, 1층 (봉천동)",8722,우리약국,2026-02-10 16:10:21,I,2026-02-12 00:20:02,,193595.070903582,443043.550424396,47.04,20260210,,우리약국_서울특별시관악구봉천동971-141층
173,약국,01_01_06_P,3160000,PHMD120263160034084000003,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,서울특별시 구로구 구로동 81-3 스페스큐브 1동 B110호,"서울특별시 구로구 가마산로 232, 1동 B110호 (구로동, 스페스큐브)",8307,구로정약국,2026-02-10 15:11:32,I,2026-02-12 00:20:02,,189925.846221375,443503.181948403,26.45,20260210,,구로정약국_서울특별시구로구구로동81-3스페스큐브1동B110호
220,약국,01_01_06_P,3910000,PHMD120263910168084000001,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 죽백동 479-6,경기도 평택시 만세로 1697 (죽백동),17864,메가타운약국,2026-02-11 11:41:41,I,2026-02-14 00:20:02,,210093.906747792,390307.059959864,993.77,20260210,,메가타운약국_경기도평택시죽백동479-6
210,약국,01_01_06_P,4550000,PHMD120264550041084000002,2026-02-10,,1,영업/정상,13,영업중,,,,,041-754-4742,,,충청남도 금산군 금산읍 중도리 501-3,충청남도 금산군 금산읍 비선길 31,32740,삼남약국,2026-02-11 09:16:25,I,2026-02-14 00:20:02,,244036.995366294,289148.791775068,92.4,20260210,,삼남약국_충청남도금산군금산읍중도리501-3
212,약국,01_01_06_P,3830000,PHMD120263830262084000002,2026-02-10,,1,영업/정상,13,영업중,,,,,070-8098-4603,,,경기도 안양시 만안구 안양동 88-1 안양역,"경기도 안양시 만안구 만안로 232, 안양역 엔터식스 지하1층 016,017호 (안양동)",13992,팜스퀘어약국,2026-02-12 16:38:29,I,2026-02-14 00:20:02,,,,320.66,20260210,,팜스퀘어약국_경기도안양시만안구안양동88-1안양역
178,약국,01_01_06_P,3780000,PHMD120263780063084000001,2026-02-09,,1,영업/정상,13,영업중,,,,,031-753-8563,,,경기도 성남시 중원구 성남동 4182 한성빌딩,"경기도 성남시 중원구 성남대로 1127, 한성빌딩 1층 (성남동)",13376,매일365약국,2026-02-10 09:54:37,I,2026-02-12 00:20:02,,211337.115802163,436474.453170119,75.04,20260209,,매일365약국_경기도성남시중원구성남동4182한성빌딩
174,약국,01_01_06_P,4390000,PHMD120264390029084000002,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,충청북도 충주시 봉방동 981-2,"충청북도 충주시 봉계1길 35, 1층 104호 (봉방동)",27369,충주센트럴약국,2026-02-10 09:35:09,I,2026-02-12 00:20:02,,281339.007426681,386880.619965231,48.02,20260209,,충주센트럴약국_충청북도충주시봉방동981-2
73,약국,01_01_06_P,3510500,PHMD120263510513084000003,2026-02-09,,1,영업/정상,13,영업중,,,,,032-713-5035,,,인천광역시 미추홀구 도화동 763-3,"인천광역시 미추홀구 방축로 216, 1층 103호 (도화동)",22111,인천천사약국,2026-02-03 11:22:23,I,2026-02-06 00:20:02,,170525.898178651,441808.005885405,88.4,20260209,,인천천사약국_인천광역시미추홀구도화동763-3
