"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"1","전력기술감리업체","09_28_12_P","6430000","199864300008600001","1998-03-16","","01","영업/정상","1","인허가","","","","","0432969774","","28310","충청북도 청주시 청원구 율량동 56-4 1층","충청북도 청주시 청원구 상리로45번길 22, 1층 (율량동)","28310","(주)한양이엔지","2026-02-06 15:32:40","U","2026-02-08 02:40:00","","","","감리업","전문감리업","대한민국","0",
"2","전력기술감리업체","09_28_12_P","6430000","200564300008600005","2005-11-29","","01","영업/정상","1","인허가","","","","","0432736016","","28576","충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 306,307호","충청북도 청주시 흥덕구 공단로 134, 세중테크노밸리 306,307호 (송정동)","28576","㈜태창전기설계사무소","2026-02-05 18:03:41","U","2026-02-07 02:40:00","","239010.6234622","349120.175075603","감리업","종합감리업","대한민국","0",
"3","전력기술감리업체","09_28_12_P","6260000","202662600008600002","2026-02-09","","01","영업/정상","1","인허가","","","","","07087061104","","47540","부산광역시 연제구 연산동 1143-18 연희빌딩","부산광역시 연제구 월드컵대로 153, 연희빌딩 (연산동)","47540","(주)한국사이언스","2026-02-09 09:36:27","I","2026-02-11 00:20:41","","389332.885669837","189467.70525523","감리업","전문감리업","대한민국","0",
"4","전력기술감리업체","09_28_12_P","6440000","200964400008600007","2009-12-04","","01","영업/정상","1","인허가","","","","","0428280956","","32580","충청남도 공주시 신관동 276-5","충청남도 공주시 번영1로 156, 3층 (신관동)","32580","주식회사 드림이앤디","2026-02-09 14:05:52","U","2026-02-11 02:40:00","","212899.567886731","330366.215359683","감리업","종합감리업","대한민국","6822663200",
"5","전력기술감리업체","09_28_12_P","6430000","202664300008600003","2026-02-12","","01","영업/정상","1","인허가","","","","","0432864203","","28958","충청북도 보은군 보은읍 지산리 2-1 공장 1호","충청북도 보은군 보은읍 둔덕수정로 345, 공장 1동","28958","주식회사 불광전력","2026-02-12 14:14:37","I","2026-02-14 00:20:02","","264507.654029465","329495.187157908","감리업","전문감리업","","0",
"6","전력기술감리업체","09_28_12_P","6460000","201464600008600005","2014-06-16","","01","영업/정상","1","인허가","","","","","0260526100","","58762","전라남도 목포시 달동 1330-63 해상풍력플랫폼센터 304호","전라남도 목포시 허사로33번길 48-4, 해상풍력플랫폼센터 304호 (달동)","58762","주식회사 케이베츠","2026-02-11 16:10:07","U","2026-02-13 02:40:00","","141161.16418389","139854.841612287","감리업","전문감리업","","0",
"7","전력기술감리업체","09_28_12_P","6530000","202665300008600001","2026-01-23","","01","영업/정상","1","인허가","","","","","0332564600","","24232","강원특별자치도 춘천시 후평동 558-1 405호","강원특별자치도 춘천시 후석로420번길 7 (후평동)","24232","주식회사 디케이씨","2026-01-30 14:23:50","U","2026-02-04 11:04:37","","265474.842593179","487512.552718902","감리업","전문감리업","","50000000",
"8","전력기술감리업체","09_28_12_P","6460000","202464600008600007","2024-04-25","","01","영업/정상","1","인허가","","","","","0626533377","","59722","전라남도 여수시 덕충동 1694번지","전라남도 여수시 충민공원길 45 (덕충동)","59722","주식회사 대명기술개발","2026-02-06 16:48:42","U","2026-02-08 02:40:00","","267132.933609771","139967.942550072","감리업","전문감리업","","50000000",
"9","전력기술감리업체","09_28_12_P","6540000","202465400008600003","2024-03-28","","01","영업/정상","1","인허가","","","","","0632266321","","54389","전북특별자치도 김제시 요촌동 472-1","전북특별자치도 김제시 남북로 177-1, 2층 (요촌동)","54389","주식회사 온길","2026-02-05 09:05:55","U","2026-02-07 02:40:00","","189490.78271463","255544.375342607","감리업","전문감리업","","121642360",
"10","전력기술감리업체","09_28_12_P","6270000","202562700008600003","2025-12-23","","01","영업/정상","1","인허가","","","","","0536287200","","42471","대구광역시 남구 대명동 3055-7","대구광역시 남구 성당로 74-2 (대명동)","42471","주식회사 남양엔지니어링","2026-02-12 13:09:22","U","2026-02-14 02:40:00","","341097.357830197","261484.477731744","감리업","전문감리업","","0",
"11","전력기술감리업체","09_28_12_P","6470000","199867400008600001","1998-10-02","","01","영업/정상","1","인허가","","","","","0267176160","","38653","경상북도 경산시 정평동 186-1","경상북도 경산시 성동로 15-1, 5층(정평동)","38653","(주)이가에이씨엠건축사사무소","2026-02-03 19:54:43","U","2026-02-06 02:40:00","","355804.913999237","260893.777150172","감리업","종합감리업","대한민국","0",
"12","전력기술감리업체","09_28_12_P","6480000","202664800008600002","2026-02-02","","01","영업/정상","1","인허가","","","","","","","51531","경상남도 창원시 성산구 외동 853-16 월드메르디앙이스턴애비뉴 108동 1301호","경상남도 창원시 성산구 창원대로780번길 34, 108동 1301호 (외동, 월드메르디앙 이스턴애비뉴)","51531","주식회사 제일기술감리","2026-02-02 10:39:18","I","2026-02-06 00:20:02","","352597.830306805","191701.385222771","감리업","전문감리업","대한민국","53973240",
"13","전력기술감리업체","09_28_12_P","6430000","202664300008600001","2026-02-03","","01","영업/정상","1","인허가","","","","","0432208553","","28544","충청북도 청주시 상당구 영동 50-2 ,2층","충청북도 청주시 상당구 사직대로361번길 91, 2층 (영동)","28544","주식회사 선우종합건축사사무소","2026-02-03 09:01:15","I","2026-02-06 00:20:02","","243480.962232586","348981.790421852","감리업","전문감리업","","0",
"14","전력기술감리업체","09_28_12_P","6430000","202664300008600002","2026-02-03","","01","영업/정상","1","인허가","","","","","0433363500","","28222","충청북도 청주시 흥덕구 오송읍 봉산리 1314번지 607호(오송바이오프라자)","충청북도 청주시 흥덕구 오송읍 오송생명8로 227, 607호(오송바이오프라자)","28222","주식회사 다와이엔지","2026-02-03 09:01:26","I","2026-02-06 00:20:02","","","","감리업","종합감리업","","133218000",
"15","전력기술감리업체","09_28_12_P","6460000","202664600008600003","2026-02-04","","01","영업/정상","1","인허가","","","","","0612828297","","58696","전라남도 목포시 상동 897-5","전라남도 목포시 백년대로280번길 10 (상동)","58696","주식회사 선룡","2026-02-04 15:43:39","I","2026-02-06 00:20:02","","146771.744917546","144989.239406738","감리업","전문감리업","","307865568",
"16","전력기술감리업체","09_28_12_P","6470000","202664700008600002","2026-02-06","","01","영업/정상","1","인허가","","","","","0538528439","","38428","경상북도 경산시 하양읍 부호리 33번지 경일대학교 105호","경상북도 경산시 하양읍 가마실길 50, 경일대학교 105호","38428","주식회사 레일온","2026-02-06 14:32:44","I","2026-02-08 00:20:01","","362535.711088405","269023.618453936","감리업","전문감리업","","0",
"17","전력기술감리업체","09_28_12_P","6440000","202664400008600003","2026-02-10","","01","영업/정상","1","인허가","","","","","0418521001","","32594","충청남도 공주시 월송동 627번지 행복타워 1동 586호","충청남도 공주시 무령로 586, 행복타워 1동 5층 86호 (월송동)","32594","주식회사 리뉴코리아","2026-02-10 21:22:09","I","2026-02-12 00:20:02","","213574.860905667","330470.617143741","감리업","전문감리업","","0",
"18","전력기술감리업체","09_28_12_P","6480000","202564800008600015","2025-06-26","","01","영업/정상","1","인허가","","","","","0558830641","","50146","경상남도 거창군 거창읍 대평리 565-4","경상남도 거창군 거창읍 강남로 254-11","50146","(주)단후","2026-02-09 15:48:37","U","2026-02-11 02:40:00","","283624.623235156","243398.935522513","감리업","전문감리업","대한민국","50000000",
"19","전력기술감리업체","09_28_12_P","6540000","202364500008600004","2023-05-02","","01","영업/정상","1","인허가","","","","","0632367775","","54363","전북특별자치도 김제시 월성동 491-19","전북특별자치도 김제시 봉황공단2길 78-32, 101호 (월성동)","54363","유한회사 지평선일렉파워","2026-02-13 18:15:23","U","2026-02-15 02:40:00","","192323.596542829","252176.359912416","감리업","전문감리업","","51000000",
"20","전력기술감리업체","09_28_12_P","6300000","202663000008600002","2026-02-02","","01","영업/정상","1","인허가","","","","","07087701331","","35200","대전광역시 서구 만년동 266번지 만년코아 2층17호","대전광역시 서구 만년남로 9, 만년코아 2층층 17호 (만년동)","35200","주식회사 비전테크기술단","2026-02-02 21:35:44","U","2026-02-04 02:40:00","","233708.139265641","318422.666121973","감리업","전문감리업","대한민국","50000000",
"21","전력기술감리업체","09_28_12_P","6460000","202264600008600007","2022-07-04","","01","영업/정상","1","인허가","","","","","0625115585","","58227","전라남도 나주시 남평읍 대교리 7-8 남평양화정","전라남도 나주시 남평읍 남평2로 38-2, 남평양화정 2층","58227","주식회사 화전기술단","2026-02-09 09:09:44","U","2026-02-11 02:40:00","","185583.199632229","171871.224406618","감리업","전문감리업","","0",
"22","전력기술감리업체","09_28_12_P","6430000","200064300008600001","2000-05-30","","01","영업/정상","1","인허가","","","","","0432233333","","28541","충청북도 청주시 상당구 영동 12번지 원앙빌리지","충청북도 청주시 상당구 교서로 86-6, 원앙빌리지 (영동)","28541","(주)우신전기기술사사무소","2026-02-09 18:12:25","U","2026-02-11 02:40:00","","243269.065777933","349314.839926423","감리업","종합감리업","","0",
"23","전력기술감리업체","09_28_12_P","6260000","202662600008600001","2026-02-02","","01","영업/정상","1","인허가","","","","","0513112353","","46066","부산광역시 기장군 기장읍 동부리 169-2 나무샘부동산","부산광역시 기장군 기장읍 차성로 302, 나무샘부동산 2층","46066","경성엔지니어링","2026-02-02 09:31:36","I","2026-02-04 00:20:02","","401433.640312826","196150.072344444","감리업","전문감리업","","60000000",
"24","전력기술감리업체","09_28_12_P","6530000","202465300008600005","2024-09-02","","03","폐업","3","폐업","2026-01-30","","","","0337428770","","26322","강원특별자치도 원주시 태장동 산 96-24","강원특별자치도 원주시 치악로 2239-14, 2층 (태장동)","26322","주식회사 유비이엔텍","2026-01-30 13:43:57","U","2026-02-04 11:04:37","","","","감리업","전문감리업","","50000000",
"25","전력기술감리업체","09_28_12_P","6270000","202162700008600005","2021-07-12","","03","폐업","3","폐업","2026-02-01","","","","0536212141","","41504","대구광역시 북구 산격동 1575번지 복합건축자재관 28호","대구광역시 북구 유통단지로 103, 복합건축자재관 28호(산격동)","41504","한국안전기술(주)","2026-02-12 11:10:15","U","2026-02-14 02:40:00","","345575.460989658","268870.659507124","감리업","전문감리업","","50000000",
"26","전력기술감리업체","09_28_12_P","6260000","202562600008600008","2025-08-29","","03","폐업","3","폐업","2026-02-04","","","","0515546119","","47731","부산광역시 동래구 온천동 1400-3 3호","부산광역시 동래구 충렬대로 81, 3층 (온천동)","47731","주식회사 신흥이앤지","2026-02-04 15:51:55","U","2026-02-06 02:40:00","","388470.736471526","191853.653343781","감리업","전문감리업","대한민국","11664000",
