번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),자치단체코드,업체유형명,자본금,지정정비업종명,면허일자,면허유효기간시작일자,면허유효기간종료일자,자격면허발급기관,Unnamed: 36,record_key
44,국제물류주선업,11_45_01_P,6260000,6260000-63-1500,2026-02-23,,1,영업/정상,10,운행,,,,,,,48059,부산광역시 해운대구 우동 1462번지 센텀그린타워 1206호,"부산광역시 해운대구 센텀중앙로 78, 센텀그린타워 1206호 (우동)",48059.0,(주)트레이딩센텀,2026-02-23 00:00:00,I,2026-02-25 00:20:01,,393696.083565618,188229.689546721,6260000,국제물류주선업,300000000,,,,,,,(주)트레이딩센텀_부산광역시해운대구우동1462번지센텀그린타워1206호
40,국제물류주선업,11_45_01_P,6260000,6260000-63-1499,2026-02-13,,1,영업/정상,10,운행,,,,,,,48792,부산광역시 동구 초량동 1147-14 국제오피스텔 1508호,"부산광역시 동구 중앙대로 263, 국제오피스텔 1508호 (초량동)",48792.0,(주)온누리로지스,2026-02-13 00:00:00,I,2026-02-15 00:20:02,,386093.674147239,182068.358104572,6260000,국제물류주선업,300000000,,,,,,,(주)온누리로지스_부산광역시동구초량동1147-14국제오피스텔1508호
31,국제물류주선업,11_45_01_P,6460000,6460000-63-177,2026-02-12,,1,영업/정상,10,운행,,,,,,,57771,전라남도 광양시 황길동 1411-1,전라남도 광양시 항만1로 80 (황길동),57771.0,유한회사 뉴맥스,2026-02-12 00:00:00,I,2026-02-14 00:20:02,,258617.824753169,156367.763187929,6460000,국제물류주선업,300000000,,,,,,,유한회사뉴맥스_전라남도광양시황길동1411-1
18,국제물류주선업,11_45_01_P,6460000,6460000-63-176,2026-02-06,,1,영업/정상,10,운행,,,,,,,57786,전라남도 광양시 중동 1302-10,전라남도 광양시 중동로 101-1 (중동),57786.0,유한회사 세명,2026-02-06 00:00:00,U,2026-02-08 02:40:00,,263849.562500772,160509.448737858,6460000,국제물류주선업,300000000,,,,,,,유한회사세명_전라남도광양시중동1302-10
8,국제물류주선업,11_45_01_P,6430000,6430000-63-65,2026-02-02,,1,영업/정상,10,운행,,,,,318954840.0,,27856,충청북도 진천군 덕산읍 산수리 1074번지 BGF리테일중앙물류센터,"충청북도 진천군 덕산읍 산수산단3로 66, BGF리테일중앙물류센터 0동 0층 0호",27856.0,(주)비지에프로지스,2026-02-04 00:00:00,I,2026-02-06 00:20:02,,242992.750475819,377656.908180238,6430000,국제물류주선업,3834510080,,,,,,,(주)비지에프로지스_충청북도진천군덕산읍산수리1074번지BGF리테일중앙물류센터
20,국제물류주선업,11_45_01_P,6280000,6280000-63-1195,2026-01-29,,1,영업/정상,10,운행,,,,,,,21344,인천광역시 부평구 삼산동 460-9 삼산프라자 422호,"인천광역시 부평구 충선로203번길 24, 삼산프라자 422호 (삼산동)",21344.0,와이티에스(주),2026-02-09 00:00:00,I,2026-02-11 00:20:41,,176478.057378855,445075.108176299,6280000,국제물류주선업,300000000,,,,,,,와이티에스(주)_인천광역시부평구삼산동460-9삼산프라자422호
10,국제물류주선업,11_45_01_P,6280000,6280000-63-1194,2026-01-28,,1,영업/정상,10,운행,,,,,,,21990,인천광역시 연수구 송도동 214번지 송도BRC스마트밸리지식산업센터 제이동 302호,"인천광역시 연수구 송도미래로 30, 송도BRC스마트밸리지식산업센터 제이동 3층 302호 (송도동)",21990.0,로지힐 주식회사,2026-02-05 00:00:00,I,2026-02-07 00:20:02,,168781.930908815,429455.977053908,6280000,국제물류주선업,300000000,,,,,,,로지힐주식회사_인천광역시연수구송도동214번지송도BRC스마트밸리지식산업센터제이동302호
15,국제물류주선업,11_45_01_P,6260000,6260000-63-1484,2025-11-20,,1,영업/정상,10,운행,,,,,,,48751,부산광역시 동구 초량동 1233번지 롯데캐슬드메르 비동 210호,"부산광역시 동구 충장대로 190, 롯데캐슬드메르 비동 2층 210호 (초량동)",48751.0,(주)헨로글로벌로지스틱스,2026-02-05 00:00:00,U,2026-02-07 02:40:00,,,,6260000,국제물류주선업,300000000,,,,,,,(주)헨로글로벌로지스틱스_부산광역시동구초량동1233번지롯데캐슬드메르비동210호
50,국제물류주선업,11_45_01_P,6280000,6280000-63-1176,2025-10-24,,1,영업/정상,10,운행,,,,,,,22334,인천광역시 중구 신흥동3가 33-6 2동 202호,"인천광역시 중구 축항대로 283, 2동 202호 (신흥동3가)",22334.0,(주)티에스종합물류,2026-02-23 00:00:00,U,2026-02-25 02:40:00,,166990.525344472,438625.796783373,6280000,국제물류주선업,310000000,,,,,,,(주)티에스종합물류_인천광역시중구신흥동3가33-62동202호
39,국제물류주선업,11_45_01_P,6260000,6260000-63-1433,2024-12-16,,1,영업/정상,10,운행,,,,,517101577.0,,48939,부산광역시 중구 중앙동4가 87-7 부산무역회관 1306호,"부산광역시 중구 충장대로 11, 부산무역회관 1306호 (중앙동4가)",48939.0,(주)로운로지스,2026-02-12 00:00:00,U,2026-02-14 02:40:00,,385722.4811351,180423.00816521,6260000,국제물류주선업,300000000,,,,,,,(주)로운로지스_부산광역시중구중앙동4가87-7부산무역회관1306호
21,국제물류주선업,11_45_01_P,6260000,6260000-63-1407,2024-06-03,,1,영업/정상,10,운행,,,,,517145086.0,,48941,부산광역시 중구 중앙동4가 23-1 노블리안2 비102호,"부산광역시 중구 중앙대로 80, 노블리안2 비102호 (중앙동4가)",48941.0,(주)대연씨티에스,2026-02-09 00:00:00,U,2026-02-11 02:40:00,,385630.742187332,180306.821082315,6260000,국제물류주선업,300000000,,,,,,,(주)대연씨티에스_부산광역시중구중앙동4가23-1노블리안2비102호
65,국제물류주선업,11_45_01_P,6300000,6300000-63-48,2024-03-29,,1,영업/정상,10,운행,,,,,,,34368,대전광역시 대덕구 대화동 289-1 대전산업용재유통상가 10동 226호,"대전광역시 대덕구 대화로 160, 대전산업용재유통상가 10동 226호 (대화동)",34368.0,태건로지스 주식회사,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,236019.893489066,318423.179224484,6300000,국제물류주선업,300000000,,,,,,,태건로지스주식회사_대전광역시대덕구대화동289-1대전산업용재유통상가10동226호
52,국제물류주선업,11_45_01_P,6270000,6270000-63-88,2023-12-26,,1,영업/정상,10,운행,,,,,,,41507,대구광역시 북구 검단동 1749번지,대구광역시 북구 검단순환로8길 28 (검단동),41507.0,세계실업 주식회사,2026-02-23 00:00:00,U,2026-02-25 02:40:00,,,,6270000,국제물류주선업,301600000,,,,,,,세계실업주식회사_대구광역시북구검단동1749번지
32,국제물류주선업,11_45_01_P,6280000,6280000-63-1196,2023-12-06,,1,영업/정상,10,운행,,,,,,,22343,인천광역시 중구 신흥동3가 75번지 인천남항컨테이너물류기지 1층호,"인천광역시 중구 서해대로30번길 32, 인천남항컨테이너물류기지 1층 (신흥동3가)",22343.0,주식회사 하이콤인터내셔널로지스틱스,2026-02-12 00:00:00,I,2026-02-14 00:20:02,,166215.934223949,436635.041461003,6280000,국제물류주선업,300000000,,,,,,,주식회사하이콤인터내셔널로지스틱스_인천광역시중구신흥동3가75번지인천남항컨테이너물류기지1층호
36,국제물류주선업,11_45_01_P,6500000,6500000-63-27,2023-03-20,,1,영업/정상,10,운행,,,,,,,63069,제주특별자치도 제주시 외도일동 457-2,제주특별자치도 제주시 우정로8길 28(외도일동),63069.0,주식회사 제양항공해운,2026-02-12 00:00:00,U,2026-02-14 02:40:00,,146738.476882414,-625.051979445625,6500000,국제물류주선업,500000000,,,,,,,주식회사제양항공해운_제주특별자치도제주시외도일동457-2
66,국제물류주선업,11_45_01_P,6300000,6300000-63-47,2023-03-16,,1,영업/정상,10,운행,,,,,,,35363,대전광역시 서구 관저동 1757번지 D&A프라자 503호,"대전광역시 서구 관저북로 15, D&A프라자 5층 503호 (관저동)",35363.0,(주)민재로지스,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,230172.419694364,311437.971498684,6300000,국제물류주선업,300000000,,,,,,,(주)민재로지스_대전광역시서구관저동1757번지D&A프라자503호
16,국제물류주선업,11_45_01_P,6280000,6280000-63-975,2023-02-28,,1,영업/정상,10,운행,,,,,,,21984,"인천광역시 연수구 송도동 172-5 송도에이티센터 오피스동 2811,2812호","인천광역시 연수구 송도과학로 70, 송도에이티센터 오피스동 28층 2811,2812호(송도동)",21984.0,더케이글로벌로지스틱 주식회사,2026-02-05 00:00:00,U,2026-02-07 02:40:00,,170276.662544927,430988.865216008,6280000,국제물류주선업,0,,,,,,,"더케이글로벌로지스틱주식회사_인천광역시연수구송도동172-5송도에이티센터오피스동2811,2812호"
2,국제물류주선업,11_45_01_P,6280000,6280000-63-969,2023-01-26,,1,영업/정상,10,운행,,,,,,,21060,인천광역시 계양구 계산동 1062번지 하이베라스 에이동 1209호,"인천광역시 계양구 계산새로 71, 하이베라스 에이동 1209호(계산동)",21060.0,주식회사 한성인터내셔널,2026-02-02 00:00:00,U,2026-02-04 02:40:00,,176607.326609066,448516.12033842,6280000,국제물류주선업,300000000,,,,,,,주식회사한성인터내셔널_인천광역시계양구계산동1062번지하이베라스에이동1209호
4,국제물류주선업,11_45_01_P,6260000,6260000-63-1365,2022-12-08,,1,영업/정상,10,운행,,,,,,,48059,부산광역시 해운대구 재송동 1212번지 큐비이센텀,"부산광역시 해운대구 센텀중앙로 90, 큐비이센텀 제본동 22층 2201호 (재송동)",48059.0,덱스트랜스월드와이드코리아(주),2026-01-30 00:00:00,U,2026-02-04 11:04:37,,393605.930358633,188324.973749177,6260000,국제물류주선업,300000000,,,,,,,덱스트랜스월드와이드코리아(주)_부산광역시해운대구재송동1212번지큐비이센텀
19,국제물류주선업,11_45_01_P,6460000,6460000-63-143,2022-12-05,,1,영업/정상,10,운행,,,,,,,57722,전라남도 광양시 광영동 729-1,"전라남도 광양시 광영로 35, 2층(광영동)",57722.0,(주)남해로지스,2026-02-06 00:00:00,U,2026-02-08 02:40:00,,266146.354443921,162788.51011222,6460000,국제물류주선업,300000000,,,,,,,(주)남해로지스_전라남도광양시광영동729-1
51,국제물류주선업,11_45_01_P,6270000,6270000-63-83,2022-11-23,,1,영업/정상,10,운행,,,,,,,41490,대구광역시 북구 금호동 609-5 201호,"대구광역시 북구 서재로 540, 201호(금호동)",41490.0,(주)두리종합물류,2026-02-23 00:00:00,U,2026-02-25 02:40:00,,338049.632415831,266184.880665866,6270000,국제물류주선업,300000000,,,,,,,(주)두리종합물류_대구광역시북구금호동609-5201호
