번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),지정일자,민원종류명,Unnamed: 30,record_key
261,담배소매업,11_43_02_P,4160000,2026416017505600003,2026-03-09,,1,영업/정상,0,정상영업,,,,,,,,경기도 가평군 상면 행현리 368-2,"경기도 가평군 상면 수목원로 157, A동 1층",12448,이마트24 아침고요수목원3호점,2026-03-05 17:18:30,I,2026-03-07 00:20:02,,231949.112171566,473570.561281569,20260309,제7조의3제2항에따른경우,,이마트24아침고요수목원3호점_경기도가평군상면행현리368-2
141,담배소매업,11_43_02_P,4160000,2026416017505600002,2026-03-09,,1,영업/정상,0,정상영업,,,,,,,,경기도 가평군 조종면 현리 280-6,"경기도 가평군 조종면 조종희망로 51, 1층",12437,CU조종승리점,2026-03-04 13:36:00,I,2026-03-06 00:20:02,,230738.760516037,479911.973357061,20260309,제7조의3제2항에따른경우,,CU조종승리점_경기도가평군조종면현리280-6
266,담배소매업,11_43_02_P,3780000,2026381005405600010,2026-03-05,,1,영업/정상,0,정상영업,,,,,,,,경기도 성남시 분당구 수내동 83-1 동한프라자 107호,"경기도 성남시 분당구 돌마로366번길 42, 동한프라자 107호 (수내동)",13600,씨유 수내푸른마을점,2026-03-05 10:49:17,I,2026-03-07 00:20:02,,211163.148681104,429454.939071795,20260305,제7조의3제2항에따른경우,,씨유수내푸른마을점_경기도성남시분당구수내동83-1동한프라자107호
289,담배소매업,11_43_02_P,4010000,2026401031705600010,2026-03-05,,1,영업/정상,0,정상영업,,,,,,,,경기도 시흥시 정왕동 2326-1 정왕프라자,"경기도 시흥시 마유로418번길 18, 정왕프라자 117호 (정왕동)",15049,세븐편의점,2026-03-05 18:36:52,I,2026-03-07 00:20:02,,177150.29275918,427712.395055463,20260305,제7조의3제2항에따른경우,,세븐편의점_경기도시흥시정왕동2326-1정왕프라자
282,담배소매업,11_43_02_P,3010000,2026301024405600012,2026-03-05,,1,영업/정상,0,정상영업,,,,,,,,서울특별시 중구 신당동 369-47,"서울특별시 중구 다산로 118, 1층 (신당동)",04597,주식회사 한국선릿파트너스,2026-03-05 15:11:06,I,2026-03-07 00:20:02,,200869.603374216,450219.999653877,20260305,제7조의3제2항에따른경우,,주식회사한국선릿파트너스_서울특별시중구신당동369-47
283,담배소매업,11_43_02_P,3010000,2026301024405600013,2026-03-05,,1,영업/정상,0,정상영업,,,,,,,,서울특별시 중구 명동2가 3-12,"서울특별시 중구 명동10길 19, 1,2,3층 (명동2가)",04537,주식회사 천앤후,2026-03-05 15:13:03,I,2026-03-07 00:20:02,,198645.477821749,451186.826345975,20260305,제7조의3제2항에따른경우,,주식회사천앤후_서울특별시중구명동2가3-12
284,담배소매업,11_43_02_P,4080000,2026408026205600007,2026-03-05,,1,영업/정상,0,정상영업,,,,,,,,경기도 안성시 양성면 장서리 243-5,"경기도 안성시 양성면 양성로 643, 1층",17501,씨유 양성장서리점,2026-03-05 13:07:13,I,2026-03-07 00:20:02,,219068.21271395,400739.044098697,20260305,제7조의3제2항에따른경우,,씨유양성장서리점_경기도안성시양성면장서리243-5
286,담배소매업,11_43_02_P,3610000,2026361026105600004,2026-03-05,,1,영업/정상,0,정상영업,,,,,,,,광주광역시 남구 주월동 957-1 주월동 홀리어스 오피스텔,"광주광역시 남구 대남대로 219, 1층 104호 (주월동, 주월동 홀리어스 오피스텔)",61720,세븐일레븐 백운광장점,2026-03-05 13:08:26,I,2026-03-07 00:20:02,,190845.53907137,181557.600484084,20260305,제7조의3제2항에따른경우,,세븐일레븐백운광장점_광주광역시남구주월동957-1주월동홀리어스오피스텔
287,담배소매업,11_43_02_P,4050000,2026564001805600006,2026-03-05,,1,영업/정상,0,정상영업,,,,,,,,경기도 용인시 수지구 풍덕천동 1099-8,"경기도 용인시 수지구 풍덕천로96번길 16-2, 1층 (풍덕천동)",16841,씨유 수지도서관점,2026-03-05 14:37:21,I,2026-03-07 00:20:02,,208243.933160791,424257.976289595,20260305,제7조의3제2항에따른경우,,씨유수지도서관점_경기도용인시수지구풍덕천동1099-8
288,담배소매업,11_43_02_P,5420000,2026542015105600001,2026-03-05,,1,영업/정상,0,정상영업,,,,,,,,경상남도 고성군 고성읍 송학리 53-2,경상남도 고성군 고성읍 남산로 166,52938,주식회사 더끌림,2026-03-05 15:23:31,I,2026-03-07 00:20:02,,321254.731621466,165568.065310197,20260305,제7조의3제2항에따른경우,,주식회사더끌림_경상남도고성군고성읍송학리53-2
