번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),수리대상 의료기기의 유형,다른 겸업 여부,총규모,영업규모,Unnamed: 32,record_key
1206,의료기기판매(임대)업,01_02_03_P,3130000,PHMG120233130033047000142,2026-02-13,,3,폐업,3,폐업,2026-02-13,,,,,,,서울특별시 마포구 마포동 *** 강변한신코아빌딩 ****호,"서울특별시 마포구 마포대로*다길 **, 강변한신코아빌딩 ****호 (마포동)",04177,(주)건배,2026-02-13 13:57:01,U,2026-02-16 02:40:00,,194974.587674037,448229.063825491,,,,,,(주)건배_서울특별시마포구마포동***강변한신코아빌딩****호
1141,의료기기판매(임대)업,01_02_03_P,4090000,PHMG120264090023047000021,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 김포시 고촌읍 향산리 **-* 힐스테이트 리버시티 *단지,"경기도 김포시 고촌읍 상미로 **, ***동 ***호 (힐스테이트 리버시티 *단지)",10121,마녀상사,2026-02-13 13:37:01,I,2026-02-15 00:20:02,,177521.002805273,457465.186085307,,,,,,마녀상사_경기도김포시고촌읍향산리**-*힐스테이트리버시티*단지
1110,의료기기판매(임대)업,01_02_03_P,4820000,PHMG120264820026047000002,2026-02-13,,1,영업/정상,13,영업중,,,,,061-727-7272,,,전라남도 순천시 서면 압곡리 ***-** 케이비물산주식회사,"전라남도 순천시 서면 매천로 **-**, 케이비물산주식회사 나동 *호",57903,비라인로지스,2026-02-13 18:13:16,I,2026-02-15 00:20:02,,247130.187271865,165801.551453474,,,13.33,,,비라인로지스_전라남도순천시서면압곡리***-**케이비물산주식회사
1121,의료기기판매(임대)업,01_02_03_P,3470000,PHMG120263470022047000010,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,대구광역시 달서구 이곡동 ****-**,"대구광역시 달서구 선원로**남길 *, *층 (이곡동)",42605,발그레쁨,2026-02-13 13:24:27,I,2026-02-15 00:20:02,,336587.790387787,263195.819380855,,,,,,발그레쁨_대구광역시달서구이곡동****-**
1124,의료기기판매(임대)업,01_02_03_P,3390000,PHMG120263390023047000006,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,부산광역시 사상구 덕포동 ***-*,"부산광역시 사상구 사상로 ***, *층 (덕포동)",46948,(주)아성다이소 부산덕포점,2026-02-13 11:27:59,I,2026-02-15 00:20:02,,380605.881632763,187750.419394083,,,407.62,,,(주)아성다이소부산덕포점_부산광역시사상구덕포동***-*
1125,의료기기판매(임대)업,01_02_03_P,3050000,PHMG120263050034047000015,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,서울특별시 동대문구 제기동 ***-*,"서울특별시 동대문구 고산자로 ***, *층 S**호 (제기동)",02478,더 뉴트리 네이처,2026-02-13 16:06:32,I,2026-02-15 00:20:02,,203310.557144268,453614.233017951,,,1.95,,,더뉴트리네이처_서울특별시동대문구제기동***-*
1127,의료기기판매(임대)업,01_02_03_P,3230000,PHMG120263230034047000044,2026-02-13,,1,영업/정상,13,영업중,,,,,070-8049-2986,,,서울특별시 송파구 잠실동 ***-* 삼우빌딩,"서울특별시 송파구 백제고분로**길 **-*, 삼우빌딩 *층 *-*호 (잠실동)",05578,(주)휴본 케어,2026-02-13 15:24:48,I,2026-02-15 00:20:02,,207554.720928562,444580.158228698,,,,,,(주)휴본케어_서울특별시송파구잠실동***-*삼우빌딩
1129,의료기기판매(임대)업,01_02_03_P,3410000,PHMG120263410023047000015,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,대구광역시 중구 동인동*가 ***-*,"대구광역시 중구 국채보상로 ***-*, *층 (동인동*가)",41907,프라임메딕스,2026-02-13 16:42:22,I,2026-02-15 00:20:02,,345480.241544895,264367.91041176,,,,,,프라임메딕스_대구광역시중구동인동*가***-*
1131,의료기기판매(임대)업,01_02_03_P,3740000,PHMG120263740033047000012,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 팔달구 인계동 ****,"경기도 수원시 팔달구 인계로***번길 **, ***호 (인계동)",16489,모나라운지,2026-02-13 18:14:32,I,2026-02-15 00:20:02,,202674.693114869,418285.312411188,,,,,,모나라운지_경기도수원시팔달구인계동****
1134,의료기기판매(임대)업,01_02_03_P,3410000,PHMG120263410023047000014,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,대구광역시 중구 대신동 ***-* 청라힐 지웰 더 센트로,"대구광역시 중구 달성로 **, ***동 *층 ***호 (대신동, 청라힐 지웰 더 센트로)",41925,어나더 스튜디오,2026-02-13 13:44:23,I,2026-02-15 00:20:02,,342777.31298411,264606.805675786,,,,,,어나더스튜디오_대구광역시중구대신동***-*청라힐지웰더센트로
1115,의료기기판매(임대)업,01_02_03_P,4050000,PHMG120264050149047000014,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 용인시 수지구 상현동 ****-* 광교 프리미워 타워,"경기도 용인시 수지구 광교중앙로 ***, 광교 프리미워 타워 ***호 (상현동)",16944,도트락 용인광교점,2026-02-13 17:22:39,I,2026-02-15 00:20:02,,206046.03301596,421787.611336564,,,58.59,,,도트락용인광교점_경기도용인시수지구상현동****-*광교프리미워타워
1139,의료기기판매(임대)업,01_02_03_P,5020000,PHMG120265020055047000008,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,,경상북도 포항시 남구 오천읍 장기로 ****,37912,오천 복지용구,2026-02-13 18:29:33,I,2026-02-15 00:20:02,,417946.84049031,276615.209687121,,,175.0,,,오천복지용구_
1136,의료기기판매(임대)업,01_02_03_P,3430000,PHMG120263430019047000003,2026-02-13,,1,영업/정상,13,영업중,,,,,053-557-5559,,,대구광역시 서구 이현동 ***-*,대구광역시 서구 북비산로*길 **-* (이현동),41748,위너스홀딩스,2026-02-13 17:57:46,I,2026-02-15 00:20:02,,338758.455873336,265471.168469322,,,723.0,,,위너스홀딩스_대구광역시서구이현동***-*
1146,의료기기판매(임대)업,01_02_03_P,3560000,PHMG120263560021047000021,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,인천광역시 서구 불로동 ***-* 캉가루프라자,"인천광역시 서구 검단로***번길 **, 캉가루프라자 *층 ***-*호 (불로동)",22631,유아이덴트,2026-02-13 13:31:28,I,2026-02-15 00:20:02,,172259.285761294,456775.39598194,,,,,,유아이덴트_인천광역시서구불로동***-*캉가루프라자
