"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물약국","02_03_02_P","3170000","317000001120260007","2026-04-01","","01","영업/정상","0000","정상","","","","","","","","서울특별시 금천구 독산동 1155 금천롯데캐슬골드파크3차","서울특별시 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차)","08608","우리캐슬약국","2026-04-01 09:38:39","I","2026-04-03 00:20:02","","190838.324818618","439761.362000391","동물약국","","000","0",
"2","동물약국","02_03_02_P","4800000","480000001120260002","2026-04-01","","01","영업/정상","0000","정상","","","","","061-281-2274","","","전라남도 목포시 상동 832-5","전라남도 목포시 백년대로307번길 7 (상동)","58666","한미약국","2026-04-01 16:27:44","I","2026-04-03 00:20:02","","146922.874477537","145302.07138151","동물약국","","000","0",
"3","동물약국","02_03_02_P","4671000","467100001120260005","2026-04-01","","01","영업/정상","0000","정상","","","","","","","","전북특별자치도 군산시 수송동 833 롯데마트","전북특별자치도 군산시 수송로 185, 롯데마트 4층 (수송동)","54091","마더스약국","2026-04-01 13:24:20","I","2026-04-03 00:20:02","","174344.898655429","273872.128355095","동물약국","","000","0",
"4","동물약국","02_03_02_P","3680000","368000001120260002","2026-04-01","","01","영업/정상","0000","정상","","","","","042-672-6831","","","대전광역시 대덕구 법동 344-14","대전광역시 대덕구 아리랑로 217, 한국주택은행중리출장소 (법동)","34356","대덕평안약국","2026-04-01 10:07:20","I","2026-04-03 00:20:02","","238289.974541528","319382.228587216","동물약국","","000","0",
"5","동물약국","02_03_02_P","3380000","338000001120260005","2026-04-01","","01","영업/정상","0000","정상","","","","","051-711-3749","","","부산광역시 수영구 남천동 299-1","부산광역시 수영구 황령대로 487, 102호 (남천동)","48312","수영메디약국","2026-04-01 16:50:42","I","2026-04-03 00:20:02","","391999.220163915","184200.957942357","동물약국","","000","0",
"6","동물약국","02_03_02_P","5070000","507000001120160003","2016-05-09","","03","폐업","0002","폐업","2023-12-31","","","","05-821-2811","240.28","","경상북도 안동시 용상동 1235-9","경상북도 안동시 경동로 872 (용상동)","36712","안동용상동물약국","2026-04-01 14:50:14","U","2026-04-03 02:40:00","","356712.573137535","341185.075316712","동물약국","","000","0",
"7","동물약국","02_03_02_P","4191000","419000001120180003","2018-05-24","","01","영업/정상","0000","정상","","","","","033-745-4242","85.8","","강원특별자치도 원주시 반곡동 1140-2","강원특별자치도 원주시 동부순환로 31, 1층 (반곡동)","26459","든든약국","2026-04-01 17:47:01","U","2026-04-03 02:40:00","","285991.071753162","424609.97265128","동물약국","","000","0",
"8","동물약국","02_03_02_P","3220000","322000001120190027","2019-12-02","","03","폐업","0002","폐업","2026-04-01","","","","02-543-7972","","","서울특별시 강남구 삼성동 35-8 한일빌딩","서울특별시 강남구 선릉로 612, 한일빌딩 1층 (삼성동)","06097","청담밝은약국","2026-04-01 09:34:12","U","2026-04-03 02:40:00","","203794.543081217","445478.143730705","동물약국","","000","0",
"9","동물약국","02_03_02_P","3110000","311000001120210014","2021-08-31","","03","폐업","0002","폐업","2026-04-28","","","","02-355-5304","","","서울특별시 은평구 진관동 6 은평뉴타운상림마을 702동 113호","서울특별시 은평구 진관4로 77, 702동 113호 (진관동, 은평뉴타운상림마을)","03303","솔약국","2026-04-01 15:57:30","U","2026-04-03 02:40:00","","193546.051070086","460518.839422473","동물약국","","000","0",
"10","동물약국","02_03_02_P","4641000","464100001120250028","2025-10-14","","03","폐업","0002","폐업","2026-04-01","","","","","0","","전북특별자치도 전주시 완산구 효자동2가 231-8","전북특별자치도 전주시 완산구 쑥고개로 390 (효자동2가)","55079","메디플러스약국","2026-04-01 17:04:05","U","2026-04-03 02:40:00","","209660.605537291","256001.598736271","동물약국","","000","0",
"11","동물약국","02_03_02_P","5710000","571000001120170004","2017-05-31","","03","폐업","0002","폐업","2026-04-01","","","","043-221-2135","","","","충청북도 청주시 상당구 사직대로 346 (서문동)","28524","플러스약국","2026-04-01 14:10:30","U","2026-04-03 02:40:00","","243392.101658257","348454.159533439","동물약국","","000","0",
"12","동물약국","02_03_02_P","3220000","322000001120210005","2021-02-01","","03","폐업","0002","폐업","2026-03-30","","","","","0","","서울특별시 강남구 대치동 946-1 글라스타워빌딩","서울특별시 강남구 테헤란로 534, 글라스타워빌딩 지하1층 (대치동)","06181","삼성온누리약국","2026-04-01 09:27:30","U","2026-04-03 02:40:00","","205446.736406275","445116.280153369","동물약국","","000","0",
"13","동물약국","02_03_02_P","3120000","312000001120260004","2026-04-02","","01","영업/정상","0000","정상","","","","","02-304-1179","","","서울특별시 서대문구 북가좌동 481 DMC 래미안 e편한세상 103동","서울특별시 서대문구 수색로 100, 103동 1층 (북가좌동, DMC 래미안 e편한세상)","03709","튼튼약국","2026-04-02 10:29:24","I","2026-04-04 00:20:02","","192028.41586192","452265.952165442","동물약국","","000","0",
"14","동물약국","02_03_02_P","3520000","352000001120260002","2026-04-02","","01","영업/정상","0000","정상","","","","","","","","인천광역시 연수구 연수동 532 대림아파트 상가동 110호","인천광역시 연수구 원인재로 286, 대림아파트 상가동 110호 (연수동)","21937","우리정문약국","2026-04-02 16:01:32","I","2026-04-04 00:20:02","","172919.707499151","435452.457207252","동물약국","","000","0",
"15","동물약국","02_03_02_P","5070000","507000001120260001","2026-04-02","","01","영업/정상","0000","정상","","","","","","","","경상북도 안동시 정하동 277-16","경상북도 안동시 강남1길 69, 1층 (정하동)","36751","정하우리약국","2026-04-02 18:03:03","I","2026-04-04 00:20:02","","355067.647633351","340178.757174909","동물약국","","000","0",
