번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,Unnamed: 36,record_key
20,분뇨수집운반업,09_30_10_P,5060000,506000053202600001,2026-02-02,,1,영업/정상,11,영업,,,,,0544343939,,,경상북도 김천시 성내동 69-38 금릉위생(합),경상북도 김천시 충효3길 29 (성내동),39586,금릉위생(합),2026-02-02 15:28:30,I,2026-02-04 00:20:02,사람 분뇨 처리업,300778.529104323,292011.157922506,분뇨등관련영업관리,사람 분뇨 처리업,,,,0,,0,,금릉위생(합)_경상북도김천시성내동69-38금릉위생(합)
15,분뇨수집운반업,09_30_10_P,5150000,515000053202600001,2026-01-30,,1,영업/정상,11,영업,,,,,054 834 2616,,769-803,경상북도 의성군 의성읍 중리리 633-4,경상북도 의성군 의성읍 북원3길 63-7,769-803,극동사 청년정화조,2026-02-10 09:51:29,U,2026-02-12 02:40:00,,352390.269789671,319046.755100244,분뇨등관련영업관리,,,,,0,,0,,극동사청년정화조_경상북도의성군의성읍중리리633-4
28,분뇨수집운반업,09_30_10_P,4600000,460000053202000001,2020-12-03,,1,영업/정상,11,영업,,,,,041-642-3568,,,충청남도 홍성군 결성면 금곡리 24-3,충청남도 홍성군 결성면 홍남서로843번길 40-3,32210,농업회사법인 주식회사 성우,2026-02-26 17:53:04,U,2026-02-28 02:40:00,축산분뇨 처리업,160665.372433808,336393.908795225,분뇨등관련영업관리,축산분뇨 처리업,,,,0,,0,,농업회사법인주식회사성우_충청남도홍성군결성면금곡리24-3
27,분뇨수집운반업,09_30_10_P,4080000,408000053201800005,2018-10-04,,1,영업/정상,11,영업,,,,,031 674 4854,,,경기도 안성시 미양면 양지리 211-14,경기도 안성시 미양면 벚나무길 22-9,17601,안성환경,2026-02-06 09:43:54,U,2026-02-08 02:40:00,분뇨 처리업,219041.853129106,386068.740483232,분뇨등관련영업관리,분뇨 처리업,,,,0,,0,,안성환경_경기도안성시미양면양지리211-14
13,분뇨수집운반업,09_30_10_P,3110000,311000053201200001,2012-03-20,,1,영업/정상,11,영업,,,,,,,122-010,서울특별시 은평구 응암동 109-3 서강스카이빌상가 101호,,,(주)성신환경,2026-02-04 16:52:16,U,2026-02-06 02:40:00,,192994.628012876,455276.677445927,분뇨등관련영업관리,,,,,0,,0,,(주)성신환경_서울특별시은평구응암동109-3서강스카이빌상가101호
1,분뇨수집운반업,09_30_10_P,4301000,430100053201100001,2011-01-31,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 철원군 갈말읍 문혜리 881-3,강원특별자치도 철원군 갈말읍 두루미로 71,24031,(주)신환경,2026-02-25 17:25:18,U,2026-02-27 02:40:00,사람 분뇨 처리업,228174.966471762,520057.176807101,분뇨등관련영업관리,사람 분뇨 처리업,,,,0,,0,,(주)신환경_강원특별자치도철원군갈말읍문혜리881-3
10,분뇨수집운반업,09_30_10_P,3460000,346000053200800002,2008-04-04,,1,영업/정상,11,영업,,,,,7660807,,706-852,대구광역시 수성구 황금동 760-14,대구광역시 수성구 희망로 189 (황금동),,(주)달구벌위생,2026-02-02 15:26:17,U,2026-02-04 02:40:00,분뇨 처리업,346245.585556748,261953.80532797,분뇨등관련영업관리,분뇨 처리업,,,,0,,0,,(주)달구벌위생_대구광역시수성구황금동760-14
26,분뇨수집운반업,09_30_10_P,4671000,467100053200300002,2007-04-19,,1,영업/정상,11,영업,,,,,063-452-4242,,,전북특별자치도 군산시 서수면 관원리 91-7,전북특별자치도 군산시 서수면 동군산로 1118,54051,군옥위생공사,2026-02-20 15:38:33,U,2026-02-22 02:40:00,,188987.655807693,279140.934574863,분뇨등관련영업관리,,,,,0,,0,,군옥위생공사_전북특별자치도군산시서수면관원리91-7
33,분뇨수집운반업,09_30_10_P,3900000,390000053198100008,2007-02-15,,1,영업/정상,3,재개업,,,,2005-12-20,0226258808,,,경기도 광명시 노온사동 110,경기도 광명시 천변길 426 (노온사동),14335,태림위생,2026-02-11 10:52:19,U,2026-02-13 02:40:00,,185660.789572832,438808.141169138,분뇨등관련영업관리,,,,,0,,0,,태림위생_경기도광명시노온사동110
19,분뇨수집운반업,09_30_10_P,5370000,537000053199800007,2005-01-31,,1,영업/정상,11,영업,,,,,0556811104,,,경상남도 거제시 사등면 사곡리 598-2,경상남도 거제시 사등면 거제대로 5129,53278,(주)신한환경,2026-02-02 11:24:00,U,2026-02-04 02:40:00,,344211.832749179,156400.504720252,분뇨등관련영업관리,,,,,0,,0,,(주)신한환경_경상남도거제시사등면사곡리598-2
22,분뇨수집운반업,09_30_10_P,3780000,378000053198300002,2005-01-17,,1,영업/정상,11,영업,,,,,031-777-8686,,,경기도 성남시 중원구 상대원동 5442-1 크란츠 테크노 913호,"경기도 성남시 중원구 둔촌대로 388, 크란츠 테크노 913호 (상대원동)",13403,(주)환경,2026-02-19 08:17:19,U,2026-02-21 02:40:00,"하수, 분뇨 및 축산폐기물 처리업",214017.029812623,436734.115630983,분뇨등관련영업관리,"하수, 분뇨 및 축산폐기물 처리업",,,,0,,0,,(주)환경_경기도성남시중원구상대원동5442-1크란츠테크노913호
31,분뇨수집운반업,09_30_10_P,3490000,349000053200300017,2003-03-12,,1,영업/정상,3,재개업,,,,2013-08-27,032-441-7275,,,인천광역시 중구 사동 13-4,"인천광역시 중구 인중로 178, 902호 (사동, 정우빌딩)",22313,그린환경,2026-02-22 12:55:56,U,2026-02-24 02:40:00,,166719.882366105,440810.956215248,분뇨등관련영업관리,,,,,0,,0,,그린환경_인천광역시중구사동13-4
25,분뇨수집운반업,09_30_10_P,4080000,408000053200300001,2003-03-03,,1,영업/정상,11,영업,,,,,031-673-2747,,,경기도 안성시 공도읍 양기리 615 안성 공도 서해그랑블아파트 109동 1004호,"경기도 안성시 공도읍 양기길 28, 109동 1004호 (안성 공도 서해그랑블아파트)",17558,경기환경,2026-02-12 17:51:55,U,2026-02-14 02:40:00,,217460.820975083,389488.318194063,분뇨등관련영업관리,,,,,0,,0,,경기환경_경기도안성시공도읍양기리615안성공도서해그랑블아파트109동1004호
14,분뇨수집운반업,09_30_10_P,3490000,349000053200200015,2002-05-01,,1,영업/정상,11,영업,,,,,032-772-3001,,,인천광역시 중구 사동 13-4 정우빌딩 910호,"인천광역시 중구 인중로 178, 정우빌딩 9층 910호 (사동)",22313,제물포환경,2026-02-05 13:47:21,U,2026-02-07 02:40:00,,166719.882366105,440810.956215248,분뇨등관련영업관리,,,,,0,,0,,제물포환경_인천광역시중구사동13-4정우빌딩910호
5,분뇨수집운반업,09_30_10_P,3450000,345000053200100005,2001-04-02,,1,영업/정상,11,영업,,,,,053-944-1133,,,대구광역시 북구 고성동2가 113-2,"대구광역시 북구 고성로 142, 태평빌딩 3층 (고성동2가)",41596,(합자)성북위생,2026-02-11 13:40:06,U,2026-02-13 02:40:00,,342739.079006892,265678.94499247,분뇨등관련영업관리,,,,,0,,0,,(합자)성북위생_대구광역시북구고성동2가113-2
21,분뇨수집운반업,09_30_10_P,3090000,309000053200000001,2001-02-15,,1,영업/정상,11,영업,,,,,9828200,,142-100,서울특별시 강북구 미아동 320-27 코리아나빌딩 704호,,,금강정화개발(주),2026-02-03 16:40:29,U,2026-02-06 02:40:00,공공장소 청소 및 유사 서비공공장소 청소 및 유사 서비스업,201955.24701675,457642.323536204,분뇨등관련영업관리,공공장소 청소 및 유사 서비공공장소 청소 및 유사 서비스업,,,,0,,0,,금강정화개발(주)_서울특별시강북구미아동320-27코리아나빌딩704호
30,분뇨수집운반업,09_30_10_P,3490000,349000053200000012,2000-10-17,,1,영업/정상,3,재개업,,,,2013-08-26,032-766-3009,,,인천광역시 중구 중산동 1873-6 스카이가든 1316호,"인천광역시 중구 자연대로 37, 스카이가든 (중산동)",22402,영종환경,2026-02-02 15:02:54,U,2026-02-04 02:40:00,,161005.93,442978.89,분뇨등관련영업관리,,,,,0,,0,,영종환경_인천광역시중구중산동1873-6스카이가든1316호
34,분뇨수집운반업,09_30_10_P,3510500,351050053200000003,2000-04-17,,1,영업/정상,3,재개업,,,,2009-03-24,,,,인천광역시 미추홀구 주안동 238-1 오피스텔 디에이 리베로 1314호,"인천광역시 미추홀구 주안로 89, 오피스텔 디에이 리베로 13층 1314호 (주안동)",22132,(주)인천환경개발공사,2026-02-19 13:09:39,U,2026-02-21 02:40:00,,171559.220855577,440292.143678819,분뇨등관련영업관리,,,,,0,,0,,(주)인천환경개발공사_인천광역시미추홀구주안동238-1오피스텔디에이리베로1314호
32,분뇨수집운반업,09_30_10_P,3420000,342000053000000016,2000-01-24,,1,영업/정상,3,재개업,,,,2012-12-01,053 9441874,,,대구광역시 동구 신암동 804-5 3층,"대구광역시 동구 대현로 137, 3층 (신암동)",41196,(주)안심위생크리닉,2026-02-10 13:41:02,U,2026-02-12 02:40:00,,345657.448775866,265785.660111903,분뇨등관련영업관리,,,,,0,,0,,(주)안심위생크리닉_대구광역시동구신암동804-53층
