사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리주체,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
춘천시노인전문병원,요양병원(일반요양병원),,266472.713057028,486655.634360717,2026-04-10 03:03:03,U,1,정상,5840.76,32,36,2026-04-09 17:48:07,,2010-01-22,5840.76,,,,,,시도,201064200002000002,6530000,강원특별자치도 춘천시 동면 세실로 252,,01,영업/정상,212,,,033-240-7500
영광재활병원,병원,,287814.956845904,426438.392178082,2026-04-10 03:03:03,U,1,정상,2891,35,23,2026-04-09 17:46:17,,2011-02-23,2891,,,,,의사,시도,201164200002000001,6530000,"강원특별자치도 원주시 오리현길 236-0,  (행구동)층 (행구동)",,01,영업/정상,94,,,033-746-4100
춘천요양병원,요양병원(일반요양병원),,267126.590536997,488627.11291077,2026-04-10 03:03:03,U,1,정상,5855.7,41,49,2026-04-09 17:37:13,,2012-03-02,5855.7,,,,,한의사,시도,201264200002000002,6530000,강원특별자치도 춘천시 동면 춘천로 527-34,,01,영업/정상,303,,,033-260-7114
해오름자연요양병원,요양병원(일반요양병원),,321414.822893207,458363.631656906,2026-04-10 03:03:03,U,1,정상,2465.52,10,30,2026-04-09 17:41:21,,2015-08-13,2465.52,,,,,,시도,201564200002000002,6530000,강원특별자치도 평창군 봉평면 기풍로 199,,01,영업/정상,57,,,033-335-7582
속초정요양병원,요양병원(일반요양병원),,339041.649440252,521964.949634866,2026-04-10 03:03:03,U,1,정상,4004.1,47,27,2026-04-09 17:45:49,,2015-08-17,4004.1,,,,,의사,시도,201564200002000003,6530000,"강원특별자치도 속초시 동해대로 4084, (조양동)층 (조양동)",,01,영업/정상,131,,,033-637-0757
연세메디하임병원,병원,,274818.689682307,425238.051595747,2026-04-10 03:03:03,U,1,정상,5872,52,51,2026-04-09 17:40:52,,2016-08-01,5872,,,,,의사,시도,201664200002000003,6530000,"강원특별자치도 원주시 문막읍 원문로 1419-0, 연세메디하임병원층",,01,영업/정상,230,,,033-740-8800
철원병원,병원,,226929.100240543,516412.772602971,2026-04-10 03:03:03,U,1,정상,6440.45,31,33,2026-04-09 17:45:23,,2017-11-01,6440.45,,,,,의사,시도,201764200002000004,6530000,강원특별자치도 철원군 갈말읍 명성로 208-0,,01,영업/정상,88,,,033-452-5011
원주불로병원,병원,,283605.62225651,428660.462755121,2026-04-10 03:03:03,U,1,정상,3828.54,68,43,2026-04-09 17:37:05,,2018-04-11,3828.54,,,,,의사,시도,201864200002000002,6530000,"강원특별자치도 원주시 평원로 165-0,  (학성동)층 (학성동)",,01,영업/정상,145,,,033-747-2000
동산한방병원,한방병원,2026-04-09,186448.126290385,422858.055730807,2026-04-10 03:03:03,U,03,폐업,724.65,7,8,2026-04-09 13:23:01,,2008-12-03,724.65,,,109 301 302 303 304 305 306 307 308,"마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한방병원,시군구,PHMA220083930162021200003,3930000,"경기도 안산시 상록구 석호로 43, 2층 (이동, 굿모닝오피스텔)",15494,03,폐업,40,,,031-502-5975
푸른사랑병원,병원,,330015.564028515,410050.982404069,2026-04-10 03:03:03,U,1,정상,1286.07,4,11,2026-04-09 17:48:50,,2009-04-27,1286.07,,,,,의사,시도,200964200002000001,6530000,강원특별자치도 영월군 영월읍 중앙로 10,,01,영업/정상,60,,,033-374-7575
