사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
GS25 동탄프라임점,,206325.039007167,411418.618291691,2026-04-10 03:03:03,U,13,영업중,2026-04-09 11:07:22,,2019-06-03,,경기도 화성시 동탄구 반송동 **-* 동탄 위버폴리스,PHMG120195530021047000049,5530000,"경기도 화성시 동탄구 동탄지성로 **, ***-*,***호 (반송동, 동탄 위버폴리스)",18454,01,영업/정상,,,031-613-7892,10
에스원 강화영업소,,155181.307315535,471410.631913071,2026-04-10 03:03:03,U,13,영업중,2026-04-09 09:07:11,,2022-04-08,,인천광역시 강화군 강화읍 갑곳리 ***,PHMG120223570013047000038,3570000,"인천광역시 강화군 강화읍 대월로 *, *층",23025,01,영업/정상,,,,69.3
(주)진스텍,,169424.109924844,442692.722669138,2026-04-10 03:03:03,U,15,전출,2026-04-09 16:03:27,,2012-09-12,,인천광역시 동구 송림동 ***번지 인천산업용품유통단지,PHMG120123500020047000012,3500000,"인천광역시 동구 방축로**번길 **, 인천산업용품유통단지 **동 ***, ***호 (송림동)",22530,05,제외/삭제/전출,,,032-777-9305,78.18
(주)코리아세븐 미사안강점,,216668.936475106,451486.158412733,2026-04-10 03:03:03,U,13,영업중,2026-04-09 17:57:43,,2024-11-29,,경기도 하남시 망월동 ****-* 미사강변 안강프라이빗뷰 ***호,PHMG120244040023047000168,4040000,"경기도 하남시 미사강변중앙로 ***, 미사강변 안강프라이빗뷰 ***호 (망월동)",12913,01,영업/정상,,,,36
피엘웍스,2026-04-09,209068.896480357,415886.878136892,2026-04-10 03:03:03,U,03,폐업,2026-04-09 11:22:49,,2018-10-04,,경기도 용인시 기흥구 공세동 ***번지,PHMG120184050148047000051,4050000,경기도 용인시 기흥구 한일로 **-** (공세동),17099,03,폐업,,,031-625-2201,
주식회사바모스메디,,205311.283256449,420682.801161761,2026-04-10 03:03:03,U,13,영업중,2026-04-09 16:42:07,,2024-12-02,,경기도 수원시 영통구 하동 **** 광교 효성해링턴 타워,PHMG120253740033047000025,3740000,"경기도 수원시 영통구 광교중앙로 ***, 광교 효성해링턴 타워 에이동 ****호 (하동)",16514,01,영업/정상,,,,
희림상사,2026-04-07,197611.357756618,447903.3147094,2026-04-10 03:03:03,U,03,폐업,2026-04-09 15:07:39,,2023-04-25,,서울특별시 용산구 한강로*가 ***-* (주)성윤통상,PHMG120233020033047000030,3020000,"서울특별시 용산구 한강대로**다길 *, (주)성윤통상 *층 (한강로*가)",04382,03,폐업,,,02-793-0600,
히어링몰 엘리,2026-04-07,209634.838106536,427516.500850969,2026-04-10 03:03:03,U,03,폐업,2026-04-09 09:11:52,,2004-02-07,463-500,경기도 성남시 분당구 구미동 **번지 *호 분당프라자 ***호,PHMG120043780064047000006,3780000,"경기도 성남시 분당구 돌마로 **, ***호 (구미동, 분당프라자)",13627,03,폐업,,,,6.98
중고가전재활용,,212421.555271648,445475.306013026,2026-04-10 03:03:03,U,15,전출,2026-04-09 17:05:49,,2023-08-02,,경기도 하남시 감일동 ***-**,PHMG120224040023047000247,4040000,"경기도 하남시 동남로 ***, *층 (감일동)",12993,05,제외/삭제/전출,,,,49.5
턴업에스테닉 피부관리 고양일산점,,180842.086155646,461406.473246905,2026-04-10 03:03:03,U,13,영업중,2026-04-09 09:37:47,,2020-08-06,,경기도 고양시 일산동구 마두동 *** 백마프라자,PHMG120203940139047000021,3940000,"경기도 고양시 일산동구 강송로 ***, 백마프라자 ***호 (마두동)",10416,01,영업/정상,,,,60.77
