사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
한국토지주택공사,1208209373,5종,토공사업,,,,2026-04-10 03:03:03,U,11,영업,300,6,대기배출업소관리,2026-04-09 17:46:12,2025-11-13,,서울특별시 송파구 장지동 915,323000021202500003,3230000,,300,,서울특별시 송파구 헌릉로 870 (장지동),05845,,01,영업/정상,,,02-6078-6860,토공사업
(주)에이에스에이텍,1198155526,5종,그외 기타 전자부품 제조업,,174537.757435988,432906.030064938,2026-04-10 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-09 17:17:31,2015-12-10,,인천광역시 남동구 고잔동 120-3,353000021201500017,3530000,,300,,인천광역시 남동구 청능대로484번길 8-13 (고잔동),21686,,01,영업/정상,,,070-5038-5130,그외 기타 전자부품 제조업
우진사료공업(주),,4종,사료 제조업,,169544.218502768,443276.472498201,2026-04-10 03:03:03,U,11,영업,300,43,대기배출업소관리,2026-04-09 13:52:20,2003-04-25,,인천광역시 서구 가좌동 178-30,356000021198301559,3560000,,300,,인천광역시 서구 백범로934번길 32 (가좌동),,,01,영업/정상,,,032-576-3131,사료 제조업
웨스트 코스트,3860702819,5종,도장및기타피막처리업,2026-04-09,170752.077354571,443556.334261595,2026-04-10 03:03:03,U,4,폐쇄,240,4,대기배출업소관리,2026-04-09 11:23:05,2024-07-01,,인천광역시 서구 가좌동 146-1,356000021202400014,3560000,,240,,인천광역시 서구 가정로97번길 12 (가좌동),22835,,04,취소/말소/만료/정지/중지,,,,도장및기타피막처리업
(주)삼송글로벌,5298600451,5종,기타 건축용 나무제품 제조업,,168364.436252397,444227.2136774,2026-04-10 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-09 13:43:06,2017-07-27,,,356000021201700056,3560000,,300,,인천광역시 서구 건지로 13 (석남동),22769,,01,영업/정상,,,,기타 건축용 나무제품 제조업
스페셜휠복원,4060494999,5종,자동차 재제조 부품 제조업,,170269.885898766,442897.710465501,2026-04-10 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-09 11:52:21,2025-09-10,,인천광역시 서구 가좌동 585-47,356000021202500022,3560000,,,,인천광역시 서구 염곡로 32 (가좌동),22839,,01,영업/정상,,,032-572-8246,자동차 재제조 부품 제조업
해양불한증막사우나,1927700693,4종,"미용, 욕탕 및 유사 서비스업",,203141.608646505,470456.231476861,2026-04-10 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-09 15:11:15,2015-12-09,,경기도 의정부시 의정부동 523-8,382000021201500013,3820000,,300,,경기도 의정부시 의정로40번길 21 (의정부동),11624,,01,영업/정상,,,031-826-7700,"미용, 욕탕 및 유사 서비스업"
디케이알텍주식회사,3908500763,5종,합성수지 및 기타 플라스틱물질 제조업,2026-04-09,180478.916808346,445841.92990733,2026-04-10 03:03:03,U,4,폐쇄,300,20,대기배출업소관리,2026-04-09 16:11:57,2019-07-30,,경기도 부천시 원미구 도당동 169-8,386000021201900023,3860000,청소용파이프,300,,"경기도 부천시 원미구 옥산로 235, 1,2호 (도당동)",14519,,04,취소/말소/만료/정지/중지,,,032-672-4022,합성수지 및 기타 플라스틱물질 제조업
동광알루,8500402115,5종,그외 기타 금속가공업,2026-04-09,179764.3925,446719.5525,2026-04-10 03:03:03,U,4,폐쇄,365,24,대기배출업소관리,2026-04-09 16:17:20,2021-04-05,,경기도 부천시 오정구 삼정동 219,386000021202100006,3860000,알루미늄PIPE,365,,"경기도 부천시 오정구 신흥로437번길 69, 1층 (삼정동)",14451,,04,취소/말소/만료/정지/중지,,,032-672-4022,그외 기타 금속가공업
(주)에스엘테크,5948803591,5종,,,207087.88006256,392774.698359816,2026-04-10 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-09 08:05:00,2018-05-16,,경기도 평택시 모곡동 440,391000021201800025,3910000,,300,,"경기도 평택시 산단로 92, 디동 (모곡동)",17745,,01,영업/정상,,,,
메카닉모터스,1342318200,5종,자동차 종합 수리업,,188952.979852933,421095.313703826,2026-04-10 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-09 14:54:52,2007-07-03,,경기도 안산시 상록구 본오동 729-6,393000021200700004,3930000,,300,,경기도 안산시 상록구 오목로13길 3 (본오동),,,01,영업/정상,,,031-409-1793,자동차 종합 수리업
(주)오성앤센스락,4218701532,5종,자동차 종합 수리업,,186330.055094857,419730.764717816,2026-04-10 03:03:03,U,11,영업,300,3,대기배출업소관리,2026-04-09 15:08:31,2008-01-28,,경기도 안산시 상록구 사동 1494,393000021200800001,3930000,,300,,경기도 안산시 상록구 선진안길 53 (사동),,,01,영업/정상,,,031-407-9663,자동차 종합 수리업
군자자동차공업사,1340198046,5종,자동차 수리업,,186401.39,419870.654999999,2026-04-10 03:03:03,U,11,영업,300,3,대기배출업소관리,2026-04-09 16:38:22,2000-11-24,,경기도 안산시 상록구 사동 1486-6,393000021200031234,3930000,,300,,경기도 안산시 상록구 선진안길 127 (사동),,,01,영업/정상,,,031-417-9400,자동차 수리업
