사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
서울과학기술대학교,2178300732,4종,,,206981.454072644,458960.471391303,2026-04-11 03:03:03,U,11,영업,120,4,대기배출업소관리,2026-04-10 14:13:02,2015-12-29,,,310000021201500015,3100000,,120,,서울특별시 노원구 공릉로 232 (공릉동),01811,,01,영업/정상,,,,
(주)케이이씨디바이스,2148792435,5종,부동산 임대업,,203762.112124282,441652.086259927,2026-04-11 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-10 14:20:37,2022-05-27,,서울특별시 서초구 양재동 275-5 태석빌딩,321000021202200003,3210000,,,,"서울특별시 서초구 마방로10길 5, 태석빌딩 (양재동)",06775,,01,영업/정상,,,,부동산 임대업
명일우성아파트입주자대표회의,4118287407,4종,부동산 관리업,,213354.806799715,449887.005648161,2026-04-11 03:03:03,U,11,영업,365,3.5,대기배출업소관리,2026-04-10 15:05:49,2020-11-23,,서울특별시 강동구 명일동 42 고덕우성아파트 관리사무소,324000021202000004,3240000,,365,,"서울특별시 강동구 고덕로62길 76 (명일동, 우성아파트)",05268,,01,영업/정상,,,02-428-3095,부동산 관리업
(주)에코프라임,3118128440,5종,토양 및 지하수 정화업,,167588.673914944,438003.841533286,2026-04-11 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-10 16:59:35,2023-01-10,,인천광역시 미추홀구 용현동 627-651,351050021202300001,3510500,,300,,,,,01,영업/정상,,,,토양 및 지하수 정화업
동부자동차공업사,1310853258,4종,자동차 수리 및 세차업,,172154.726859632,441103.192981701,2026-04-11 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-10 16:58:49,2011-11-14,,인천광역시 남동구 간석동 616-87,353000021201100012,3530000,,,,인천광역시 남동구 방축로 394 (간석동),,,01,영업/정상,,,,자동차 수리 및 세차업
(주)대진표면처리약품,1228182785,5종,도금업,,172668.14259584,441714.957852778,2026-04-11 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-10 17:44:39,1995-02-15,,인천광역시 부평구 십정동 120-1,354000021199500391,3540000,,300,,인천광역시 부평구 백범로578번길 65 (십정동),21448,,01,영업/정상,,,032-0578-0603,도금업
비케이리메탈(주),1318657233,5종,지정 폐기물 처리업,,174918.439704588,432325.581153445,2026-04-11 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-10 17:03:52,2021-01-29,,인천광역시 남동구 고잔동 389-7,353000021202100002,3530000,,300,,인천광역시 남동구 고잔로 45-1 (고잔동),21678,,01,영업/정상,,,032-715-5205,지정 폐기물 처리업
(주)다온이엔텍,8528101530,5종,폐기물 처리업,,166856.314378071,453252.11218413,2026-04-11 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-10 10:12:01,2020-02-25,,인천광역시 서구 오류동 1500-5,356000021202000010,3560000,,300,,인천광역시 서구 길무로 215 (오류동),22668,,01,영업/정상,,,,폐기물 처리업
대영자동차공업사,1274639282,5종,자동차 종합 수리업,,201434.482770576,472507.314414049,2026-04-11 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-10 09:46:45,2007-01-05,,경기도 의정부시 가능동 427-1,382000021200700001,3820000,,300,,경기도 의정부시 입석로 79 (가능동),11601,,01,영업/정상,,,031-876-4982,자동차 종합 수리업
(주)일흥엔터프라이즈,1308172105,5종,기타 제철 및 제강업,,179073.397691998,446333.543882891,2026-04-11 03:03:03,U,11,영업,260,16,대기배출업소관리,2026-04-10 14:06:29,2012-05-24,,경기도 부천시 오정구 삼정동 365 부천테크노파크3단지 302동 302호,386000021201200022,3860000,전선,260,,경기도 부천시 오정구 석천로 345 (삼정동),14501,,01,영업/정상,,,,기타 제철 및 제강업
