사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리주체,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
내안에병원,정신병원,,284004.108457156,426211.92172411,2026-04-11 03:03:03,U,1,정상,3635.19,19,48,2026-04-10 17:41:38,,2009-10-28,3635.19,,,,,의사,시도,200964200002000008,6530000,"강원특별자치도 원주시 남원로 562-5,  (개운동)층 (개운동)",,01,영업/정상,205,,,033-733-1199
원주효요양병원,요양병원(일반요양병원),,283756.782954782,428388.408815569,2026-04-11 03:03:03,U,1,정상,1520,8,14,2026-04-10 17:41:27,,2011-10-28,1520,,,,,,시도,201164200002000006,6530000,"강원특별자치도 원주시 원일로 176-1,  (학성동)층 (학성동)",,01,영업/정상,79,,,033-747-6701
원주센텀병원,병원,,282368.389057022,426156.527130837,2026-04-11 03:03:03,U,1,정상,4188.86,28,42,2026-04-10 17:41:23,,2018-04-17,4188.86,,,,,의사,시도,201864200002000003,6530000,"강원특별자치도 원주시 능라동길 70-0,  (무실동)층 (무실동)",,01,영업/정상,126,,,033-900-1111
연세명인병원,병원,,283992.304984137,428352.538835144,2026-04-11 03:03:03,U,1,정상,4963.19,71,40,2026-04-10 17:41:47,,2021-12-08,4963.19,,,,,의사,시도,202164200002000006,6530000,"강원특별자치도 원주시 평원로 100-0,  (학성동)층 (학성동)",,01,영업/정상,139,,,033-813-1111
일산참사랑요양병원,요양병원(일반요양병원),,179415.194722872,462371.641551543,2026-04-11 03:03:03,U,13,영업중,1787.41,28,48,2026-04-10 09:15:30,,2007-02-16,1787.41,410-837,"경기도 고양시 일산동구 장항2동 733번지 2호 남정시티프라자8차 3층, 4층, 6층, 8층",101 102 113 114 115 120 122 306,"내과, 신경과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방재활의학과",요양병원(일반요양병원),시군구,PHMA220073940139021200006,3940000,"경기도 고양시 일산동구 무궁화로 31-16 (장항동, 남정시티프라자8차 3층, 4층, 6층, 8층)",10364,01,영업/정상,263,,,031-918-1070
고려대학교의과대학부속안산병원,종합병원,,184436.090447315,424158.8252823,2026-04-11 03:03:03,U,13,영업중,53829.71,1701,203,2026-04-10 08:56:13,,1986-01-01,53829.71,,,101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 122 123 124 125 402 403 404 406 407,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과",종합병원,시군구,PHMA219863930154021200001,3930000,경기도 안산시 단원구 적금로 123 (고잔동),15355,01,영업/정상,767,,,031-1577-7516
동국대학교일산불교병원,종합병원,,182859.165827012,463795.707030926,2026-04-11 03:03:03,U,13,영업중,81344,924,193,2026-04-10 09:14:42,,2005-05-31,81344,,,101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 122 123 125 402,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과",종합병원,시군구,PHMA220053940139021200001,3940000,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",10326,01,영업/정상,673,,,031-1577-7000
의료법인 세경의료재단 새빛안과병원,병원,,,,2026-04-11 03:03:03,U,13,영업중,4090.99,65,14,2026-04-10 09:15:59,,2005-10-19,4090.99,410-360,경기도 고양시 일산동구 백석2동 1334-3,112 109 101,"내과, 마취통증의학과, 안과",병원,시군구,PHMA220053940139021200002,3940000,경기도 고양시 일산동구 중앙로 1065 (백석동),10447,01,영업/정상,50,,,031-900-7700
춘천호반요양병원,요양병원(일반요양병원),,262179.991029736,484053.913065895,2026-04-11 03:03:03,U,1,정상,2355.52,26,33,2026-04-10 17:41:42,,2008-10-20,2355.52,,,,,,시도,200864200002000012,6530000,"강원특별자치도 춘천시 옛경춘로 663, 663층 (삼천동)",,01,영업/정상,156,,,033-251-9911
근로복지공단 태백병원,종합병원,,378094.499102264,402124.576851536,2026-04-11 03:03:03,U,1,정상,19923.76,184,83,2026-04-10 14:38:57,,1977-05-01,19923.76,,,,,,시도,197764200002000003,6530000,"강원특별자치도 태백시 보드미길 8,  (장성동)층 (장성동)",,01,영업/정상,273,,,033-580-3114
