건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
2,임대,0,고클린,건물위생관리업,,,,,284496.05309005,426184.299184774,2026-04-11 03:03:03,U,01,영업,1,2026-04-10 15:14:02,2026-04-02,42.37,,강원특별자치도 원주시 단구동 520-1,N,,4191000-206-2026-00016,4191000,"강원특별자치도 원주시 치악로1735번길 60, 1층 일부호 (단구동)",26446,01,영업/정상,건물위생관리업,,1,0,1,0
0,,0,(주)엠에스시스템아이엔씨,건물위생관리업,,,,,176759.9,448182.77,2026-04-11 03:03:03,U,01,영업,0,2026-04-10 09:30:01,2022-01-10,137.60,407-813,인천광역시 계양구 계산동 1080-7 미래사랑빌딩,N,4,3550000-206-2022-00006,3550000,"인천광역시 계양구 오조산로57번길 7-1, 미래사랑빌딩 8층 802호 (계산동)",21069,01,영업/정상,건물위생관리업,032-549-6095,,,,
0,,0,(주)한국위생연구소,건물위생관리업,,,,,198255.761425267,442315.07631672,2026-04-11 22:21:51,I,01,영업,0,2026-04-10 11:44:26,2020-10-15,105.52,156-824,서울특별시 동작구 사당동 1007-32,N,0,3190000-206-2020-00004,3190000,"서울특별시 동작구 사당로30길 41, 3층 (사당동)",07013,01,영업/정상,건물위생관리업,02-2231-3238,,1,,1
0,,0,대성하우징,건물위생관리업,,,,,210986.460698452,441725.293491662,2026-04-11 22:21:52,I,01,영업,0,2026-04-10 09:49:28,2016-12-21,11.12,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,N,0,3230000-206-2016-00054,3230000,"서울특별시 송파구 충민로 66, 가든파이브라이프 제에프-9121호 (문정동)",05838,01,영업/정상,건물위생관리업,02-6403-4647,,,,
0,,0,만조(주),건물위생관리업,,,,,209266.32947403,429348.924404431,2026-04-11 21:51:54,I,01,영업,0,2026-04-10 15:04:09,2026-04-10,38.16,463-847,경기도 성남시 분당구 정자동 24 인텔리지Ⅱ C-2910호,N,0,3810000-206-2026-00003,3780000,"경기도 성남시 분당구 정자일로 177, 인텔리지Ⅱ C-2910호 (정자동)",13557,01,영업/정상,건물위생관리업,,0,0,0,0
,,,이에스종합개발,건물위생관리업,,,,,179733.882227546,444506.609142276,2026-04-11 21:21:50,I,01,영업,,2026-04-10 16:09:16,2026-04-10,.00,,경기도 부천시 원미구 중동 1147-3 뉴월드프라자 301호 일부,N,,3871000-206-2026-00005,3860000,"경기도 부천시 원미구 중동로262번길 50, 뉴월드프라자 301호 일부 (중동)",14548,01,영업/정상,건물위생관리업,,,,,
0,,0,바로일고,건물위생관리업,,,,,216609.769142875,415089.034615131,2026-04-11 21:51:53,I,01,영업,0,2026-04-10 16:29:39,2026-04-10,24.00,449-931,경기도 용인시 처인구 역북동 418-13,N,0,5620000-206-2026-00003,4050000,"경기도 용인시 처인구 중부대로1281번길 10-5, 1층 (역북동)",17047,01,영업/정상,건물위생관리업,,0,0,0,0
0,,0,민조경산업(주),건물위생관리업,,,,,197919.184755018,412890.651684567,2026-04-11 21:51:51,I,01,영업,0,2026-04-10 10:42:06,2026-04-10,105.00,,경기도 화성시 효행구 봉담읍 와우리 100-5 2층 일부호,N,0,5750000-206-2026-00004,5530000,"경기도 화성시 효행구 봉담읍 남촌길 38, 2층 일부호",18321,01,영업/정상,건물위생관리업,,,,,
0,,0,(주)한국위생연구소,건물위생관리업,2026-04-10,,,,198539.123953821,443301.997702229,2026-04-11 03:03:03,U,02,폐업,0,2026-04-10 11:21:18,2020-10-15,60.00,137-830,서울특별시 서초구 방배동 787-1 201호,N,0,3210000-206-2020-00026,3210000,"서울특별시 서초구 동광로3길 21, 2층 201호 (방배동)",06560,03,폐업,건물위생관리업,02-2231-3238,,1,,1
0,,0,에이치디씨랩스(주),건물위생관리업,,,,,201864.087555234,442677.761035486,2026-04-11 03:03:03,U,01,영업,,2026-04-10 13:43:32,2021-12-22,413.92,137-865,서울특별시 서초구 서초동 1439-2 HDC랩스타워 5층,N,,3210000-206-2021-00017,3210000,"서울특별시 서초구 효령로 346, HDC랩스타워 5층 (서초동)",06722,01,영업/정상,건물위생관리업,,0,0,0,0
