축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총직원수
,도축업,주식회사 우경축산 (지점),,,,2026-01-12 09:41:07,I,0000,정상,2025-11-11 13:27:05,,1978-08-22,7123.54,445-961,경기도 화성시 정남면 귀래리 209-26 외 10필지,641000000519630001,6410000,L00,경기도 화성시 정남면 내향로 360,,,01,영업/정상,,,031-366-3222,0
,도축업,(주)협신식품,,,,2025-12-15 16:15:28,I,0000,정상,2024-10-24 17:06:08,,1972-05-11,12753.98,430-849,경기도 안양시 만안구 박달동  692번지 9호,641000000519720001,6410000,L00,경기도 안양시 만안구 박달로 298 (박달동),,,01,영업/정상,,,031-447-9001,0
,도축업,우진산업,,232391.040330643,427629.223562195,2025-12-15 16:15:28,I,0000,정상,2021-03-25 21:49:19,,1975-05-28,5604,464-875,경기도 광주시 곤지암읍 열미리 502번지 4호,641000000519750001,6410000,000,경기도 광주시 곤지암읍 광여로 200-18,,,01,영업/정상,,,031-762-6090,0
,도축업,(주)평농,,,,2025-12-15 16:15:28,I,0000,정상,2022-03-04 17:27:32,,1980-09-11,7028,450-090,경기도 평택시 지제동  233번지 1호,641000000519800002,6410000,000,경기도 평택시 칠괴길 25 (지제동),,,01,영업/정상,,,031-656-1995,0
,도축업,에비앙푸드 주식회사,,195993.717885405,415493.782022047,2026-03-11 21:00:41,U,0000,정상,2026-03-10 17:21:31,,1982-10-28,3079.68,445-896,경기도 화성시 효행구 봉담읍 수영리 387번지 1호,641000000519820002,6410000,000,경기도 화성시 효행구 봉담읍 효행로20번길 16-32,,,01,영업/정상,,,031-291-2591,0
,도축업,주식회사 우석에프앤비,,174839.121864705,455945.469507961,2026-01-12 09:41:07,I,0001,휴업,2025-01-10 08:34:36,,1989-11-03,5546,415-070,경기도 김포시 풍무동  661번지 8호,641000000519890001,6410000,L00,경기도 김포시 승가로 71 (풍무동),,,02,휴업,,,031-983-7788,0
,도축업,(주)한강식품,,,,2025-12-15 16:15:28,I,0000,정상,2022-09-15 17:12:07,,2005-08-22,22298.84,445-976,경기도 화성시 안녕동  146번지 123호,641000000519890003,6410000,000,경기도 화성시 만년로969번길 17 (안녕동),,,01,영업/정상,,,031-226-6000,0
,도축업,주식회사 도드람엘피씨,,,,2026-01-12 09:41:07,I,0000,정상,2025-09-19 18:32:48,,1996-12-12,14854.31,456-913,경기도 안성시 일죽면 금산리 598번지,641000000519960001,6410000,L00,경기도 안성시 일죽면 일생로 185-11,,,01,영업/정상,,,031-8056-3300,0
,도축업,포천농축산(주),,219194.135275483,491720.045906673,2025-12-15 16:15:28,I,0000,정상,2022-06-27 13:39:45,,1998-12-18,3766.51,,경기도 포천시 신북면 신평리 647번지 8호,641000000519980001,6410000,L00,경기도 포천시 신북면 중앙로461번길 25,,,01,영업/정상,,,031-533-8880,0
,도축업,주식회사 친환경 명품축산,,213368.905649666,460064.019783481,2026-01-12 09:41:07,I,0001,휴업,2025-04-28 19:22:39,,1998-09-24,1910.27,472-831,경기도 남양주시 진건읍 진관리 931번지 3호,641000000519980002,6410000,L00,경기도 남양주시 진건읍 금강로361번길 50,,,02,휴업,2022-01-29,2027-12-31,031-572-1226,0
,도축업,(주)마니커 동두천지점,,,,2026-01-12 09:41:07,I,0000,정상,2025-04-15 18:40:16,,1998-11-04,9838.24,483-110,경기도 동두천시 하봉암동  127번지,641000000519980004,6410000,L00,경기도 동두천시 승전로 6 (하봉암동),,,01,영업/정상,,,031-868-6007,0
