축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
71,종축업,도원농장,종계업,,,,2026-02-01 10:35:01,I,0001,휴업,2025-09-05 13:44:28,,1995-09-16,8459,445-941,경기도 화성시 만세구 장안면 어은리 ***,종계업,553000000219950001,5530000,000,경기도 화성시 만세구 장안면 장안로 ***,18583,,02,휴업,2025-09-04,2026-09-03,
73,종축업,다산농장,종계업,,,,2026-02-01 10:35:01,I,0000,정상,2025-08-06 14:13:27,,1996-05-20,3200,445-932,경기도 화성시 만세구 양감면 용소리 ***,종계업,553000000219960003,5530000,000,경기도 화성시 만세구 양감면 용소금각로**번길 ***-**,18630,,01,영업/정상,,,
11,종축업,지 ·엠 ·지,종돈업,,187848.497833973,400602.936523473,2026-02-01 10:35:01,I,0000,정상,2025-10-02 19:42:03,,2000-11-24,0,445-944,경기도 화성시 만세구 장안면 수촌리 ****-*,종돈업,553000000220000002,5530000,L00,경기도 화성시 만세구 장안면 *.*만세로 ***-**,18581,,01,영업/정상,,,
579,종축업,사창종계장,종계업,,,,2026-02-01 10:35:01,I,0004,말소,2016-01-11 15:33:10,,2002-12-09,0,445-932,"경기도 화성시 만세구 양감면 사창리 산 *** , ***-*, ***-*",종계업,553000000220020001,5530000,000,,,,04,취소/말소/만료/정지/중지,,,
81,종축업,호계농장,종계업,,198648.609608852,400679.257393622,2026-02-01 10:35:01,I,0001,휴업,2025-08-06 14:12:41,,2004-12-03,0,445-933,경기도 화성시 만세구 양감면 송산리 ***-*,종계업,553000000220040002,5530000,000,경기도 화성시 만세구 양감면 후곡길 **-*,18628,,02,휴업,2015-04-06,2016-04-05,
900,종축업,동지농장,종계업,,197098.571288409,400193.840613788,2026-02-01 10:35:01,I,0001,휴업,2025-09-12 15:38:13,,2005-10-28,0,445-932,경기도 화성시 만세구 양감면 사창리 ***-*,종계업,553000000220050001,5530000,000,,,,02,휴업,2025-09-10,2028-09-09,
2352,종축업,화성농장,종계업,,,,2026-02-01 10:35:01,I,0000,정상,2025-08-06 14:17:27,,2014-11-18,,445-110,"경기도 화성시 만세구 남양읍 온석리 ***-*,-*,-**",종계업,553000000220140003,5530000,000,,,,01,영업/정상,,,
2353,종축업,계원농장,종계업,,,,2026-02-01 10:35:01,I,0000,정상,2025-08-06 14:18:26,,2014-11-18,,445-932,경기도 화성시 만세구 양감면 사창리 ***,종계업,553000000220140004,5530000,000,경기도 화성시 만세구 양감면 정문회화로 **-**,18627,,01,영업/정상,,,
2365,종축업,정문농장,종계업,,198471.737947335,399197.232516795,2026-03-07 21:33:41,U,0000,정상,2026-03-06 10:02:00,,2015-03-31,,445-933,경기도 화성시 만세구 양감면 정문리 ***-*,종계업,553000000220150001,5530000,000,경기도 화성시 만세구 양감면 정문송산로 **-**,18627,2026-03-06,01,영업/정상,,,
2372,종축업,한일농장,종계업,,,,2026-02-01 10:35:01,I,0000,정상,2021-03-02 18:55:46,,2015-06-16,,445-867,경기도 화성시 만세구 남양읍 온석리 ***,종계업,553000000220150002,5530000,000,경기도 화성시 만세구 남양읍 온석길 **-**,18279,,01,영업/정상,,,
2424,종축업,윤호농장,종계업,,,,2026-02-01 10:35:01,I,0000,정상,2025-08-06 14:20:44,,2016-10-10,,,경기도 화성시 만세구 남양읍 활초리 ***,종계업,553000000220160001,5530000,000,경기도 화성시 만세구 남양읍 활초길***번길 **-**,18278,,01,영업/정상,,,
2426,종축업,야곱농장,종계업,,,,2026-02-01 10:35:01,I,0000,정상,2025-08-14 11:52:53,,2016-11-01,,,경기도 화성시 만세구 양감면 사창리 ***,종계업,553000000220160002,5530000,000,경기도 화성시 만세구 양감면 사릅재길 ***,18627,,01,영업/정상,,,
