사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
서울맹학교,1028300798,5종,기타 교육기관,2026-05-18,197063.814537141,453610.014806287,2026-05-19 03:03:03,U,4,폐쇄,190,7,대기배출업소관리,2026-05-18 16:47:09,2024-12-23,,서울특별시 종로구 신교동 1-4 국립서울맹학교,300000021202400018,3000000,,,,"서울특별시 종로구 필운대로 97, 국립서울맹학교 (신교동)",03032,,04,취소/말소/만료/정지/중지,,,02-731-6712,기타 교육기관
(주)티에스개발 로제우스 레포츠센터,1018527522,4종,종합 스포츠시설 운영업,,196196.102280624,456120.471852388,2026-05-19 03:03:03,U,11,영업,361,11,대기배출업소관리,2026-05-18 10:20:37,2015-12-21,,서울특별시 종로구 구기동 105-1,300000021201500069,3000000,,361,,서울특별시 종로구 진흥로 446 (구기동),03012,,01,영업/정상,,,02-2085-7991,종합 스포츠시설 운영업
영등포제3스포츠센터,1078301977,4종,지방행정 집행기관,,190630.345629051,444661.794725256,2026-05-19 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-18 13:12:56,2025-10-31,,서울특별시 영등포구 대림동 611,318000021202500006,3180000,,330,,서울특별시 영등포구 도신로 1 (대림동),07376,,01,영업/정상,,,02-2670-3696,지방행정 집행기관
(주)정우하이텍,8978700351,5종,도장 및 기타 피막처리업,,176262.199131486,446947.074381919,2026-05-19 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-05-18 15:07:38,2004-06-18,,인천광역시 계양구 작전동 738-6,355000021200400003,3550000,,300,,인천광역시 계양구 계양대로16번길 93 (작전동),21123,,01,영업/정상,,,032-544-0624,도장 및 기타 피막처리업
주식회사 정인,5588801414,5종,화장품 제조업,,169050.464241502,443965.701701233,2026-05-19 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-05-18 15:52:03,2022-12-07,,인천광역시 서구 가좌동 602-22,356000021202200037,3560000,,300,,인천광역시 서구 중봉대로198번길 25 (가좌동),22843,,01,영업/정상,,,,화장품 제조업
현대영통서비스(주),1248637753,5종,자동차 수리 및 세차업,,205587.387937865,417187.25554419,2026-05-19 03:03:03,U,11,영업,300,6,대기배출업소관리,2026-05-18 15:58:55,2005-10-31,,경기도 수원시 영통구 영통동 77-8,561000021200500004,3740000,,300,,경기도 수원시 영통구 영통로345번길 15 (영통동),,,01,영업/정상,,,,자동차 수리 및 세차업
지엘파마(주),1238114470,5종,,,,,2026-05-19 03:03:03,U,11,영업,150,8,대기배출업소관리,2026-05-18 10:18:43,2004-06-24,,경기도 안양시 만안구 안양동 218-7,383000021200100210,3830000,,150,,경기도 안양시 만안구 시민대로 35 (안양동),,,01,영업/정상,,,031-443-3922,
화성기업,1052351496,5종,플라스틱 접착테이프 및 기타 표면도포제품 제조업,,179435.156266648,447105.093738373,2026-05-19 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-05-18 11:10:00,1999-06-14,,경기도 부천시 오정구 삼정동 19-33,386000021199900285,3860000,핸드폰케이스,300,,경기도 부천시 오정구 오정로 71 (삼정동),,,01,영업/정상,,,032-672-7702,플라스틱 접착테이프 및 기타 표면도포제품 제조업
주식회사 성원하이테크,3558802298,5종,도장 및 기타 피막처리업,,180257.208563544,446543.452433156,2026-05-19 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-05-18 11:35:30,2018-02-20,,경기도 부천시 오정구 내동 118 대양빌딩,386000021201800005,3860000,플라스틱 제품,300,,"경기도 부천시 오정구 삼작로143번길 14, 동선테크노빌딩 가동 2층 (내동)",14452,,01,영업/정상,,,,도장 및 기타 피막처리업
(주)동원연탄,1278101657,5종,비금속광물제품 제조업,,204819.051507204,491918.517754343,2026-05-19 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-05-18 16:04:38,1979-06-26,,경기도 동두천시 동두천동 245-102,392000021197900067,3920000,,300,,경기도 동두천시 평화로 2709 (동두천동),11307,,01,영업/정상,,,031-865-4160,비금속광물제품 제조업
(주)거단산업,1258158192,5종,지정외 폐기물 처리업,,191313.2852258,395517.782793217,2026-05-19 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-18 10:43:47,2019-11-05,,경기도 평택시 청북읍 고잔리 14-6,391000021201900042,3910000,폐합성수지 부연료 등,,,경기도 평택시 청북면 청북중앙로 692-23,,,01,영업/정상,,,031-668-7365,지정외 폐기물 처리업
제이씨엔엠(주) 제1공장,1388178699,5종,그외 기타 분류안된 화학제품 제조업,,204983.577083082,404160.822327759,2026-05-19 03:03:03,U,11,영업,300,24,대기배출업소관리,2026-05-18 11:26:48,2014-01-10,,,400000021201400001,4000000,가수분해제,,,경기도 오산시 황새로149번길 41 (누읍동),,,01,영업/정상,,,031-387-8385,그외 기타 분류안된 화학제품 제조업
