건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,주식회사 아이오케이이엔엠,,199146.993277398,446703.426383454,유통관련업,대중문화예술기획업,2026-05-19 03:03:03,U,13,영업중,연예인매니지먼트,,,,2026-05-18 11:21:49,,2016-07-14,,서울특별시 용산구 서빙고동 *-** 비비안,CDFF3241092026000016,3020000,,"서울특별시 용산구 서빙고로**길 **, 비비안 *층 (서빙고동)",04384,01,영업/정상,,,,02-6743-5600,,
,제이디엔터테인먼트,,175375.960450196,469061.909275933,,,2026-05-19 03:03:03,U,13,영업중,,,,,2026-05-18 09:39:32,,2022-06-22,,경기도 파주시 동패동 **** 진흥효자아파트,CDFF3241092026000007,4060000,,"경기도 파주시 책향기로 ***, ****동 ***호 (동패동, 진흥효자아파트)",10874,01,영업/정상,,,,,,
,주식회사 알레폭,,196019.966064051,456926.240434731,,,2026-05-19 22:37:30,I,13,영업중,,,,,2026-05-18 11:15:48,,2026-05-18,,서울특별시 종로구 구기동 ***-** 다빈치힐,CDFF3241092026000009,3000000,,"서울특별시 종로구 비봉길 **-**, 다빈치힐 (구기동)",03001,01,영업/정상,,,,,,
,소셜 네트워크 마케팅 플랫폼 (SNMP),,193818.18014,446332.089777304,,,2026-05-19 22:07:30,I,13,영업중,,,,,2026-05-18 09:19:29,,2026-05-18,,서울특별시 영등포구 여의도동 **-** 제일빌딩,CDFF3241092026000014,3180000,,"서울특별시 영등포구 여의대방로 ***, 제일빌딩 ***호 (여의도동)",07333,01,영업/정상,,,,,,
,에스더블유플랜,,191831.034105464,445791.961374934,,,2026-05-19 22:07:30,I,13,영업중,,,,,2026-05-18 16:42:01,,2026-05-18,,서울특별시 영등포구 영등포동 ***-**,CDFF3241092026000015,3180000,,"서울특별시 영등포구 영신로 **, *층 ***호 (영등포동)",07307,01,영업/정상,,,,,,
,주식회사 송글,,201876.462889659,445883.111255859,,,2026-05-19 22:07:33,I,13,영업중,,,,,2026-05-18 13:19:43,,2026-05-18,,서울특별시 강남구 논현동 **-**,CDFF3241092026000092,3220000,,"서울특별시 강남구 강남대로***길 **, 지하*층 (논현동)",06038,01,영업/정상,,,,,,
,주식회사 마레힘,,179348.878402802,470070.024606608,,,2026-05-19 21:37:30,I,13,영업중,,,,,2026-05-18 10:37:18,,2026-05-18,,경기도 파주시 와동동 **** 운정한강듀클래스 ***호,CDFF3241092026000008,4060000,,"경기도 파주시 가람로***번길 ***, 운정한강듀클래스 ***호 (와동동)",10896,01,영업/정상,,,,,,
,소풍 엔터테인먼트,,176304.191636552,456514.414679479,,,2026-05-19 21:07:31,I,13,영업중,,,,,2026-05-18 10:37:19,,2020-02-03,,경기도 김포시 풍무동 ****,CDFF3241092026000007,4090000,,"경기도 김포시 풍무*로 **, *층 ****호 (풍무동)",10113,01,영업/정상,,,,,,
,서울메이트,,241621.69270065,430577.583696301,,,2026-05-19 21:37:30,I,13,영업중,,,,,2026-05-18 10:58:01,,2026-05-18,,경기도 여주시 금사면 주록리 **-*,CDFF3241092026000001,5700000,,경기도 여주시 금사면 금품*로 ***-*,12604,01,영업/정상,,,,,,
,소풍 엔터테인먼트,2026-05-18,185104.20167753,450725.785084054,,,2026-05-19 03:03:03,U,15,전출,,,,,2026-05-18 10:14:40,,2020-02-03,,서울특별시 강서구 마곡동 ***-* 발산W타워,CDFF3241092022000006,3150000,,"서울특별시 강서구 공항대로 ***, 발산W타워 *층 ***호 (마곡동)",07806,05,제외/삭제/전출,,,,,,
