사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업내용,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
해누리광고기획,,199522.490411828,451106.979383922,2026-05-19 03:03:03,U,20,정상,2026-05-18 10:55:14,2026-04-06,서울특별시 중구 충무로*가 ***-**,2012301011108500008,3010000,"서울특별시 중구 충무로*길 **, ***호 (충무로*가)",04557,,간판 및 실사출력,01,영업/정상,,,02-2264-5560
(주)한국경제신문,,197032.923485936,450872.934795885,2026-05-19 03:03:03,U,20,정상,2026-05-18 10:49:06,2026-03-26,서울특별시 중구 중림동 ***,2012301011108500018,3010000,서울특별시 중구 청파로 *** (중림동),,,옥외광고물 제작 및 대행,01,영업/정상,,,02-360-4114
낮은문화사,,199889.628233603,451198.164974519,2026-05-19 03:03:03,U,20,정상,2026-05-18 11:24:09,2015-01-28,서울특별시 중구 충무로*가 **-**,2015301011108500001,3010000,"서울특별시 중구 퇴계로**길 **, *층 (충무로*가)",04559,,"광고물제작, 현수막, 배너 등 제작",01,영업/정상,,,
(주)고성디자인엔지니어링,,198773.0110835,450649.128510152,2026-05-19 03:03:03,U,20,정상,2026-05-18 11:19:34,2025-07-17,서울특별시 중구 남산동*가 **-*,2025301021808500003,3010000,"서울특별시 중구 퇴계로**길 **, 지하*층 (남산동*가)",04629,,광고물제작 및 대행,01,영업/정상,,,02-544-9615
조하스,,191651.341428023,456795.665020615,2026-05-19 03:03:03,U,20,정상,2026-05-18 15:52:21,2026-01-20,,2026311029708500001,3110000,서울특별시 은평구 서오릉로**길 ** (구산동),03425,,옥외광고업,01,영업/정상,,,02-6951-0068
아르디키디자인 주식회사,2026-05-18,202162.281625975,444783.30832928,2026-05-19 03:03:03,U,40,폐업,2026-05-18 14:22:41,2023-06-02,서울특별시 강남구 논현동 ***-*,2023322017408500007,3220000,"서울특별시 강남구 봉은사로*길 *, *층 ****호 (논현동)",06120,,옥외광고물 광고대행,03,폐업,,,
주식회사 트루미디어,2026-05-18,202511.405143886,442532.881759045,2026-05-19 03:03:03,U,40,폐업,2026-05-18 11:25:37,2008-09-01,서울특별시 서초구 서초동 ****-** 서초대우디오빌,2019321015308500007,3210000,"서울특별시 서초구 서운로 **, 서초대우디오빌 ***호 (서초동)",06733,,옥외광고사업(광고물 제작 등),03,폐업,,,
천지광고기획,,192119.495234713,442445.384641919,2026-05-19 03:03:03,U,20,정상,2026-05-18 13:44:54,2018-11-08,서울특별시 관악구 신림동 ***-** 그린스타,2001320002408200153,3200000,"서울특별시 관악구 조원로**길 *, 그린스타 (신림동)",08767,,옥외광고업,01,영업/정상,,,
주식회사 케이티리빙,,203877.471898882,444678.975281148,2026-05-19 03:03:03,U,20,정상,2026-05-18 16:00:05,2024-09-27,서울특별시 강남구 역삼동 ***-* 현석타워,2017322017408500016,3220000,"서울특별시 강남구 선릉로**길 **, 현석타워 *층 (역삼동)",06151,,옥외 및 전시 광고업,01,영업/정상,,,02-569-5531
(주)성림씨앤에스,2026-05-14,212016.915921852,447600.544562582,2026-05-19 03:03:03,U,40,폐업,2026-05-18 15:55:45,2022-01-11,서울특별시 강동구 성내동 ***-* 삼진빌딩 ***호,2013324012108500006,3240000,"서울특별시 강동구 양재대로 ****, 삼진빌딩 ***호 (성내동)",05376,,옥외광고물 제작 설치,03,폐업,,,02-435-4588
이레광고(부평점),,174309.312635766,441888.667519857,2026-05-19 03:03:03,U,20,정상,2026-05-18 15:22:08,2004-12-30,인천광역시 부평구 십정동 ***-**,2004354006808200011,3540000,인천광역시 부평구 경인로 *** (십정동),21435,,옥외광고물 제작 및 시공,01,영업/정상,,,032-505-6505
