신청일자,항목값1,사업장명,업소구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
2017-03-23,관급봉투,씨유 평내화성스타점,지정,,220787.174768276,459982.690783233,2026-05-19 03:03:03,U,2017-03-23,5,제외사항,2026-05-18 14:32:30,2017-03-23,경기도 남양주시 평내동 564 평내화성파크힐즈,,경기도 남양주시 평내동 564 평내화성파크힐즈,399000014201700021,3990000,"경기도 남양주시 평내로 72, 평내화성파크힐즈 1층 104,105호 (평내동)",12226,,05,제외/삭제/전출,,,
2017-09-04,관급봉투,(주)삼우실업,지정,,224894.364699602,459653.218595764,2026-05-19 21:23:09,I,2017-09-04,11,영업,2026-05-18 14:10:31,2017-09-04,경기도 남양주시 호평동 210-25,,경기도 남양주시 화도읍 녹촌리 398-5,399000014201700023,3990000,경기도 남양주시 화도읍 녹촌로199번길 31-5,12187,,01,영업/정상,,,
2017-09-18,관급봉투,씨유 호평천마스타,지정,,221786.042057237,462791.357412509,2026-05-19 21:23:09,I,2017-09-18,11,영업,2026-05-18 14:30:29,2017-09-18,경기도 남양주시 호평동 373-1 명화프라자 1층 103호,,경기도 남양주시 호평동 373-1 명화프라자 1층 103호,399000014201700024,3990000,"경기도 남양주시 천마산로 59-1, 명화프라자 1층 103호 (호평동)",12141,,01,영업/정상,,,
2017-09-27,관급봉투,씨유 평내화성스타점,지정,,220787.174768276,459982.690783233,2026-05-19 21:23:09,I,2017-09-27,11,영업,2026-05-18 14:34:34,2017-09-27,경기도 남양주시 평내동 564 평내화성파크힐즈,,경기도 남양주시 평내동 564 평내화성파크힐즈,399000014201700025,3990000,"경기도 남양주시 평내로 72, 평내화성파크힐즈 104,105호 (평내동)",12226,,01,영업/정상,,,
2017-11-27,관급봉투,지에스(GS)25 호평에이스점,지정,,221558.423165785,461626.90284291,2026-05-19 21:23:09,I,2017-11-27,11,영업,2026-05-18 14:50:30,2017-11-27,경기도 남양주시 호평동 171-7,,경기도 남양주시 호평동 171-7,399000014201700026,3990000,경기도 남양주시 호평로45번길 10 (호평동),12147,,01,영업/정상,,,
2017-11-28,관급봉투,(주)오성마트,지정,,221791.648129961,462604.201513253,2026-05-19 21:23:09,I,2017-11-28,11,영업,2026-05-18 14:56:42,2017-11-28,"경기도 남양주시 호평동 408-2 마동 1, 2층",,"경기도 남양주시 호평동 408-2 마동 1, 2층",399000014201700027,3990000,"경기도 남양주시 천마산로16번길 28, 마동 1,2층 (호평동)",12141,,01,영업/정상,,,
2020-04-27,관급봉투,(주)자연드림 화성영천점,지정,,210090.902875099,411565.685685807,2026-05-19 03:03:03,U,2020-04-27,11,영업,2026-05-18 10:41:37,2018-11-14,경기도 화성시 영천동 704번지 6호,,경기도 화성시 동탄구 영천동 704-6,577000014201800113,5530000,경기도 화성시 동탄구 지산2길 11-12 (영천동),18473,,01,영업/정상,,,
2022-09-22,관급봉투,씨유 성산청화점,지정,,191489.555608103,451951.966810481,2026-05-19 03:03:03,U,2022-09-22,11,영업,2026-05-18 11:48:38,2017-09-26,,,서울특별시 마포구 성산동 152-7,313000014201700055,3130000,"서울특별시 마포구 월드컵북로 224, 1층 115, 116, 117, 118호 (성산동)",03941,,01,영업/정상,,,
2024-01-10,관급봉투,(주)이랜드리테일  킴스편의점 신촌점,지정,,193872.971308543,449729.920699511,2026-05-19 03:03:03,U,2024-01-18,11,영업,2026-05-18 14:12:53,2024-01-18,서울특별시 마포구 창전동 450 이랜드 PEER 신촌,,서울특별시 마포구 창전동 450 이랜드 PEER 신촌,313000014202400003,3130000,"서울특별시 마포구 서강로 75-16 (창전동, 이랜드 PEER 신촌)",04065,,01,영업/정상,,,02-6052-3005
2021-04-09,관급봉투,씨유 마포DMC점,지정,,190909.280217808,452720.136638715,2026-05-19 03:03:03,U,2021-04-09,11,영업,2026-05-18 14:21:13,2021-04-09,서울특별시 마포구 상암동 1622 중소기업 DMC 타워,,서울특별시 마포구 상암동 1622 중소기업 DMC 타워,313000014202100020,3130000,"서울특별시 마포구 성암로 189, 중소기업 DMC 타워 1층 105호 (상암동)",03929,,01,영업/정상,,,
2021-07-20,관급봉투,(주)윈플러스마트서부 마포점,지정,,191858.011461839,449691.888104672,2026-05-19 03:03:03,U,2021-07-20,11,영업,2026-05-18 14:15:55,2021-07-23,서울특별시 마포구 합정동 395-3,,서울특별시 마포구 합정동 395-3,313000014202100041,3130000,서울특별시 마포구 월드컵로3길 76 (합정동),04020,,01,영업/정상,,,02-335-1158
2022-10-14,관급봉투,(주)윈플러스마트서부 마포점,지정,,191858.011461839,449691.888104672,2026-05-19 03:03:03,U,2022-10-20,5,제외사항,2026-05-18 14:15:52,2022-10-20,,,서울특별시 마포구 합정동 395-3,313000014202200047,3130000,서울특별시 마포구 월드컵로3길 76 (합정동),04020,,05,제외/삭제/전출,,,02-335-1158
