사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
(주)코리아세븐 안양관악역점,,,,2026-05-19 03:03:03,U,13,영업중,2026-05-18 13:07:47,,2021-05-04,,경기도 안양시 만안구 석수동 ***-*,PHMG120213830262047000031,3830000,"경기도 안양시 만안구 경수대로 ****, *층 (석수동)",13960,01,영업/정상,,,,
(주)코리아세븐 민락건호점,,207797.599129797,470912.252908458,2026-05-19 03:03:03,U,13,영업중,2026-05-18 17:11:07,,2021-05-06,,경기도 의정부시 민락동 ***-*,PHMG120213820050047000077,3820000,"경기도 의정부시 용현로***번길 **, *층 (민락동)",11809,01,영업/정상,,,,124.98
씨유 이천중리점,2026-05-18,239534.323116076,419520.506267047,2026-05-19 03:03:03,U,24,직권폐업,2026-05-18 17:40:32,,2014-11-11,467-800,경기도 이천시 중리동 ***번지 *호,PHMG120144070023047000035,4070000,경기도 이천시 남천로 ** (중리동),17374,04,취소/말소/만료/정지/중지,,,031-638-7374,72
(주)코리아세븐 일원석탑점,,206618.425209149,443390.560639694,2026-05-19 03:03:03,U,13,영업중,2026-05-18 14:24:09,,2023-10-16,,서울특별시 강남구 개포동 **-* 석탑프라자,PHMG120233220033047000384,3220000,"서울특별시 강남구 개포로 ***, 석탑프라자 ***, ***-*호 (개포동)",06335,01,영업/정상,,,,
(주)코리아세븐 의정부7호점,,203614.263796721,471585.007969882,2026-05-19 03:03:03,U,13,영업중,2026-05-18 19:59:43,,2021-05-06,,경기도 의정부시 의정부동 ***-*,PHMG120213820050047000060,3820000,"경기도 의정부시 가능로 **, *층 (의정부동)",11663,01,영업/정상,,,,67.42
(주)코리아세븐 의정부태평점,,204277.213358241,471693.387412636,2026-05-19 03:03:03,U,13,영업중,2026-05-18 19:58:21,,2021-05-06,,경기도 의정부시 의정부동 ***-**,PHMG120213820050047000058,3820000,"경기도 의정부시 태평로 ***, *층 (의정부동)",11687,01,영업/정상,,,,202.36
주식회사 마이쇼핑,,190586.062540107,447216.925498911,2026-05-19 03:03:03,U,15,전출,2026-05-18 09:17:45,,2022-06-02,,서울특별시 영등포구 당산동*가 ***-**,PHMG120223180034047000220,3180000,"서울특별시 영등포구 국회대로**길 **, *층 에이**호 (당산동*가)",07256,05,제외/삭제/전출,,,,
지에스25평택쇼핑로점,2026-05-15,204673.082601845,397724.655852388,2026-05-19 03:03:03,U,03,폐업,2026-05-18 13:21:31,,2026-05-15,,경기도 평택시 신장동 ***-**,PHMG120223910165047000104,3910000,"경기도 평택시 쇼핑로 **, *층 (신장동)",17758,03,폐업,,,,
(주)코리아세븐 의정부낙양점,,208617.441222534,471445.273030182,2026-05-19 03:03:03,U,13,영업중,2026-05-18 15:25:48,,2021-05-06,,경기도 의정부시 민락동 ***-*,PHMG120213820050047000086,3820000,"경기도 의정부시 오목로***번길 **-**, *층 (민락동)",11813,01,영업/정상,,,,139.21
미니스톱 이천대흥점,2026-05-18,242208.800168346,416006.268802853,2026-05-19 03:03:03,U,24,직권폐업,2026-05-18 17:37:01,,2015-08-04,,경기도 이천시 대월면 대흥리 *번지 *호,PHMG120154070023047000036,4070000,경기도 이천시 대월면 대산로 ***,17339,04,취소/말소/만료/정지/중지,,,1577-9621,76
(주)코리아세븐 의정부본점,,203853.648929216,470703.618645914,2026-05-19 03:03:03,U,13,영업중,2026-05-18 19:59:15,,2021-05-06,,경기도 의정부시 의정부동 ***-** 광장타워,PHMG120213820050047000069,3820000,"경기도 의정부시 시민로 **, 광장타워 *층 ***호 (의정부동)",11670,01,영업/정상,,,,53.2
(주)코리아세븐 의정부오목로점,,207492.615971444,470015.115588494,2026-05-19 03:03:03,U,13,영업중,2026-05-18 17:13:58,,2022-09-22,,경기도 의정부시 용현동 ***-*,PHMG120223820050047000342,3820000,"경기도 의정부시 오목로 **, *층 (용현동)",11793,01,영업/정상,,,,
(주)코리아세븐 의정부시청광장점,,203171.221585543,470804.287649828,2026-05-19 03:03:03,U,13,영업중,2026-05-18 19:58:50,,2021-05-06,,경기도 의정부시 의정부동 ***-**,PHMG120213820050047000059,3820000,"경기도 의정부시 시민로**번길 **, *층 (의정부동)",11673,01,영업/정상,,,,167.2
