자동환기여부,건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,편의시설여부,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상구여부,비상계단여부,기존게임업외업종명,제작취급품목내용,시설면적,소방시설여부,지상층수,청소년실수,청소년실여부,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,조명시설유무,조명시설조도,관리번호,개방자치단체코드,통로너비,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,방음시설여부,음향시설여부,특수조명여부,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총게임기수,총층수,지하층수,비디오재생기명
,,ON-AIR,2000-03-11,199922.658205431,453289.177659126,유통관련업,비디오물시청제공업,,2026-05-01 22:38:31,I,03,폐업,,,,,0,,4,,,,2003-02-07 09:11:35,,1999-09-15,110-524,서울특별시 종로구 명륜4가 145-0,,,CDFF1242031999000001,3000000,,,,서울특별시 종로구 창경궁로26길 40  (명륜4가),,03,폐업,,,,,,,,,5,1,
,,양지비디오,1999-08-30,,,유통관련업,비디오물시청제공업,,2026-05-01 22:38:33,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1992-01-29,100-826,서울특별시 중구 신당동 333-593,,,CDFF1242031992000001,3010000,,,,,,03,폐업,,,,,,,,,,,
,,토토비디오,2000-04-07,200502.334376637,449670.613249189,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1992-04-02,100-835,서울특별시 중구 신당동 432-2169,,,CDFF1242031992000004,3010000,,,,서울특별시 중구 동호로17길 271  (신당동),,03,폐업,,,,,,,,,,,
,,유니버스 아카식구제,2000-12-01,200790.353718638,450212.837886867,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1992-04-10,100-828,서울특별시 중구 신당동 361-42,,,CDFF1242031992000005,3010000,,,,서울특별시 중구 동호로11길 19  (신당동),,03,폐업,,,,,,,,,,,
,,유니버스아카식구제,2000-02-11,199515.945035455,450821.605277561,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,0,,,,2003-02-11 18:21:03,,1992-04-10,100-272,서울특별시 중구 필동2가 81-7,,,CDFF1242031992000006,3010000,,,,서울특별시 중구 퇴계로36가길 14  (필동2가),,03,폐업,,,,,,,,,0,0,
,,미래비디오,2001-06-15,,,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1992-05-25,100-824,서울특별시 중구 신당동 282-57,,,CDFF1242031992000008,3010000,,,,,,03,폐업,,,,,,,,,,,
,,에스케이시,2002-10-14,200675.681751637,450034.28885494,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,0,,,,2003-02-11 18:21:03,,1992-06-13,100-828,서울특별시 중구 신당동 353-8,,,CDFF1242031992000015,3010000,,,,서울특별시 중구 다산로 91  (신당동),,03,폐업,,,,,,,,,0,0,
,,모두비디오,2000-10-31,201404.469769972,451121.166468094,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1992-06-13,100-824,서울특별시 중구 신당동 282-103,,,CDFF1242031992000016,3010000,,,,서울특별시 중구 다산로36길 25  (신당동),,03,폐업,,,,,,,,,,,
,,대신비디오,2000-04-06,,,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1992-06-26,100-824,서울특별시 중구 신당동 290-123,,,CDFF1242031992000017,3010000,,,,,,03,폐업,,,,,,,,,,,
,,한국비디오,1999-12-31,,,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1992-07-06,100-193,서울특별시 중구 을지로3가 0 지하상가 3-46호,,,CDFF1242031992000018,3010000,,,,,,03,폐업,,,,,,,,,,,
,,(주)부곡무역,1999-07-23,197913.733419044,451077.081602477,유통관련업,비디오물시청제공업,,2026-05-01 22:38:34,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1992-07-09,100-080,서울특별시 중구 북창동 21 해남BD 본관동 316호,,,CDFF1242031992000019,3010000,,,,"서울특별시 중구 세종대로 64, 본관동 316호 (북창동,해남BD)",,03,폐업,,,,,,,,,,,
,,알라딘비디오,2003-11-17,201861.460009867,451838.925811632,유통관련업,비디오물시청제공업,N,2026-05-01 22:38:35,I,03,폐업,,,,,,N,,,,,2003-12-17 11:14:09,,1993-03-03,100-870,서울특별시 중구 황학동 1468-0,,,CDFF1242031993000001,3010000,,,,서울특별시 중구 마장로15길 15  (황학동),,03,폐업,,,,,,,,,,,
,,푸른영상비디오,2000-01-28,,,유통관련업,비디오물시청제공업,,2026-05-01 22:38:35,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1993-06-30,100-816,서울특별시 중구 신당동 57-277,,,CDFF1242031993000002,3010000,,,,,,03,폐업,,,,,,,,,,,
,,동양마트(주)퇴계로점,2001-06-04,199495.153221359,451041.976434801,유통관련업,비디오물시청제공업,,2026-05-01 22:38:35,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1993-12-31,100-862,서울특별시 중구 충무로4가 132-3,,,CDFF1242031993000005,3010000,,,,서울특별시 중구 퇴계로 209  (충무로4가),,03,폐업,,,,,,,,,,,
,,선비디오,2003-10-01,199618.829683387,450864.47881375,유통관련업,비디오물시청제공업,N,2026-05-01 22:38:36,I,03,폐업,,,,,,N,,,,,2003-10-02 16:44:40,,1994-05-31,100-272,서울특별시 중구 필동2가 74-3,,,CDFF1242031994000002,3010000,,,,서울특별시 중구 필동로 15-6  (필동2가),,03,폐업,,,,,,,,,,,
,,한신비디오,2000-02-01,201245.375175242,451380.726183779,유통관련업,비디오물시청제공업,,2026-05-01 22:38:37,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1994-07-04,100-420,서울특별시 중구 무학동 47-2 임창빌딩 102동,,,CDFF1242031994000003,3010000,,,,"서울특별시 중구 퇴계로74길 7, 102동 (무학동,임창빌딩)",,03,폐업,,,,,,,,,,,
,,영화속으로,2001-08-07,200978.676998633,450174.383805294,유통관련업,비디오물시청제공업,,2026-05-01 22:38:38,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1994-09-09,100-840,서울특별시 중구 신당동 373-53,,,CDFF1242031994000005,3010000,,,,서울특별시 중구 동호로 172  (신당동),,03,폐업,,,,,,,,,,,
,,돌고래비디오,2001-05-15,200460.776195064,449977.270728873,유통관련업,비디오물시청제공업,,2026-05-01 22:38:39,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1995-06-12,100-835,서울특별시 중구 신당동 432-1079,,,CDFF1242031995000004,3010000,,,,서울특별시 중구 동호로11라길 16  (신당동),,03,폐업,,,,,,,,,,,
,,짱구비디오,2000-01-03,201801.667760135,451610.950013795,유통관련업,비디오물시청제공업,,2026-05-01 22:38:39,I,03,폐업,,,,,0,,,,,,2003-02-11 18:21:03,,1995-11-04,100-869,서울특별시 중구 황학동 656,,,CDFF1242031995000007,3010000,,,,서울특별시 중구 퇴계로87길 30  (황학동),,03,폐업,,,,,,,,,,,
