년간생산량,사업장명,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,취급목재제품,최종수정시점,인허가일자,지번주소,관리번호,인력보유현황,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,상태구분명,소재지전화번호,목재생산업종류명,목재생산업구분코드명
9500,(주)케이제이인더스트리(1종),1000,166282.820420929,439021.831728518,2026-05-01 22:49:21,I,3,폐업,"일반목재, 합판, LVL외",2026-01-27 10:04:47,2014-03-13,인천광역시 중구 항동*가 **-*,349000090201300002,,3490000,,,03,폐업,폐업,032-508-4230,1종,제재업
,(주)선앤엘(2종),10504,165121.376348708,441952.719309196,2026-05-01 22:49:21,I,1,정상,"합판,MDF",2024-04-30 15:51:27,2015-05-07,,349000090201500003,임산가공기사1명,3490000,"인천광역시 중구 월미로 **, 선창산업(주) (북성동*가)",22300,01,영업/정상,영업,032-770-3022,2종,제재업
105288,(주)선앤엘(4종),10504,165121.376348708,441952.719309196,2026-05-01 22:49:21,I,1,정상,톱밥 생산 외,2024-04-30 15:53:02,2015-05-07,,349000090201500004,임산가공기사 1명,3490000,"인천광역시 중구 월미로 **, 선창산업(주) (북성동*가)",22300,01,영업/정상,영업,032-770-3022,4종,제재업
2000,(주)외솔럼버(1종),,170237.463686155,442135.73694756,2026-05-01 22:49:21,I,1,정상,"각재,판재",2015-01-28 14:21:14,2013-10-28,인천광역시 동구 송림동 ***-**,350000090201300004,,3500000,인천광역시 동구 방축로***번길 **-* (송림동),,01,영업/정상,영업,032-579-0718,1종,제재업
1600,(주)동해우드(1종),,166098.265580636,442778.14417151,2026-05-01 22:49:24,I,1,정상,러시아산소나무,2019-08-13 18:25:58,2013-11-18,인천광역시 동구 만석동 *-***,350000090201300016,,3500000,인천광역시 동구 보세로 ** (만석동),,01,영업/정상,영업,,1종,제재업
,태양목재가공산업(1종),,168824.082745908,443181.1642625,2026-05-01 22:49:22,I,1,정상,"미송,하드우드",2015-06-24 17:32:19,2013-11-22,인천광역시 동구 송현동 ***-**,350000090201300066,,3500000,인천광역시 동구 방축로*번길 **-** (송현동),,01,영업/정상,영업,,1종,제재업
,(주) 덕우우드텍(1종),152,169082.355548014,442449.184452398,2026-05-01 22:49:21,I,1,정상,목재 가공,2024-05-01 08:48:12,2015-11-05,인천광역시 동구 송림동 *-*** (주)덕우우드텍,350000090201500005,유,3500000,"인천광역시 동구 방축로**번길 **, (주)덕우우드텍 (송림동)",22529,01,영업/정상,영업,032-572-0789,1종,제재업
500,해인실업(주)(1종),100,169226.889631696,442817.65455975,2026-05-01 22:49:24,I,1,정상,"각재, 판재, 데크재, 제재목",2017-03-13 10:01:09,2017-03-13,인천광역시 동구 송현동 *** 방축로 **번길 ** A동 ***호(송현동 산업용품상가),350000090201700001,황주우(목재생산업 교육수료),3500000,인천광역시 동구 방축로**번길 ** (송현동),,01,영업/정상,영업,032-581-4200,1종,제재업
500,(주) 덕우우드텍(3종),50,169082.355548014,442449.184452398,2026-05-01 22:49:24,I,1,정상,방부목,2018-01-23 10:11:03,2018-01-22,인천광역시 동구 송림동 *-*** (주)덕우우드텍,350000090201800003,1명(임산가공기능사),3500000,"인천광역시 동구 방축로**번길 **, (주)덕우우드텍 (송림동)",22529,01,영업/정상,영업,032-572-0789,3종,제재업
500,라코우드(3종),101,169424.109924844,442692.722669138,2026-05-01 22:49:21,I,1,정상,남양산 하드우드 및 방부목,2020-11-24 17:54:39,2020-11-24,인천광역시 동구 송림동 *** B동 ***호,350000090202000004,한국임업진흥원 임산가공 교육이수자 1명,3500000,"인천광역시 동구 방축로**번길 **, B동 ***호 (송림동, 산업용품유통센타)",,01,영업/정상,영업,,3종,제재업
153000,주식회사 진성(1종),300,165139.847977388,444304.943236482,2026-05-01 22:49:33,I,1,정상,"제재목, 가공, 파렛트, 나무상자",2022-01-17 15:17:59,2013-08-19,,356000090201300002,,3560000,인천광역시 서구 북항로***번길 ** (원창동),,01,영업/정상,영업,,1종,제재업
153000,주식회사 진성(3종),300,165139.847977388,444304.943236482,2026-05-01 22:49:33,I,1,정상,"열처리제품(파레트, 박스 등), 집성목재",2022-01-17 20:52:25,2013-08-19,,356000090201300003,,3560000,인천광역시 서구 북항로***번길 ** (원창동),,01,영업/정상,영업,,3종,제재업
8000,주식회사 창영목재(1종),50,167262.513537177,445125.221329984,2026-05-01 22:49:25,I,1,정상,침대재,2017-02-10 17:35:32,2013-09-09,인천광역시 서구 원창동 ***-**,356000090201300008,박용구(교육수료),3560000,인천광역시 서구 북항로***번길 **-** (원창동),,01,영업/정상,영업,,1종,제재업
4000,주식회사 경원(1종),500,,,2026-05-01 22:49:25,I,1,정상,"제재목, 가공목",2021-01-18 19:15:59,2014-04-03,,356000090201300009,권규석,3560000,인천광역시 서구 봉수대로 ** (가좌동),,01,영업/정상,영업,032-583-4213,1종,제재업
3000,(주)태양아이엔티(1종),200,167113.57868188,453978.23714074,2026-05-01 22:49:25,I,1,정상,"이페, 멀바우 말라스 외",2014-09-02 09:15:35,2013-09-11,,356000090201300011,이우현(교육수료),3560000,인천광역시 서구 두루물로**번길 ** (오류동),,01,영업/정상,영업,,1종,제재업
2407,(주)신한티앤에스(1종),50,170509.43356698,443692.06014443,2026-05-01 22:49:25,I,1,정상,"제재목, 원목",2020-02-26 17:53:53,2013-09-11,,356000090201300013,,3560000,인천광역시 서구 염곡로 *** (연희동),,01,영업/정상,영업,032-575-8001,1종,제재업
13700,(주)광덕종합목재(1종),1000,167211.321193939,454459.137533961,2026-05-01 22:49:25,I,1,정상,판재 각재,2021-06-10 11:30:02,2013-09-12,인천광역시 서구 오류동,356000090201300014,,3560000,인천광역시 서구 원당대로***번길 ** (오류동),,01,영업/정상,영업,032-568-6886,1종,제재업
3000,주식회사 경원(3종),500,,,2026-05-01 22:49:25,I,1,정상,"제재목, 가공목, 방부목",2021-01-18 19:20:23,2014-04-11,,356000090201300015,권규석(제재업3종 교육수료),3560000,인천광역시 서구 봉수대로 ** (가좌동),,01,영업/정상,영업,032-583-4213,3종,제재업
