건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,기존게임업외업종명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,(주)비디오여행,2025-06-18,208982.07216116,454699.452358939,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,"CD, DVD 비디오",48.3,2,2025-06-18 13:24:17,,2013-11-18,,서울특별시 중랑구 망우동 ***-*,CDFF1241112013000001,3060000,,,"서울특별시 중랑구 용마공원로*길 **, *층 (망우동)",02180,03,폐업,,,,,,
,베리픽쳐스,2023-01-18,207861.870603487,452666.306495265,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,극장 개봉용 영화 배급 및 부가유통 관리,84.81,,2023-03-22 09:42:57,,2022-10-31,,서울특별시 중랑구 면목동 **** 면목현대아파트,CDFF1241112022000001,3060000,,,"서울특별시 중랑구 용마산로 ***, ***동 ****호 (면목동, 면목현대아파트)",02258,03,폐업,,,,,,
단독주택,(주)소프트웨이,2012-04-16,154833.423168301,444146.771658477,,비디오물배급업,2026-05-01 22:38:12,I,03,폐업,,일반영화,112,2,2012-04-17 11:13:33,,2010-02-03,,인천광역시 중구 운서동 ****-*,CDFF1241112010000001,3490000,,전용주거지역,인천광역시 중구 신도시북로**번길 **-**  (운서동),,03,폐업,,,,070-7732-5806,2,
,에이앤티애드,2019-10-11,172671.340887126,438279.1578424,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,공익광고 등,33,,2019-10-11 14:24:22,,2012-11-08,,인천광역시 미추홀구 관교동 ***-* *층,CDFF1241112012000001,3510500,,,"인천광역시 미추홀구 인하로***번길 **, *층 (관교동)",22240,03,폐업,,,,,,
,(주)이산솔루션,2016-06-16,170560.798827806,440325.53291132,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,홍보물영상 및 이미지 배급,64.94,,2016-06-17 11:18:20,,2014-10-08,,인천광역시 미추홀구 도화동 ***-* 인천아이티타워 ***호,CDFF1241112014000001,3510500,,,"인천광역시 미추홀구 경인로 ***, ***호 (도화동, 인천아이티타워)",22106,03,폐업,,,,070-4369-4000,,
,에이치디센터코리아(주),2016-02-03,170560.798827806,440325.53291132,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,"비디오물, 홍보영상물",50.4,,2016-02-03 14:49:46,,2015-05-11,,인천광역시 미추홀구 도화동 ***-* 인천아이티타워 ****호,CDFF1241112015000001,3510500,,,"인천광역시 미추홀구 경인로 ***, ****호 (도화동, 인천아이티타워)",22106,03,폐업,,,,070-8611-9990,,
,(주)엑스커뮤니케이션,2014-01-21,174813.598544308,445034.602705157,,비디오물배급업,2026-05-01 22:38:14,I,03,폐업,,비디오물,431.78,,2014-01-21 17:23:33,,2000-07-10,,인천광역시 부평구 청천동 부평우림라이온스밸리 c동 ***호,CDFF1241112000000002,3540000,,,"인천광역시 부평구 길주로***번길 **, C동 ***호 (청천동, 부평우림라이온스밸리)",,03,폐업,,,,032-513-2114,,
,한영엔지니어링,2025-12-01,173935.351045524,446818.771729446,,비디오물배급업,2026-05-01 22:38:14,I,03,폐업,,비디오영상물배급,132,3,2025-12-10 17:55:41,,2010-04-02,,인천광역시 부평구 청천동 ***-* *층,CDFF1241112013000001,3540000,,,인천광역시 부평구 청천마차로 *** (청천동),21310,03,폐업,,,,032-515-5454,4,1
,GYT 미디어,2013-01-30,170682.242235799,444342.000953427,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,비디오 영상콘텐츠,82.2,3,2013-01-30 18:06:36,,2011-03-14,,인천광역시 서구 석남동 *** *층,CDFF1241112011000001,3560000,,,,,03,폐업,,,,,4,1
,롯데쇼핑(주)롯데마트 청라점,2021-12-24,168725.044916072,447687.557991574,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,비디오물,100,,2021-12-24 17:08:16,,2012-12-11,,인천광역시 서구 청라동 ***-* 청라 롯데캐슬,CDFF1241112012000001,3560000,,,"인천광역시 서구 청라커낼로 *** (청라동, 청라 롯데캐슬)",22762,03,폐업,,,,,,
,이놀미디어,2015-10-07,169130.7707459,447686.970640299,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,"영화, 비디오물",84.99,,2015-10-07 17:33:49,,2014-03-17,,인천광역시 서구 청라동 ***-* 청라풍림엑슬루타워 ***동 ****호,CDFF1241112015000001,3560000,,,"인천광역시 서구 중봉대로***번길 **, ***동 ****호 (연희동, 청라풍림엑슬루타워)",22737,03,폐업,,,,,,
,(주) 이놀미디어,2018-04-27,171948.507060429,446581.718191853,,비디오물배급업,2026-05-01 22:38:13,I,03,폐업,,"영화, 영상콘텐츠",26.64,,2018-04-27 11:00:21,,2015-10-16,,인천광역시 서구 가정동 *** **동 ***호,CDFF1241112015000002,3560000,,,"인천광역시 서구 서곶로 **, **동 ***호 (가정동, 한신그랜드힐빌리지)",22797,03,폐업,,,,,,
