건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,합동영화(주),2012-02-21,198990.202955049,451044.895347229,,영화수입업,2026-05-01 23:07:13,I,03,폐업,,,1986-06-14,,2012-02-22 11:06:57,,1986-06-14,,서울특별시 중구 충무로*가 **-**,CDFF5211021986000001,3010000,,서울특별시 중구 삼일대로 ***  (충무로*가),,03,폐업,,,,22773014,,
,삼성에버랜드(주),2014-07-10,198256.131665999,451576.096658087,,영화수입업,2026-05-01 23:07:14,I,03,폐업,,,1994-03-31,,2015-02-09 11:09:17,,1994-03-31,,서울특별시 중구 을지로*가 **,CDFF5211021994000002,3010000,,서울특별시 중구 을지로 ** (을지로*가),,03,폐업,,,,031-320-8420,,
,(주)제이엠씨미디어,2022-12-29,199382.955773318,451037.967651563,,영화수입업,2026-05-01 23:07:17,I,03,폐업,,,1999-08-28,,2022-12-29 15:55:20,,1999-08-28,,서울특별시 중구 필동*가,CDFF5211021999000015,3010000,,서울특별시 중구 퇴계로**길 *-* (필동*가),,03,폐업,,,,,,
,하나영화사,2018-04-30,199070.36962461,451060.66124234,,영화수입업,2026-05-01 23:07:18,I,03,폐업,,,2002-05-22,,2018-04-30 14:32:26,,2002-05-22,,서울특별시 중구 충무로*가 **-* 인성빌딩 *층동,CDFF5211022002000002,3010000,,"서울특별시 중구 수표로 *, *층동 (충무로*가,인성빌딩)",,03,폐업,,,,,,
,와이즈앤와이드엔터테인먼트(주),2021-12-09,199298.907451279,450999.189428486,,영화수입업,2026-05-01 23:07:18,I,03,폐업,,,2005-09-01,,2021-12-09 16:15:17,,2005-09-01,,서울특별시 중구 필동*가 **-* 동화빌딩,CDFF5211022005000002,3010000,,"서울특별시 중구 퇴계로 ***, 동화빌딩 *층 ***호 (필동*가)",04554,03,폐업,,,,,,
,팀 엔터테인먼트(T.I.M Entertainment),2011-12-22,201202.996128307,450112.493848373,,영화수입업,2026-05-01 23:07:19,I,03,폐업,,,2009-08-12,,2011-12-22 11:09:10,,2009-08-12,,서울특별시 중구 신당동 ***-*** 삼성빌 ***호,CDFF5211022009000004,3010000,,"서울특별시 중구 동호로*길 **  (신당동,삼성빌 ***호)",,03,폐업,,,,,,
,(주)파워이엔티,2020-12-30,198911.806393959,451032.316115194,,영화수입업,2026-05-01 23:07:20,I,03,폐업,,,2010-11-22,,2021-01-04 15:56:14,,2010-11-22,,서울특별시 중구 충무로*가 **-* 성창빌딩 ***호,CDFF5211022010000005,3010000,,"서울특별시 중구 삼일대로 ***, ***호 (충무로*가,성창빌딩)",,03,폐업,,,,,,
,(주)인영트레이딩,2022-12-31,198818.911448279,451025.962875987,,영화수입업,2026-05-01 23:07:20,I,03,폐업,,,2011-07-20,,2023-01-27 17:55:10,,2011-07-20,,서울특별시 중구 충무로*가 **-*,CDFF5211022011000002,3010000,,서울특별시 중구 퇴계로 ***-*  (충무로*가),,03,폐업,,,,,,
,(주)재미커뮤니케이션,2014-01-03,200993.950427338,450503.754799491,,영화수입업,2026-05-01 23:07:21,I,03,폐업,,,2008-04-15,,2014-01-03 17:56:58,,2008-04-15,,서울특별시 중구 신당동 ***-** *층,CDFF5211022011000006,3010000,,"서울특별시 중구 다산로 ***-*  (신당동,*층)",,03,폐업,,,,02-564-8909,,
,주식회사 크랭크인픽쳐스스,2014-02-25,200394.851756721,451398.897492225,,영화수입업,2026-05-01 23:07:21,I,03,폐업,,,2012-03-27,,2014-02-25 13:08:54,,2012-03-27,,서울특별시 중구 광희동*가 **-* 금호트윈오피스텔 *동 ***호,CDFF5211022012000006,3010000,,"서울특별시 중구 마른내로 ***, *동 ***호 (광희동*가)",,03,폐업,,,,,,
