건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,(주) 리틀송(Little Song),2020-04-09,207908.583616035,449665.080993317,유통관련업,음반.음악영상물배급업,2026-05-01 22:30:25,I,03,폐업,"음반, 음악 영상물",,,2020-04-11 20:02:31,,2011-10-19,,서울특별시 광진구 구의동 **-*,CDFF3241102011000001,3040000,,"서울특별시 광진구 자양로 ***, *,*층 (구의동)",04975,03,폐업,,,,,,
,케이티문예협동조합,2019-12-30,207770.197118183,448131.0613924,유통관련업,음반.음악영상물배급업,2026-05-01 22:30:25,I,03,폐업,음원(음반),20,,2019-12-30 16:24:59,,2015-01-06,,서울특별시 광진구 자양동 ***-**,CDFF3241102015000001,3040000,,서울특별시 광진구 아차산로 *** (자양동),05050,03,폐업,,,,02-755-2246,,
,아나 월드와이드 컴퍼니,2016-11-15,206656.887383524,450269.884096608,유통관련업,음반.음악영상물배급업,2026-05-01 22:30:25,I,03,폐업,영상,,,2016-11-15 16:56:05,,2016-10-10,,서울특별시 광진구 군자동 -** *통,CDFF3241102016000001,3040000,,"서울특별시 광진구 군자로 ***-*, ***호 (군자동)",04998,03,폐업,,,,,,
,(주)케이디지털미디어,2022-09-28,205692.272635389,447791.471987874,유통관련업,음반.음악영상물배급업,2026-05-01 22:30:25,I,03,폐업,"뮤직비디오, 공연 영상",164.4,,2022-09-28 18:27:22,,2022-09-23,,서울특별시 광진구 자양동 **-*,CDFF3241102022000001,3040000,,"서울특별시 광진구 자양강변길 ***, 본빌딩 *층 (자양동)",05086,03,폐업,,,,070-4168-8661,,
,이디어츠,2024-11-07,207110.892985251,451328.094361787,유통관련업,음반.음악영상물배급업,2026-05-01 22:30:25,I,03,폐업,미발매음원,,,2024-11-07 17:33:15,,2024-11-06,,서울특별시 광진구 중곡동 ***-**,CDFF3241102024000003,3040000,,"서울특별시 광진구 긴고랑로*길 **-*, *층 ***호 (중곡동)",04910,03,폐업,,,,,,
,이노뮤직,2021-09-17,207982.510726216,454634.04018178,유통관련업,음반.음악영상물배급업,2026-05-01 22:41:32,I,03,폐업,"CD, 카세트, 뮤직비디오DVD",99,,2021-09-27 13:54:23,,2013-08-22,,서울특별시 중랑구 상봉동 **-**,CDFF3241102013000001,3060000,,"서울특별시 중랑구 봉우재로 ***-* (상봉동, 문수해오름아파트 지하)",02152,03,폐업,,,,,,1
,문화미디콤,2015-11-16,192531.659666804,455496.016264029,유통관련업,음반.음악영상물배급업,2026-05-01 22:41:35,I,03,폐업,,,,2015-11-17 10:20:48,,2003-05-02,122-899,서울특별시 은평구 역촌동 **-* *층,CDFF3241102003000002,3110000,,"서울특별시 은평구 연서로 **  (역촌동,*층)",,03,폐업,,,,,,
,쿤타치,2018-12-24,193093.352012128,453809.482644287,유통관련업,음반.음악영상물배급업,2026-05-01 22:41:35,I,03,폐업,,35.5,,2018-12-24 17:49:01,,2013-05-14,,서울특별시 은평구 응암동 ***-** 지층바호,CDFF3241102013000002,3110000,,"서울특별시 은평구 백련산로 *, 지층 바호 (응암동)",03470,03,폐업,,,,,,
,듀벅뮤직,2015-03-25,192861.697564583,457242.368861033,유통관련업,음반.음악영상물배급업,2026-05-01 22:41:35,I,03,폐업,음반음악영상물,,,2015-03-25 13:23:52,,2015-01-09,,서울특별시 은평구 대조동 ***-** *층,CDFF3241102015000001,3110000,,"서울특별시 은평구 연서로 ***, *층 (대조동)",,03,폐업,,,,,,
,봄 Ent.,2017-03-03,192187.788916809,455448.629409264,유통관련업,음반.음악영상물배급업,2026-05-01 22:41:35,I,03,폐업,"음반, 음원",,,2017-03-07 16:57:46,,2016-02-17,,서울특별시 은평구 신사동 *-** 지층 B*호,CDFF3241102016000001,3110000,,"서울특별시 은평구 갈현로*길 **, 지층 B*호 (신사동)",03422,03,폐업,,,,,,
,사운드랩,2025-04-16,194351.457576382,455493.202176983,유통관련업,음반.음악영상물배급업,2026-05-01 22:41:35,I,03,폐업,"디지털음반, 음원, 영상물",,,2025-04-17 11:00:47,,2019-04-01,,서울특별시 은평구 녹번동 **-*** 힐스테이트 녹번 ***동 ***호,CDFF3241102019000001,3110000,,"서울특별시 은평구 통일로 ***, ***동 ***호 (녹번동, 힐스테이트 녹번)",03373,03,폐업,,,,,,
근린생활시설,코코팡 주식회사,2022-05-18,170791.714578843,447267.171722161,유통관련업,음반.음악영상물배급업,2026-05-01 22:41:33,I,03,폐업,"어린이 교육용 음반, 음악 및 영상물을 포함한 콘텐츠",106.4,8,2022-05-18 15:07:58,,2022-04-14,,인천광역시 서구 가정동 ***-* 새롬프라자 ***호,CDFF3241102022000001,3560000,일반상업지역,"인천광역시 서구 봉오재*로 **, 새롬프라자 *층 ***호 (가정동)",22883,03,폐업,기타,,,032-547-0579,10,2
