건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,동보흥행(주),2014-03-31,196554.899209998,455159.209918255,,영화제작업,2026-05-01 22:41:28,I,03,폐업,,,1986-06-14,,2014-03-31 17:07:55,,1986-06-14,,서울특별시 종로구 부암동 ***-* 한국금박빌딩 ***호,CDFF5211011986000001,3000000,,"서울특별시 종로구 자하문로 *** (부암동,한국금박빌딩 ***호)",,03,폐업,,,,,,
,(주)동숭아트센터,2014-01-17,200257.115683163,453485.12004217,,영화제작업,2026-05-01 22:41:28,I,03,폐업,,,1997-11-11,,2014-01-17 15:17:42,,1997-11-11,,서울특별시 종로구 동숭동 *-*,CDFF5211011997000002,3000000,,서울특별시 종로구 동숭길 *** (동숭동),,03,폐업,,,,,,
,(주)외눈거인,2014-03-25,198916.797949788,452841.987926101,,영화제작업,2026-05-01 22:41:29,I,03,폐업,,,2001-07-26,,2014-03-26 09:13:06,,2001-07-26,,서울특별시 종로구 원서동 *** 볼재빌딩 *층,CDFF5211012001000006,3000000,,"서울특별시 종로구 율곡로 ** (원서동,볼재빌딩 *층)",,03,폐업,,,,,,
,시네마달,2012-05-03,198921.677961475,453322.733575101,,영화제작업,2026-05-01 22:41:29,I,03,폐업,,,2002-06-21,,2014-01-20 11:27:04,,2002-06-21,,서울특별시 종로구 원서동 **-** 현대빌라 *층,CDFF5211012002000005,3000000,,"서울특별시 종로구 창덕궁*길 ** (원서동,현대빌라 *층)",,03,폐업,,,,,,
,영화사달마소컴퍼니,2014-04-02,199695.055669341,453827.024551811,,영화제작업,2026-05-01 22:41:29,I,03,폐업,,,2004-02-10,,2014-04-03 17:22:08,,2004-02-10,,서울특별시 종로구 명륜*가 **-**,CDFF5211012004000001,3000000,,서울특별시 종로구 혜화로*길 ** (명륜*가),,03,폐업,,,,,,
,김응수필름,2014-03-28,199863.826422762,453804.229945497,,영화제작업,2026-05-01 22:41:29,I,03,폐업,,,2004-05-15,,2014-03-28 15:39:40,,2004-05-15,,서울특별시 종로구 명륜*가 **-*,CDFF5211012004000002,3000000,,서울특별시 종로구 혜화로*길 **-* (명륜*가),,03,폐업,,,,,,
,(주)오주필름,2014-04-17,198584.481111065,453384.510406248,,영화제작업,2026-05-01 22:41:29,I,03,폐업,,,2004-08-04,,2014-04-17 15:29:55,,2004-08-04,,서울특별시 종로구 가회동 **-**,CDFF5211012004000007,3000000,,서울특별시 종로구 북촌로 **-* (가회동),,03,폐업,,,,,,
,(주)조이슈즈,2014-04-03,196668.877563099,455055.264019484,,영화제작업,2026-05-01 22:41:29,I,03,폐업,,,2004-11-01,,2014-04-03 17:21:44,,2004-11-01,,서울특별시 종로구 부암동 ***-* 울트라 ***호,CDFF5211012004000010,3000000,,"서울특별시 종로구 자하문로 *** (부암동,울트라 ***호)",,03,폐업,,,,,,
,(주)룩앳미디어,2019-04-30,198916.797949788,452841.987926101,,영화제작업,2026-05-01 22:41:29,I,03,폐업,,,2004-12-16,,2019-04-30 20:29:15,,2004-12-16,,서울특별시 종로구 원서동 *** 볼재빌딩 *층,CDFF5211012004000012,3000000,,"서울특별시 종로구 율곡로 ** (원서동,볼재빌딩 *층)",,03,폐업,,,,,,
,(주)한길마이크로,2015-05-21,198907.404761229,453203.751967767,,영화제작업,2026-05-01 22:41:30,I,03,폐업,,,2007-05-14,,2015-05-21 11:06:49,,2007-05-14,,서울특별시 종로구 원서동 ***-** 신광빌라 ***호,CDFF5211012007000002,3000000,,"서울특별시 종로구 창덕궁*나길 ** (원서동,신광빌라 ***호)",,03,폐업,,,,,,
