축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,식육포장처리업,장수푸드,,171332.670732175,432656.183672095,2026-05-01 22:46:05,I,0000,정상,2026-03-06 10:53:59,,2026-03-06,0,,인천광역시 남동구 고잔동 704-6,식육포장처리업,353000010420260002,3530000,000,"인천광역시 남동구 능허대로559번길 24, 다동 1층 (고잔동)",21699,,01,영업/정상,,,
,식육포장처리업,(주)엠앤지푸드시스템,2009-04-24,215149.288222193,449778.476096513,2026-05-01 22:41:19,I,0002,폐업,2009-04-27 12:51:09,,2007-02-01,0,,서울특별시 강동구 상일동 247,식육포장처리업,324000000420070002,3240000,L00,,,,03,폐업,,,
,식육포장처리업,농업회사법인 대한푸드 주식회사,2021-04-15,176577.168348372,438245.313705796,2026-05-01 22:46:04,I,0002,폐업,2021-04-15 13:38:06,,2005-01-11,0,,인천광역시 남동구 만수동 1086 6동 B01호,식육포장처리업,353000000420050002,3530000,L00,"인천광역시 남동구 담방서로17번길 37 (만수동, 6동 B01호)",21591,,03,폐업,,,
,식육포장처리업,(주)비에스푸드테크,2025-12-26,172042.424647725,433440.091857681,2026-05-01 22:46:05,I,0002,폐업,2025-12-29 11:05:46,,2023-08-02,0,,인천광역시 남동구 고잔동 681-12 1동 1층,식육포장처리업,353000010420230011,3530000,L00,"인천광역시 남동구 남동서로113번길 48, 1동 1층 (고잔동)",21695,,03,폐업,,,
,식육포장처리업,위드미트,,207414.876746133,451055.823152065,2026-05-01 22:40:12,I,0000,정상,2010-11-18 18:33:54,,2010-11-18,0,,서울특별시 광진구 중곡동 38-3,식육포장처리업,304000010420100001,3040000,000,서울특별시 광진구 용마산로21길 72 (중곡동),,,01,영업/정상,,,
,식육포장처리업,(주)승일축산,,209367.991933454,449464.138000765,2026-05-01 22:40:12,I,0000,정상,2022-06-27 14:42:09,,2015-08-11,0,,서울특별시 광진구 광장동 326-13 지하1층,식육포장처리업,304000010420150002,3040000,L00,"서울특별시 광진구 아차산로 612, 지하1층 (광장동)",04969,,01,영업/정상,,,
,식육포장처리업,주식회사 백년축산,,206967.052976217,448393.070682536,2026-05-01 22:40:12,I,0000,정상,2026-04-24 09:44:37,,2017-02-14,0,,서울특별시 광진구 자양동 774-25 1층,식육포장처리업,304000010420170001,3040000,L00,"서울특별시 광진구 아차산로 329-1, 1층 (자양동)",05027,,01,영업/정상,,,
,식육포장처리업,주식회사 남한강,,211069.812258216,447191.968639032,2026-05-01 22:41:19,I,0000,정상,2020-01-23 15:35:33,,2005-11-15,221.64,,서울특별시 강동구 성내동,식육포장처리업,324000000420050021,3240000,L00,"서울특별시 강동구 성안로3길 69 (성내동, 다영빌딩)",05400,,01,영업/정상,,,
,식육포장처리업,대성식품,,212674.543178849,448936.755393575,2026-05-01 22:41:19,I,0000,정상,2023-03-07 12:40:30,,2007-05-15,0,,서울특별시 강동구 길동 339-3 지하1층 B102호,식육포장처리업,324000000420070005,3240000,000,서울특별시 강동구 양재대로124길 40(길동),05303,,01,영업/정상,,,
,식육포장처리업,주식회사 엔식품,,211309.086363507,449394.263347689,2026-05-01 22:41:19,I,0000,정상,2026-01-16 00:00:13,,2010-03-19,0,,서울특별시 강동구 천호동 311-34,식육포장처리업,324000010420100002,3240000,L00,서울특별시 강동구 천중로15나길 7 (천호동),05322,2018-07-28,01,영업/정상,,,
,식육포장처리업,888FnC,,211669.927121349,447734.899992198,2026-05-01 22:41:20,I,0000,정상,2025-02-17 11:04:59,,2015-05-26,0,,서울특별시 강동구 성내동 407-1,식육포장처리업,324000010420150001,3240000,000,"서울특별시 강동구 성안로 94, 1층 (성내동)",05377,,01,영업/정상,,,02-484-4888
,식육포장처리업,성농찬,,214888.465504117,449334.414421623,2026-05-01 22:41:20,I,0000,정상,2018-01-31 10:04:57,,2018-01-31,220.3,,서울특별시 강동구 상일동 454,식육포장처리업,324000010420180001,3240000,000,"서울특별시 강동구 상암로81길 50, 지하1및1층 (상일동)",05284,,01,영업/정상,,,
,식육포장처리업,(주)플랜비에프에스,,211349.725354409,450207.018195483,2026-05-01 22:41:20,I,0000,정상,2019-06-03 14:44:17,,2018-10-11,336.98,,서울특별시 강동구 암사동 462-3 서연빌딩,식육포장처리업,324000010420180002,3240000,L00,"서울특별시 강동구 올림픽로 820, 서연빌딩 지하1층 (암사동)",05251,,01,영업/정상,,,
,식육포장처리업,럭키팜축산,,228200.551483289,429624.196750961,2026-05-01 03:03:03,U,0000,정상,2026-04-30 15:23:37,,2022-12-29,0,,경기도 광주시 초월읍 늑현리 24-3,식육포장처리업,554000010420220027,5540000,000,경기도 광주시 초월읍 산수로66번길 11-3,12737,,01,영업/정상,,,
,식육포장처리업,주식회사 유성인터내셔널,,197595.232039184,408861.701762675,2026-05-01 03:03:03,U,0000,정상,2026-04-30 09:03:51,,2023-03-27,2210,,경기도 화성시 효행구 정남면 보통리 293-1,식육포장처리업,553000010420230006,5530000,L00,"경기도 화성시 효행구 정남면 보통내길 29-14, 2층",18516,,01,영업/정상,,,
