사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,다른겸업여부,도로명주소,도로명우편번호,재개업일자,수리대상의료기기의유형,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
현대약품공업(주),2011-03-28,,,2026-05-01 22:33:22,I,03,폐업,2011-03-30 10:19:27,,2006-10-13,157-928,서울특별시 강서구 화곡6동 1110번지 2호,PHMG320063150037047400001,3150000,,,,,,03,폐업,,,,
(주)메스코이엔지,2012-11-12,,,2026-05-01 22:33:22,I,03,폐업,2012-11-13 11:00:13,,2005-09-22,157-808,"서울특별시 강서구 가양2동 1148번지 비젼타워3층 302호,303호",PHMG320073150037047400001,3150000,,,,,마취기,03,폐업,,,36615559,
(주)파마헬스케어,2013-03-28,185931.619682845,451668.023528774,2026-05-01 22:33:22,I,03,폐업,2013-03-29 18:11:06,,2008-10-01,157-930,서울특별시 강서구 등촌3동 684번지 1호 에이스테크노타워 201호,PHMG320083150037047400001,3150000,N,,,,일반기기,03,폐업,,,,
새한판매(주),2013-03-20,183284.388090473,451554.110365625,2026-05-01 22:33:22,I,03,폐업,2015-11-05 10:51:58,,2008-01-03,,서울특별시 강서구 방화동 606번지 36호 용환빌딩 601호,PHMG320083150037047400004,3150000,,"서울특별시 강서구 금낭화로 9 (방화동, 용환빌딩)",07614,,"진료대.이학진료용기기,정형용기기",03,폐업,,,22340051,
(주)스타막스인터내숀얼,2011-10-13,185926.715920448,451634.919975729,2026-05-01 22:33:22,I,03,폐업,2011-10-13 18:03:36,,2005-03-23,157-930,서울특별시 강서구 등촌3동 684번지 2호 우리벤처타운 201호,PHMG320093150037047400002,3150000,Y,,,,정형용기기,03,폐업,,,,
(주)메디포스,2013-03-20,187952.560027898,450562.020225978,2026-05-01 22:33:22,I,03,폐업,2015-11-05 11:00:07,,2009-07-28,,서울특별시 강서구 염창동 240번지 21호 우림블루나인 B동 2411호,PHMG320093150037047400006,3150000,,"서울특별시 강서구 양천로 583 (염창동, 우림블루나인)",07547,,"방사선진료장치,비전리진단장치",03,폐업,,,20931911,
강서의료기,2015-02-11,185245.431987227,449444.952787419,2026-05-01 22:33:22,I,03,폐업,2015-02-12 13:52:09,,2010-12-31,157-918,서울특별시 강서구 화곡동 1009번지 15호 101호,PHMG320103150037047400002,3150000,,"서울특별시 강서구 강서로43길 42, 101호 (화곡동)",,,환자운반차,03,폐업,,,26086088,
에이원케어,2011-10-11,186051.29986843,451804.598382081,2026-05-01 22:33:22,I,03,폐업,2011-10-13 14:06:59,,2010-08-31,157-801,서울특별시 강서구 가양1동 146번지 22호 1 층,PHMG320103150037047400003,3150000,,,,,환자운반차,03,폐업,,,36611212,
(주)윈헬스케어,2018-06-07,184161.316363142,452077.906637611,2026-05-01 22:33:22,I,03,폐업,2018-06-08 10:34:12,,2011-04-01,,서울특별시 강서구 마곡동 1532 208호,PHMG320113150037047400001,3150000,Y,"서울특별시 강서구 방화대로34길 92, 208호 (방화동, 불해빌딩)",07595,,생체현상측정기기(내장기능검사용기기),03,폐업,,,36624735,
행복메디케어,2012-11-16,183282.24658208,451684.321890662,2026-05-01 22:33:23,I,03,폐업,2012-11-16 10:53:03,,2011-01-18,157-851,서울특별시 강서구 방화2동 598번지 113호 1층,PHMG320113150037047400003,3150000,Y,"서울특별시 강서구 금낭화로 23, 1층 (방화동)",,,환자운반차,03,폐업,,,,
