사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,조제용연마기수,상세영업상태코드,상세영업상태명,시력표수,총면적,안경세척기수,가열기수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,렌즈절단기수,지번주소,관리번호,측정의자수,개방자치단체코드,동공거리측정기수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,표본렌즈수,휴업시작일자,휴업종료일자,소재지전화번호,정점굴절계기수
안경박사 안경의집,2024-06-18,205391.413890352,460703.536575497,2026-05-01 22:36:22,I,0,03,폐업,0,,0,0,2024-06-18 11:41:27,,1990-10-24,139-831,0,서울특별시 노원구 상계동 763번지 6호,PHMB219903100034082200004,0,3100000,0,서울특별시 노원구 동일로 1345 (상계동),01767,03,폐업,0,,,02-937-1001,0
안경마을,2010-11-01,,,2026-05-01 22:36:22,I,0,03,폐업,0,,0,0,2010-11-01 17:11:17,,1990-10-26,139-205,0,서울특별시노원구상계5동 173번지 벽산상가 108동1층31호,PHMB219903100034082200005,0,3100000,0,,,03,폐업,0,,,02-938-3347,0
안경박사 대한안경원,2020-11-03,205010.833443366,462726.458573708,2026-05-01 22:36:22,I,0,03,폐업,0,,0,0,2020-10-29 13:06:54,,1990-12-15,139-822,0,"서울특별시 노원구 상계동 649번지 2호 110호, 111호,112호",PHMB219903100034082200007,0,3100000,0,서울특별시 노원구 동일로 1550 (상계동),01674,03,폐업,0,,,02-934-9403,0
인터넷안경,2012-04-16,,,2026-05-01 22:36:22,I,0,03,폐업,0,,0,0,2012-10-31 16:44:18,,1991-04-19,139-203,0,서울특별시노원구상계3동 93-1,PHMB219913100034082200003,0,3100000,0,,,03,폐업,0,,,02-937-3170,0
아이빛안경원,2022-10-31,206172.233157522,461867.226670678,2026-05-01 22:36:23,I,0,03,폐업,0,,0,0,2022-10-31 17:59:21,,1991-06-26,139-818,0,서울특별시 노원구 상계동 389번지 356호 1층 111호,PHMB219913100034082200017,0,3100000,0,서울특별시 노원구 상계로27길 12 (상계동),01682,03,폐업,0,,,02-937-2410,0
상록안경랜드,2017-10-24,204670.573678123,462933.316362013,2026-05-01 22:36:23,I,0,03,폐업,0,20,0,0,2017-10-24 09:35:08,,1991-07-03,,0,서울특별시 노원구 상계동 624번지,PHMB219913100034082200026,0,3100000,0,"서울특별시 노원구 동일로227길 26 (상계동, 상계주공15단지아파트)",01617,03,폐업,0,,,,0
비춤안경원,2017-01-24,206981.454072644,458960.471391303,2026-05-01 22:36:23,I,1,03,폐업,1,,1,1,2017-03-06 13:39:22,,1991-07-04,139-800,1,서울특별시 노원구 공릉2동 172번지,PHMB219913100034082200029,1,3100000,1,서울특별시 노원구 공릉로 232 (공릉동),01811,03,폐업,1,,,02-970-6918,1
성심안경원,2011-07-06,,,2026-05-01 22:36:23,I,0,03,폐업,0,,0,0,2011-07-06 13:07:24,,1993-07-24,139-053,0,"서울특별시노원구월계3동 17 가동상가 122,123호",PHMB219933100034082200008,0,3100000,0,,,03,폐업,0,,,02-974-2813,0
명안경원,2006-11-16,,,2026-05-01 22:36:26,I,0,03,폐업,0,,0,0,2011-05-20 10:17:57,,1993-09-03,139-231,0,서울특별시노원구하계1동 280번지 미성아파트 상가 1층 8호,PHMB219933100034082200015,0,3100000,0,,,03,폐업,0,,,02-978-8200,0
밝은세상(굿선글라스),2006-03-17,,,2026-05-01 22:36:26,I,0,03,폐업,0,,0,0,2010-04-27 09:29:14,,1993-12-07,139-242,0,서울특별시노원구공릉2동 208-5,PHMB219933100034082200018,0,3100000,0,,,03,폐업,0,,,02-974-5105,0
삼일안경,2006-04-13,,,2026-05-01 22:36:24,I,0,03,폐업,0,,0,0,2010-06-08 12:53:09,,1996-04-13,139-221,0,"서울특별시노원구중계1동 517,356",PHMB219963100034082200004,0,3100000,0,,,03,폐업,0,,,02-934-8544,0
김안경원,2024-02-23,205316.908829197,461524.723572095,2026-05-01 22:36:28,I,,03,폐업,1,19.8,,,2024-02-23 16:08:01,,2020-11-24,,,서울특별시 노원구 상계동 693-2 위성프라자,PHMB220203100034082200006,,3100000,1,"서울특별시 노원구 상계로 55, 위성프라자 303호 (상계동)",01694,03,폐업,,,,02-930-7468,1
알로뷰안경세이브존 노원점,2024-05-13,205994.811815848,459502.645279682,2026-05-01 22:36:22,I,,03,폐업,1,41.49,,,2024-05-13 17:39:21,,2022-04-01,,,서울특별시 노원구 하계동 284 세이브존,PHMB220223100034082200001,,3100000,1,"서울특별시 노원구 한글비석로 57, 세이브존 지하1층 (하계동)",01784,03,폐업,,,,,1
대세계로안경,2019-12-23,,,2026-05-01 22:36:24,I,0,03,폐업,0,,0,0,2020-08-12 15:23:23,,1997-06-05,139-848,0,서울특별시 노원구 월계동 633번지 108호,PHMB219973100034082200004,0,3100000,0,서울특별시 노원구 월계로49길 6 (월계동),01879,03,폐업,0,,,02-999-4338,0
기쁨안경콘택트,2003-10-24,,,2026-05-01 22:36:24,I,0,03,폐업,0,,0,0,2010-03-23 09:13:31,,1997-07-02,139-050,0,"서울특별시노원구월계동 845 라이프상가23,24,25호",PHMB219973100034082200005,0,3100000,0,,,03,폐업,0,,,02-995-0838,0
씨채널 공릉점,2017-07-31,206362.899478796,457971.281823654,2026-05-01 22:36:24,I,0,03,폐업,0,,0,0,2017-08-07 10:51:58,,1998-03-03,139-806,0,서울특별시 노원구 공릉동 494번지 1호,PHMB219983100034082200002,0,3100000,0,서울특별시 노원구 동일로187길 7 (공릉동),01857,03,폐업,0,,,02-979-4155,0
밝은안경나라,2004-12-31,,,2026-05-01 22:36:25,I,0,03,폐업,0,,0,0,2010-04-27 09:30:25,,1998-09-28,139-053,0,서울특별시노원구월계3동 13-17 삼호@상가217,PHMB219983100034082200011,0,3100000,0,,,03,폐업,0,,,02-976-2725,0
안경박사 아이마트,2024-06-10,206410.853461352,461999.62959471,2026-05-01 22:36:25,I,0,03,폐업,1,82.95,0,0,2024-06-10 11:03:16,,1998-10-26,139-856,0,서울특별시 노원구 중계동 141번지 40호,PHMB219983100034082200014,0,3100000,1,서울특별시 노원구 한글비석로22길 18 (중계동),01662,03,폐업,0,,,02-933-0084,3
삼육대안경,2024-09-20,209288.472624641,460064.53972057,2026-05-01 22:36:25,I,0,03,폐업,0,,0,0,2024-09-10 17:01:42,,1999-04-29,139-742,0,서울특별시 노원구 공릉동 26번지 21호 삼육대학교 학생휴게실 2층,PHMB219993100034082200003,0,3100000,0,서울특별시 노원구 화랑로 815 (공릉동),01795,03,폐업,0,,,02-971-3573,0
오렌즈상계점,2024-05-30,206399.072338658,461941.955622232,2026-05-01 22:36:26,I,0,03,폐업,0,0,0,0,2024-05-30 15:50:18,,1999-11-03,139-867,0,"서울특별시 노원구 중계동 591번지 대호아파트상가 187,188호",PHMB219993100034082200005,0,3100000,0,서울특별시 노원구 한글비석로 384 (중계동),01662,03,폐업,0,,,02-930-8008,0
까만안경,2015-06-02,206953.775564133,457856.976031993,2026-05-01 22:36:26,I,0,03,폐업,0,,0,0,2015-06-03 16:13:13,,1999-11-19,139-800,0,서울특별시 노원구 공릉동 238번지 48호,PHMB219993100034082200006,0,3100000,0,서울특별시 노원구 공릉로 146 (공릉동),,03,폐업,0,,,02-973-9528,0
서울여자대학교 구내안경,2023-06-29,207918.320414714,458383.983421656,2026-05-01 22:36:26,I,0,03,폐업,0,,0,0,2023-11-09 10:34:53,,2000-05-12,139-774,0,서울특별시 노원구 공릉동 126번지,PHMB220003100034082200002,0,3100000,0,서울특별시 노원구 화랑로 621 (공릉동),01797,03,폐업,0,,,02-970-5377,0
빛사랑안경원,2022-04-29,205462.410427775,461341.913474047,2026-05-01 22:36:26,I,0,03,폐업,0,,0,0,2022-11-04 10:03:55,,2000-07-22,139-832,0,서울특별시 노원구 상계동 724번지 2호,PHMB220003100034082200006,0,3100000,0,서울특별시 노원구 노해로 492 (상계동),01751,03,폐업,0,,,02-952-4648,0
월드아이센스,2016-05-13,,,2026-05-01 22:36:26,I,0,03,폐업,0,,0,0,2016-05-17 15:42:53,,2001-01-26,,0,서울특별시 노원구 월계동 280번지 3호,PHMB220013100034082200002,0,3100000,0,"서울특별시 노원구 초안산로2나길 44 (월계동, 바다약국)",01879,03,폐업,0,,,02-902-0336,0
루노안경,2011-03-30,,,2026-05-01 22:36:26,I,0,03,폐업,0,,0,0,2011-03-30 17:35:44,,2001-03-14,139-229,0,서울특별시노원구중계본동 366-4 신아프라자 104호,PHMB220013100034082200003,0,3100000,0,,,03,폐업,0,,,02-951-7007,0
에이플러스안경,2011-02-21,,,2026-05-01 22:36:25,I,0,03,폐업,0,,0,0,2011-02-21 10:26:39,,2001-12-07,139-209,0,서울특별시노원구상계9동 639-1 보람상가147호,PHMB220013100034082200010,0,3100000,0,,,03,폐업,0,,,02-936-3130,0
아이마트안경,2009-06-16,,,2026-05-01 22:36:25,I,0,03,폐업,0,,0,0,2009-06-16 13:24:41,,2002-04-18,139-224,0,서울특별시노원구중계4동 157-5,PHMB220023100034082200002,0,3100000,0,,,03,폐업,0,,,02-930-0245,0
