사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
바스멍,,201782.806677802,450252.4810948,2026-05-01 22:41:33,I,0000,정상,,2022-04-28 18:10:56,,2019-04-18,0,,서울특별시 성동구 금호동*가 ***-*,303000004820190008,3030000,000,서울특별시 성동구 행당로 * (금호동*가),04727,,01,영업/정상,,,02-2299-7001
"고양아, 안녕?",,203597.7587591,451160.268443273,2026-05-01 22:41:33,I,0000,정상,,2022-04-28 18:10:57,,2019-09-09,0,,서울특별시 성동구 마장동 *** 금호어울림아파트,303000004820190019,3030000,000,"서울특별시 성동구 마조로 **, 상가동 *층 (마장동, 금호어울림아파트)",04759,,01,영업/정상,,,
나인페츠,,203684.281166499,449280.97521227,2026-05-01 22:41:33,I,0000,정상,,2023-02-16 10:00:09,,2020-03-31,0,,서울특별시 성동구 성수동*가 ***-*** 갤러리아 포레 ***동 ***호,303000004820200004,3030000,000,"서울특별시 성동구 서울숲*길 **-**, ***동 ***호 (성수동*가, 갤러리아 포레)",04769,,01,영업/정상,,,070-8845-9101
댕댕이루,,204108.403825914,449864.570401349,2026-05-01 22:41:33,I,0000,정상,,2022-04-28 18:10:57,,2021-02-02,0,,서울특별시 성동구 성수동*가 ***-***,303000004820210003,3030000,L00,서울특별시 성동구 상원길 ** (성수동*가),04788,,01,영업/정상,,,02-466-5787
어반독,,202372.912023599,451536.680876573,2026-05-01 22:41:33,I,0000,정상,,2023-01-13 09:10:39,,2023-01-13,0,,서울특별시 성동구 하왕십리동 **** 센트라스 상가 J동 ***호,303000004820230002,3030000,000,"서울특별시 성동구 왕십리로 ***(하왕십리동, 센트라스)",04701,,01,영업/정상,,,
성수퍼피,,203907.251344139,449272.912713959,2026-05-01 22:41:33,I,0000,정상,,2024-11-05 09:30:59,,2023-07-05,0,,서울특별시 성동구 성수동*가 ***-**,303000004820230003,3030000,000,"서울특별시 성동구 왕십리로 **, *층 (성수동*가)",04778,,01,영업/정상,,,
버블퍼피,,202558.335435687,450951.715052434,2026-05-01 22:41:33,I,0000,정상,,2024-03-05 14:17:55,,2024-03-05,0,,서울특별시 성동구 하왕십리동 ***-*,303000004820240001,3030000,000,서울특별시 성동구 무학봉길 ** (하왕십리동),04710,,01,영업/정상,,,070-8269-6667
고양이 호텔 캣어스 트리마제점,,203911.513091074,448508.756036449,2026-05-01 22:41:33,I,0000,정상,,2024-07-16 13:19:10,,2024-07-16,0,,서울특별시 성동구 성수동*가 *** 트리마제 ***호,303000004820240002,3030000,000,"서울특별시 성동구 왕십리로 **, ***호 (성수동*가, 트리마제)",04773,,01,영업/정상,,,
에어묘앤비,,206112.681512323,450105.634021539,2026-05-01 22:41:33,I,0000,정상,,2025-01-14 09:04:35,,2025-01-14,0,,서울특별시 성동구 송정동 **-* 천암빌딩 ***호,303000004820250001,3030000,000,"서울특별시 성동구 동일로 ***, 천암빌딩 ***호 (송정동)",04800,,01,영업/정상,,,
길고양이마을 성수협력2호점,,204744.808759887,449227.219539688,2026-05-01 22:41:34,I,0000,정상,,2025-09-09 16:53:46,,2025-09-09,0,,서울특별시 성동구 성수동*가 ***-** 현진빌딩,303000004820250002,3030000,000,"서울특별시 성동구 아차산로 **, 현진빌딩 *층 (성수동*가)",04794,,01,영업/정상,,,
아지콩콩,,202207.929114266,449907.980065843,2026-05-01 22:41:34,I,0000,정상,,2025-10-31 18:50:26,,2025-10-31,0,,서울특별시 성동구 금호동*가 ****,303000004820250003,3030000,000,"서울특별시 성동구 금호로 **, *층 (금호동*가)",04718,,01,영업/정상,,,
서울테일즈,,201312.554953124,449048.148127595,2026-05-01 22:41:34,I,0000,정상,,2025-12-20 14:41:44,,2025-12-20,0,,서울특별시 성동구 옥수동 ***-*,303000004820250004,3030000,000,"서울특별시 성동구 한림말*길 **-*, 지층 (옥수동)",04735,,01,영업/정상,,,
성수퍼피 숲의집,,203907.251344139,449272.912713959,2026-05-01 22:41:34,I,0000,정상,,2026-01-22 09:52:36,,2026-01-21,0,,서울특별시 성동구 성수동*가 ***-**,303000004820260001,3030000,000,"서울특별시 성동구 왕십리로 **, *층 (성수동*가)",04778,,01,영업/정상,,,
몽아띠,,202736.542636491,451293.244283327,2026-05-01 22:41:34,I,0000,정상,,2026-01-21 15:24:58,,2026-01-21,0,,서울특별시 성동구 도선동 ***-*,303000004820260002,3030000,000,"서울특별시 성동구 무학로*길 **, *층 ***호 (도선동)",04707,,01,영업/정상,,,
SL동물병원,2020-02-04,202795.584166507,451229.645563358,2026-05-01 22:41:32,I,0002,폐업,,2022-04-28 18:10:56,,2018-09-14,0,,서울특별시 성동구 도선동 ***-*,303000004820180032,3030000,000,"서울특별시 성동구 왕십리로 ***, *층 (도선동)",04707,,03,폐업,,,02-2299-8575
