놀이기구수내역,건물용도명,사업장명,방송시설유무,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,발전시설유무,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,안내소유무,의무실유무,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,놀이시설수,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박총톤수
,,거북놀이랜드,,2012-06-27,170986.031761326,445182.554037164,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2012-06-27 16:09:53,,2012-01-05,404-826,인천광역시 서구 석남동 509-15 3필지 5층,CDFI5272002012000001,3560000,,,,,03,폐업,,,,,,,
,,리틀봉봉,,2025-10-27,173121.907715322,454675.787141588,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2025-10-27 17:34:10,,2016-05-20,,인천광역시 서구 원당동 824-6 삼정프라자 403호,CDFI5272002016000001,3560000,,,"인천광역시 서구 원당대로 853, 403호 (원당동, 삼정프라자)",22647,03,폐업,,,,032-568-5684,,,
,,노리파크 인천검단점,,2020-05-04,171422.42160073,454686.124283799,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2020-05-04 13:25:29,,2016-05-27,,"인천광역시 서구 마전동 1058-5 나산프라자 201,202호",CDFI5272002016000002,3560000,2,,"인천광역시 서구 원당대로 683, 201,202호 (마전동, 나산프라자)",22643,03,폐업,,,,032-562-4976,,,
,,청라아시아드워터파크,,2017-03-02,170458.811013205,449382.213729606,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2017-03-02 13:12:23,,2016-07-18,,인천광역시 서구 청라동 378 인천아시아드주경기장 (북측광장),CDFI5272002016000003,3560000,,,"인천광역시 서구 봉수대로 806 (연희동, 인천아시아드주경기장 (북측광장))",22717,03,폐업,,,,032-568-0955,,,
,,노리파크 신현,,2018-08-02,171037.113437935,446148.051506399,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2018-08-06 10:02:38,,2016-08-18,,인천광역시 서구 가정동 516-29 3층,CDFI5272002016000004,3560000,,,"인천광역시 서구 가정로 360-2, 3층 (가정동)",22783,03,폐업,,,,070-7778-6714,,,
,,청라아시아드 눈썰매장,,2017-03-02,170458.811013205,449382.213729606,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2017-03-02 13:12:49,,2016-12-30,,인천광역시 서구 청라동 378 인천아시아드주경기장 북측광장,CDFI5272002016000005,3560000,,,"인천광역시 서구 봉수대로 806 (연희동, 인천아시아드주경기장)",22717,03,폐업,,,,032-505-5610,,,
,,청라 아시아드 워터파크,,2017-09-25,170458.811013205,449382.213729606,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2017-09-25 17:43:28,,2017-07-10,,인천광역시 서구 청라동 378 인천아시아드주경기장 북측광장,CDFI5272002017000001,3560000,,,"인천광역시 서구 봉수대로 806 (연희동, 인천아시아드주경기장 북측광장)",22717,03,폐업,,,,1588-6180,,,
,,매직키즈,,2019-03-07,170813.26483128,443985.945396357,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2019-03-07 17:12:09,,2017-09-26,,인천광역시 서구 가좌동 118 홈플러스가좌점 3층,CDFI5272002017000002,3560000,,,"인천광역시 서구 가정로151번길 11, 3층 (가좌동, 홈플러스가좌점)",22832,03,폐업,,,,032-573-0970,,,
,,오성키즈팡팡,,2019-09-15,168211.081101293,455024.818439734,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2019-11-21 15:26:27,,2017-11-09,,인천광역시 서구 왕길동 산 144-2 201호,CDFI5272002017000003,3560000,,,"인천광역시 서구 단봉로 97, 201호 (왕길동)",22657,03,폐업,,,,,,,
,,킹돔라이더,,2019-01-23,170813.26483128,443985.945396357,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2019-01-23 13:40:32,,2017-12-04,,인천광역시 서구 가좌동 118 홈플러스 가좌점 3층,CDFI5272002017000004,3560000,,,"인천광역시 서구 가정로151번길 11, 3층 (가좌동)",22832,03,폐업,,,,,,,
,,원더4D(청라홈플러스점),,2023-04-07,168873.669817217,447844.121764937,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2023-04-10 11:35:32,,2017-09-15,,인천광역시 서구 청라동 157-22 홈플러스 인천청라점,CDFI5272002017000005,3560000,,,"인천광역시 서구 중봉대로 587, 홈플러스 인천청라점 2층 (청라동)",22762,03,폐업,,,,,,,
,,노블리슈,,2021-11-20,168160.681324996,454981.755470392,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2021-12-16 09:13:19,,2018-01-08,,인천광역시 서구 오류동 0,CDFI5272002018000001,3560000,,,"인천광역시 서구 단봉로 97-7, 센터프라자 206,207호 (오류동)",22657,03,폐업,,,,032-566-0203,,,
,,아이점프,,2021-11-09,171303.643446942,451532.588402321,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2021-11-08 17:56:35,,2018-04-25,,인천광역시 서구 검암동 598-9 장한프라자,CDFI5272002018000002,3560000,,,"인천광역시 서구 승학로 507, 장한프라자 3층 301~302호 (검암동)",22695,03,폐업,,,,,,,
,,콩콩 앤 조이,,2020-02-24,171075.083285018,448959.367013061,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2020-02-24 14:40:35,,2018-05-21,,인천광역시 서구 심곡동 251-15,CDFI5272002018000003,3560000,,,"인천광역시 서구 심곡로 35, 2층 (심곡동)",22727,03,폐업,,,,,,,
,,펀앤펀 키즈카페,,2021-05-10,172016.925836961,443526.637729524,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2021-05-10 17:49:19,,2018-06-07,,인천광역시 서구 가좌동 30-48 가좌프라자쇼핑,CDFI5272002018000004,3560000,,,"인천광역시 서구 원적로96번길 26, 가좌프라자쇼핑 303~304호 (가좌동)",22810,03,폐업,,,,032-576-5835,,,
,,플레이방방,,2020-06-10,172988.990126284,454570.063915311,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2020-06-10 16:29:28,,2018-06-12,,인천광역시 서구 당하동 1028-2 장원프라자,CDFI5272002018000005,3560000,,,"인천광역시 서구 원당대로840번길 5, 장원프라자 206~207호 (당하동)",22682,03,폐업,,,,032-561-7522,,,
,,청라 아시아드 워터파크,,2018-08-27,170234.016171495,449416.878289592,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2018-10-12 09:23:12,,2018-07-06,,인천광역시 서구 연희동 378 인천아시아드주경기장,CDFI5272002018000006,3560000,,,"인천광역시 서구 봉수대로 806, 인천아시아드주경기장 북측광장 (연희동)",22717,03,폐업,,,,,,,
,,노리파크 가정신현점,,2023-07-19,171037.113437935,446148.051506399,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2023-07-19 09:29:29,,2018-08-06,,인천광역시 서구 가정동 516-29,CDFI5272002018000007,3560000,,,"인천광역시 서구 가정로 360-2, 3층 (가정동)",22783,03,폐업,,,,,,,
,,(주)키드랜드,,2023-03-30,169357.455904506,453311.094345156,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2023-03-30 17:52:37,,2018-12-06,,인천광역시 서구 백석동 212-4,CDFI5272002018000008,3560000,,,인천광역시 서구 한서로 78-16 (백석동),22672,03,폐업,,,,032-555-8027,,,
,,키다리방방,,2020-04-01,171228.667714979,454606.237035481,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2020-04-02 13:45:52,,2018-12-14,,인천광역시 서구 당하동 1092-5 창신프라자,CDFI5272002018000009,3560000,,,"인천광역시 서구 원당대로 664, 창신프라자 8층 (당하동)",22677,03,폐업,,,,032-565-5144,,,
,,키즈 스카이 방방,,2021-05-30,171762.70168151,443524.667297792,,신고테마파크업,2026-05-01 22:36:26,I,,03,폐업,,,,,,,2021-08-17 10:24:02,,2019-01-11,,인천광역시 서구 가좌동 30-69 라이프쇼핑센타,CDFI5272002019000001,3560000,,,"인천광역시 서구 원적로 78, 304호 (가좌동)",22815,03,폐업,,,,,,,
,,프레리키즈카페(루원시티점),,2023-03-01,170791.714578843,447267.171722161,,신고테마파크업,2026-05-01 22:36:27,I,,03,폐업,,,,,,,2023-03-08 13:07:46,,2020-03-18,,인천광역시 서구 가정동 618-1 새롬프라자,CDFI5272002020000001,3560000,,,"인천광역시 서구 봉오재3로 96, 701~702호 (가정동)",22731,03,폐업,,,,,,,
,,태권래빗 루원시티점,,2025-08-28,,,,신고테마파크업,2026-05-01 22:36:27,I,,03,폐업,,,,,,,2025-08-28 14:24:38,,2023-08-11,,인천광역시 서구 가정동 0 포레나 루원시티,CDFI5272002023000003,3560000,2,,"인천광역시 서구 서곶로 120, 301동 B4층 B101호 (가정동, 포레나 루원시티)",22715,03,폐업,,,,,,,
,,미코게임,,2025-11-30,158372.847730066,414922.760456149,,신고테마파크업,2026-05-01 22:36:22,I,,03,폐업,,,,,,,2025-12-10 18:05:22,,2019-08-07,,인천광역시 옹진군 영흥면 선재리 213-17,CDFI5272002019000001,3580000,8,,인천광역시 옹진군 영흥면 선재로 76-10,23123,03,폐업,,,,032-882-0708,,,
,,십리포해수욕장 간이물놀이장,,2023-09-01,,,,신고테마파크업,2026-05-01 22:36:22,I,,03,폐업,,,,,,,2023-08-01 13:33:10,,2022-08-03,,인천광역시 옹진군 영흥면 내리 십리포해수욕장,CDFI5272002022000001,3580000,1,,,,03,폐업,,,,032-899-2215,,,
,,수기해수욕장 간이물놀이장,,2022-09-01,,,,신고테마파크업,2026-05-01 22:36:22,I,,03,폐업,,,,,,,2023-08-01 13:33:56,,2022-08-03,,인천광역시 옹진군 북도면 시도리 수기해수욕장,CDFI5272002022000002,3580000,1,,,,03,폐업,,,,032-899-2253,,,
,,십리포해수욕장 간이물놀이시설,,2023-08-31,,,,신고테마파크업,2026-05-01 22:36:22,I,,03,폐업,,,,,,,2024-01-11 15:46:07,,2023-07-14,,인천광역시 옹진군 영흥면 내리 산 91 십리포해변 통합안전센터,CDFI5272002023000002,3580000,1,,"인천광역시 옹진군 영흥면 영흥북로 420-26, 십리포해변 통합안전센터",23118,03,폐업,,,,,,,
