건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,독립영화 배급지원센터,2011-01-19,196228.311483715,449722.650329158,,영화배급업,2026-05-01 22:32:37,I,03,폐업,,,2003-06-25,,2011-07-16 16:10:36,,2003-06-25,,서울특별시 마포구 공덕동 **-* *층,CDFF5211032010000004,3130000,,"서울특별시 마포구 만리재옛길 **-*  (공덕동,*층)",,03,폐업,,,,31532980,,
,미디어 지따,2020-10-16,192086.411918267,449766.746247823,,영화배급업,2026-05-01 22:32:38,I,03,폐업,,,2010-04-14,,2020-10-16 12:54:25,,2010-04-14,,서울특별시 마포구 합정동 ***-* 정경빌딩 ***호,CDFF5211032010000007,3130000,,"서울특별시 마포구 양화로*길 ** (합정동,정경빌딩 ***호)",,03,폐업,,,,,,
,곡사,2014-08-08,191263.451931121,452207.500653521,,영화배급업,2026-05-01 22:32:39,I,03,폐업,,,2012-09-04,,2014-08-08 14:00:44,,2012-09-04,,서울특별시 마포구 성산동 *** 성산시영아파트트 **동 ****호,CDFF5211032012000013,3130000,,"서울특별시 마포구 월드컵북로 ***, **동 ****호 (성산동, 성산시영아파트)",,03,폐업,,,,,,
,(주)공연세상,2016-06-13,193540.404138543,449294.607730714,,영화배급업,2026-05-01 22:32:39,I,03,폐업,,,2012-10-25,,2016-06-21 19:26:00,,2012-10-25,,서울특별시 마포구 상수동 **-* *층,CDFF5211032012000015,3130000,,"서울특별시 마포구 토정로 ***, *층 (상수동)",,03,폐업,,,,,,
,프리포트,2014-06-17,193096.668173979,449781.224165794,,영화배급업,2026-05-01 22:32:39,I,03,폐업,,,2012-11-16,,2014-06-17 17:21:50,,2012-11-16,,서울특별시 마포구 서교동 ***-* *층,CDFF5211032012000016,3130000,,"서울특별시 마포구 와우산로**길 *, *층 (서교동)",,03,폐업,,,,31442028,,
,주식회사 복합문화공간사이,2016-01-15,192566.822021852,450097.331554955,,영화배급업,2026-05-01 22:32:40,I,03,폐업,,,2013-10-08,,2016-01-15 17:43:42,,2013-10-08,,서울특별시 마포구 서교동 ***-**,CDFF5211032013000009,3130000,,"서울특별시 마포구 잔다리로*길 **, *층 (서교동, 문지빌딩)",,03,폐업,,,,02-323-4207,,
,주식회사 더피플,2022-04-01,195564.375757848,449186.933273231,,영화배급업,2026-05-01 22:32:40,I,03,폐업,,,2011-03-24,,2022-05-09 17:36:13,,2011-03-24,,서울특별시 마포구 공덕동 *** 롯데캐슬프레지던트,CDFF5211032014000003,3130000,,"서울특별시 마포구 마포대로 ***, ***동 ****호 (공덕동, 롯데캐슬프레지던트)",04146,03,폐업,,,,,,
,주식회사 조이슈즈,2020-04-02,192732.419509859,451313.770759232,,영화배급업,2026-05-01 22:32:40,I,03,폐업,,,2014-03-28,,2020-04-02 00:10:49,,2014-03-28,,서울특별시 마포구 연남동 ***-**,CDFF5211032014000005,3130000,,"서울특별시 마포구 연남로*길 **-**, *층 (연남동)",03975,03,폐업,,,,,,
,(사)독립영화전용관확대를위한시민모임,2022-02-17,193282.130799848,450549.280167182,,영화배급업,2026-05-01 22:32:41,I,03,폐업,,,2014-08-18,,2022-02-17 17:20:43,,2014-08-18,,서울특별시 마포구 동교동 ***-** 동교동 스타피카소,CDFF5211032014000008,3130000,,"서울특별시 마포구 양화로 ***, 동교동 스타피카소 *층 (동교동)",04051,03,폐업,,,,070-738-0366,,
,(주)메이킹에이프린트,2016-12-31,190779.454468482,452672.22470573,,영화배급업,2026-05-01 22:32:41,I,03,폐업,,,2014-01-21,,2017-01-03 14:44:32,,2014-01-21,,서울특별시 마포구 상암동 *-***,CDFF5211032015000007,3130000,,"서울특별시 마포구 매봉산로*길 **, *층 *호 (상암동, 보우빌딩)",,03,폐업,,,,,,
