년간생산량,사업장명,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,취급목재제품,최종수정시점,인허가일자,지번주소,관리번호,인력보유현황,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,상태구분명,소재지전화번호,목재생산업종류명,목재생산업구분코드명
,태현물산(주),100,205039.907145725,449216.223655036,2026-05-01 22:34:47,I,1,정상,"원목,인조무늬목",2025-06-30 15:37:11,2013-11-25,서울특별시 성동구 성수동*가 ***-**,303000090201300002,,3030000,서울특별시 성동구 성수이로 *** (성수동*가),,01,영업/정상,영업,02-497-5454,,목재수입유통업
,신화상사,50,202692.268338778,450782.724696726,2026-05-01 22:34:47,I,1,정상,"목탄, 톱밥, 성형목탄",2025-06-26 13:12:34,2017-09-29,서울특별시 성동구 행당동 ***-**,303000090201700001,2,3030000,서울특별시 성동구 행당로**길 ** (행당동),,01,영업/정상,영업,,,목재수입유통업
100,(주)윤엔인터내셔날,50,204406.273464417,449056.128161275,2026-05-01 22:34:47,I,1,정상,"성형목탄, 목재펠릿",2025-06-26 13:17:32,2017-11-06,서울특별시 성동구 성수동*가 **-**,303000090201700002,,3030000,"서울특별시 성동구 연무장길 **-*, *층 (성수동*가)",04781,01,영업/정상,영업,02-556-8600,,목재수입유통업
9000,㈜유라스텍,200,204495.650175932,449405.611643886,2026-05-01 22:34:47,I,1,정상,제재목,2019-01-30 08:46:43,2019-01-30,서울특별시 성동구 성수동*가 ***-** 서울숲 SK V* TOWER A동 ****호,303000090201900001,8,3030000,"서울특별시 성동구 성수일로*길 *, 서울숲 SK V* TOWER A동 ****호 (성수동*가)",04793,01,영업/정상,영업,02-454-9204,,목재수입유통업
,(주)모닝텍스,,203887.185047227,449860.057407228,2026-05-01 22:34:47,I,1,정상,"목탄,성형탄",2025-06-26 11:34:55,2022-02-11,서울특별시 성동구 성수동*가 ***-* 서울숲IT캐슬 ****호,303000090202200002,,3030000,"서울특별시 성동구 광나루로 ***, 서울숲IT캐슬 ****호 (성수동*가)",04788,01,영업/정상,영업,02-2267-2262,,목재수입유통업
,(주)타이거로지스틱스,,204339.630102839,449469.505136008,2026-05-01 22:34:47,I,1,정상,성형숯,2023-01-11 08:41:36,2023-01-11,서울특별시 성동구 성수동*가 **-*** 서울숲 IT 밸리 ***호,303000090202300001,,3030000,"서울특별시 성동구 성수일로 **, 서울숲 IT 밸리 ***호 (성수동*가)",04790,01,영업/정상,영업,070-5228-0040,,목재수입유통업
,엠티엔인터내셔널,,204398.359448709,449143.242118345,2026-05-01 22:34:48,I,1,정상,"목재펠릿, 대패톱밥",2025-06-30 15:18:40,2025-06-30,서울특별시 성동구 성수동*가 ***-** ***호,303000090202500001,,3030000,"서울특별시 성동구 연무장길 *-**, ***호 (성수동*가)",04782,01,영업/정상,영업,02-466-9089,,목재수입유통업
,(주)다함께,3,205266.060664976,449587.73813698,2026-05-01 22:34:48,I,1,정상,원목,2025-06-30 15:25:59,2025-06-30,서울특별시 성동구 송정동 **-* 세신빌딩 ***-*호,303000090202500002,,3030000,"서울특별시 성동구 광나루로 ***, 세신빌딩 ***-**호 (송정동)",04802,01,영업/정상,영업,,,목재수입유통업
200000,주식회사 우드코리아,1000000,204001.348054575,448452.038367211,2026-05-01 22:34:48,I,1,정상,"원목, 제재목",2025-06-30 15:31:34,2025-06-30,서울특별시 성동구 성수동*가 ***-*,303000090202500003,,3030000,서울특별시 성동구 둘레*길 ** (성수동*가),04774,01,영업/정상,영업,02-469-3665,,목재수입유통업
,짚랩코리아,20,204167.721292495,449290.778225677,2026-05-01 22:34:49,I,1,정상,숯,2025-06-30 15:35:15,2025-06-30,서울특별시 성동구 성수동*가 ***-****,303000090202500004,,3030000,"서울특별시 성동구 상원*길 **, *층 (성수동*가)",04779,01,영업/정상,영업,,,목재수입유통업
