사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,소독차량차고면적,상세영업상태코드,상세영업상태명,방독면수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,수동식분무기수,관리번호,동력분무기수,사무실면적,개방자치단체코드,휴대용소독기수,보호용의복수,보호안경수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,초미립자살포기수,진공청소기수
서울동대문지역자활센터,2023-11-02,202939.853345657,452170.052643446,2026-05-01 22:39:40,I,,03,폐업,5,2023-11-02 17:01:16,,2017-08-30,,서울특별시 동대문구 용두동 255번지 69호,3,PHMB520173050034042500002,0,,3050000,2,5,5,"서울특별시 동대문구 청계천로 521, 5층 (용두동, 다사랑행복센터)",02589,03,폐업,,,02-2242-7578,1,1
에스엠에이 주식회사,2021-11-19,205518.063017957,451314.767735832,2026-05-01 22:39:41,I,,03,폐업,5,2021-11-29 16:41:48,,2017-09-08,,서울특별시 동대문구 장안동 405번지 6호,5,PHMB520173050034042500003,0,,3050000,2,5,5,"서울특별시 동대문구 천호대로79길 35 (장안동, 에스엠타운 B1층)",02635,03,폐업,,,02-2243-1366,3,1
(주)예스싹,2019-06-27,206015.875119792,451027.075395798,2026-05-01 22:39:41,I,,03,폐업,5,2019-06-27 13:54:29,,2018-04-20,,서울특별시 동대문구 장안동 466번지 2호,4,PHMB520183050034042500001,0,,3050000,2,5,5,"서울특별시 동대문구 장한로2길 66, 4층 (장안동)",02645,03,폐업,,,02-2213-7744,1,3
바이델,2020-12-04,206489.457295721,453002.896504466,2026-05-01 22:39:44,I,,03,폐업,5,2021-05-09 09:49:29,,2020-03-16,,서울특별시 동대문구 장안동 315번지 2호,3,PHMB520203050034042500002,0,,3050000,2,5,5,"서울특별시 동대문구 사가정로 264, 301호 (장안동)",02519,03,폐업,,,,1,1
경기청소,2020-08-11,203698.087870803,453688.106411521,2026-05-01 22:39:44,I,,03,폐업,5,2020-08-12 09:14:52,,2020-03-31,,서울특별시 동대문구 제기동 287번지 13호 제기동근생및다가구주택,3,PHMB520203050034042500003,0,,3050000,2,5,5,"서울특별시 동대문구 약령시로17길 55-1, 제기동근생및다가구주택 (제기동)",02480,03,폐업,,,,1,1
(주)라온디앤지,2023-11-02,202792.678699836,452915.127892459,2026-05-01 22:39:45,I,,03,폐업,5,2023-11-03 17:55:32,,2020-04-21,,,3,PHMB520203050034042500007,0,,3050000,2,5,5,"서울특별시 동대문구 왕산로 81, 404호 (용두동, 두산베어스타워)",02577,03,폐업,,,02-6214-2700,1,1
충만클리닉,2023-03-06,205423.283622071,451775.013344131,2026-05-01 22:39:45,I,82,03,폐업,5,2023-03-06 14:55:45,,2020-05-04,,서울특별시 동대문구 답십리동 4번지 113호,3,PHMB520203050034042500009,0,28,3050000,2,5,5,"서울특별시 동대문구 답십리로60길 116, 1층 (답십리동)",02611,03,폐업,,,,1,1
주식회사 에스와이비컴퍼니,2024-06-03,204430.617168383,453746.872476479,2026-05-01 22:39:45,I,,03,폐업,5,2024-06-03 17:38:25,,2020-05-27,,서울특별시 동대문구 청량리동 38번지 28호,3,PHMB520203050034042500011,0,,3050000,2,5,5,"서울특별시 동대문구 제기로 159-1, 2층 (청량리동)",02462,03,폐업,,,1644-2293,1,4
Ace 하이텍,2022-12-16,206035.430321688,451628.533226407,2026-05-01 22:39:45,I,3,03,폐업,5,2023-06-08 17:21:56,,2020-06-11,,서울특별시 동대문구 장안동 363번지 6호,3,PHMB520203050034042500012,0,20,3050000,2,5,5,"서울특별시 동대문구 장한로26가길 118, 102호 (장안동)",02640,03,폐업,,,02-3394-5982,1,1
(주)와이즈코리아,2022-10-26,202929.480858008,452835.10567055,2026-05-01 22:39:45,I,,03,폐업,5,2022-10-26 17:48:05,,2020-06-23,,서울특별시 동대문구 용두동 100번지 1호 랜드마크타워1,4,PHMB520203050034042500014,0,,3050000,2,5,5,"서울특별시 동대문구 천호대로25길 81, 랜드마크타워1 1312호 (용두동)",02585,03,폐업,,,02-780-1890,1,6
프로메테우스 사회적협동조합,2021-11-25,205049.571010709,452687.090380988,2026-05-01 22:39:45,I,,03,폐업,5,2021-11-25 16:18:17,,2020-07-13,,서울특별시 동대문구 전농동 295-30,3,PHMB520203050034042500015,0,99,3050000,2,5,5,"서울특별시 동대문구 전농로 130, 3층 (전농동)",02531,03,폐업,,,,1,1
크린&케어(clean&care),2021-11-01,202519.067574356,452379.237895463,2026-05-01 22:39:45,I,10,03,폐업,5,2021-11-29 16:39:54,,2020-09-17,,서울특별시 동대문구 용두동 252-156,3,PHMB520203050034042500018,0,23,3050000,2,5,5,"서울특별시 동대문구 천호대로 54, 308호 (용두동)",02587,03,폐업,,,,1,1
굿모닝이벤트,2023-07-03,205122.997981377,454006.45393432,2026-05-01 22:39:45,I,4,03,폐업,5,2023-07-03 17:08:53,,2020-09-29,,서울특별시 동대문구 휘경동 281-23,3,PHMB520203050034042500019,0,6,3050000,2,5,5,서울특별시 동대문구 망우로12길 19 (휘경동),02496,03,폐업,,,070-7786-4028,2,1
굿초이스클린,2021-11-17,205864.188809964,452885.044703091,2026-05-01 22:39:46,I,,03,폐업,5,2021-11-29 16:40:40,,2020-11-25,,서울특별시 동대문구 전농동 1-92,3,PHMB520203050034042500021,0,,3050000,2,5,5,"서울특별시 동대문구 한천로39길 20, 101호 (전농동)",02534,03,폐업,,,,1,1
김청결 소독청소회사,2023-07-11,206061.171021862,452398.18247713,2026-05-01 22:39:46,I,,03,폐업,5,2023-07-12 15:30:08,,2020-12-29,,,3,PHMB520203050034042500023,0,,3050000,2,5,5,"서울특별시 동대문구 답십리로65길 30, 1층 102호 (장안동, Red-Brick House)",02528,03,폐업,,,,1,2
새마스,2023-01-11,204110.729277799,452826.258538387,2026-05-01 22:39:46,I,10,03,폐업,5,2023-01-11 13:50:54,,2022-06-21,,서울특별시 동대문구 전농동 678-4,3,PHMB520223050034042500004,0,20,3050000,2,5,5,"서울특별시 동대문구 답십리로15길 30, 1층(장수사세탁소와 대흥당약국 사이 점포) 1층 (전농동)",02558,03,폐업,,,,1,1
콜라보,2024-05-16,205780.958233091,452167.170544848,2026-05-01 22:39:46,I,,03,폐업,5,2024-05-16 10:47:14,,2022-08-31,,서울특별시 동대문구 장안동 150-1,3,PHMB520223050034042500006,0,,3050000,2,5,5,"서울특별시 동대문구 답십리로62길 22, 1층 2호 (장안동)",02623,03,폐업,,,,1,1
브루클린24,2025-05-23,205040.266435805,452550.854247134,2026-05-01 22:39:47,I,2,03,폐업,5,2025-05-23 14:07:37,,2024-11-27,,서울특별시 동대문구 답십리동 97-2,3,PHMB520243050034042500006,0,2,3050000,2,5,5,"서울특별시 동대문구 전농로 116, 2층 2008호 (답십리동)",02531,03,폐업,,,,1,1
(주)태양그린,2010-11-02,202896.337630713,452491.925835584,2026-05-01 22:39:23,I,6,03,폐업,5,2010-11-02 10:11:54,,1999-06-18,130-822,서울특별시 동대문구 용두동 102번지 30호,6,PHMB519993050034042500001,1,28,3050000,2,5,5,서울특별시 동대문구 무학로28길 49 (용두동),,03,폐업,,,02-921-3323,1,1
(주)하진개발,2010-02-23,204216.987721325,452891.614235249,2026-05-01 22:39:26,I,,03,폐업,5,2010-02-24 10:10:11,,2001-11-12,130-859,서울특별시 동대문구 전농동 687번지 신성미소지움@상가  101동 103호,5,PHMB520013050034042500001,1,,3050000,2,5,5,"서울특별시 동대문구 서울시립대로 75, 101동 103호 (전농동,신성미소지움@상가)",,03,폐업,,,22442190,1,1
(주)서광제일기업,2019-09-17,203823.018467941,453587.707759897,2026-05-01 22:39:26,I,16,03,폐업,5,2019-09-17 16:31:23,,2002-03-07,,,5,PHMB520023050034042500002,1,141,3050000,2,5,5,"서울특별시 동대문구 홍릉로 48-1, 301호 (청량리동)",02484,03,폐업,,,,1,1
(주)청우위생공사,2010-10-28,205184.076888108,454182.452784872,2026-05-01 22:39:29,I,10,03,폐업,5,2010-10-28 09:21:27,,2005-04-07,130-876,서울특별시 동대문구 휘경동 266번지 6호,20,PHMB520053050034042500001,3,33,3050000,4,10,5,,,03,폐업,,,02-2217-2233,3,3
한마음환경,2015-02-06,204200.999995001,453538.910617128,2026-05-01 22:39:32,I,,03,폐업,5,2015-02-06 15:11:32,,2007-09-21,130-867,서울특별시 동대문구 청량리동 52번지 16호,5,PHMB520073050034042500001,1,,3050000,2,5,5,서울특별시 동대문구 왕산로43가길 7 (청량리동),,03,폐업,,,22070993,1,1
(주)영가,2010-02-18,205401.574373249,451108.047802152,2026-05-01 22:39:34,I,,03,폐업,5,2010-02-19 10:34:47,,2008-07-22,130-844,서울특별시 동대문구 장안동 415번지 10호,5,PHMB520083050034042500002,1,,3050000,2,5,5,서울특별시 동대문구 천호대로 385 (장안동),,03,폐업,,,22433011,1,1
한국쌔니테이션,2017-12-20,205668.475124572,452777.056578271,2026-05-01 22:39:35,I,,03,폐업,5,2017-12-20 14:00:02,,2008-10-19,,서울특별시 동대문구 전농동 6번지 우성상가 1층 10호,5,PHMB520083050034042500003,1,,3050000,2,5,5,"서울특별시 동대문구 사가정로 190 (전농동, 우성상가 1층 10호)",02533,03,폐업,,,,1,1
로취콜,2010-11-10,202114.75984426,452554.624413716,2026-05-01 22:39:36,I,3,03,폐업,5,2012-10-17 08:06:40,,2010-11-10,130-812,서울특별시 동대문구 신설동 102번지 30호 지하104,5,PHMB520093050034042500003,1,7,3050000,2,5,5,"서울특별시 동대문구 천호대로 7-6 (신설동,지하104)",,03,폐업,,,22937302,1,1
클린피아,2010-02-22,202023.921749857,452387.764894439,2026-05-01 22:39:36,I,20,03,폐업,5,2010-02-22 15:51:54,,2009-06-25,130-814,서울특별시 동대문구 신설동 117번지 6호  경해빌딩 3층 305호,5,PHMB520093050034042500006,1,111,3050000,2,5,5,"서울특별시 동대문구 난계로 250 (신설동,경해빌딩 3층 305호)",,03,폐업,,,,1,1
녹색방역,2014-03-14,202445.560181884,452302.70200551,2026-05-01 22:39:36,I,13,03,폐업,5,2014-03-17 11:07:12,,2009-07-24,130-070,서울특별시 동대문구 용두동 254번지 29호 4층,5,PHMB520093050034042500008,1,10,3050000,2,5,5,"서울특별시 동대문구 천호대로12길 18 (용두동,4층)",,03,폐업,,,,1,1
빅원코리아,2010-12-14,205870.644637786,451570.15718206,2026-05-01 22:39:36,I,39,03,폐업,5,2010-12-14 15:29:44,,2009-09-10,130-101,서울특별시 동대문구 장안1동 376번지 4호 영흥빌딩 3층,5,PHMB520093050034042500009,1,197,3050000,2,5,5,"서울특별시 동대문구 한천로14길 83 (장안동,영흥빌딩 3층)",,03,폐업,,,02-2215-7210,1,1
(주)삼락시스템,2010-11-26,202138.449721245,452463.903572307,2026-05-01 22:39:37,I,13,03,폐업,5,2010-11-26 17:17:37,,2009-12-14,130-110,서울특별시 동대문구 신설동 103번지 9호 한성빌딩 401호,5,PHMB520093050034042500011,1,69,3050000,2,5,5,"서울특별시 동대문구 천호대로 14-1, 401호 (신설동,한성빌딩)",,03,폐업,,,02-733-0178,1,1
(주) 와이지씨유엠,2012-08-29,205401.574373249,451108.047802152,2026-05-01 22:39:37,I,12,03,폐업,5,2012-08-29 11:01:30,,2010-02-24,130-100,서울특별시 동대문구 장안동 415번지 10호,5,PHMB520103050034042500001,1,33,3050000,2,5,5,서울특별시 동대문구 천호대로 385 (장안동),,03,폐업,,,02-2243-3011,1,1
(주)동아기업,2018-05-29,204762.02916529,451508.878103131,2026-05-01 22:39:37,I,17,03,폐업,5,2018-05-29 10:03:04,,2010-02-26,,서울특별시 동대문구 답십리동 493번지 5호,5,PHMB520103050034042500002,1,33,3050000,2,6,6,"서울특별시 동대문구 천호대로 307 (답십리동, 클래식타워 603호)",02604,03,폐업,,,02-2244-3463,1,1
새미래친환경,2014-01-07,204486.997989395,451928.85891879,2026-05-01 22:39:37,I,40,03,폐업,8,2014-01-07 14:22:23,,2010-05-12,130-802,서울특별시 동대문구 답십리1동 483번지 39호,27,PHMB520103050034042500004,4,24,3050000,6,15,8,서울특별시 동대문구 황물로 103 (답십리동),,03,폐업,,,02-409-1477,1,1
진성종합관리,2014-03-27,204320.90255219,451953.64664235,2026-05-01 22:39:37,I,10,03,폐업,5,2014-03-27 16:46:44,,2010-06-04,130-030,서울특별시 동대문구 답십리동 999번지 청계 메가트리움 102-809호,5,PHMB520103050034042500005,1,33,3050000,2,5,5,"서울특별시 동대문구 천호대로 241 (답십리동,청계 메가트리움 102-809호)",,03,폐업,,,02-914-2093,1,1
다인종합개발(주),2014-04-01,204638.486386691,451699.765836365,2026-05-01 22:39:37,I,10,03,폐업,5,2014-04-01 14:38:54,,2010-08-30,130-806,서울특별시 동대문구 답십리1동 530번지 11호 (215호),5,PHMB520103050034042500006,1,27,3050000,2,5,5,"서울특별시 동대문구 고미술로 49, 2층 15호 (답십리동)",,03,폐업,,,22142224,1,1
(주)청우환경개발,2013-11-15,206483.555525111,453265.197034985,2026-05-01 22:39:37,I,6,03,폐업,5,2013-11-15 09:41:36,,2010-11-02,130-732,서울특별시 동대문구 휘경2동 52번지 현대아파트상가 203호,5,PHMB520103050034042500007,1,12,3050000,2,5,5,"서울특별시 동대문구 장안벚꽃로5길 19, 203호 (휘경동,현대아파트상가)",,03,폐업,,,22172233,1,1
핸디페어 전농2동점,2012-09-19,205048.138960502,452869.283154469,2026-05-01 22:39:37,I,5,03,폐업,5,2012-09-19 14:52:47,,2011-03-09,130-020,서울특별시 동대문구 전농동 295번지 16호,5,PHMB520113050034042500002,1,15,3050000,2,5,5,서울특별시 동대문구 사가정로13길 3 (전농동),,03,폐업,,,22160477,1,1
늘크린,2013-10-23,204957.733960085,452803.961455312,2026-05-01 22:39:37,I,6,03,폐업,5,2013-10-23 10:38:30,,2011-12-26,130-854,서울특별시 동대문구 전농1동 295번지 7호 2층,5,PHMB520113050034042500006,1,12,3050000,2,5,5,"서울특별시 동대문구 사가정로 111 (전농동,2층)",,03,폐업,,,22443385,1,1
하이비전21,2016-10-19,205442.390715253,455402.220674159,2026-05-01 22:39:38,I,2,03,폐업,5,2016-10-19 15:50:42,,2012-07-25,130-827,서울특별시 동대문구 이문동 255번지 174호,5,PHMB520123050034042500003,1,13,3050000,2,5,5,서울특별시 동대문구 이문로42길 5 (이문동),,03,폐업,,,,1,1
청정시스템,2014-12-31,202116.938316772,452677.080019826,2026-05-01 22:39:38,I,17,03,폐업,5,2018-01-09 14:00:35,,2012-09-19,130-810,서울특별시 동대문구 신설동 76번지 35호 3층2호,5,PHMB520123050034042500005,1,33,3050000,2,5,5,서울특별시 동대문구 왕산로 11 (신설동),02580,03,폐업,,,,1,1
바우 L&E,2013-09-25,202812.037196555,452436.634875218,2026-05-01 22:39:38,I,6,03,폐업,5,2013-10-29 13:38:18,,2013-03-25,130-820,서울특별시 동대문구 용두동 103번지 43호 408호,5,PHMB520133050034042500002,1,18,3050000,2,5,5,서울특별시 동대문구 천호대로 83 (용두동),,03,폐업,,,02-978-9680,1,1
엔피스환경,2020-07-10,204106.658275837,453795.08491464,2026-05-01 22:39:38,I,60,03,폐업,5,2020-07-12 15:07:53,,2013-09-04,,서울특별시 동대문구 청량리동 57번지 5호,5,PHMB520133050034042500004,1,60,3050000,2,5,5,서울특별시 동대문구 제기로 128-1 (청량리동),02487,03,폐업,,,02-2244-8074,2,3
