건물지상층수,건물소유구분명,건물지하층수,사업장명,욕실수,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,발한실여부,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
2,자가,0,유림탕,0,공동탕업,,,,,202775.158407074,460701.660336395,2026-05-01 22:43:19,I,01,영업,,2019-11-13 17:42:44,1971-12-30,154.88,132-866,서울특별시 도봉구 쌍문동 120-8,N,,3090000-202-1971-00061,3090000,서울특별시 도봉구 도봉로113가길 5 (쌍문동),01443,01,영업/정상,공동탕업,N,02-0991-8893,1,0,1,0
3,,1,송림탕,0,공동탕업,,,,,203485.378490397,459351.632781587,2026-05-01 22:43:12,I,01,영업,,2026-03-20 16:11:15,1975-12-30,207.45,132-917,서울특별시 도봉구 창동 532-1,N,,3090000-202-1975-00072,3090000,서울특별시 도봉구 우이천로12길 41 (창동),01476,01,영업/정상,공동탕업,N,02-0992-9789,1,1,3,1
4,자가,1,한성탕,0,공동탕업,,,,,203759.970641119,464069.834711115,2026-05-01 22:43:14,I,01,영업,,2021-09-03 09:57:16,1989-12-21,279.10,132-817,서울특별시 도봉구 도봉동 594-20,N,,3090000-202-1989-00091,3090000,서울특별시 도봉구 도봉로169나길 14 (도봉동),01306,01,영업/정상,공동탕업,N,02-954-3187,2,0,3,0
0,자가,0,성원목욕탕,0,공동탕업,,,,,202407.917419757,461818.574821468,2026-05-01 22:43:20,I,01,영업,,2020-10-15 10:56:51,1991-08-08,435.12,132-872,서울특별시 도봉구 쌍문동 248-2,N,,3090000-202-1991-00065,3090000,서울특별시 도봉구 시루봉로 88 (쌍문동),01388,01,영업/정상,공동탕업,N,02-993-1717,1,1,3,1
10,임대,3,두승대중목욕탕,3,공동탕업+찜질시설서비스영업,,,,,204391.615,461208.365,2026-05-01 22:43:10,I,01,영업,,2023-12-27 09:55:30,1993-12-07,733.33,132-898,서울특별시 도봉구 창동 12-3,N,,3090000-202-1993-00074,3090000,서울특별시 도봉구 노해로69길 21 (창동),01414,01,영업/정상,공동탕업+찜질시설서비스영업,Y,02-542-8203,1,0,2,0
0,,0,유성목욕탕,0,공동탕업,,,,,203070.330612638,462578.165612375,2026-05-01 22:43:14,I,01,영업,,2020-10-15 11:08:34,1994-01-28,350.72,132-843,서울특별시 도봉구 방학동 633-3,N,,3090000-202-1994-00086,3090000,서울특별시 도봉구 도당로13길 16 (방학동),01355,01,영업/정상,공동탕업,N,02-3493-6187,0,0,0,0
5,임대,2,광동탕,0,공동탕업,,,,,203699.545785539,463246.111630129,2026-05-01 22:43:14,I,01,영업,,2020-10-15 11:12:19,1994-01-27,788.12,132-820,서울특별시 도봉구 도봉동 618-37,N,,3090000-202-1994-00089,3090000,서울특별시 도봉구 시루봉로27길 8 (도봉동),01310,01,영업/정상,공동탕업,N,02-955-9441,2,0,4,0
9,임대,5,창동 미네랄 사우나,0,공동탕업,,,,,203967.977205493,461067.635321431,2026-05-01 22:43:22,I,01,영업,,2024-07-26 16:21:34,1996-07-26,544.95,132-908,서울특별시 도봉구 창동 331-1,N,,3090000-202-1996-00100,3090000,서울특별시 도봉구 노해로65길 17-9 (창동),01405,01,영업/정상,공동탕업,N,02-908-6070,2,0,3,0
0,,0,그린대중목욕탕,0,공동탕업,,,,,203057.83292248,462955.86475408,2026-05-01 22:43:16,I,01,영업,,2025-10-02 11:39:33,1996-12-28,515.08,132-838,서울특별시 도봉구 방학동 602-23,N,,3090000-202-1996-00101,3090000,서울특별시 도봉구 시루봉로 233 (방학동),01314,01,영업/정상,공동탕업,N,02-955-4847,0,0,0,0
0,,0,뉴고탑목욕탕,0,공동탕업,,,,,202960.38831722,459745.131171423,2026-05-01 22:43:06,I,01,영업,,2019-11-13 17:44:23,1998-06-30,546.20,132-040,"서울특별시 도봉구 창동 632-52 ,78",N,,3090000-202-1998-00108,3090000,"서울특별시 도봉구 우이천로 234 (창동, 78)",01467,01,영업/정상,공동탕업,N,02-992-6699,0,0,0,0
3,임대,1,도봉산싱싱사우나,0,공동탕업,,,,,203600.545951106,465094.18915856,2026-05-01 22:43:21,I,01,영업,,2019-11-13 17:41:48,1999-06-14,388.63,132-806,서울특별시 도봉구 도봉동 282-23,N,,3090000-202-1999-00114,3090000,서울특별시 도봉구 도봉산4가길 10 (도봉동),01301,01,영업/정상,공동탕업,N,02-3491-8883,1,1,3,1
0,자가,0,성우사우나,0,공동탕업,,,,,204135.386163501,463763.240794805,2026-05-01 22:43:10,I,01,영업,,2024-04-16 09:48:17,1999-10-22,825.00,132-010,서울특별시 도봉구 도봉동 642 성우상가 지하동 1호,N,,3090000-202-1999-00115,3090000,서울특별시 도봉구 마들로 735-8 (도봉동),01322,01,영업/정상,공동탕업,N,02-955-0761,0,1,0,1
4,자가,1,삼익대중목욕탕,0,공동탕업,,,,,203220.921406024,459746.924430501,2026-05-01 22:43:11,I,01,영업,,2021-02-13 10:37:45,2000-10-20,838.00,132-918,서울특별시 도봉구 창동 581-28,N,,3090000-202-2000-00002,3090000,서울특별시 도봉구 덕릉로57길 30 (창동),01470,01,영업/정상,공동탕업,N,,0,1,0,1
3,임대,1,옥담사우나,0,공동탕업+찜질시설서비스영업,,,,,204372.245062863,460989.314086239,2026-05-01 22:43:06,I,01,영업,,2019-06-14 11:37:58,2001-06-13,330.00,132-790,서울특별시 도봉구 창동 26 동아아파트 상가동 지하1층,N,,3090000-202-2001-00116,3090000,"서울특별시 도봉구 노해로 384, 상가동 지하1층 (창동, 동아아파트)",01416,01,영업/정상,공동탕업+찜질시설서비스영업,N,,0,1,0,1
7,자가,4,동궁해수사우나,2,공동탕업+찜질시설서비스영업,,,,,203348.210556651,461557.310544671,2026-05-01 22:43:22,I,01,영업,,2025-07-30 10:08:03,2002-08-22,"1,784.00",132-893,"서울특별시 도봉구 쌍문동 653 (지하1층 지하1,2호)",N,,3090000-202-2002-00001,3090000,"서울특별시 도봉구 도봉로 575 (쌍문동,(지하1층 지하1,2호))",01432,01,영업/정상,공동탕업+찜질시설서비스영업,Y,02-994-8090,0,1,0,1
7,자가,3,루하스 사우나,2,공동탕업+찜질시설서비스영업,,,,,204083.769271308,462849.020752258,2026-05-01 22:43:22,I,01,영업,,2023-11-10 13:25:24,2003-08-20,"4,010.00",132-854,서울특별시 도봉구 방학동 720-33,N,,3090000-202-2003-00003,3090000,서울특별시 도봉구 마들로 650 (방학동),01331,01,영업/정상,공동탕업+찜질시설서비스영업,Y,,0,1,0,2
4,임대,1,수정목욕탕,2,공동탕업+찜질시설서비스영업,,,,,203024.819704692,462097.646734728,2026-05-01 22:43:22,I,01,영업,,2021-02-09 10:11:38,2004-04-07,494.00,132-827,서울특별시 도봉구 방학동 263-75 지층,N,,3090000-202-2004-00002,3090000,"서울특별시 도봉구 도당로 36 (방학동,지층)",01389,01,영업/정상,공동탕업+찜질시설서비스영업,N,02-955-0206,0,1,0,1
0,자가,0,선덕 사우나,2,공동탕업+찜질시설서비스영업,,,,,202514.254595328,461495.802497168,2026-05-01 22:43:06,I,01,영업,,2020-10-15 11:04:39,2008-02-26,820.16,132-861,서울특별시 도봉구 쌍문동 59-5 쌍문6차아파트상가 지하1층,N,,3090000-202-2008-00001,3090000,"서울특별시 도봉구 시루봉로 56, 상가동 지하1층 (쌍문동, 쌍문6차아파트)",01434,01,영업/정상,공동탕업+찜질시설서비스영업,Y,02-900-6547,0,1,0,1
