사업장명,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
포천축산업협동조합,,,,218706.4428326,490574.513933841,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2011-06-02 13:21:53,2002-03-02,487-911,경기도 포천시 신북면 가채리 254-5,560000053200200001,5600000,경기도 포천시 신북면 중앙로 369,,,01,영업/정상,,,,
임진환경,,,,,,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2013-03-21 09:56:21,2005-01-10,487-922,경기도 포천시 창수면 오가리 177-4,560000053200300001,5600000,,,,01,영업/정상,,,,
금주산업,,,,216624.361086175,501038.976748013,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2021-12-03 15:01:16,2008-11-27,,경기도 포천시 창수면 주원리 75,560000053200800001,5600000,경기도 포천시 창수면 옥수로298번길 51,,,01,영업/정상,,,,
제일환경,,축산분뇨 처리업,,218758.378978334,501573.717691978,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2016-12-22 17:12:06,2010-11-03,487-886,경기도 포천시 영중면 영평리 272-7,560000053201000001,5600000,경기도 포천시 영중면 전영로 1399,,,01,영업/정상,,,,축산분뇨 처리업
금주산업,,,,216624.361086175,501038.976748013,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2010-11-12 10:44:08,2010-11-10,487-922,경기도 포천시 창수면 주원리 75,560000053201000002,5600000,경기도 포천시 창수면 옥수로298번길 51,,,01,영업/정상,,,031-534-2008,
허니비료,,기타 비료 및 질소화합물 제조업,,224607.289510827,512418.964248424,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2020-03-09 16:37:52,2011-11-01,,경기도 포천시 영북면 자일리 676,560000053201100002,5600000,경기도 포천시 영북면 북원로 148-14,11102,,01,영업/정상,,,,기타 비료 및 질소화합물 제조업
두크대학환경,,,,221681.591957438,501292.78421825,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2013-02-22 08:54:00,2012-10-10,487-882,경기도 포천시 영중면 성동리 895-6,560000053201200001,5600000,경기도 포천시 영중면 호국로 3042,,,01,영업/정상,,,,
두크대학환경,,,,221681.591957438,501292.78421825,2026-05-01 22:01:48,I,5,제외사항,분뇨등관련영업관리,2021-02-18 13:55:42,2012-10-08,487-882,경기도 포천시 영중면 성동리 895-6,560000053201200002,5600000,경기도 포천시 영중면 호국로 3042,,,05,제외/삭제/전출,,,,
영평영송영농조합법인,,,,217267.957370258,501259.193198555,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2016-12-20 19:22:37,2013-02-28,487-886,경기도 포천시 영중면 영평리 712,560000053201300001,5600000,경기도 포천시 영중면 가영로535번길 155,11130,,01,영업/정상,,,,
농업회사법인 친환경두엄바이오(주),,,,222122.841854054,514195.992827201,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2015-01-05 16:23:47,2014-01-08,487-932,경기도 포천시 관인면 사정리 322-2,560000053201400001,5600000,경기도 포천시 관인면 북원로 455,,,01,영업/정상,,,,
금학비료,,,,221305.335044387,516774.384995355,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2021-02-18 14:03:12,2020-10-13,,경기도 포천시 관인면 초과리 112,560000053202000003,5600000,,,,01,영업/정상,,,,
포천축산,,,,217980.831287009,489514.191695495,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2021-06-10 10:18:28,2021-04-22,,경기도 포천시 신북면 가채리 835-9,560000053202100001,5600000,,,,01,영업/정상,,,031-534-9197,
영평영송영농조합법인,,,,217267.957370258,501259.193198555,2026-05-01 22:01:48,I,3,영업,분뇨등관련영업관리,2026-04-08 13:27:50,2022-01-12,487-886,경기도 포천시 영중면 영평리 712,560000053202200001,5600000,경기도 포천시 영중면 가영로535번길 155,11130,,01,영업/정상,,,031-532-4438,
