사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
시더블룸,의류/패션/잡화/뷰티,,202993.437818281,447400.303560123,2026-05-01 03:03:03,U,01,정상영업,2026-04-30 11:45:02,,2026-01-02,,서울특별시 강남구 신사동 ***-*,2026322024930200003,인터넷,3220000,"서울특별시 강남구 압구정로 ***, 지하*층 *-***호 (신사동)",06017,,01,영업/정상,,,
주식회사더오엘,종합몰,2026-05-01,184526.084367975,451722.650631223,2026-05-01 03:03:03,U,03,폐업처리,2026-04-30 15:14:08,,2024-11-08,,서울특별시 강서구 마곡동 ***-* 두산더랜드타워,2024315020030203380,인터넷,3150000,"서울특별시 강서구 마곡서로 ***, A-*** (마곡동)",07788,,03,폐업,,,
주식회사 우주연구소,가전 컴퓨터/사무용품,2026-04-30,197462.954360804,449438.967308464,2026-05-01 03:03:03,U,05,타시군구이관,2026-04-30 15:21:40,,2025-04-24,,서울특별시 용산구 갈월동 *-* 이노스빌딩,2025302020330200580,인터넷,3020000,"서울특별시 용산구 한강대로 ***, 이노스빌딩 *층 (갈월동)",04334,,05,제외/삭제/전출,,,
주식회사 피앤월드,가전,,205501.560007932,461417.004312985,2026-05-01 03:03:03,U,01,정상영업,2026-04-30 09:13:23,,2017-07-11,,서울특별시 노원구 상계동 *** 삼성빌딩,2017310018430200636,인터넷,3100000,"서울특별시 노원구 노해로 ***, 삼성빌딩 ***호 (상계동)",01695,,01,영업/정상,,,02-938-9601
디코드코퍼레이션,종합몰 교육/도서/완구/오락 가전 컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티 건강/식품 레져/여행/공연 자동차/자동차용품 상품권,2026-04-29,203310.557144268,453614.233017951,2026-05-01 03:03:03,U,03,폐업처리,2026-04-30 10:04:10,,2022-11-28,,서울특별시 동대문구 제기동 ***-*,2024305021030201553,인터넷,3050000,"서울특별시 동대문구 고산자로 ***, *층 **호 (제기동)",02478,,03,폐업,,,
"주식회사 더엘그룹(the EL Group CO.,Ltd.)",의류/패션/잡화/뷰티,,203234.246182699,446970.093670591,2026-05-01 03:03:03,U,01,정상영업,2026-04-30 16:00:49,,2019-08-23,,서울특별시 강남구 신사동 ***번지 **호,2019322023630203776,인터넷,3220000,"서울특별시 강남구 선릉로***길 **, 성준빌딩 *층 (신사동)",06019,,01,영업/정상,,,02-549-3949
피크포인트,종합몰,2026-04-30,209275.785,444251.725,2026-05-01 03:03:03,U,03,폐업처리,2026-04-30 09:37:01,,2024-08-19,,서울특별시 송파구 석촌동 ***-* 서원빌딩 ***호,2024323029130202845,인터넷,3230000,"서울특별시 송파구 가락로 **, 서원빌딩 *층 ***호 e***호 (석촌동)",05696,,03,폐업,,,
올라운더,종합몰,,199243.595084393,450951.535436388,2026-05-01 03:03:03,U,01,정상영업,2026-04-30 13:11:44,,2023-09-27,,서울특별시 중구 필동*가 **-* 스타빌딩,2025301024430200452,인터넷,3010000,"서울특별시 중구 퇴계로 ***, 스타빌딩 ****호 (필동*가)",04627,,01,영업/정상,,,
용식이,종합몰,2026-05-01,194173.001956935,440385.856047696,2026-05-01 03:03:03,U,03,폐업처리,2026-04-30 16:03:14,,2021-05-11,,서울특별시 관악구 신림동 ***-** 로뎀,2021320022530201250,인터넷,3200000,"서울특별시 관악구 대학**길 **, 로뎀 ***호 (신림동)",08820,,03,폐업,,,
케이폼텍(kfoamtech),종합몰,,219935.245290198,427415.573215393,2026-05-01 03:03:03,U,01,정상영업,2026-04-30 13:55:29,,2021-03-18,,경기도 용인시 처인구 모현읍 매산리 **,2021562002730200379,인터넷,4050000,경기도 용인시 처인구 모현읍 곡현로***번길 **,17032,,01,영업/정상,,,
