사업장명,업태보관및창고업,업태제조업,업태판매업,업태운송및택배업,폐업일자,법인여부명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,시설/장비현황,냉동냉장창고면적,냉동냉장창고동수,일반창고면적,일반창고동수,보관장소면적,보관요율,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사 컬리넥스트마일,1,,,1,,법인,180002.152896353,447270.062461201,2026-05-01 21:26:46,I,01,영업중,95,"창고시설(5층 8,435.73㎡), 사무실(6층, 325.22㎡)",0,0,8435.73,1,0,,2026-04-30 14:43:08,2026-04-30,,경기도 부천시 오정구 내동 222-11 부천내동 복합물류센터,2026386077632500001,3860000,"경기도 부천시 오정구 오정로95번길 66, 부천내동 복합물류센터 5층 (내동)",14446,,01,영업/정상,,,070-4800-0335
(주)마이스터포승물류센터,1,,,,,법인,186575.424568484,387129.313819935,2026-05-01 22:00:36,I,03,폐업,12,지게차,0,0,4840,1,0,75000,2017-12-12 19:25:09,2013-02-28,451-822,경기도 평택시 포승읍 도곡리 1209번지 1호,2012391022832500014,3910000,경기도 평택시 포승읍 평택항로268번길 132,,,03,폐업,,,031-683-0937
씨제이대한통운(주),,,,,,법인,202504.941308376,403390.44172785,2026-05-01 22:00:37,I,03,폐업,,,0,0,1051,1,0,,2020-07-15 09:37:42,2013-03-04,451-852,경기도 평택시 서탄면 수월암리 265번지,2012391022832500026,3910000,경기도 평택시 서탄면 수월암4길 160,,,03,폐업,,,031-725-9231
(주)파나라인,1,,,,,법인,208644.946510665,402467.388751318,2026-05-01 22:00:37,I,03,폐업,10,"컨베이어,지게차",0,0,2855.18,1,0,,2017-12-12 19:24:39,2013-03-04,451-864,경기도 평택시 진위면 동천리 609번지 4호,2012391022832500028,3910000,경기도 평택시 진위면 남부대로 616,,,03,폐업,,,02-554-5533
아디다스코리아(유),,,,,,법인,209346.488646051,392916.022337961,2026-05-01 22:00:37,I,03,폐업,,,0,0,50825.88,1,0,,2025-12-31 14:45:48,2013-03-04,459-090,경기도 평택시 도일동 1175번지 3호,2012391022832500030,3910000,경기도 평택시 도일유통길 64 (도일동),,,03,폐업,,,031-8053-5911
롯데로지스틱스(주),1,,,,,법인,206539.4555962,392640.313784029,2026-05-01 22:00:37,I,03,폐업,2,"랙,지게차",0,0,8043.11,3,0,5445,2019-04-26 09:39:37,2013-03-04,459-040,경기도 평택시 모곡동 445번지,2012391022832500033,3910000,경기도 평택시 산단로16번길 43 (모곡동),,,03,폐업,,,02-2095-3153
메이플트리로그평택(주),1,,,,,법인,185480.977269804,387667.987625481,2026-05-01 22:00:38,I,03,폐업,1,수직반송기,0,0,4950,1,0,,2017-12-12 20:10:12,2013-03-05,451-822,경기도 평택시 포승읍 원정리 1203번지 1호,2012391022832500038,3910000,경기도 평택시 포승읍 포승공단로117번길 135,,,03,폐업,,,02-3782-6929
노마드물류,1,,,,,개인,208968.298438651,392855.578075527,2026-05-01 22:00:38,I,03,폐업,3,,0,0,1012.5,3,0,,2017-12-12 19:22:07,2013-03-05,459-090,경기도 평택시 도일동 1173번지 4호,2012391022832500040,3910000,경기도 평택시 도일유통길 38-8 (도일동),,,03,폐업,,,
포승농산,1,,,,,개인,185486.100661847,385897.491668316,2026-05-01 22:00:38,I,03,폐업,1,,8030.08,1,0,0,0,,2017-12-12 19:21:18,2013-03-05,451-821,경기도 평택시 포승읍 만호리 610번지 2호,2012391022832500043,3910000,경기도 평택시 포승읍 평택항만길 305,,,03,폐업,,,02-798-3761
에이엘농산(주),1,,,,,법인,185486.100661847,385897.491668316,2026-05-01 22:00:38,I,03,폐업,3,"화물적재시스템,도크레벨러",0,0,3036.89,1,0,,2017-12-12 19:20:28,2013-03-05,451-821,경기도 평택시 포승읍 만호리 610번지 2호,2012391022832500044,3910000,경기도 평택시 포승읍 평택항만길 305,,,03,폐업,,,02-798-3761
