자동환기여부,건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,편의시설여부,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상구여부,비상계단여부,기타내역2,기존게임업외업종명,제작취급품목내용,시설면적,소방시설여부,지상층수,청소년실수,청소년실여부,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,조명시설유무,조명시설조도,관리번호,개방자치단체코드,통로너비,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,방음시설여부,음향시설여부,특수조명여부,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총게임기수,총층수,지하층수,비디오재생기명
,,왕자,1998-07-30,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:36:39,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-07-30,100-830,서울특별시 중구 신당동 366 0340호,,,CDFF2241021998000012,3010000,,,,,,03,폐업,,,,기타,,,,,,,
,,명보게임장,1999-03-26,199312.706156621,451397.652423108,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:37:20,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,1998-08-01,100-300,서울특별시 중구 초동 18-15 .16,,,CDFF2241021998000013,3010000,,,,"서울특별시 중구 충무로 42  (초동,.16)",,03,폐업,,,,,,,,,0,0,
,,명오락실,1999-05-26,198581.384614883,451373.341883917,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:38:42,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-08-29,100-021,서울특별시 중구 명동1가 37-1 1호,,,CDFF2241021998000016,3010000,,,,"서울특별시 중구 명동9길 17,  1호 (명동1가)",,03,폐업,,,,기타,,,,,,,
,,약수,1998-10-20,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:39:50,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-10-20,100-840,서울특별시 중구 신당동 372 96호,,,CDFF2241021998000018,3010000,,,,,,03,폐업,,,,기타,,,,,,,
,,2002게임월드,1998-10-20,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:40:14,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-10-20,100-300,서울특별시 중구 초동 41 6호,,,CDFF2241021998000019,3010000,,,,,,03,폐업,,,,유흥업소밀집지역,,,,,,,
,,종합오락실,1998-11-05,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:40:49,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-11-05,100-809,서울특별시 중구 명동2가 2 0002호,,,CDFF2241021998000020,3010000,,,,,,03,폐업,,,,기타,,,,,,,
,,럭키게임장,1998-12-02,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:41:32,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-12-02,100-846,서울특별시 중구 을지로3가 296 5호,,,CDFF2241021998000021,3010000,,,,,,03,폐업,,,,기타,,,,,,,
,,쉼터게임장,1999-06-23,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:42:13,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-12-04,100-804,서울특별시 중구 남창동 9 18호,,,CDFF2241021998000022,3010000,,,,,,03,폐업,,,,기타,,,,,,,
,,이티,1998-12-11,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:42:55,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-12-11,100-855,서울특별시 중구 장충동2가 4 0003호,,,CDFF2241021998000023,3010000,,,,,,03,폐업,,,,유흥업소밀집지역,,,,,,,
,,에덴게임장,1998-12-11,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:43:35,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1998-12-11,100-862,서울특별시 중구 충무로4가 11 2호,,,CDFF2241021998000024,3010000,,,,,,03,폐업,,,,기타,,,,,,,
,,스타,1999-02-12,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:44:40,I,03,폐업,,,,,,0,,,,,,2003-02-11 18:21:03,,1999-02-12,100-272,서울특별시 중구 필동2가 51 0003호,,,CDFF2241021999000001,3010000,,,,,,03,폐업,,,,기타,,,,,,,
,,용가리PC방,2001-05-11,200640.845642848,451721.924344597,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:47:34,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,1999-11-04,100-851,서울특별시 중구 을지로6가 18-96 (4층),,,CDFF2241021999000006,3010000,,,,"서울특별시 중구 장충단로13길 11  (을지로6가,(4층))",,03,폐업,,,,,,,,,0,0,
,,IQ PC,2007-10-09,201577.569243676,451133.100245886,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:48:39,I,03,폐업,,,,,,0,,0,,,,2009-06-04 10:10:26,,1999-11-04,,서울특별시 중구 신당동 52-231,,,CDFF2241021999000008,3010000,,,,서울특별시 중구 퇴계로86길 74  (신당동),,03,폐업,,,,,,,,,0,0,
,근린생활시설,인터넷클럽,2009-07-06,198638.862047749,451219.244172969,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:56:17,I,03,폐업,,,,,,0,,0,,,,2009-07-06 16:12:02,,1999-11-18,,서울특별시 중구 명동2가 3-7 4층,,,CDFF2241021999000022,3010000,,,,"서울특별시 중구 명동10길 13  (명동2가,4층)",,03,폐업,,,,,,,,,0,0,
,,샤브멀티넷,2000-12-22,201378.148726911,451386.079580693,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:56:50,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,1999-11-18,100-819,서울특별시 중구 신당동 101-10,,,CDFF2241021999000023,3010000,,,,서울특별시 중구 다산로 244  (신당동),,03,폐업,,,,,,,,,0,0,
,,네트라인,2001-08-30,199674.10157353,451030.629678271,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 00:58:08,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,1999-11-18,100-272,서울특별시 중구 필동2가 50-0 3층,,,CDFF2241021999000025,3010000,,,,"서울특별시 중구 퇴계로42길 3-7  (필동2가,3층)",,03,폐업,,,,,,,,,0,0,
,,네티즌,2001-03-26,198314.331478715,450501.498934753,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 01:00:33,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,1999-11-18,100-873,서울특별시 중구 회현동1가 133-6,,,CDFF2241021999000029,3010000,,,,서울특별시 중구 소공로3길 48  (회현동1가),,03,폐업,,,,,,,,,0,0,
,,멀티피시,2000-07-21,201520.575846199,451447.111309911,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 01:04:30,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,1999-12-02,100-819,서울특별시 중구 신당동 120-1,,,CDFF2241021999000036,3010000,,,,서울특별시 중구 퇴계로 416  (신당동),,03,폐업,,,,,,,,,0,0,
,,스페이스,2003-10-18,199748.154305755,451005.66662748,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 01:06:00,I,03,폐업,,,,,,,,,,,,2003-10-20 15:27:13,,1999-12-02,100-015,서울특별시 중구 충무로5가 85-2 3층,,,CDFF2241021999000038,3010000,,,,"서울특별시 중구 서애로 12-4  (충무로5가,3층)",,03,폐업,,,,,,,,,,,
,,씨티넷,2002-09-09,,,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 01:08:55,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,1999-12-16,100-272,서울특별시 중구 필동2가 15-2 4층,,,CDFF2241021999000042,3010000,,,,"서울특별시 중구 퇴계로 210  (필동2가,4층)",,03,폐업,,,,,,,,,0,0,
,,네르스페이스,2001-03-22,199954.469071821,451068.981889088,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 01:11:37,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,1999-12-30,100-380,서울특별시 중구 묵정동 30-8 1층,,,CDFF2241021999000046,3010000,,,,"서울특별시 중구 퇴계로48길 18  (묵정동,1층)",,03,폐업,,,,,,,,,0,0,
,,터보인터넷,2001-09-20,200835.24671058,450145.242099991,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 01:14:54,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,2000-01-12,100-827,서울특별시 중구 신당동 368-67,,,CDFF2241022000000002,3010000,,,,서울특별시 중구 다산로 110  (신당동),,03,폐업,,,,,,,,,0,0,
,,인터넷챔피언약수점,2001-05-30,200919.2211647,450321.271260732,유통관련업,인터넷컴퓨터게임시설제공업,,2026-03-11 01:17:34,I,03,폐업,,,,,,0,,0,,,,2003-02-11 18:21:03,,2000-01-12,100-841,서울특별시 중구 신당동 369-101,,,CDFF2241022000000006,3010000,,,,서울특별시 중구 다산로 128-1  (신당동),,03,폐업,,,,,,,,,0,0,
