사업장명,업태보관및창고업,업태제조업,업태판매업,업태운송및택배업,폐업일자,법인여부명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,시설/장비현황,냉동냉장창고면적,냉동냉장창고동수,일반창고면적,일반창고동수,보관장소면적,보관요율,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
쿠팡로지스틱스 유한회사,1,,,,,법인,,,2026-03-14 21:56:46,I,01,영업중,15,"테이블리프트, 네트워크 장비",0,0,6056,1,0,,2026-03-13 14:49:50,2026-03-12,,경기도 시흥시 정왕동 2676,2026401032432500001,4010000,"경기도 시흥시 시화벤처로 400, 그린웨이브 3층 (정왕동)",15117,,01,영업/정상,,,
주식회사 오케이몰,,1,,,,법인,,,2026-03-14 21:26:47,I,01,영업중,60,"냉난방기, 지게차 화물엘레베이터, 화물반송기, 선반, 패킹작업대",0,0,7286.6,1,1229.1,,2026-03-13 15:56:22,2026-03-09,,경기도 군포시 부곡동 1231 한국복합물류(주) B동 5동,2026402027032500001,4020000,"경기도 군포시 번영로 82-2, 한국복합물류(주) B동 B동 5층 (부곡동)",15878,,01,영업/정상,,,031-460-9577
에스투로지스,1,,,,,법인,239124.898266192,402326.78950208,2026-03-11 01:37:39,I,03,폐업,0,없음,0,0,8012,1,0,5000,2018-07-19 14:10:22,2015-01-12,456-912,경기도 안성시 일죽면 고은리 452번지 1호 B동,2015408020832500002,4080000,경기도 안성시 일죽면 고목남길 95-31,,,03,폐업,,,031-637-5027
(주)에스포유,,,,,,법인,209818.904347683,392615.765337978,2026-03-11 01:37:39,I,03,폐업,,,1064.25,1,0,0,0,,2018-08-15 09:57:14,2016-01-15,,경기도 안성시 원곡면 내가천리 208번지 1호,2016408020832500001,4080000,"경기도 안성시 원곡면 청원로 1752-122, 1층",17556,,03,폐업,,,031-654-0315
아시아로지스,,,,,,법인,238878.276058684,392852.982726423,2026-03-11 01:37:39,I,03,폐업,,,9539.61,1,0,0,9539.61,,2018-08-14 13:48:27,2017-04-24,,경기도 안성시 죽산면 당목리 574번지 4호,2017408020832500001,4080000,경기도 안성시 죽산면 송문주로 337,17524,,03,폐업,,,031-677-9377
명석,,,,,,개인,244107.946131867,396479.184645304,2026-03-11 01:37:39,I,03,폐업,,,0,0,19254.56,5,0,,2020-02-02 14:45:51,2017-11-17,,경기도 안성시 일죽면 금산리 434번지 1호,2017408020832500007,4080000,경기도 안성시 일죽면 일생로 238-7,17533,,03,폐업,,,070-4905-6104
(주)나라로지스틱스 백사센터,,,,,,법인,243567.503791232,425160.560055969,2026-03-14 21:56:45,U,01,영업중,20,"랙설치, 크레인",0,0,16052.3,1,0,,2026-03-13 07:22:48,2026-02-24,,경기도 이천시 백사면 내촌리 228-98,2026407024932500003,4070000,경기도 이천시 백사면 청백리로393번길 353,17314,,01,영업/정상,,,
주식회사 두발로싹스,1,1,1,,,법인,209579.57553436,470129.852826137,2026-03-18 13:15:21,I,01,영업중,9,0,0,0,271.06,1,0,0,2026-03-16 16:57:10,2026-03-13,,경기도 의정부시 고산동 977-1,2026382039532500001,3820000,경기도 의정부시 쌀광길 69 (고산동),11818,,01,영업/정상,,,
롯데글로벌로지스 주식회사,1,,,,,법인,,,2026-03-18 13:15:21,I,01,영업중,23,지게차,0,0,25597.71,1,0,,2026-03-16 16:55:50,2026-03-16,,경기도 김포시 양촌읍 학운리 4304,2026409052332500002,4090000,"경기도 김포시 양촌읍 학운산단5로가길 22, 5층",10049,,01,영업/정상,,,02-2170-3714
주식회사 한진,1,,,,,법인,,,2026-03-18 13:15:21,I,01,영업중,64,"랙, 지게차",9505.7,1,3220.13,1,0,,2026-03-16 16:55:34,2026-03-16,,경기도 김포시 양촌읍 학운리 4304,2026409052332500003,4090000,"경기도 김포시 양촌읍 학운산단5로가길 22, 3층",10049,,01,영업/정상,,,
(주)파스토,,,,,2025-04-25,법인,,,2026-03-11 01:37:42,I,03,폐업,,,0,0,31786.16,1,0,,2026-01-21 16:45:14,2022-07-14,,경기도 안성시 일죽면 가리 555,2022408024132500009,4080000,경기도 안성시 일죽면 일생로 158,17532,,03,폐업,,,02-1566-3033
씨제이대한통운 주식회사,1,,,,2025-12-31,법인,219255.360601026,398340.667073472,2026-03-11 01:37:40,I,03,폐업,16,지게차,0,0,5762,1,0,,2026-01-08 09:06:07,2019-03-25,,경기도 안성시 양성면 도곡리 40번지 4호 1층/2층,2019408020832500003,4080000,경기도 안성시 양성면 양성로 376-106,17501,,03,폐업,,,031-786-2365
(주)디에스브이컨트랙트로지스틱스,1,,,1,,법인,207369.985107375,406794.128232193,2026-03-05 21:56:47,I,01,영업중,12,"랙(rack) 설치, 충전식지게차 3대, 핸드자키 6대",0.00,0,2889.26,1,0,,2026-03-04 10:18:51,2026-03-04,,경기도 화성시 동탄구 방교동 802-3 상원로지스틱,2026553063432500002,5530000,"경기도 화성시 동탄구 동탄산단3길 19-22, 상원로지스틱 (방교동)",18487,,01,영업/정상,,,
씨제이대한통운(주) 빽다방센터,1,,,,,법인,,,2026-03-13 21:56:45,U,01,영업중,31,"냉동냉장설비, 랙설치, 지게차",6013.25,1,0,0,0,,2026-03-12 09:42:47,2026-03-07,,경기도 이천시 대월면 부필리 309,2026407024932500005,4070000,"경기도 이천시 대월면 경충대로1687번길 205, 지하 2층",17403,,01,영업/정상,,,031-629-1536
주식회사 푸드케어,1,,,,2026-03-06,법인,,,2026-03-06 21:26:46,U,03,폐업,28,"냉동, 냉장설비, 랙설치, 지게차",1155,1,1333.50,1,0,,2026-03-05 18:01:48,2025-02-06,,경기도 김포시 고촌읍 전호리 743 제일모직 수도권 통합물류센터,2025409052332500001,4090000,"경기도 김포시 고촌읍 아라육로 75, 제일모직 수도권 통합물류센터 303~305호",10136,,03,폐업,,,02-1577-7003
용마로지스(주),1,,,,,법인,222934.707396429,385254.261580922,2026-03-11 01:37:39,I,01,영업중,6,"랙(rack) 설비, 전동지게차 등",0,0,9247.52,1,0,30000,2026-01-07 09:55:37,2015-07-31,456-843,경기도 안성시 미양면 구수리 162번지 6호,2015408020832500003,4080000,경기도 안성시 미양면 구수길 72,,,01,영업/정상,,,02-2135-5013
홈플러스(주),,,1,1,,법인,,,2026-03-11 01:37:39,I,01,영업중,350,"etv46대, ERE120대, EXE106대, 청소차5대, 고소장비3대, 제성차2대 7단랙설치",0,0,60758,1,0,13,2024-03-06 08:44:00,2015-09-04,,경기도 안성시 원곡면 칠곡리 924번지,2015408020832500004,4080000,경기도 안성시 원곡면 원곡물류단지로 140,17555,,01,영업/정상,,,031-646-7133
롯데글로벌로지스(주),1,,1,1,,법인,238863.24136124,404692.629469995,2026-03-11 01:37:39,I,01,영업중,12,"랙설치, 지게차, 팔레트",0,0,2118,1,0,8700,2024-07-22 08:43:05,2017-06-28,,경기도 안성시 일죽면 방초리 52번지 2호,2017408020832500006,4080000,경기도 안성시 일죽면 사실로 358,17525,,01,영업/정상,,,02-2095-3163
(주)이천창고,1,,,,,법인,237883.259381491,403116.03339656,2026-03-11 01:37:39,I,01,영업중,16,"이동식 랙 16,000, 지게차 8대",37034.50,1,11011.07,1,0,53000,2022-08-22 11:35:23,2018-01-17,,경기도 안성시 일죽면 방초리 221번지 6호,2018408020832500001,4080000,경기도 안성시 일죽면 사실로 161-57,17525,,01,영업/정상,,,031-675-9600
(주)혜인물류,1,,,,,법인,221272.162779384,387568.301722959,2026-03-11 01:37:40,I,01,영업중,5,지게차 4대,0,0,10070.39,1,0,7272,2022-08-22 11:35:57,2018-03-02,,경기도 안성시 미양면 용두리 113번지 18호,2018408020832500002,4080000,"경기도 안성시 미양면 당골길 12, A동 3층",17598,,01,영업/정상,,,031-677-6322
안성물류(주),1,,,,,법인,,,2026-03-11 01:37:40,I,01,영업중,6,"7단 하이렉, 7단지게차 2대, 일반지게차 2대",0,0,3519.61,2,0,,2021-04-15 16:04:30,2018-08-23,,경기도 안성시 양성면 산정리 77번지,2018408020832500004,4080000,경기도 안성시 양성면 양성로 311,17501,,01,영업/정상,,,031-671-5565
세방(주),1,,,,,법인,,,2026-03-11 01:37:40,I,01,영업중,5,"지게차, 리치, 상하차 장비",2539.03,1,4459.52,1,0,400,2021-04-28 16:42:24,2019-03-14,,경기도 안성시 양성면 이현리 산 22번지,2019408020832500002,4080000,경기도 안성시 양성면 남북대로 2066,17501,,01,영업/정상,,,031-671-0780
용마로지스 주식회사,1,,,,,법인,219255.360601026,398340.667073472,2026-03-11 01:37:40,I,01,영업중,440,"랙, 지게차",0,0,10648,1,0,9700,2026-01-07 09:54:27,2019-03-28,,경기도 안성시 양성면 도곡리 40번지 4호 1층,2019408020832500004,4080000,경기도 안성시 양성면 양성로 376-106,17501,,01,영업/정상,,,02-2135-5013
주식회사 일죽창고,1,,,,,법인,238142.645717013,402873.58010295,2026-03-11 01:37:40,I,01,영업중,30,"렉, 지게차",38457.87,1,0,0,0,,2021-04-28 16:41:55,2019-03-29,,"경기도 안성시 일죽면 방초리 221번지 5호 A-2동 2층,3층,4층",2019408020832500005,4080000,"경기도 안성시 일죽면 사실로 161-41, A-2동",17525,,01,영업/정상,,,070-8656-9620
씨제이대한통운 주식회사,1,,,,,법인,,,2026-03-11 01:37:40,I,01,영업중,2,"렉, 지게차",0,0,3946,1,0,,2024-06-28 15:06:43,2019-06-18,,경기도 안성시 대덕면 소내리 205,2019408020832500006,4080000,경기도 안성시 대덕면 만세로 252,17542,,01,영업/정상,,,
(주)삼덕로지스,,,,,2025-08-04,법인,221685.522167559,383982.719541948,2026-03-11 01:37:40,I,03,폐업,,,0,0,16529,1,0,,2026-02-10 15:02:11,2020-01-06,,경기도 안성시 미양면 양변리 241번지 6호,2020408020832500001,4080000,경기도 안성시 미양면 안성맞춤대로 394,17604,,03,폐업,,,031-831-5550
(주)리치개발,,,,,2026-03-05,법인,239281.470395557,391940.797549608,2026-03-11 01:37:40,I,03,폐업,,,33866.97,2,0,0,0,,2026-03-04 17:10:08,2020-02-17,,경기도 안성시 죽산면 당목리 478번지 13호,2020408020832500003,4080000,경기도 안성시 죽산면 송문주로 219,17524,,03,폐업,,,031-675-2226
초이스펫로지스틱스(주식회사),1,,,,,법인,238870.607049133,404770.651451751,2026-03-11 01:37:40,I,01,영업중,5,"창고1개동(3306),지게차(6대)",0,0,3306,1,0,,2021-04-15 16:01:27,2020-02-19,,경기도 안성시 일죽면 방초리 52번지 1호,2020408020832500004,4080000,경기도 안성시 일죽면 사실로 358,17525,,01,영업/정상,,,031-671-5002
주식회사 제이피로지스틱스,1,,,,,법인,219116.233316915,398291.090502695,2026-03-11 01:37:40,I,01,영업중,31,"화물용승강기 1대,지게차 12대,RACK선반 7,614",7256,1,19308,1,0,,2025-04-21 17:36:05,2020-05-19,,경기도 안성시 양성면 도곡리 40-6,2020408020832500006,4080000,경기도 안성시 양성면 양성로 376-92,17501,,01,영업/정상,,,070-4849-0989
(주)디오에프에스,1,,,,,법인,,,2026-03-11 01:37:40,I,01,영업중,11,"지게차 3대, 자동랩핑기, 이동식도크",0,0,1980,1,0,,2022-01-06 08:54:18,2020-07-06,,경기도 안성시 양성면 석화리 35-3 (주)건화지기,2020408020832500009,4080000,경기도 안성시 양성면 양성로 173-11 (주)건화지기,17502,,01,영업/정상,,,031-266-8006
용마로지스 주식회사,1,,,,,법인,,,2026-03-11 01:37:40,I,01,영업중,10,"랙(rack) 설비, 전동지게차 등",0,0,15127.64,1,0,32000,2026-01-07 09:56:02,2020-08-19,,경기도 안성시 원곡면 산하리 산 86,2020408020832500011,4080000,"경기도 안성시 원곡면 지문로 393, 켄달스퀘어LP산하센터 4층",17554,,01,영업/정상,,,02-2135-5013
주식회사 헤아로지스,1,,,,,법인,233062.517444769,396045.404741975,2026-03-11 01:37:40,I,01,영업중,13,"파레트용 랙, 지게차",0.00,0,3758.60,1,0,,2025-08-22 14:48:54,2021-04-21,,경기도 안성시 삼죽면 진촌리 286-1,2021408024132500001,4080000,경기도 안성시 삼죽면 삼죽로 18-6,17514,,01,영업/정상,,,031-672-0410
쿠팡로지스틱스서비스 유한회사,1,,,,,법인,235507.519568415,396230.33719013,2026-03-11 01:37:40,I,01,영업중,0,"컨베이어벨트, 소터, 지게차, 쟈키, 자바라, EPJ 등",0.00,0,3388.00,1,0,,2025-12-31 10:11:18,2021-05-24,,경기도 안성시 죽산면 장능리 35-4,2021408024132500002,4080000,경기도 안성시 죽산면 녹배길 35,17521,,01,영업/정상,,,02-6150-8309
쿠팡로지스틱스서비스 유한회사,1,,,1,,법인,,,2026-03-11 01:37:41,I,01,영업중,0,"컨베이어벨트, 소터, 지게차, 쟈키, 자바라, EPJ 등",0.00,0,4846.00,1,0,,2025-12-31 10:14:12,2021-05-24,,경기도 안성시 원곡면 칠곡리 915,2021408024132500003,4080000,경기도 안성시 원곡면 원곡물류단지1로 61,17555,,01,영업/정상,,,02-6150-8309
용마로지스 주식회사,1,,,,,법인,,,2026-03-11 01:37:41,I,01,영업중,4,"랙(rack) 설비, 전동 지게차 등",0.00,0,6108.77,1,0.00,32000,2026-01-07 09:56:34,2021-07-26,,"경기도 안성시 삼죽면 내강리 37 3, 4층",2021408024132500005,4080000,"경기도 안성시 삼죽면 삼죽로 75, 3, 4층",17514,,01,영업/정상,,,031-650-5506
(주)교원스타트원,1,,,,,법인,213764.502888615,388240.282143532,2026-03-11 01:37:41,I,01,영업중,29,"팔레트 랙 7,696셀 / 지게차 9대 등.",0.00,0,6171.00,1,0,,2022-08-22 11:29:22,2021-07-27,,경기도 안성시 공도읍 승두리 598-90,2021408024132500006,4080000,경기도 안성시 공도읍 서동대로 4046,17562,,01,영업/정상,,,031-691-7938
(주)지승,1,,,,,법인,223598.976756989,394714.901285947,2026-03-11 01:37:41,I,01,영업중,6,일반 상온창고 / 지게차 10대,0,0,24673.71,1,0,,2023-10-04 13:25:32,2021-09-15,,경기도 안성시 대덕면 진현리 240-1,2021408024132500009,4080000,"경기도 안성시 대덕면 미륵로 68, 1동",17540,,01,영업/정상,,,031-676-2614
주식회사 케이엠,1,,,,,법인,220740.451568203,384732.492097461,2026-03-11 01:37:41,I,01,영업중,90,"VNA하이랙지게차 1대, 리치TYPE지게차 2대, 전동지게차 1대, 청소차 1대",0,0,3140.03,1,0,,2022-08-22 11:28:02,2021-09-23,,경기도 안성시 미양면 보체리 348-2,2021408024132500010,4080000,"경기도 안성시 미양면 협동단지길 147-1, 1동 1,3층",17600,,01,영업/정상,,,031-678-8808
(주)더블유지엘,1,,,,,법인,244442.422024939,400525.911188741,2026-03-11 01:37:41,I,01,영업중,50,"메자닌, 소터, DAS 등 의류물류 기로설비",0,0,6891.04,1,0,,2024-12-12 10:16:20,2021-11-19,,경기도 안성시 일죽면 당촌리 300-8,2021408024132500011,4080000,"경기도 안성시 일죽면 일죽당촌1길 24-9, 1,2,3층",17527,,01,영업/정상,,,031-768-1824
우진글로벌로지스틱스(주),1,,,,,법인,239124.898266192,402326.78950208,2026-03-11 01:37:41,I,01,영업중,8,"랙 설치 / 크레인, 지게차 등",0,0,5379.8,1,0,,2022-08-22 11:27:32,2021-11-19,,경기도 안성시 일죽면 고은리 452-1,2021408024132500012,4080000,"경기도 안성시 일죽면 고목남길 95-31, B동 2,3층",17525,,01,영업/정상,,,02-3706-3423
삼성전자로지텍(주),1,,,,,법인,,,2026-03-11 01:37:41,I,01,영업중,124,"지게차, 벨트 등",0,0,27026.9,1,0,,2025-04-24 10:01:31,2022-01-03,,경기도 안성시 삼죽면 용월리 409-4,2022408024132500001,4080000,경기도 안성시 삼죽면 삼죽로 150,17512,,01,영업/정상,,,031-5183-8206
