사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
서초자동차공업사,2148110649,,,2026-01-15,201020.968321624,442534.418196355,2026-05-06 22:42:20,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:52:07,1993-11-17,,서울특별시 서초구 서초동 1584-9,321000025200000007,3210000,,,,서울특별시 서초구 반포대로12길 15 (서초동),,,04,취소/말소/만료/정지/중지,,,,
남부정비사업소,2148528865,,,2026-01-15,201037.91506609,442814.751994742,2026-05-06 22:42:50,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:51:46,2005-12-16,,서울특별시 서초구 서초동 1596-5,321000025200500168,3210000,,,,서울특별시 서초구 사임당로 22 (서초동),06652,,04,취소/말소/만료/정지/중지,,,,
이성봉내과의원,1149602862,,,2026-01-15,,,2026-05-06 22:42:44,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:49:18,2006-09-26,137-040,서울특별시 서초구 반포동 69-12 반포쇼핑상가 6동 401호,321000025200600014,3210000,,,,,,,04,취소/말소/만료/정지/중지,,,,
하나의원,1259011786,,,2026-01-15,201369.445938815,442584.63649791,2026-05-06 22:42:49,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:48:38,2008-04-22,,서울특별시 서초구 서초동 1603-20,321000025200800005,3210000,,,,서울특별시 서초구 서초중앙로 38 (서초동),,,04,취소/말소/만료/정지/중지,,,34732566,
연세가나비뇨기과의원,2149043287,,,2026-01-15,200667.104434599,443263.221961308,2026-05-06 22:42:50,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:48:57,2009-09-08,,서울특별시 서초구 서초동 1542-1 동일하이빌 307,321000025200900011,3210000,,,,"서울특별시 서초구 서초대로 240 (서초동,동일하이빌 307)",,,04,취소/말소/만료/정지/중지,,,02-521-7527,
김인섭의원,2139607015,,,2026-01-15,,,2026-05-06 22:42:51,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:48:03,2010-05-13,,서울특별시 서초구 서초동 1603-18 자연빌딩2층,321000025201000013,3210000,,,,,,,04,취소/말소/만료/정지/중지,,,,
아우디서초서비스 익스프레스지점,4228500264,,,2026-01-15,,,2026-05-06 22:42:57,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:50:53,2016-04-11,,,321000025201600002,3210000,,,,서울특별시 서초구 효령로 246 (서초동),06710,,04,취소/말소/만료/정지/중지,,,02-2486-8255,
씨앤아이,1141637812,,,2026-01-15,198397.235721331,442728.184727023,2026-05-06 22:43:02,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:55:15,2021-05-28,,서울특별시 서초구 방배동 3160 (재)원불교 유문빌딩,321000025202100013,3210000,,,,서울특별시 서초구 동작대로 114 (재)원불교 유문빌딩 (방배동),06568,,04,취소/말소/만료/정지/중지,,,02-3478-9146,
1001 안경 남부터미널점,2140826963,,,2026-01-15,201077.521218567,442439.609741863,2026-05-06 22:43:00,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:52:35,2021-06-04,,서울특별시 서초구 서초동 1458-2,321000025202100037,3210000,,,,서울특별시 서초구 효령로 262 (서초동),06716,,04,취소/말소/만료/정지/중지,,,02-583-1021,
브릿지안경신논현점,2141499865,,,2026-01-15,202058.674687128,444618.16731522,2026-05-06 22:43:02,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:53:45,2021-06-09,,서울특별시 서초구 서초동 1303-22 교보생명보험(주) 서초사옥,321000025202100040,3210000,,,,"서울특별시 서초구 강남대로 465, 교보생명보험(주) 서초사옥 (서초동)",06611,,04,취소/말소/만료/정지/중지,,,02-3453-8090,
다비드안경원,1930101652,,,2026-01-15,202310.237266626,442849.568744266,2026-05-06 22:43:02,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:53:22,2021-06-15,,서울특별시 서초구 서초동 1342,321000025202100057,3210000,,,,"서울특별시 서초구 효령로 394, 1층 8호 (서초동)",06727,,04,취소/말소/만료/정지/중지,,,02-585-1007,
이태리안경원,1140427058,,,2026-01-15,200958.810528572,445792.191399183,2026-05-06 22:43:03,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:54:05,2021-06-16,,서울특별시 서초구 잠원동 57-20 대림상가,321000025202100061,3210000,,,,"서울특별시 서초구 잠원로8길 25, 대림상가 145호 (잠원동)",06518,,04,취소/말소/만료/정지/중지,,,02-534-1150,
아이디어안경원(서초점),2141024008,,,2026-01-15,200745.687148443,443032.38839408,2026-05-06 22:43:01,I,4,폐쇄,,,기타수질오염원관리,2026-01-25 09:54:27,2021-06-24,,서울특별시 서초구 서초동 1543-8 서일빌딩,321000025202100072,3210000,,,,"서울특별시 서초구 반포대로 104, 서일빌딩 1층 101호 (서초동)",06648,,04,취소/말소/만료/정지/중지,,,02-587-8849,
