건축연면적,건물용도명,사업장명,사업자등록번호,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,기획여행보험시작일자,기획여행보험종료일자,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,유통시설,(주)렛츠고 투어,,,,30000000,187733.160920858,450747.952249309,,국내여행업,2026-05-06 22:34:57,I,03,폐업,,,,,,,,2019-02-06,2020-02-05,서울보증보험(2천만원),2020-04-24 11:28:46,,2012-01-04,,서울특별시 강서구 가양동 449-21 한화비즈메트로2차,CDFI2260012020000002,3150000,,,일반상업지역,"서울특별시 강서구 양천로 551-24, 1501호 (가양동, 한화비즈메트로2차)",07532,03,폐업,,,,,,,,,,,,
,,SMC TOUR,,,2011-08-30,96000000,187926.077711687,449953.291133037,,국내여행업,2026-05-06 22:34:50,I,03,폐업,,,,,,,,,,,2011-08-30 09:50:42,,2010-06-08,157-840,서울특별시 강서구 등촌동 648-4 신성빌딩 3층 309호,CDFI2260012010000003,3150000,,,,"서울특별시 강서구 공항대로 519  (등촌동,신성빌딩 3층 309호)",,03,폐업,,,,,,,1577-9822,,,,,
,,(주)투어라인,,,2016-12-27,150000000,187119.948165892,450691.593173724,,국내여행업,2026-05-06 22:34:50,I,03,폐업,,,,,,,,2014-08-16,2015-08-16,한국관광협회중앙회 여행공제회,2016-12-28 16:50:14,,2009-11-19,157-839,서울특별시 강서구 등촌동 639-11 홈플러스매장 2층,CDFI2260012010000004,3150000,,,,"서울특별시 강서구 화곡로 398 (등촌동,홈플러스매장 2층)",,03,폐업,,,,,,,02-2026-6262,,,,,
,,주식회사 삼원항공여행사,,,2012-05-16,150000000,183390.852785193,451037.591823478,,국내여행업,2026-05-06 22:34:50,I,03,폐업,,,,,,,,,,,2012-05-16 17:30:13,,2010-10-06,157-811,서울특별시 강서구 공항동 25-18 유오빌딩 201호,CDFI2260012010000005,3150000,,,,"서울특별시 강서구 공항대로 49  (공항동,유오빌딩 201호)",,03,폐업,,,,,,,26627745,,,,,
,,주식회사 강서스카이여행사,,,2013-09-30,50000000,185602.437617188,450775.866028415,,국내여행업,2026-05-06 22:34:50,I,03,폐업,,,,,,,,2011-01-01,2011-12-31,서울보증보험,2017-05-18 15:32:13,,2010-12-08,157-805,서울특별시 강서구 마곡동 723 이천이프라자 302호,CDFI2260012010000007,3150000,,,,"서울특별시 강서구 공항대로 271 (가양동,이천이프라자 302호)",,03,폐업,,,,,,,02-3663-1245,,,,,
,,주식회사 길벗여행사,,,2012-04-10,50000000,183382.861571856,452713.505241493,,국내여행업,2026-05-06 22:34:50,I,03,폐업,,,,,,,,,,,2012-04-10 17:55:38,,2011-03-14,157-857,서울특별시 강서구 방화동 830-2 하이포트 오피스텔 614호,CDFI2260012011000003,3150000,,,,"서울특별시 강서구 금낭화로 128  (방화동,하이포트 오피스텔 614호)",,03,폐업,,,,,,,26652999,,,,,
,,진달래여행사,,,2017-04-15,31163361,185943.168675662,448930.821829751,,국내여행업,2026-05-06 22:34:50,I,03,폐업,,,,,,,,2015-05-19,2016-05-18,서울보증보험,2017-04-20 09:48:10,,2011-04-29,157-010,서울특별시 강서구 화곡동 1063-8 1101호,CDFI2260012011000004,3150000,,,,"서울특별시 강서구 화곡로 185, 1101호 (화곡동)",,03,폐업,,,,,,,26062220,,,,,
,,주식회사 피앤피티,,,2022-04-20,150000000,182876.367858149,452247.393831256,,국내여행업,2026-05-06 22:34:51,I,03,폐업,,,,,,,,2011-07-12,2012-07-12,한국관광협회중앙회 여행공제회,2022-04-20 14:02:13,,2011-05-20,157-850,서울특별시 강서구 방화동 849 벽산에어트리움 본관동 1층 110호,CDFI2260012011000005,3150000,,,,"서울특별시 강서구 양천로 28 (방화동,벽산에어트리움 본관동 1층 110호)",,03,폐업,,,,,,,,,,,,
,,주식회사 와이드엘투비,,,2019-08-27,60000000,185810.082788379,451085.609149833,,국내여행업,2026-05-06 22:34:51,I,03,폐업,,,,,,,,2017-10-20,2018-10-19,서울보증보험,2019-08-28 09:19:51,,2011-10-06,,서울특별시 강서구 등촌동 679-6 청호빌딩 403호,CDFI2260012011000008,3150000,,,,"서울특별시 강서구 강서로56가길 53, 403호 (등촌동, 청호빌딩)",07583,03,폐업,,,,,,,02-334-3317,,,,,
,,다모여행사,,,2017-03-13,31619171,183275.424160871,451986.280197164,,국내여행업,2026-05-06 22:34:51,I,03,폐업,,,,,,,,,,,2017-04-06 16:35:04,,2011-11-15,157-851,서울특별시 강서구 방화동 593-25,CDFI2260012011000011,3150000,,,,서울특별시 강서구 금낭화로 51-1  (방화동),,03,폐업,,,,,,,,,,,,
