축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,식육포장처리업,(주)삼문푸드,2026-01-07,166533.190639276,443044.556093215,2026-05-06 22:44:21,I,0004,말소,2026-01-07 09:42:57,,2019-12-19,1183.6,,인천광역시 동구 만석동 2-378 재원ENG,식육포장처리업,350000010420190002,3500000,L00,"인천광역시 동구 만석부두로 11, 재원ENG 102호 (만석동)",22501,,04,취소/말소/만료/정지/중지,,,
,식육포장처리업,본향,2025-11-05,169424.109924844,442692.722669138,2026-05-06 22:44:21,I,0002,폐업,2026-01-07 09:43:48,,2009-07-13,0,,인천광역시 동구 송림동 294 인천산업용품유통단지,식육포장처리업,350000010420230004,3500000,000,"인천광역시 동구 방축로83번길 23, 인천산업용품유통단지 B동 지하1층 B09호 (송림동)",22530,,03,폐업,,,
,식육포장처리업,(주)서어서식품,,197503.739239953,449268.342879773,2026-05-06 22:44:21,I,0003,행정처분,2006-04-05 10:21:24,,2004-11-16,0,,서울특별시 용산구 갈월동 14-30,식육포장처리업,302000000420040005,3020000,L00,서울특별시 용산구 한강대로92길 6 (갈월동),,,04,취소/말소/만료/정지/중지,,,
,식육포장처리업,KOREA MUSLIM FOOD HALAL(K.M.F.HALAL),,199940.82095934,447417.600756006,2026-05-06 22:44:21,I,0000,정상,2020-03-09 14:14:35,,2004-11-16,0,,서울특별시 용산구 보광동 264-54,식육포장처리업,302000000420040007,3020000,L00,"서울특별시 용산구 보광로24길 26, 1층 (보광동)",04415,,01,영업/정상,,,
,식육포장처리업,엔터푸드,,195556.853873045,447925.908209588,2026-05-06 22:44:21,I,0000,정상,2021-05-10 17:44:34,,2020-07-16,0,,서울특별시 용산구 원효로4가 142-1 지하1층,식육포장처리업,302000010420200001,3020000,000,"서울특별시 용산구 원효로 55, 지하1층 (원효로4가)",04360,,01,영업/정상,,,
,식육포장처리업,(주)천하엠엔에프,,192666.111954263,453773.77175269,2026-05-06 22:44:22,I,0001,휴업,2025-07-08 17:24:15,,2002-10-29,137.15,,"서울특별시 은평구 응암동 695-6 1,2층",식육포장처리업,311000000420020001,3110000,L00,서울특별시 은평구 응암로4길 18-14 (응암동),03480,,02,휴업,2025-07-08,2027-12-31,
,식육포장처리업,씨앤씨푸드,,193311.538309623,455364.324858691,2026-05-06 22:44:22,I,0000,정상,2017-01-24 16:55:01,,2010-12-27,0,,서울특별시 은평구 응암동 98-4,식육포장처리업,311000010420100001,3110000,000,서울특별시 은평구 은평로12길 4 (응암동),03462,,01,영업/정상,,,02-359-0607
,식육포장처리업,주식회사 컨츄리유통,,192357.764421076,456494.299634587,2026-05-06 22:44:22,I,0000,정상,2023-04-04 14:29:16,,2011-02-17,59.4,,서울특별시 은평구 구산동 7-5 102호,식육포장처리업,311000010420110001,3110000,L00,"서울특별시 은평구 서오릉로11길 20-1, 102호 (구산동)",03411,,01,영업/정상,,,
,식육포장처리업,태방푸드,,192391.619418954,453912.933931827,2026-05-06 22:44:23,I,0000,정상,2025-07-16 16:04:25,,2016-11-29,49.69,,서울특별시 은평구 응암동 595-34,식육포장처리업,311000010420160002,3110000,L00,"서울특별시 은평구 응암로9길 15, 1층 (응암동, 하림빌딩)",03485,,01,영업/정상,,,
,식육포장처리업,진성그린푸드,,192087.715588997,454696.436367512,2026-05-06 22:44:23,I,0000,정상,2022-08-05 11:05:48,,2016-12-16,0,,서울특별시 은평구 신사동 39-3 1층 일부,식육포장처리업,311000010420160003,3110000,L00,서울특별시 은평구 가좌로 299 (신사동),03441,2022-07-25,01,영업/정상,,,02-387-7710
