건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,제이엔위즈,2021-04-26,173009.484945051,433720.308306773,,비디오물제작업,2026-05-06 22:40:35,I,03,폐업,멀티미디어 컨텐츠,83,,2022-01-10 16:30:57,,2017-12-11,,인천광역시 남동구 고잔동 *** 인천종합비즈니스센터,CDFF1241072020000004,3530000,준주거지역,"인천광역시 남동구 남동대로***번길 **, 인천종합비즈니스센터 **층 ****호 (고잔동)",21633,03,폐업,기타,,,,,
,모프레스,2022-08-05,176795.163841616,439590.753337663,,비디오물제작업,2026-05-06 22:40:36,I,03,폐업,일반영화 및 비디오물,66.56,,2022-08-05 16:53:02,,2021-01-28,,인천광역시 남동구 만수동 ** 만수주공*단지아파트,CDFF1241072021000001,3530000,,"인천광역시 남동구 백범로***번길 ***, ***동 ***호 (만수동, 만수주공*단지아파트)",21527,03,폐업,,,,,,
,에비뉴(AVENUE),2023-02-03,174830.104781291,438028.189876964,,비디오물제작업,2026-05-06 22:40:38,I,03,폐업,영상 콘텐츠,74.92,,2023-02-03 15:55:30,,2021-11-12,,인천광역시 남동구 구월동 **** 구월아시아드선수촌*단지,CDFF1241072021000010,3530000,,"인천광역시 남동구 선수촌로 **, ***동 ****호 (구월동, 구월아시아드선수촌*단지)",21585,03,폐업,,,,,,
,주식회사 하울림,2023-11-10,174233.407801957,437527.451852391,,비디오물제작업,2026-05-06 22:40:39,I,03,폐업,비디오 영상물,36.12,,2023-11-14 09:42:58,,2021-12-23,,인천광역시 남동구 구월동 ****-* 구월테크노밸리,CDFF1241072021000012,3530000,,"인천광역시 남동구 선수촌공원로 *, 구월테크노밸리 ***호 (구월동)",21582,03,폐업,,,,,,
,주식회사 꿈꾸다,2025-01-15,174234.0225,437565.5125,,비디오물제작업,2026-05-06 22:40:41,I,03,폐업,광고영상,81.87,,2025-01-15 17:31:11,,2022-10-07,,인천광역시 남동구 구월동 ****-* 구월테크노밸리 B동 ***호,CDFF1241072022000008,3530000,,"인천광역시 남동구 선수촌공원로 *, 구월테크노밸리 B동 ***호 (구월동)",21582,03,폐업,,,,070-4696-1384,,
,피플태그 스튜디오,2025-07-01,175370.832497037,433815.465542472,,비디오물제작업,2026-05-06 22:40:44,I,03,폐업,영상 콘텐츠,13.39,,2025-07-03 14:07:40,,2023-08-23,,인천광역시 남동구 논현동 ***-* 인천논현 엘에이치 **단지,CDFF1241072023000006,3530000,,"인천광역시 남동구 은봉로 ***, 인천논현 엘에이치 **단지 *층 ***호 (논현동)",21648,03,폐업,,,,,,
,주식회사 도니됩,2025-01-15,173921.88342573,438730.206210437,,비디오물제작업,2026-05-06 22:40:44,I,03,폐업,"동영상, 사진",21.18,,2025-01-15 17:29:18,,2023-10-06,,인천광역시 남동구 구월동 ****-* 에스파스,CDFF1241072023000008,3530000,,"인천광역시 남동구 인주대로***번길 **, 에스파스 **층 *호 (구월동)",21556,03,폐업,,,,,,
,주식회사 더쉬프트,,176712.381041612,433157.673343729,,비디오물제작업,2026-05-06 22:40:50,I,13,영업중,광고 영화 및 비디오물,1,,2026-03-13 15:16:16,,2025-02-12,,인천광역시 남동구 논현동 ***-** 논현 센트레빌 라메르,CDFF1241072026000003,3530000,,"인천광역시 남동구 소래역로**번길 **, 논현 센트레빌 라메르 **층 ****호 (논현동)",21672,01,영업/정상,,,,,,
,(주)오성미디컴,,172696.90745229,433807.908624655,,비디오물제작업,2026-05-06 22:40:28,I,13,영업중,노래반주소프트웨어및CD,2372.99,,2011-10-30 13:53:22,,2010-06-16,,인천광역시 남동구 고잔동 ***-*,CDFF1241072010000001,3530000,일반공업지역,인천광역시 남동구 남동대로***번길 ** (고잔동),21633,01,영업/정상,,,,,,
사무실,주식회사 아이브이워크,,174732.52999696,436300.32161988,,비디오물제작업,2026-05-06 22:40:29,I,13,영업중,광고.교육용 비디오물,,,2013-01-30 10:17:59,,2012-02-03,,인천광역시 남동구 남촌동 ***-* ***호,CDFF1241072013000001,3530000,,"인천광역시 남동구 남촌로 **, ***호 (남촌동)",21627,01,영업/정상,,,,,,
,(주)티브로드 서해방송,,173512.544356646,438636.685373576,,비디오물제작업,2026-05-06 22:40:29,I,13,영업중,지역케이블TV프로그램 및 광고물,88.69,11,2013-04-15 15:44:08,,2013-04-15,,인천광역시 남동구 구월동 ****,CDFF1241072013000002,3530000,일반상업지역,"인천광역시 남동구 예술로 ***, **층 (구월동)",21570,01,영업/정상,,,,,14,3
,풀그림,,173974.507390765,438808.171479625,,비디오물제작업,2026-05-06 22:40:31,I,13,영업중,"영상물제작, 방송프로그램, 홍보영상, 입체영상제작",,,2014-03-18 17:14:59,,2008-09-09,,인천광역시 남동구 구월동 ****-* 굿모닝타워 ***호,CDFF1241072014000001,3530000,,"인천광역시 남동구 인주대로***번길 **, *층 ***호 (구월동, 굿모닝타워)",21556,01,영업/정상,,,,032-428-7939,,
,윈드 엔터테인먼트,,177800.711891355,440309.775777721,,비디오물제작업,2026-05-06 22:40:32,I,13,영업중,영상물제작(홍보물),52.59,,2020-07-24 16:26:49,,2013-11-19,,인천광역시 남동구 장수동 ***,CDFF1241072014000002,3530000,,"인천광역시 남동구 수현로**번길 **-**, *호 (장수동)",21531,01,영업/정상,,,,,,
,아인미디어,,174114.483652315,438120.741105298,,비디오물제작업,2026-05-06 22:40:33,I,13,영업중,방송 영상 및 홍보물,47.55,,2014-05-27 08:50:01,,2014-05-27,,인천광역시 남동구 구월동 ****-** ***호,CDFF1241072014000003,3530000,,"인천광역시 남동구 남동대로***번길 **, ***호 (구월동)",21577,01,영업/정상,,,,,,
,국민방송 주식회사,,176405.664082753,439128.5544136,,비디오물제작업,2026-05-06 22:40:33,I,13,영업중,"동영상 컨텐츠, 영상광고물CF, 방송프로그램 등",246.71,3,2014-06-16 10:53:56,,2014-06-16,,인천광역시 남동구 만수동 *** *층호,CDFF1241072014000004,3530000,,"인천광역시 남동구 백범로 ***, *층 (만수동)",21540,01,영업/정상,,,,032-471-7890,,
,이룸미디어,,175154.825524064,438730.587010701,,비디오물제작업,2026-05-06 22:40:33,I,13,영업중,"방송프로그램, 광고, 홍보영상 등",50.52,,2015-02-12 16:18:06,,2015-02-12,,인천광역시 남동구 구월동 **** ***호,CDFF1241072015000001,3530000,,"인천광역시 남동구 호구포로***번길 **, ***호 (구월동)",21536,01,영업/정상,,,,032-463-0705,,
,(주)펜타코드,,174232.658799109,437489.12319912,,비디오물제작업,2026-05-06 22:40:33,I,13,영업중,"홍보영상,방송용영상물,인터넷방송",89.2,,2017-05-18 15:20:28,,2011-02-22,,인천광역시 남동구 구월동 ****-* D동 ***호,CDFF1241072017000001,3530000,,"인천광역시 남동구 선수촌공원로 *, D동 ***호 (구월동, 구월테크노밸리(자족*-*))",21582,01,영업/정상,,,,,,
근린생활시설,(주)새늘컴퍼니,,173682.5846642,438956.92036084,,비디오물제작업,2026-05-06 22:40:34,I,13,영업중,영상물제작,176.16,,2024-08-16 11:26:44,,2018-07-26,,인천광역시 남동구 구월동 ****-*,CDFF1241072018000001,3530000,일반상업지역,"인천광역시 남동구 예술로***번길 **, 신양빌딩 *층 (구월동)",21558,01,영업/정상,유흥업소밀집지역,,,,,
생산시설,(주)샛별교육연구,,174231.380468407,431819.335310382,,비디오물제작업,2026-05-06 22:40:34,I,13,영업중,비디오물제작,37.45,,2026-02-04 12:58:42,,2019-04-12,,인천광역시 남동구 고잔동 ***-**,CDFF1241072019000001,3530000,일반공업지역,인천광역시 남동구 앵고개로***번길 ** (고잔동),21688,01,영업/정상,기타,,,,,
근린생활시설,주식회사 신스토리미디어,,173845.218145917,437967.760834331,,비디오물제작업,2026-05-06 22:40:34,I,13,영업중,홍보영상물,119.6,,2022-02-03 11:15:12,,2019-12-02,,인천광역시 남동구 구월동 ****-*,CDFF1241072019000002,3530000,일반주거지역,"인천광역시 남동구 인하로***번길 **-*, *층 (구월동)",21575,01,영업/정상,주택가주변,,,,,
