사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,판매점영업면적,휴업시작일자,휴업종료일자,소재지전화번호
(주)바이더웨이 효창공원점,2014-12-30,,,2026-05-06 22:32:11,I,03,폐업,2014-12-30 16:55:42,,2011-11-16,,,PHMH320113020033087500001,3020000,서울특별시 용산구 효창원로76길 150 (효창동),,03,폐업,,,,
GS25동빙고제일점,2016-11-23,199621.359137509,446867.679325885,2026-05-06 22:30:52,I,03,폐업,2016-11-23 14:35:41,,2012-11-08,,,PHMH320123020033087500001,3020000,서울특별시 용산구 서빙고로91나길 72 (동빙고동),04395,03,폐업,,,,02-794-1091
GS25동빙고점,2017-05-02,199608.612935438,447092.209717144,2026-05-06 22:30:52,I,03,폐업,2017-05-10 10:55:50,,2012-11-08,,,PHMH320123020033087500002,3020000,서울특별시 용산구 장문로6길 97 (동빙고동),04393,03,폐업,,,,02-792-1091
GS25원효타운,2014-04-17,196557.682702991,448041.810074053,2026-05-06 22:30:52,I,03,폐업,2014-04-17 15:38:02,,2012-11-08,,,PHMH320123020033087500003,3020000,서울특별시 용산구 새창로 146 (원효로2가),,03,폐업,,,,02-3275-3966
미니스톱용산월드점,2013-04-05,197542.687282146,448325.294355232,2026-05-06 22:32:10,I,03,폐업,2013-08-22 14:05:26,,2012-11-08,,,PHMH320123020033087500005,3020000,"서울특별시 용산구 한강대로 211, 107호 (한강로1가)",,03,폐업,,,,
GS25후암사랑점,2017-03-31,197963.766166909,449528.48631004,2026-05-06 22:32:03,I,03,폐업,2017-03-31 17:06:18,,2012-11-08,,,PHMH320123020033087500006,3020000,서울특별시 용산구 후암로 23-1 (후암동),04332,03,폐업,,,,02-774-4218
CU후암미주점,2018-07-27,197860.587890368,450002.778511517,2026-05-06 22:30:52,I,03,폐업,2018-07-27 16:45:18,,2012-11-08,,,PHMH320123020033087500007,3020000,서울특별시 용산구 후암로 71-2 (후암동),04325,03,폐업,,,,02-3789-1637
CU용산파크자이점,2023-03-16,197514.145785647,448264.322314594,2026-05-06 22:30:52,I,03,폐업,2023-03-16 17:20:21,,2012-11-08,,,PHMH320123020033087500008,3020000,서울특별시 용산구 한강대로 205 (한강로1가),04322,03,폐업,,,,
GS25서울역서부점,2013-11-26,197177.646750244,450239.515008707,2026-05-06 22:30:52,I,03,폐업,2013-11-26 11:12:03,,2012-11-08,,,PHMH320123020033087500010,3020000,서울특별시 용산구 청파로 389 (서계동),,03,폐업,,,,
CU용산민우점,2015-02-12,197835.076211772,449693.147557804,2026-05-06 22:30:54,I,03,폐업,2015-02-12 11:03:49,,2012-11-08,,,PHMH320123020033087500013,3020000,서울특별시 용산구 후암로35길 47 (후암동),,03,폐업,,,,02-318-7922
세븐일레븐 용산용문점,2012-12-28,196469.428322469,448498.841159196,2026-05-06 22:30:55,I,03,폐업,2013-08-22 14:33:17,,2012-11-08,,,PHMH320123020033087500014,3020000,서울특별시 용산구 효창원로 117 (용문동),,03,폐업,,,,
미니스톱 이태원제일점,2019-04-30,199801.957229828,448135.575999176,2026-05-06 22:30:59,I,03,폐업,2019-04-30 13:46:46,,2012-11-08,,,PHMH320123020033087500018,3020000,서울특별시 용산구 이태원로 223 (한남동),04349,03,폐업,,,,
GS25용산청파,2015-01-27,197321.065710824,449090.401637502,2026-05-06 22:31:00,I,03,폐업,2015-01-27 17:13:01,,2012-11-08,,,PHMH320123020033087500020,3020000,서울특별시 용산구 청파로 275 (청파동3가),,03,폐업,,,,
(주)씨스페이시스 원효점,2015-12-30,195544.606275448,447831.138115911,2026-05-06 22:32:07,I,03,폐업,2015-12-30 17:09:12,,2012-11-09,,,PHMH320123020033087500021,3020000,서울특별시 용산구 원효로 64 (원효로4가),04365,03,폐업,,,,
쎼븐일레븐206호점,2012-11-20,199201.263514542,447653.615565873,2026-05-06 22:31:01,I,03,폐업,2013-08-22 15:48:14,,2012-11-09,,,PHMH320123020033087500022,3020000,서울특별시 용산구 녹사평대로26길 30 (이태원동),,03,폐업,,,,
(주)비지에프리테일 남산공원점,2017-11-10,,,2026-05-06 22:32:02,I,03,폐업,2017-11-10 17:48:16,,2012-11-09,,,PHMH320123020033087500023,3020000,서울특별시 용산구 남산공원길 121 (용산동2가),04340,03,폐업,,,,
GS25후암본점,2022-06-02,198299.452296011,449352.510594155,2026-05-06 22:31:03,I,03,폐업,2022-06-02 13:46:43,,2012-11-09,,,PHMH320123020033087500026,3020000,서울특별시 용산구 신흥로 149 (후암동),04337,03,폐업,,,,
GS25용산동자점,2016-07-06,,,2026-05-06 22:31:05,I,03,폐업,2016-07-07 17:12:09,,2012-11-09,,,PHMH320123020033087500029,3020000,서울특별시 용산구 한강대로104길 54 (동자동),04334,03,폐업,,,,02-754-0232
바이더웨이 효창공원점,2012-11-16,196596.438958989,448791.762333138,2026-05-06 22:31:05,I,03,폐업,2013-08-22 16:08:08,,2012-11-09,,,PHMH320123020033087500030,3020000,서울특별시 용산구 효창원로 150 (효창동),,03,폐업,,,,
GS25이태원본점,2015-07-22,199659.057794745,447896.598066061,2026-05-06 22:31:06,I,03,폐업,2015-07-22 17:17:41,,2012-11-09,,,PHMH320123020033087500032,3020000,서울특별시 용산구 우사단로10길 23 (이태원동),,03,폐업,,,,
세븐일레븐용산효창점,2015-12-03,196454.809562287,448821.272622337,2026-05-06 22:31:06,I,03,폐업,2015-12-03 10:09:18,,2012-11-12,,,PHMH320123020033087500033,3020000,서울특별시 용산구 효창원로69나길 13 (효창동),04318,03,폐업,,,,
씨유원효로2가점,2018-03-26,196691.508606508,448080.273354755,2026-05-06 22:31:06,I,03,폐업,2018-03-26 17:26:24,,2012-11-12,,,PHMH320123020033087500034,3020000,서울특별시 용산구 원효로58길 28 (원효로2가),04367,03,폐업,,,,
GS25보광점,2014-10-28,199860.819809374,447348.10086997,2026-05-06 22:31:07,I,03,폐업,2014-10-28 18:01:52,,2012-11-12,,,PHMH320123020033087500036,3020000,서울특별시 용산구 보광로 46 (보광동),,03,폐업,,,,
이마트24 보광사랑점,2024-05-27,199953.701899869,447435.720013697,2026-05-06 22:31:07,I,03,폐업,2024-05-27 15:28:33,,2012-11-12,,,PHMH320123020033087500037,3020000,서울특별시 용산구 장문로45길 73 (보광동),04415,03,폐업,,,,
