신청일자,항목값1,사업장명,업소구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,관급봉투,에스케이네트웍스주식회사,,,,,2026-05-06 22:53:25,I,,11,영업,2007-07-21 10:23:54,2003-09-25,,140-869,서울특별시 용산구 청파동1가 180-40,302000014456600001,3020000,,,,01,영업/정상,,,
1994-12-29,관급봉투,선창식당,지정,,121763.611945539,417193.36475556,2026-05-06 22:53:24,I,,11,영업,2020-11-26 10:32:52,1994-12-29,북리(작은쑥개),,"인천광역시 옹진군 덕적면 북리 154-4 선창민박, 식당",358000014199400001,3580000,"인천광역시 옹진군 덕적면 덕적북로518번길 77, 선창민박, 식당",23129,,01,영업/정상,,,032-832-3954
1994-12-29,관급봉투,북리슈퍼,지정,,121448.384414876,416883.066156336,2026-05-06 22:53:25,I,,11,영업,2020-11-25 14:54:19,1994-12-29,북리192,,인천광역시 옹진군 덕적면 북리 192 잡화점,358000014199400002,3580000,"인천광역시 옹진군 덕적면 덕적북로 507-15, 잡화점",23129,,01,영업/정상,,,032-832-2864
1994-12-29,관급봉투,서면연초소매소,지정,,,,2026-05-06 22:53:25,I,,11,영업,2007-06-23 17:47:37,1994-12-29,(서면),409-890,인천광역시 옹진군 덕적면 서포리 (서면),358000014199400003,3580000,,,,01,영업/정상,,,032-832-3164
1994-12-29,관급봉투,도우연초소매소,지정,,,,2026-05-06 22:53:25,I,,11,영업,2007-06-23 17:47:37,1994-12-29,(도우),409-890,인천광역시 옹진군 덕적면 진리 (도우),358000014199400004,3580000,,,,01,영업/정상,,,032-831-8202
1994-12-29,관급봉투,진리연초소매소,지정,,,,2026-05-06 22:53:26,I,,11,영업,2007-06-23 17:47:37,1994-12-29,(진리),409-890,인천광역시 옹진군 덕적면 진리 (진발),358000014199400005,3580000,,,,01,영업/정상,,,032-831-8202
1994-12-29,관급봉투,신흥상회,지정,,154268.81633937,419701.270143674,2026-05-06 22:53:27,I,,11,영업,2020-11-25 15:17:26,1994-12-29,내리3번지,,인천광역시 옹진군 영흥면 내리 685,358000014199400007,3580000,인천광역시 옹진군 영흥면 영흥북로343번길 44-16,23118,,01,영업/정상,,,032-886-5523
1994-12-29,관급봉투,백령상회,지정,,155521.409024735,417559.691734923,2026-05-06 22:53:28,I,,11,영업,2020-11-25 15:18:45,1994-12-29,(내5리),,인천광역시 옹진군 영흥면 내리 12-1 백령상회,358000014199400009,3580000,"인천광역시 옹진군 영흥면 영흥북로35번길 64, 백령상회",23118,,01,영업/정상,,,032-886-7174
1994-12-29,관급봉투,영흥철물점,지정,,155523.749647211,417321.084386946,2026-05-06 22:53:28,I,,11,영업,2020-11-25 15:20:38,1994-12-29,,,인천광역시 옹진군 영흥면 내리 5-28 영흥철물,358000014199400011,3580000,"인천광역시 옹진군 영흥면 영흥북로35번길 15, 영흥철물",23118,,01,영업/정상,,,032-886-7014
1994-12-29,관급봉투,영도건재,지정,,155558.543283834,417312.94118516,2026-05-06 22:53:28,I,,11,영업,2020-11-25 15:22:53,1994-12-29,내5리1번지,,인천광역시 옹진군 영흥면 내리 1-1 영도빌라,358000014199400015,3580000,인천광역시 옹진군 영흥면 영흥북로 37-15 (영도빌라),23118,,01,영업/정상,,,032-886-7106
