사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
오기입력,특수판매소,,,,2026-05-06 22:50:21,I,03,폐지,2008-04-29 12:54:34,,2000-12-01,1000,서울특별시 강남구 역삼동 727-9,2000450008501500030,4500000,,,,03,폐업,,,
오기입력,특수판매소,,202655.386153671,447491.028995399,2026-05-06 22:50:23,I,03,폐지,2008-04-29 15:25:13,,2001-01-04,2395,서울특별시 강남구 압구정동 458 현대(아) 83동 1201호,2001450008501500001,4500000,,,,03,폐업,,,
오기입력,특수판매소,,203184.108901561,444431.873863292,2026-05-06 22:50:23,I,03,폐지,2008-04-29 12:59:23,,2001-02-03,3773,서울특별시 강남구 역삼동 679,2001450008501500006,4500000,서울특별시 강남구 논현로 508  (역삼동),,,03,폐업,,,
고객만족주유소,주유소,,,,2026-05-06 22:50:31,I,03,폐지,2009-01-29 17:44:29,,2006-10-18,1494,경기도 수원시 권선구 평동 4,2006467011201500005,4671000,,,,03,폐업,,,
대양주유소,주유소,,207426.656238965,454478.85268601,2026-05-06 22:50:10,I,06,휴지사업재개,2023-11-02 15:06:16,,1992-04-24,754.75,서울특별시 중랑구 상봉동 109-45,1992306007501500001,3060000,서울특별시 중랑구 봉우재로 105 (상봉동),,2021-07-18,01,영업/정상,,,02-437-5457
주식회사한화미 구도일주유소동천,주유소,,207256.682638517,453800.522217889,2026-05-06 22:50:10,I,06,휴지사업재개,2026-03-10 10:42:55,,1993-12-30,797.45,서울특별시 중랑구 면목동 155-57,1993306007501500001,3060000,서울특별시 중랑구 동일로 654 (면목동),,2018-11-26,01,영업/정상,2018-10-10,2018-11-25,02-495-0081
면목self주유소,주유소,,206960.007724943,453785.620566456,2026-05-06 22:50:11,I,06,휴지사업재개,2024-10-04 08:51:56,,1994-01-27,955,서울특별시 중랑구 면목동 175-1,1994306007501500001,3060000,서울특별시 중랑구 동일로 627 (면목동),,2019-06-03,01,영업/정상,2019-06-01,2019-06-03,02-437-4072
(주)태영 구도일주유소 한인,주유소,,206281.11993204,454463.857272011,2026-05-06 22:50:11,I,06,휴지사업재개,2023-11-02 15:06:42,,1999-09-21,1258.75,서울특별시 중랑구 상봉동 137-8,1999306007501500001,3060000,서울특별시 중랑구 망우로 170 (상봉동),,2011-10-31,01,영업/정상,2011-08-22,2011-10-31,02-438-5151
(주)자연에너지 대창주유소,주유소,,207015.436990915,453880.794227773,2026-05-06 22:50:11,I,01,신규등록,2023-06-29 14:21:01,,2007-05-17,336.5,서울특별시 중랑구 면목동 146-72,2000306007501500002,3060000,서울특별시 중랑구 동일로 636 (면목동),,,01,영업/정상,,,02-434-1448
㈜기지에너지,주유소,,208911.485111164,456909.700598556,2026-05-06 22:50:11,I,07,영업개시,2026-03-23 18:06:08,,2001-02-09,1301,서울특별시 중랑구 신내동 345-4,2001306007501500001,3060000,서울특별시 중랑구 용마산로 712 (신내동),02056,,01,영업/정상,,,22079419
OK에너지,일반판매소,,206922.223631069,453960.354949615,2026-05-06 22:50:13,I,01,신규등록,2022-08-31 13:33:24,,2007-07-30,,서울특별시 중랑구 면목동 179-37,2002306007501200005,3060000,서울특별시 중랑구 동일로99길 12 (면목동),,,01,영업/정상,,,02-435-5195
동부석유,일반판매소,,206799.803684961,454577.218987322,2026-05-06 22:50:14,I,01,신규등록,2016-04-07 16:27:03,,2005-11-07,,서울특별시 중랑구 상봉동 129-35,2002306007501200017,3060000,서울특별시 중랑구 중랑천로12길 88 (상봉동),,,01,영업/정상,,,02-492-8229
깨끗한에너지,일반판매소,,206377.995331013,454925.007646142,2026-05-06 22:50:14,I,01,신규등록,2026-02-05 17:54:07,,2007-04-18,,서울특별시 중랑구 중화동 322-1,2002306007501200019,3060000,서울특별시 중랑구 중랑천로20길 20 (중화동),,,01,영업/정상,,,
등대에너지,일반판매소,,207228.607036559,455326.495942439,2026-05-06 22:50:14,I,01,신규등록,2025-05-14 10:25:37,,2006-07-11,,서울특별시 중랑구 중화동 290-28,2002306007501200021,3060000,서울특별시 중랑구 동일로130길 49 (중화동),,,01,영업/정상,,,02-496-1110
대신석유,일반판매소,,206487.403526021,455290.45664139,2026-05-06 22:50:14,I,01,신규등록,2024-05-02 13:09:59,,2002-02-28,,서울특별시 중랑구 중화동 330-60,2002306007501200025,3060000,서울특별시 중랑구 동일로123길 120 (중화동),,,01,영업/정상,,,02-421-3280
