건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,다세대주택,스테이 쿠,,,,186685.703036945,449539.069727158,,외국인관광 도시민박업,2026-05-06 22:32:44,I,13,영업중,,,,23.27,23,6,,,,,2026-02-10 09:06:39,,2026-02-10,,서울특별시 강서구 화곡동 969-5 제이스빌 201호,CDFI2262212026000012,3150000,,"서울특별시 강서구 까치산로18길 7-13, 201호 (화곡동, 제이스빌)",07662,01,영업/정상,,,,,,,,6,,,,
,아파트,해피 하우스,,2023-07-13,,201731.684416461,457219.335594234,,외국인관광 도시민박업,2026-05-06 22:32:03,I,03,폐업,,,,163.53,164,4,,,,,2023-07-13 17:20:27,,2012-08-17,142-731,서울특별시 강북구 미아동 812 삼성래미안트리베라 217동 404호,CDFI2262212012000001,3080000,,서울특별시 강북구 삼양로27길 19 (미아동),,03,폐업,,,아파트지역,,,,,,,,,
,,주니네하우스,,2023-07-07,,201643.531619679,458181.050670034,,외국인관광 도시민박업,2026-05-06 22:32:04,I,03,폐업,,,,,,,,,,,2023-07-07 17:20:53,,2013-03-22,,서울특별시 강북구 미아동 797 래미안미아1차아파트 105동 1402호,CDFI2262212013000001,3080000,,"서울특별시 강북구 삼양로 256, 105동 1402호 (미아동, 래미안미아1차아파트)",01122,03,폐업,,,,,,,,,,,,
,,오하우스,,2017-08-17,,202766.239568615,457007.722197678,,외국인관광 도시민박업,2026-05-06 22:32:04,I,03,폐업,,,,,,,,,,,2017-08-17 15:59:01,,2014-09-11,,서울특별시 강북구 미아동 75-292,CDFI2262212014000001,3080000,,"서울특별시 강북구 도봉로10라길 20-3 (미아동, 라라 하우스)",01216,03,폐업,,,,,,,,,,,,
,,킴즈게스트하우스,,2018-07-12,,201045.611312321,457292.961457264,,외국인관광 도시민박업,2026-05-06 22:32:04,I,03,폐업,,,,,,,,,,,2018-07-12 20:30:37,,2016-10-04,,서울특별시 강북구 미아동 1353 SK북한산시티아파트 102동 2101호,CDFI2262212016000001,3080000,,"서울특별시 강북구 솔샘로 174, 102동 2101호 (미아동, SK북한산시티아파트)",01192,03,폐업,,,,,,,,,,,,
,연립주택,대림빌리지,,2019-06-27,,200829.653323767,461814.805797528,,외국인관광 도시민박업,2026-05-06 22:32:04,I,03,폐업,,,,66.69,67,,,,,,2019-06-27 17:56:54,,2016-07-25,,서울특별시 강북구 우이동 124-17 삼덕연립 가동 2호,CDFI2262212016000002,3080000,일반주거지역,"서울특별시 강북구 삼양로159길 78-1, 가동 2호 (우이동, 삼덕연립)",,03,폐업,,,주택가주변,,,,,,,,,
,아파트,해피 홈스테이,,2013-11-22,,202314.47965444,457821.853133872,,외국인관광 도시민박업,2026-05-06 22:32:10,I,03,폐업,,,,120.95,121,8,,,,,2013-11-25 08:54:45,,2012-07-05,142-814,서울특별시 강북구 미아동 1351,CDFI3261142012000001,3080000,,서울특별시 강북구 도봉로 157 (미아동),,03,폐업,,,,,,,,,,,,
,아파트,케이팝스타하우스,,2014-12-09,15000000,203083.468974539,456988.612676639,,외국인관광 도시민박업,2026-05-06 22:32:10,I,03,폐업,,,,84.67,85,22,,,,,2014-12-10 09:17:52,,2013-06-21,142-751,서울특별시 강북구 미아동 1356 경남아너스빌 107동 804호,CDFI3261142013000002,3080000,일반주거지역,"서울특별시 강북구 오패산로30길 30, 107동 804호 (미아동, 경남아너스빌)",,03,폐업,,,아파트지역,,,,,22,,,,
,,팔도게스트하우스,,2014-11-28,,202607.515359858,459621.534834673,,외국인관광 도시민박업,2026-05-06 22:32:10,I,03,폐업,,,,,,,,,,,2014-11-28 17:09:16,,2014-03-27,142-061,서울특별시 강북구 번동 462-77,CDFI3261142014000001,3080000,,서울특별시 강북구 한천로124나길 54 (번동),,03,폐업,,,,,,,,,,,,
,,토마토민박,,2015-12-28,0,201488.1378418,460641.027270148,,외국인관광 도시민박업,2026-05-06 22:32:10,I,03,폐업,,,,,,,,,,,2015-12-30 09:27:28,,2014-04-09,142-879,서울특별시 강북구 수유동 270-149,CDFI3261142014000002,3080000,,서울특별시 강북구 삼양로138길 66-9 (수유동),01044,03,폐업,,,,,,,,,,,,
,,로뎀하우스,,2021-12-06,,185353.103689632,449408.599329551,,외국인관광 도시민박업,2026-05-06 22:32:24,I,03,폐업,,,,23,23,,2,,,,2021-12-06 18:09:05,,2012-12-07,,서울특별시 강서구 화곡동 1012-2,CDFI2262212012000001,3150000,,서울특별시 강서구 강서로45다길 25 (화곡동),07705,03,폐업,,,,,,,02-2694-6266,,,,,
,,다솜하우스,,2021-12-13,,186306.591389157,451299.052435066,,외국인관광 도시민박업,2026-05-06 22:32:24,I,03,폐업,,,,20.5,21,,1,,,,2021-12-14 09:32:12,,2012-12-24,,서울특별시 강서구 등촌동 691-1 102동 503호,CDFI2262212012000003,3150000,,"서울특별시 강서구 강서로68길 108, 102동 503호 (등촌동, 동성아파트)",07580,03,폐업,,,,,,,02-3664-1658,,,,,
,,Homestay in Seoul,,2019-04-04,,185892.028087723,451052.48686256,,외국인관광 도시민박업,2026-05-06 22:32:24,I,03,폐업,,,,12.6,13,,2,,,,2019-04-04 17:47:51,,2013-01-07,,서울특별시 강서구 등촌동 688 303동 908호,CDFI2262212013000001,3150000,,"서울특별시 강서구 강서로56나길 37, 303동 908호 (등촌동, 등촌3단지주공아파트)",07584,03,폐업,,,,,,,,,,,,
,,해피하우스,,2017-03-01,,187586.039161755,450393.634138416,,외국인관광 도시민박업,2026-05-06 22:32:24,I,03,폐업,,,,4.2,4,,1,,,,2017-03-24 09:53:38,,2013-02-21,,서울특별시 강서구 등촌동 712 201동 1408호,CDFI2262212013000002,3150000,,"서울특별시 강서구 양천로62길 41, 201동 1408호 (등촌동, 코오롱오투빌2차아파트)",07565,03,폐업,,,,,,,02-3664-1078,,,,,
,,파파스테이(PAPA Stay),,2022-10-11,,185586.850377206,452494.516727832,,외국인관광 도시민박업,2026-05-06 22:32:24,I,03,폐업,,,,23,23,,2,,,,2022-10-11 18:18:33,,2014-03-19,,서울특별시 강서구 마곡동 717 101동 1104호,CDFI2262212014000001,3150000,,"서울특별시 강서구 양천로47길 94, 101동 1104호 (마곡동, 마곡금호어울림아파트)",07522,03,폐업,,,,,,,,,,,,
,,하나비하우스(HANABI HOUSE),,2016-12-05,,186429.327795498,452034.27568352,,외국인관광 도시민박업,2026-05-06 22:32:25,I,03,폐업,,,,16.2,16,,1,,,,2016-12-06 16:46:31,,2014-07-09,,서울특별시 강서구 가양동 1461 206동 1309호,CDFI2262212014000002,3150000,,"서울특별시 강서구 허준로 47, 206동 1309호 (가양동, 가양2단지아파트)",07524,03,폐업,,,,,,,070-7753-5412,,,,,
