건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,회수건조기수,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,세탁기수
0,,0,프라자,일반세탁업,2025-12-26,,,,202326.503044305,450625.58422744,2026-05-06 22:36:22,I,02,폐업,,2025-12-26 17:46:54,2003-02-18,15.21,133-070,서울특별시 성동구 행당동 347 대림리빙프라자351호,N,,3030000-205-2003-00062,3030000,"서울특별시 성동구 행당로 87, 351호 (행당동)",04713,1,03,폐업,일반세탁업,02-2294-4600,3,0,3,0,1
,,,한영전자크리닝,일반세탁업,2026-01-22,,,,195296.294478141,450404.74532085,2026-05-06 22:43:54,I,02,폐업,,2026-01-22 17:23:50,1989-04-18,14.60,121-870,서울특별시 마포구 염리동 9-95,N,,3130000-205-1989-01764,3130000,서울특별시 마포구 숭문16길 19 (염리동),04113,,03,폐업,일반세탁업,02-715-6301,,,,,
2,임대,1,삼성,일반세탁업,,,,,202333.493742153,449750.627981772,2026-05-06 22:36:22,I,01,영업,,2020-03-27 15:33:55,2004-08-09,20.00,133-801,서울특별시 성동구 금호동1가 1500-1 금호삼성래미안@상가동201호,N,,3030000-205-2004-00003,3030000,"서울특별시 성동구 독서당로55길 17 (금호동1가,금호삼성래미안@상가동201호)",04718,,01,영업/정상,일반세탁업,02-2297-4545,2,,2,,
3,자가,1,금호세탁소,일반세탁업,,,,,202214.822851418,451012.019920603,2026-05-06 22:36:22,I,01,영업,,2010-03-15 10:26:05,2004-08-16,18.00,133-859,서울특별시 성동구 하왕십리동 1052 금호베스트빌@상가 304호,N,,3030000-205-2004-00004,3030000,"서울특별시 성동구 난계로 114-31 (하왕십리동,금호베스트빌@상가 304호)",04711,0,01,영업/정상,일반세탁업,02-2299-3942,3,0,3,0,0
3,임대,1,세림사,일반세탁업,,,,,203922.289928058,451446.838500516,2026-05-06 22:36:22,I,01,영업,,2020-03-27 15:35:53,2004-09-01,36.00,133-816,서울특별시 성동구 마장동 784 세림@상가205호,N,,3030000-205-2004-00006,3030000,"서울특별시 성동구 마장로42길 14, 상가 205호 (마장동)",04757,,01,영업/정상,일반세탁업,02-2294-4266,2,,2,,
1,,0,무지개세탁소,일반세탁업,,,,,202326.503044305,450625.58422744,2026-05-06 22:36:21,I,01,영업,,2010-03-15 10:58:44,2005-05-12,33.07,133-070,서울특별시 성동구 행당동 347 백합상가 80동 102호,N,,3030000-205-2005-00002,3030000,,,0,01,영업/정상,일반세탁업,02-2296-5002,0,0,0,0,3
,,,오렌지크리닝,일반세탁업,,,,,202734.997323217,449705.116696286,2026-05-06 22:36:43,I,01,영업,,2020-06-15 15:41:17,2005-05-27,68.76,133-852,서울특별시 성동구 응봉동 193-111,N,,3030000-205-2005-00004,3030000,"서울특별시 성동구 독서당로62길 10, 1층 (응봉동)",04742,,01,영업/정상,일반세탁업,02-2296-4888,1,,1,,
,,,이화세탁,일반세탁업,,,,,203513.445323742,451068.126669867,2026-05-06 22:36:22,I,01,영업,,2005-06-09 00:00:00,2005-06-09,37.26,133-871,서울특별시 성동구 행당동 1-76,N,,3030000-205-2005-00005,3030000,서울특별시 성동구 마조로11길 8 (행당동),04759,,01,영업/정상,일반세탁업,,1,,1,,
,,,월풀빨래방,일반세탁업,,,,,201814.441162898,449912.705589854,2026-05-06 22:36:22,I,01,영업,,2012-06-21 15:56:11,2005-06-14,25.60,133-807,서울특별시 성동구 금호동3가 1117,N,,3030000-205-2005-00006,3030000,서울특별시 성동구 무수막길 61 (금호동3가),04726,,01,영업/정상,일반세탁업,02-2252-1790,1,,1,,
0,,0,재영사,일반세탁업,,,,,204649.382346418,451418.498928016,2026-05-06 22:36:22,I,01,영업,,2014-07-09 10:44:33,2005-07-14,19.80,133-848,서울특별시 성동구 용답동 65-2,N,,3030000-205-2005-00007,3030000,서울특별시 성동구 용답29길 30-1 (용답동),04804,0,01,영업/정상,일반세탁업,02-2242-0162,0,0,0,0,3
