영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,올라이프,,169193.944923557,436339.186822672,2026-05-06 22:47:38,I,01,영업,0,,,,,,,,,2025-07-05 06:31:44,2022-12-28,3.63,406-838,인천광역시 연수구 옥련동 ***-** *층 일부,N,,3520000-134-2022-00421,,3520000,"인천광역시 연수구 비류대로 ***, *층 일부호 (옥련동)",21948,01,영업/정상,전자상거래(통신판매업),,,,
,임대,(주)대화씨앤에프,2014-11-14,183166.343309141,450992.871859483,2026-05-06 22:40:10,I,02,폐업,0,,,,,,,,,2012-10-30 10:03:23,2012-10-30,113.00,157-812,서울특별시 강서구 공항동 **-** *층,N,,3150000-134-2012-00151,,3150000,"서울특별시 강서구 공항대로 **, *층 (공항동)",07623,03,폐업,영업장판매,26663715,,,
,자가,석천씨엔씨,,207246.096928791,422771.097786712,2026-05-06 22:05:52,I,01,영업,0,,,,,,,,,2022-09-05 09:57:12,2022-09-05,.00,448-130,경기도 용인시 수지구 상현동 *** 상현마을수지센트럴아이파크,N,,5640000-134-2022-00236,,4050000,"경기도 용인시 수지구 상현로 ***, ***동 ****호 (상현동, 상현마을수지센트럴아이파크)",16937,01,영업/정상,전자상거래(통신판매업),,,,상수도전용
,자가,CU수지진산점,,208126.364010081,423423.745279468,2026-05-06 22:05:57,I,01,영업,0,0,0,0,,,,0,,2025-07-10 14:08:29,2025-07-09,3.30,448-130,경기도 용인시 수지구 상현동 ** 성원상떼빌아파트 상가*동,N,,5640000-134-2025-00120,,4050000,"경기도 용인시 수지구 진산로 **, 성원상떼빌아파트 상가*동 지하*층 B**호, B**호 일부호 (상현동)",16925,01,영업/정상,영업장판매,,,,
,임대,매젤박,2024-08-12,186675.363440158,448763.774649129,2026-05-06 22:44:39,I,02,폐업,0,,,,,,,,,2024-08-12 09:30:55,2023-03-13,.00,157-867,서울특별시 강서구 화곡동 **-** ***호,N,,3150000-134-2023-00151,,3150000,"서울특별시 강서구 초록마을로**길 **, ***호 (화곡동)",07723,03,폐업,전자상거래(통신판매업),,,,
,,이마트24죽전월드점,2023-12-04,209913.925191344,424953.517472536,2026-05-06 22:05:47,I,02,폐업,0,,,,,,,,,2023-12-04 09:42:47,2020-06-29,,448-160,경기도 용인시 수지구 죽전동 **** 죽전역 월드메르디앙,N,,5640000-134-2020-00090,,4050000,"경기도 용인시 수지구 달맞이로 **, ***동 ***호 (죽전동, 죽전역 월드메르디앙)",16873,03,폐업,영업장판매,070-7797-8263,,,
,임대,탑마취통증의학과의원,2017-12-15,183306.538535393,452402.238297341,2026-05-06 22:39:30,I,02,폐업,0,0,0,0,,,,0,,2017-12-15 16:31:04,2011-11-11,3.00,157-849,서울특별시 강서구 방화동 ***-** *층 ***-*호,N,,3150000-134-2011-00185,,3150000,"서울특별시 강서구 양천로 **, *층 ***-*호 (방화동)",07517,03,폐업,영업장판매,26649955,,,
,,애터미,,222082.104047172,425613.083993291,2026-05-06 22:02:43,I,01,영업,0,,,,,,,,,2016-11-25 16:06:15,2016-11-25,,,경기도 용인시 처인구 모현읍 왕산리 ***-* 풍산아파트 ***-****,N,,5620000-134-2016-00029,,4050000,"경기도 용인시 처인구 모현읍 백옥대로****번길 **-*, ***동 ****층 (풍산아파트)",17035,01,영업/정상,전자상거래(통신판매업),,,,
,,늘푸른건기식,2018-10-23,183202.62839305,450982.777655724,2026-05-06 22:38:49,I,02,폐업,0,,,,,,,,,2018-11-08 11:16:59,2007-09-10,,157-812,서울특별시 강서구 공항동 **-* (*층 늘푸른한의원내),N,,3150000-134-2007-00096,,3150000,"서울특별시 강서구 공항대로 ** (공항동,(*층 늘푸른한의원내))",07623,03,폐업,영업장판매,02-2664-1075,,,
,,KGC 판매(주)강서서부지사,2018-04-04,183159.244420769,451443.043338718,2026-05-06 22:38:45,I,02,폐업,0,,,,,,,,,2018-04-04 15:59:34,2006-05-01,,157-853,서울특별시 강서구 방화동 ***-***,N,,3150000-134-2006-00044,,3150000,서울특별시 강서구 방화동로*길 ** (방화동),07621,03,폐업,영업장판매,02-2663-2258,,,
