사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,점포구분명,휴업시작일자,휴업종료일자,소재지전화번호
신동아쇼핑센터,복합쇼핑몰,2025-12-30,198622.89264988,446114.155238838,2026-05-06 22:48:29,I,3,폐업처리,2026-01-16 15:06:57,,1985-11-12,7470.17,,서울특별시 용산구 용산동6가 69-167 신동아쇼핑,2010302009507500001,3020000,"서울특별시 용산구 이촌로 352, 신동아쇼핑 (용산동6가)",04428,,03,폐업,대규모점포,,,02-709-7501
신동아쇼핑센터,쇼핑센터,2025-12-30,198622.89264988,446114.155238838,2026-05-06 22:48:30,I,3,폐업처리,2025-12-30 16:13:51,,2025-02-20,7470.17,,서울특별시 용산구 용산동6가 69-167 신동아쇼핑,2025302020307500001,3020000,"서울특별시 용산구 이촌로 352, 신동아쇼핑 (용산동6가)",04428,,03,폐업,대규모점포,,,02-709-7215
종로세운상가,그 밖의 대규모점포,,,,2026-05-06 22:48:23,I,2,휴업처리,2007-07-21 10:27:56,,1971-09-06,6194,,서울특별시 종로구 종로3가 175번지 4호,1971300007607500003,3000000,,,,02,휴업,,,,02-2278-5356
숭인제일아케이트,그 밖의 대규모점포,,,,2026-05-06 22:48:23,I,2,휴업처리,2007-07-21 10:27:56,,1987-12-07,,,서울특별시 종로구 창신동 766호,1987000007607500005,3000000,,,,02,휴업,,,,031-339-5465
동대문종합시장,그 밖의 대규모점포,,200717.7490316,452011.865092338,2026-05-06 22:48:24,I,1,정상영업,2026-01-06 13:54:03,,1991-07-31,55081.94,110-784,서울특별시 종로구 종로6가 289번지 3 호,1991300007607500001,3000000,서울특별시 종로구 종로 266 (종로6가),,,01,영업/정상,대규모점포,,,02-2262-0209
동대문종합시장 신관,복합쇼핑몰,,200647.01325068,452054.764927519,2026-05-06 22:48:25,I,1,정상영업,2026-01-05 13:50:49,,2003-10-20,4612.66,110-126,서울특별시 종로구 종로6가 289번지 57호,2003300007607500003,3000000,서울특별시 종로구 종로 272 (종로6가),,,01,영업/정상,대규모점포,,,02-2277-0114
광장주식회사,시장,,199837.41426735,451974.128468485,2026-05-06 22:48:25,I,1,정상영업,2007-08-01 17:39:46,,2003-03-04,16128.75,110-833,서울특별시 종로구 예지동 6번지 1호,2003300012907500001,3000000,,,,01,영업/정상,,,,22670291
종로1번지아케이트,전문점,,197993.904628438,452032.958591394,2026-05-06 22:48:26,I,1,정상영업,2025-04-21 17:34:19,,2004-04-30,4674.66,110-714,서울특별시 종로구 종로1가 1번지,2004300007607500002,3000000,서울특별시 종로구 종로 1 (종로1가),,,01,영업/정상,대규모점포,,,02-397-3445
영풍문고,대형마트,,198351.818737482,451921.60302604,2026-05-06 22:48:27,I,1,정상영업,2007-07-21 10:27:56,,2004-04-30,,,서울특별시 종로구 서린동 33호,2004300007607500003,3000000,,,,01,영업/정상,,,,02-399-5591
동대문신발도매상가,그 밖의 대규모점포,,,,2026-05-06 22:48:27,I,1,정상영업,2007-07-21 10:27:56,,2004-06-30,,,서울특별시 종로구 창신동 436번지 79  호,2004300007607500017,3000000,,,,01,영업/정상,,,,02-3676-0177
동대문종합시장D동상가,그 밖의 대규모점포,,200579.409754868,452035.347658612,2026-05-06 22:48:27,I,1,정상영업,2025-09-03 09:58:23,,2004-12-10,11750,,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,2004300007607500018,3000000,"서울특별시 종로구 종로 266, 동대문종합시장D동상가  동 (종로6가)",03198,,01,영업/정상,대규모점포,,,02-2279-8751
(주)영풍문고,전문점,,198351.818737482,451921.60302604,2026-05-06 22:48:27,I,1,정상영업,2022-04-25 14:14:33,,1992-07-04,6906.53,110-752,서울특별시 종로구 서린동 33번지 영풍빌딩,2004300012907500001,3000000,서울특별시 종로구 청계천로 41 (서린동),,,01,영업/정상,대규모점포,,,02-519-2800
종로세운상가,그 밖의 대규모점포,,,,2026-05-06 22:48:28,I,2,휴업처리,2007-07-21 10:27:56,,2005-02-18,6638,,서울특별시 종로구 종로3가 175번지 4호,2005300007607500002,3000000,,,,02,휴업,,,,22785356
효성주얼리시티,그 밖의 대규모점포,,199812.609633255,452132.648343993,2026-05-06 22:48:28,I,1,정상영업,2021-05-02 13:31:32,,2007-07-04,9370.53,,서울특별시 종로구 인의동 48번지 2호,2007300010107500001,3000000,"서울특별시 종로구 종로 183 (인의동, 효성주얼리시티)",03130,,01,영업/정상,대규모점포,,,02-743-5390
브라운스톤 창신상가,그 밖의 대규모점포,,201258.062657124,452787.132831042,2026-05-06 22:48:28,I,1,정상영업,2019-01-31 14:46:28,,2007-09-07,3393.77,,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,2007300012907500001,3000000,"서울특별시 종로구 지봉로 81 (창신동, 브라운스톤 창신)",03095,,01,영업/정상,준대규모점포,,,
세운스퀘어,그 밖의 대규모점포,,199670.979884558,452221.775006084,2026-05-06 22:48:29,I,1,정상영업,2024-10-14 10:32:03,,2010-02-18,8390.2,110-410,서울특별시 종로구 인의동 112번지 2호,2010300012907500001,3000000,서울특별시 종로구 창경궁로 109 (인의동),,,01,영업/정상,대규모점포,,,34130276
홈플러스(주)익스프레스 숭인점,구분없음,,201359.53353905,452395.659064842,2026-05-06 22:48:29,I,1,정상영업,2024-04-01 18:07:37,,2011-08-16,273.3,110-876,서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,2011300012907500001,3000000,서울특별시 종로구 종로 347 (숭인동),,,01,영업/정상,준대규모점포,,,02-743-8546
홈플러스(주)익스프레스 광화문점,복합쇼핑몰,,197700.034013631,452022.503467072,2026-05-06 22:48:29,I,1,정상영업,2024-04-01 18:06:58,,2011-12-20,432.9,110-061,서울특별시 종로구 신문로1가 24번지  고려빌딩 1층,2011300012907500003,3000000,"서울특별시  새문안로 91, 1층 (고려빌딩)",,,01,영업/정상,준대규모점포,,,02-737-9994
광장시장,복합쇼핑몰,,199837.41426735,451974.128468485,2026-05-06 22:48:29,I,1,정상영업,2020-10-04 14:50:40,,1955-07-05,16128.75,110-440,서울특별시 종로구 예지동 6번지 1호,2012300012907500001,3000000,서울특별시 종로구 창경궁로 88 (예지동),,,01,영업/정상,대규모점포,,,22670291
동문시장,시장,,200936.42910264,452017.94363587,2026-05-06 22:48:29,I,1,정상영업,2021-02-03 07:59:28,,1987-10-30,3660,,,2014300016907500001,3000000,서울특별시 종로구 종로44길 14 (창신동),,,01,영업/정상,대규모점포,,,02-764-4766
낙원상가,그 밖의 대규모점포,,198838.912965902,452214.210961577,2026-05-06 22:48:29,I,1,정상영업,2019-09-25 15:06:02,,2019-09-17,25198.02,,서울특별시 종로구 낙원동 288번지 낙원상가,2019300020207500001,3000000,"서울특별시 종로구 삼일대로 428, 낙원상가 506호 (낙원동)",03140,,01,영업/정상,대규모점포,,,02-430-4200
낙원상가,그 밖의 대규모점포,,198838.912965902,452214.210961577,2026-05-06 22:48:29,I,1,정상영업,2019-09-25 15:05:06,,2019-09-17,25198.02,,서울특별시 종로구 낙원동 288번지 낙원상가,2019300020207500002,3000000,"서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)",03140,,01,영업/정상,대규모점포,,,02-743-6133
신설종합시장,시장,,201727.670840565,452264.420237876,2026-05-06 22:48:29,I,1,정상영업,2020-07-22 14:14:39,,1971-03-25,1313,,서울특별시 종로구 숭인동 206-9 신설종합시장 숭인동,2020300020207500001,3000000,"서울특별시 종로구 난계로27길 51, 신설종합시장 숭인동 (숭인동)",03117,1971-03-25,01,영업/정상,대규모점포,,,
신설종합시장(주),그 밖의 대규모점포,,201727.670840565,452264.420237876,2026-05-06 22:48:29,I,1,정상영업,2021-02-03 08:15:07,,1987-10-30,1313,,서울특별시 종로구 숭인동 206-9 신설종합시장,2021300020207500001,3000000,"서울특별시 종로구 난계로27길 51, 신설종합시장 (숭인동)",03117,,01,영업/정상,대규모점포,,,22347151
GS THE FRESH 무악현대점,구분없음,,196467.975088253,452566.134030104,2026-05-06 22:48:30,I,1,정상영업,2025-04-25 11:24:51,,2022-06-28,297,,서울특별시 종로구 무악동 82 무악현대아파트,2022300020207500001,3000000,"서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)",03025,,01,영업/정상,준대규모점포,,,02-2006-2678
국제센터아케이드,그 밖의 대규모점포,,197646.514005514,447909.070650149,2026-05-06 22:48:23,I,1,정상영업,2007-07-21 10:15:07,,1985-07-01,,,서울특별시 용산구 한강로1가 191호,1985302007407500008,3020000,,,,01,영업/정상,,,,
(주)전자타운,그 밖의 대규모점포,,196775.639878418,447984.6345458,2026-05-06 22:48:24,I,1,정상영업,2007-07-21 10:15:07,,1993-04-13,,,서울특별시 용산구 한강로2가 413호,1993302007407500001,3020000,서울특별시 용산구 청파로 113-12 (한강로2가),,,01,영업/정상,,,,02-703-7091
LS Avenue,그 밖의 대규모점포,,197099.381481836,447328.548832245,2026-05-06 22:48:26,I,1,정상영업,2012-10-15 09:45:52,,2004-12-22,6876.34,,서울특별시 용산구 한강로2가 191호,2004302007407500002,3020000,서울특별시 용산구 한강대로 92 (한강로2가),,,01,영업/정상,대규모점포,,,02-799-7114
전자타운,전문점,,196775.639878418,447984.6345458,2026-05-06 22:48:27,I,1,정상영업,2025-08-12 13:17:30,,1993-04-13,10634.18,,서울특별시 용산구 한강로2가 413호,2005302007407500001,3020000,서울특별시 용산구 청파로 113-12 (한강로2가),,,01,영업/정상,대규모점포,,,02-703-7091
이태원시장,시장,,199051.158829761,447953.601666521,2026-05-06 22:48:27,I,1,정상영업,2012-03-30 14:02:23,,1960-02-17,574,,서울특별시 용산구 이태원동 56번지 9호,2006302007407500001,3020000,서울특별시 용산구 이태원로14길 6 (이태원동),,,01,영업/정상,대규모점포,,,02-794-5682
선인상가,전문점,,196839.641743356,447863.232025192,2026-05-06 22:48:27,I,1,정상영업,2022-10-07 14:43:20,,1987-11-26,37901.41,,서울특별시 용산구 한강로2가 15번지 14호,2006302007407500002,3020000,"서울특별시 용산구 새창로 181 (한강로2가, 선인상가)",04371,,01,영업/정상,대규모점포,,,02-718-7113
아이파크(I PARK)백화점,백화점,,196762.077394917,447480.039577359,2026-05-06 22:48:28,I,1,정상영업,2026-04-16 15:25:27,,2006-08-25,17898.53,,서울특별시 용산구 한강로3가 40번지 999호,2006302007407500004,3020000,서울특별시 용산구 한강대로23길 55 (한강로3가),,,01,영업/정상,대규모점포,,,02-2012-0101
만리시장,시장,,196716.165873094,449892.557718372,2026-05-06 22:48:28,I,1,정상영업,2012-03-13 13:09:01,,1968-11-09,1209.2,140-140,서울특별시 용산구 서계동 260번지 1호,2008302009507500001,3020000,서울특별시 용산구 효창원로 270 (서계동),,,01,영업/정상,대규모점포,,,02-714-0151
해밀톤 쇼핑몰,쇼핑센터,,199363.595799729,448050.926289223,2026-05-06 22:48:28,I,1,정상영업,2018-09-28 14:56:53,,1987-02-13,4845.26,140-200,서울특별시 용산구 이태원동 119번지 25호,2008302009507500002,3020000,서울특별시 용산구 이태원로 179 (이태원동),,,01,영업/정상,대규모점포,,,02-3786-6352
(주)에스와이에스홀딩스,전문점,,196370.746398773,447841.698787531,2026-05-06 22:48:28,I,1,정상영업,2014-10-24 10:25:20,,1987-10-31,62555.57,140-013,서울특별시 용산구 한강로3가 16번지 9호,2008302009507500003,3020000,서울특별시 용산구 청파로 74 (한강로3가),,,01,영업/정상,대규모점포,,,02-707-4628
나진산업 주식회사,전문점,,196697.031086973,447931.108267379,2026-05-06 22:48:28,I,1,정상영업,2022-04-13 10:19:40,,1987-11-10,11669.19,,서울특별시 용산구 한강로3가 1번지 1호 나진상가,2008302009507500004,3020000,"서울특별시 용산구 청파로 109, 나진상가 (한강로3가)",04370,,01,영업/정상,대규모점포,,,02-704-3013
원효전자상가,전문점,,196385.232032928,447938.19246116,2026-05-06 22:48:29,I,1,정상영업,2013-03-21 09:39:21,,1988-06-23,8382.6,140-113,서울특별시 용산구 원효로3가 51번지 30호,2008302009507500005,3020000,서울특별시 용산구 청파로 77 (원효로3가),,,01,영업/정상,대규모점포,,,02-702-3411
신동아 쇼핑센터,쇼핑센터,,198622.89264988,446114.155238838,2026-05-06 22:48:29,I,1,정상영업,2008-04-29 21:27:56,,1985-11-12,3327.67,140-026,서울특별시 용산구 용산동6가 69번지 167호,2008302009507500006,3020000,서울특별시 용산구 이촌로 352 (용산동6가),,,01,영업/정상,,,,02-795-7501
롯데슈퍼 한남점(가맹점),구분없음,,200431.145594386,447763.414163072,2026-05-06 22:48:29,I,1,정상영업,2019-03-19 14:40:19,,2012-03-23,181.89,,서울특별시 용산구 한남동 631번지 5호 허준빌딩,2012302009507500003,3020000,"서울특별시 용산구 대사관로34길 26, 허준빌딩 1층 (한남동)",04402,,01,영업/정상,준대규모점포,,,02-793-9633
롯데프레시 갈월점,구분없음,,197443.881826007,448884.957554763,2026-05-06 22:48:29,I,1,정상영업,2022-09-21 09:08:42,,2014-07-31,121.7,140-160,서울특별시 용산구 남영동 93번지 30호,2014302009507500001,3020000,서울특별시 한강대로77길 12,,,01,영업/정상,준대규모점포,,,02-713-5602
롯데쇼핑(주)롯데슈퍼원효로점,복합쇼핑몰,,197045.849468346,448447.558967085,2026-05-06 22:48:29,I,1,정상영업,2026-04-22 18:13:30,,2014-07-31,643.3,,서울특별시 용산구 원효로1가 133-3 리첸시아 용산,2014302009507500002,3020000,"서울특별시 용산구 백범로 341 (원효로1가, 리첸시아 용산)",04315,,01,영업/정상,준대규모점포,,,
(주)서부티엔디,전문점,,196605.511573689,447841.270074498,2026-05-06 22:48:29,I,1,정상영업,2020-08-13 09:12:59,,2020-08-13,8500.52,,서울특별시 용산구 한강로3가 2-8,2020302015007500001,3020000,"서울특별시 용산구 청파로 100, 12동 2층 (한강로3가)",04372,,01,영업/정상,대규모점포,,,02-2689-0035
