건축연면적,건물용도명,사업장명,사업자등록번호,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,기획여행보험시작일자,기획여행보험종료일자,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,노베라 인터네셔널,,,,50000000,,,,종합여행업,2026-05-06 22:34:39,I,13,영업중,General travel business,Novera International,,,,,,2026-02-23,2027-02-22,한국여행업협회,2026-02-24 17:54:34,,2026-02-10,,서울특별시 동대문구 용두동 797 청량리역 해링턴플레이스,CDFI2260042026000003,3050000,,,,"서울특별시 동대문구 고산자로34길 70, 청량리역 해링턴플레이스 B동 630호 (용두동)",02560,01,영업/정상,,,,,,,,,,,,
,,주식회사 코리아트래블스토어2,,,,50000000,192883.820838805,447484.878116314,,종합여행업,2026-05-06 22:36:45,I,13,영업중,,,,,,,,2025-07-03,2026-07-02,서울보증보험,2026-03-26 15:44:10,,2024-06-28,,서울특별시 영등포구 여의도동 14-8 극동브이아이피빌딩,CDFI2260042026000011,3180000,,,,"서울특별시 영등포구 국회대로70길 15-1, 극동브이아이피빌딩 1111-2호 (여의도동)",07238,01,영업/정상,,,,,,,,,,,,
,근린생활시설,(주)트래블메카,,,,100000000,192045.145444595,446998.470153147,,종합여행업,2026-05-06 22:36:45,I,13,영업중,General Travel Business,"Travel Mecca Co., Ltd.",,66.11,66,,,2025-06-21,2026-06-21,관광공제회(5천만원),2026-03-03 11:47:30,,2017-02-16,,서울특별시 영등포구 영등포동7가 94-64 영등포 리버텔,CDFI2260042026000012,3180000,,,,"서울특별시 영등포구 버드나루로12길 8, 영등포 리버텔 403호 (영등포동7가)",07248,01,영업/정상,,,,,,,02-337-2337,,,,,
,,스카이원 주식회사,,,,,176607.326609066,448516.12033842,,종합여행업,2026-05-06 22:40:45,I,13,영업중,,,,,,,,,,,2026-03-03 10:50:17,,2026-03-03,,인천광역시 계양구 계산동 1062 하이베라스,CDFI2260042026000002,3550000,,,,"인천광역시 계양구 계산새로 71, 하이베라스 D동 603호 (계산동)",21060,01,영업/정상,,,,,,,,,,,,
,,피플발란스 주식회사 트레힐 서울지점,,,,300000000,191141.226204825,447891.210285041,,종합여행업,2026-05-06 22:36:45,I,13,영업중,,,,,,,,2026-03-18,2027-03-18,한국관광협회중앙회 관광공제회,2026-03-19 17:21:24,,2026-03-16,,서울특별시 영등포구 당산동5가 9-2 당산 삼성쉐르빌,CDFI2260042026000015,3180000,2026-03-18,2027-03-18,,"서울특별시 영등포구 당산로45길 1, 당산 삼성쉐르빌 420호 (당산동5가)",07213,01,영업/정상,,,,,,,02-565-8454,,,,,
,,주식회사 투어블리플러스,,,,100000000,206445.881091692,448922.881688102,,종합여행업,2026-05-06 22:33:46,I,13,영업중,,,,,,,,2026-03-10,2027-03-09,서울보증보험,2026-03-12 16:23:22,,2026-03-10,,서울특별시 광진구 화양동 1 건국대학교,CDFI2260042026000008,3040000,,,,"서울특별시 광진구 능동로 120, 건국대학교 학생회관 2층 212호 (화양동)",05029,01,영업/정상,,,,,,,02-3213-2864,,,,,
,,주식회사 메인콘텐츠,,,,100000000,192753.630818112,444219.184867426,,종합여행업,2026-05-06 22:36:45,I,13,영업중,,,,,,,,2026-03-11,2027-03-10,서울보증보험,2026-03-23 10:16:23,,2026-03-10,,서울특별시 영등포구 신길동 508 시원빌딩,CDFI2260042026000014,3180000,,,,"서울특별시 영등포구 신풍로 113, 시원빌딩 301호, 302호 (신길동)",07392,01,영업/정상,,,,,,,02-6409-0050,,,,,
,,(주)밸류투어,,,,350000000,191794.760645412,446271.172709025,,종합여행업,2026-05-06 22:36:45,I,13,영업중,General Travel Business,"VALUE TOUR co., Ltd.",,,,,,2025-08-29,2026-08-28,"서울보증보험(50,000,000원)",2026-04-02 11:30:22,,2000-10-06,,서울특별시 영등포구 영등포동3가 15-9,CDFI2260042026000017,3180000,,,,"서울특별시 영등포구 영등포로46길 7-3, 6층 19호 (영등포동3가)",07304,01,영업/정상,,,,,,,02-556-6665,,,,,
,,주식회사 코리아트래블스토어,,,,50000000,192883.820838805,447484.878116314,,종합여행업,2026-05-06 22:36:45,I,13,영업중,GENERAL TRAVEL BUSINESS,"KoreaTravelStore Co., Ltd",,72.73,73,,,2025-07-25,2026-07-24,서울보증보험,2026-03-26 15:49:37,,2023-07-20,,서울특별시 영등포구 여의도동 14-8 극동브이아이피빌딩,CDFI2260042026000018,3180000,,,,"서울특별시 영등포구 국회대로70길 15-1, 극동브이아이피빌딩 1111호 (여의도동)",07238,01,영업/정상,,,,,,,,,,,,
,,진성항공여행사(주),,,2021-04-12,,207441.9451939,449992.657797237,,종합여행업,2026-05-06 22:33:14,I,03,폐업,,,,,,,,2020-02-28,2021-02-28,여행공제회(6천5백만원),2021-04-13 09:00:24,,1991-04-26,,서울특별시 광진구 능동 251-10 1층,CDFI2260042017000008,3040000,,,,"서울특별시 광진구 능동로32길 130-31, 1층 (능동)",04988,03,폐업,,,,,,,02-755-0036,,,,,
,,투바이투코리아,,,2019-06-28,200000000,206980.970820474,450680.671703358,,종합여행업,2026-05-06 22:33:15,I,03,폐업,,,,,,,,2018-06-01,2019-05-31,서울보증보험(주)(오천만원),2019-06-28 17:36:36,,2011-03-08,,서울특별시 광진구 중곡동 648-18 우주문고,CDFI2260042017000011,3040000,,,,"서울특별시 광진구 능동로39길 3, 1층 (중곡동)",04919,03,폐업,,,,,,,070-4699-0558,,,,,
,,(주)매직카펫투어,,,2018-10-11,100000000,208394.416382167,448165.279999905,,종합여행업,2026-05-06 22:33:21,I,03,폐업,,,,,,,,2017-10-11,2018-10-10,서울보증보험(5천만),2018-10-11 16:52:20,,2017-09-26,,서울특별시 광진구 구의동 546-4 테크노-마트21 14층 9-13호,CDFI2260042018000006,3040000,,,,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 14층 9-13호 (구의동)",05116,03,폐업,,,,,,,,,,,,
,,행복한세상 진투어,,,2019-10-29,100000000,208004.282144849,448440.329980219,,종합여행업,2026-05-06 22:33:22,I,03,폐업,,,,,,,,2018-09-01,2019-08-31,서울보증보험(주),2019-10-28 17:44:38,,2018-07-23,,서울특별시 광진구 구의동 245-26 전경빌딩 201호,CDFI2260042018000011,3040000,,,,"서울특별시 광진구 아차산로 438, 201호 (구의동)",05047,03,폐업,,,,,,,02-3425-3800,,,,,
,,프리가트,,,2025-10-31,100003321,207342.766106556,448444.754635481,,종합여행업,2026-05-06 22:33:22,I,03,폐업,,,,,,,,2024-05-03,2025-05-02,서울보증보험,2025-11-11 14:09:30,,2018-08-20,,서울특별시 광진구 구의동 252-16 웰츠타워 821호,CDFI2260042018000012,3040000,,,,"서울특별시 광진구 자양로 116, 821호 (구의동, 웰츠타워)",05043,03,폐업,,,,,,,,,,,,
,사무실,트랄랄라 투어,,,2023-04-04,100160071,206961.612379341,450659.222622896,,종합여행업,2026-05-06 22:33:23,I,03,폐업,,,,43,43,,,2020-06-01,2021-05-31,서울보증보험(주),2023-04-04 17:52:12,,2019-03-18,,서울특별시 광진구 중곡동 648-14,CDFI2260042019000002,3040000,,,,"서울특별시 광진구 능동로37길 6, 3층 302호 (중곡동)",04919,03,폐업,,,,,,,,,,,,
,,비마이컨시어지(주),,,2023-11-23,250000000,207202.136637434,448365.660089296,,종합여행업,2026-05-06 22:33:24,I,03,폐업,,,,,,,,2022-04-02,2023-04-01,서울보증보험,2023-11-24 09:38:03,,2019-03-21,,서울특별시 광진구 자양동 779 타워더모스트광진아크로텔,CDFI2260042019000003,3040000,,,,"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 3층 305호 (자양동)",05026,03,폐업,,,,,,,070-4455-5567,,,,,
,,빅팜컴퍼니(주),,,2021-01-05,100000000,207428.020928635,448255.352027526,,종합여행업,2026-05-06 22:33:24,I,03,폐업,GENERAL TRAVEL BUSINESS,Bigfarmcompany,,,,,,2019-08-20,2020-08-20,한국관광협회(6천5백만원),2021-01-07 13:28:33,,2017-06-26,,서울특별시 광진구 자양동 216-10 한승빌딩 300-2호,CDFI2260042019000004,3040000,,,,"서울특별시 광진구 아차산로 378, 한승빌딩 3층 300-2호 (자양동)",05051,03,폐업,,,,,,,02-446-5034,,,,,
,,(주)지극히주관적인여행,,,2023-03-10,200000000,206145.905666667,449714.432666667,,종합여행업,2026-05-06 22:33:30,I,03,폐업,,,,,,,,2019-10-07,2020-10-06,서울보증보험,2023-03-10 17:45:42,,2016-02-22,,서울특별시 광진구 군자동 346-20,CDFI2260042019000010,3040000,,,,"서울특별시 광진구 동일로34길 31, 201호 (군자동)",05002,03,폐업,,,,,,,070-4603-0521,,,,,
,,주식회사 다모아코리아,,,2025-11-27,500000000,206203.947508117,448882.923788569,,종합여행업,2026-05-06 22:33:30,I,03,폐업,GENERAL TRAVEL BUSINESS,"Damoa-Korea., LTD",,,,,,2020-03-03,2021-03-02,서울보증보험,2025-11-27 17:08:05,,2020-02-25,,서울특별시 광진구 화양동 5-16,CDFI2260042020000001,3040000,,,,"서울특별시 광진구 능동로11길 8-5, 폴라리스 빌딩 6층 601호 (화양동)",05017,03,폐업,,,,,,,,,,,,
,,티에스엠 주식회사,,,2024-12-23,400000000,207570.89284085,451909.907837739,,종합여행업,2026-05-06 22:33:33,I,03,폐업,,,,,,,,2023-03-22,2024-03-21,서울보증보험,2024-12-24 09:13:18,,2020-03-22,,서울특별시 광진구 중곡동 289-13,CDFI2260042020000004,3040000,,,,"서울특별시 광진구 용마산로32길 5, 티에스엠 주식회사 (중곡동)",04938,03,폐업,,,,,,,02-455-3700,,,,,
,,유브렌디,,,2023-05-16,105000000,206481.485527114,450382.575982829,,종합여행업,2026-05-06 22:33:34,I,03,폐업,,,,,,,,2020-09-30,2021-09-30,한국관광협회(5천만원),2023-05-16 11:37:55,,2019-08-20,,서울특별시 광진구 군자동 157-6,CDFI2260042020000006,3040000,,,,"서울특별시 광진구 동일로56길 37, 1층 102호 (군자동)",04995,03,폐업,,,,,,,,,,,,
