사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업내용,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사앤드위,2010-12-09,205753.250469411,449482.033814702,2026-05-06 22:34:01,I,20,정상,2021-05-25 17:56:54,2008-06-17,서울특별시 성동구 성수동*가 ***-** 일신건영휴먼테코 ****호,2019303014108500009,3030000,"서울특별시 성동구 아차산로**길 **, 일신건영휴먼테코 ****호 (성수동*가)",04799,,옥외광고물제작,01,영업/정상,,,02-455-9797
다온비전,2020-10-22,205302.662132782,448519.612309703,2026-05-06 22:34:02,I,20,정상,2021-01-14 13:07:27,2020-10-05,서울특별시 성동구 성수동*가 ***-* 와이낫빌딩,2020303014108500008,3030000,"서울특별시 성동구 뚝섬로**길 **-*, 와이낫빌딩 *층 (성수동*가)",04786,,옥외광고업,01,영업/정상,,,
주식회사 윙크컴퍼니,2026-01-19,204227.393920538,448904.137360203,2026-05-06 22:34:04,I,40,폐업,2026-01-19 14:26:50,2024-03-27,서울특별시 성동구 성수동*가 ***-** UHAN TOWER(유한타워),2024303014108500002,3030000,"서울특별시 성동구 성수일로 **, UHAN TOWER(유한타워) *층 (성수동*가)",04779,,"옥외광고물 제작, 설치, 광고대행",03,폐업,2025-12-17,2026-06-16,
빅포유,2009-08-21,204236.421127304,448365.810628974,2026-05-06 22:33:58,I,20,정상,2021-01-14 13:02:33,2009-07-01,서울특별시 성동구 성수동*가 ***-* 삼성실업 ***호,2010303011508500016,3030000,"서울특별시 성동구 둘레*길 *, 삼성실업 ***호 (성수동*가)",04774,,"옥외광고물 제작 (현수막,배너)",01,영업/정상,,,02-6080-4915
통디자인,2018-01-12,204343.052002866,449327.04562486,2026-05-06 22:33:59,I,20,정상,2025-05-15 17:53:54,2012-03-09,서울특별시 성동구 성수동*가 **-**,2012303011508500003,3030000,서울특별시 성동구 아차산로 ** (성수동*가),,2025-05-12,실사출력.광고물 제작,01,영업/정상,,,
현대종합광고,2005-11-14,195935.137088572,451180.441186072,2026-05-06 22:33:41,I,20,정상,2019-12-10 16:23:08,2000-07-07,서울특별시 서대문구 북아현동 ***-**,2000312009608500187,3120000,서울특별시 서대문구 북아현로**가길 ** (북아현동),,2012-07-30,옥외광고물제작,01,영업/정상,,,02-312-9145
후디자인끄라빠오,2019-02-14,193803.424181589,452723.457356207,2026-05-06 22:33:52,I,20,정상,2023-03-10 13:52:44,2017-12-07,서울특별시 서대문구 연희동 ***-** 한인트윈빌,2017312017508500005,3120000,"서울특별시 서대문구 홍연길 **, *층 (연희동, 한인트윈빌)",03695,,"옥외광고물 디자인, 납품",01,영업/정상,,,
(주)굿모닝애드,2026-02-02,184655.264279055,451864.298152252,2026-05-06 22:35:59,I,40,폐업,2026-02-03 15:46:46,2020-12-04,서울특별시 강서구 마곡동 *** 두산더랜드파크,2020315012708500017,3150000,"서울특별시 강서구 마곡중앙로 ***-*, 두산더랜드파크 B동 ****-*호 (마곡동)",07788,,광고대행 및 광고물 제작,03,폐업,,,
티몰닷컴,2025-12-18,184487.683119581,450704.459994631,2026-05-06 22:35:59,I,40,폐업,2025-12-22 09:15:24,2019-10-17,서울특별시 강서구 마곡동 ***-** M밸리 W TOWER Ⅳ,2022315012708500004,3150000,"서울특별시 강서구 마곡중앙*로 **, M밸리 W TOWER Ⅳ *층 ***호 (마곡동)",07807,,간판 디자인및 판매,03,폐업,,,
요미디자인,2025-12-16,183354.088612383,450501.380951326,2026-05-06 22:35:59,I,40,폐업,2025-12-17 17:22:27,2023-11-27,서울특별시 강서구 공항동 ***-*,2023315012708500006,3150000,"서울특별시 강서구 송정로 **-*, *층 (공항동)",07626,,광고물 제작,03,폐업,,,
엠데칼 주식회사,,204563.306347478,449357.605501337,2026-05-06 22:33:59,I,70,취소,2025-09-05 17:07:58,2012-05-07,서울특별시 성동구 성수동*가 ***-**,2012303011508500007,3030000,"서울특별시 성동구 아차산로*길 *, 지하*층 (성수동*가)",04793,,"광고물제작, 광고물대행",04,취소/말소/만료/정지/중지,,,
(주)씨즈디자인,,204641.677508089,449583.30958219,2026-05-06 22:33:59,I,20,정상,2021-05-27 11:18:31,2013-05-01,서울특별시 성동구 성수동*가 ***-***,2013303014208500007,3030000,서울특별시 성동구 성수일로**길 ** (성수동*가),,,옥외광고 디자인 및 설계,01,영업/정상,,,02-498-8746
디자인소울,,202624.370532208,450833.723068149,2026-05-06 22:33:59,I,20,정상,2021-01-15 15:11:11,2013-05-29,서울특별시 성동구 행당동 ***-*,2013303014208500008,3030000,서울특별시 성동구 왕십리로**길 ** (행당동),,,"광고물제작(배너,현수막)",01,영업/정상,,,02-2295-9800
(주)록시엘이디,,205998.771205178,449867.30422007,2026-05-06 22:33:59,I,30,휴업,2024-05-01 09:12:26,2024-04-30,서울특별시 성동구 송정동 **-**,2014303014808500002,3030000,"서울특별시 성동구 동일로 ***, *층 (송정동)",04801,,"led경관조명설치,옥외광고물제작 및 설치",02,휴업,2024-04-25,2029-04-25,070-4335-8098
(주)오리엔탈라인,,203887.185047227,449860.057407228,2026-05-06 22:33:59,I,20,정상,2019-01-31 13:39:38,2010-09-13,서울특별시 성동구 성수동*가 ***-* 서울숲IT캐슬,2014303014808500003,3030000,"서울특별시 성동구 광나루로 ***, 서울숲IT캐슬 ****,B***,B***,B***호 (성수동*가)",04788,,광고물제작및 대행,01,영업/정상,,,22320677
에스아이디,,203887.185047227,449860.057407228,2026-05-06 22:33:59,I,20,정상,2021-06-09 16:40:56,2007-11-01,서울특별시 성동구 성수동*가 ***-* 서울숲it캐슬 b***호 b동 ***호,2014303014808500004,3030000,"서울특별시 성동구 광나루로 ***, b동 ***호 (성수동*가, 서울숲IT캐슬)",04788,,광고물제작,01,영업/정상,,,02-2233-2102
(주)미르에스디아이,,204323.651283128,449401.651913139,2026-05-06 22:34:00,I,20,정상,2021-05-17 17:42:20,2014-08-11,서울특별시 성동구 성수동*가 **-** 서울숲 코오롱디지털타워 Ⅲ ***호,2014303014808500005,3030000,"서울특별시 성동구 아차산로 **, 서울숲 코오롱디지털타워 Ⅲ ***호 (성수동*가)",04790,,전시영상 옥외광고용,01,영업/정상,,,02-2292-7850
(주)플러스인피니,,205557.941680639,449473.46380541,2026-05-06 22:34:00,I,30,휴업,2021-06-28 15:19:05,2014-12-19,서울특별시 성동구 성수동*가 ***-** 에이스성수타워* ***호,2014303014808500007,3030000,"서울특별시 성동구 광나루로*길 **, 에이스성수타워* *층 ***호 (성수동*가)",04799,,광고물제작,02,휴업,2021-06-23,2024-06-22,02-3444-3660
이라기획,,203306.042412284,451472.640702168,2026-05-06 22:34:00,I,20,정상,2019-07-15 17:38:31,2015-01-02,서울특별시 성동구 마장동 *** 신명스카이뷰,2015303014808500001,3030000,"서울특별시 성동구 마장로 ***, *층 *호 (마장동, 신명스카이뷰)",04759,,광고물 제작 시공(옥외광고물),01,영업/정상,,,
주식회사 애드샵컴퍼니,,203924.802039313,448934.858771073,2026-05-06 22:34:00,I,20,정상,2023-03-16 13:19:26,2015-02-03,서울특별시 성동구 성수동*가 ***-* FORHU ***-*호,2015303014808500002,3030000,"서울특별시 성동구 왕십리로 **, FORHU 지하층 ***-***-***호 (성수동*가)",04778,,옥외광고,01,영업/정상,,,02-499-5836
(주)엣나우,,204948.345073119,448659.767345547,2026-05-06 22:34:00,I,20,정상,2021-06-10 15:53:59,2002-03-28,서울특별시 성동구 성수동*가 ***-** ***호,2015303016108500003,3030000,"서울특별시 성동구 성수이로**길 **, ***호 (성수동*가, 에이스 하이엔드 성수타워)",04784,,광고대행,01,영업/정상,,,02-555-7709
주식회사 우호종합건설,,202360.017595584,451262.220491486,2026-05-06 22:34:00,I,30,휴업,2024-11-21 09:08:29,2024-11-20,서울특별시 성동구 하왕십리동 ***-**,2015303016108500005,3030000,서울특별시 성동구 왕십리로**길 **-* (하왕십리동),04710,,옥외광고업,02,휴업,2024-11-20,2027-11-19,02-540-1338
