영업소면적,사업장명,사업장구분명,업태구분명,폐업일자,위탁업체명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,실험실면적,실험실반,실험실번지,실험실산,실험실지역코드,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소건물층구분,실험실도로명주소코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소시군구코드,실험실도로명주소우편번호,실험실도로명특수주소,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실통,실험실호,실험실우편번호,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,케이웨더(주),측정대행업,,2017-08-17,,190504.7782409,442154.992807483,2026-05-06 22:47:32,I,2,폐업,,,235,1,1153010200,5,,0,4148327,1153010200,1,11530,,(구로동),에이스하이엔드타워4층,,,,2,,2018-07-05 09:33:38,2009-10-08,,서울특별시 구로구 구로동 235-2 에이스하이엔드타워 401호,316000066200900005,3160000,"서울특별시 구로구 디지털로26길 5, 401호 (구로동, 에이스하이엔드타워)",,,03,폐업,,,02-360-2225
,(주)한빛안전진단이엔지,측정대행업,,2018-01-02,,190217.778734359,444161.818392861,2026-05-06 22:47:30,I,2,폐업,,,108,1,1153010200,66,,0,4148018,1153010200,1,11530,,"(구로동, 아스타빌)",,,,,4,152053,2018-07-05 09:35:16,2009-09-25,152-843,서울특별시 구로구 구로동 108-4 아스타빌,316000066200900006,3160000,"서울특별시 구로구 가마산로27길 66 (구로동, 아스타빌)",,,03,폐업,,,02-839-2934
,동문이엔티(주),측정대행업,,2012-12-17,,190741.158117503,442703.311770946,2026-05-06 22:47:31,I,2,폐업,,,184,1,1153010200,,,,,,,,,,우림이비즈센타 2차 5층 503호,,,,1,152053,2015-07-23 13:50:07,2010-02-25,,서울특별시 구로구 구로동 184-1 우림이비지센타 2차 5층 503호,316000066201000002,3160000,서울특별시 구로구 디지털로33길 12 (구로동),,,03,폐업,,,
,한국산업기술시험원,측정대행업,,2013-05-20,,190759.362991915,442164.515437478,2026-05-06 22:47:30,I,2,폐업,,,222,1,1153010200,,,,,,,,,,,,,,13,152051,2015-07-23 13:34:16,2010-12-08,,서울특별시 구로구 구로동 222-13,316000066201000005,3160000,,,,03,폐업,,,
,(주)대원이앤씨,측정대행업,,2014-08-26,,189133.504667721,445176.478769256,2026-05-06 22:47:31,I,2,폐업,,,291,1,1153010100,16,,0,4148394,1153010100,1,11530,,"(신도림동, 2층)",2층,,,,43,,2015-07-23 13:37:09,2012-08-13,,서울특별시 구로구 신도림동 2층,316000066201200004,3160000,"서울특별시 구로구 신도림로11다길 16 (신도림동, 2층)",,,03,폐업,,,02-2065-0151
,한국산업기술시험원,측정대행업,,2013-05-20,,190759.362991915,442164.515437478,2026-05-06 22:47:32,I,2,폐업,261,,222,1,1153010200,87,,0,4148327,1153010200,1,11530,,(구로동),,,,,13,,2015-07-23 13:35:11,2012-09-03,,,316000066201200005,3160000,"서울특별시 구로구 디지털로26길 87 (구로동, 한국산업기술시험원)",,,03,폐업,,,
,(주)웹솔루스,측정대행업,,2015-05-11,,,,2026-05-06 22:47:33,I,2,폐업,,,212,1,1153010200,271,,0,3000026,1153010200,1,11530,,"(구로동, 벽산디지털밸리3차 1107호)",,,,,13,,2015-07-23 13:38:52,2014-08-04,,서울특별시 구로구 구로동 271 벽산3차디지털밸리 1201외호,316000066201400001,3160000,,,,03,폐업,,,69170700
,스반코리아,측정대행업,,2017-04-27,,190461.790473157,442368.090413171,2026-05-06 22:47:33,I,2,폐업,,,212,1,1153010200,24,,0,4148329,1153010200,1,11530,,"703-2호 (구로동, 벽산디지털밸리1차)",벽산디지털밸리1차,,703-2,,16,,2018-07-05 09:35:42,2015-06-25,,서울특별시 구로구 구로동 212-16 벽산디지털밸리1차 703-2호,316000066201500001,3160000,"서울특별시 구로구 디지털로27길 24, 703-2호 (구로동, 벽산디지털밸리1차)",,,03,폐업,,,02-2646-6994
,한성환경주식회사,측정대행업,,2024-07-24,,189026.342384854,444895.113011547,2026-05-06 22:47:33,I,2,폐업,,,399,1,1153010100,228,,0,3116005,1153010100,1,11530,08205,기임빌딩 301호 (신도림동),기임빌딩,,,,,,2024-07-24 10:21:07,2020-10-07,,서울특별시 구로구 신도림동 399 기임빌딩,316000066202000001,3160000,"서울특별시 구로구 구로중앙로 228, 기임빌딩 301호 (신도림동)",08205,,03,폐업,,,02-2689-9890
,한국산업기술시험원,측정대행업,,,,190759.362991915,442164.515437478,2026-05-06 22:47:30,I,2,폐업,1,,222,1,1153010200,87,,0,4148327,1153010200,1,11530,,(구로동),,,,,13,,2015-07-23 13:35:48,2012-03-02,,,316000066201200001,3160000,"서울특별시 구로구 디지털로26길 87 (구로동, 한국산업기술시험원)",,,03,폐업,,,
